Topic 0(0.041):	kindl(0.096)	fire(0.066)	love(0.062)	hdx(0.051)	screen(0.026)	ipad(0.024)	hd(0.019)	display(0.017)	better(0.012)	great(0.012)	read(0.012)	resolut(0.009)	good(0.009)	mini(0.009)	origin(0.009)	upgrad(0.009)	book(0.008)	bought(0.008)	retina(0.008)	easi(0.007)	color(0.007)	clear(0.007)	devic(0.007)	size(0.007)	purchas(0.007)	year(0.007)	amaz(0.006)	bright(0.006)	thing(0.005)	best(0.005)	enjoy(0.005)	amazon(0.005)	sharp(0.005)	buy(0.005)	christma(0.004)	nexus(0.004)	wife(0.004)	nice(0.004)	generat(0.004)	light(0.004)	time(0.004)	angl(0.004)	work(0.004)	review(0.004)	happi(0.004)	price(0.004)	absolut(0.004)	view(0.004)	gen(0.003)	app(0.003)	
Topic 1(0.035):	app(0.043)	video(0.023)	amazon(0.021)	play(0.020)	download(0.020)	kindl(0.017)	android(0.017)	flash(0.017)	game(0.016)	googl(0.016)	store(0.014)	book(0.014)	devic(0.012)	movi(0.012)	watch(0.011)	instal(0.011)	player(0.010)	prime(0.009)	work(0.009)	support(0.009)	music(0.008)	access(0.008)	free(0.007)	read(0.007)	adob(0.006)	site(0.006)	limit(0.006)	web(0.006)	great(0.006)	file(0.005)	applic(0.005)	good(0.005)	hdx(0.005)	easi(0.005)	updat(0.005)	fire(0.005)	load(0.005)	netflix(0.005)	market(0.005)	email(0.005)	account(0.004)	softwar(0.004)	screen(0.004)	phone(0.004)	media(0.004)	version(0.004)	content(0.004)	thing(0.004)	problem(0.004)	product(0.004)	
Topic 2(0.088):	great(0.037)	price(0.037)	ipad(0.035)	love(0.032)	product(0.028)	bought(0.028)	purchas(0.024)	buy(0.021)	recommend(0.016)	kid(0.014)	expect(0.013)	gift(0.013)	work(0.013)	happi(0.013)	good(0.012)	appl(0.012)	christma(0.012)	year(0.011)	money(0.010)	samsung(0.009)	galaxi(0.009)	pay(0.008)	high(0.008)	amazon(0.008)	best(0.008)	review(0.008)	wife(0.008)	daughter(0.008)	worth(0.008)	disappoint(0.007)	awesom(0.007)	thing(0.007)	day(0.006)	son(0.006)	month(0.006)	time(0.006)	enjoy(0.005)	item(0.005)	order(0.005)	paid(0.005)	glad(0.005)	wait(0.004)	perfect(0.004)	tab(0.004)	absolut(0.004)	bad(0.004)	spend(0.004)	ago(0.004)	devic(0.004)	excel(0.004)	
Topic 3(0.037):	charg(0.059)	batteri(0.046)	turn(0.029)	hour(0.027)	time(0.026)	day(0.024)	life(0.020)	work(0.019)	screen(0.017)	power(0.016)	charger(0.014)	plug(0.012)	button(0.011)	minut(0.010)	long(0.010)	unit(0.010)	start(0.009)	devic(0.009)	thing(0.008)	hold(0.008)	problem(0.008)	play(0.007)	reset(0.007)	week(0.007)	shut(0.007)	coupl(0.006)	full(0.006)	read(0.006)	fulli(0.006)	night(0.005)	die(0.005)	second(0.005)	wo(0.005)	hot(0.005)	month(0.005)	heavi(0.005)	light(0.005)	drain(0.005)	short(0.004)	usag(0.004)	dead(0.004)	boot(0.004)	press(0.004)	game(0.004)	ipad(0.004)	mode(0.004)	video(0.004)	good(0.004)	restart(0.004)	sleep(0.004)	
Topic 4(0.023):	good(0.048)	speaker(0.044)	sound(0.041)	qualiti(0.025)	better(0.020)	nice(0.019)	screen(0.016)	watch(0.014)	video(0.014)	headphon(0.013)	volum(0.013)	ipad(0.012)	loud(0.011)	hear(0.010)	audio(0.010)	product(0.009)	stereo(0.009)	great(0.008)	side(0.008)	movi(0.008)	work(0.008)	bad(0.007)	top(0.006)	low(0.006)	devic(0.006)	surround(0.006)	front(0.006)	play(0.006)	louder(0.006)	pretti(0.005)	listen(0.005)	feel(0.005)	jack(0.005)	find(0.005)	turn(0.005)	buy(0.005)	music(0.005)	phone(0.005)	hd(0.005)	soni(0.004)	nexus(0.004)	bit(0.004)	nois(0.004)	expect(0.004)	notic(0.004)	built(0.004)	terribl(0.004)	compar(0.004)	plug(0.004)	resolut(0.004)	
Topic 5(0.021):	camera(0.070)	pictur(0.032)	front(0.025)	work(0.021)	face(0.020)	app(0.019)	video(0.016)	skype(0.016)	qualiti(0.011)	rear(0.010)	good(0.009)	photo(0.009)	pic(0.009)	featur(0.009)	reason(0.008)	ipad(0.008)	great(0.008)	imag(0.008)	purchas(0.007)	star(0.007)	thing(0.007)	better(0.007)	decent(0.007)	screen(0.006)	pretti(0.006)	find(0.006)	shoot(0.006)	bought(0.006)	read(0.005)	problem(0.005)	best(0.005)	expect(0.005)	kindl(0.005)	focus(0.005)	view(0.005)	mode(0.005)	hold(0.005)	buy(0.005)	freez(0.004)	cheap(0.004)	nice(0.004)	review(0.004)	time(0.004)	digit(0.004)	auto(0.004)	devic(0.004)	turn(0.004)	game(0.004)	flaw(0.004)	eye(0.004)	
Topic 6(0.020):	fast(0.028)	slow(0.026)	processor(0.026)	great(0.025)	speed(0.021)	respons(0.019)	screen(0.017)	faster(0.014)	perform(0.014)	ipad(0.014)	core(0.013)	app(0.013)	ram(0.012)	price(0.011)	quad(0.010)	good(0.010)	thing(0.009)	cpu(0.008)	batteri(0.008)	bit(0.008)	better(0.008)	asus(0.007)	surf(0.007)	task(0.007)	dual(0.007)	work(0.007)	best(0.006)	life(0.006)	hdx(0.006)	web(0.006)	featur(0.006)	hope(0.006)	internet(0.005)	nexus(0.005)	set(0.005)	buy(0.005)	lag(0.005)	notic(0.005)	load(0.005)	improv(0.005)	time(0.005)	devic(0.005)	quadcor(0.005)	memori(0.005)	game(0.005)	slower(0.005)	perfect(0.005)	ghz(0.004)	expect(0.004)	laptop(0.004)	
Topic 7(0.015):	card(0.034)	memori(0.025)	sd(0.019)	work(0.017)	storag(0.017)	space(0.016)	file(0.015)	model(0.013)	thing(0.013)	slot(0.012)	gb(0.012)	app(0.012)	ipad(0.012)	love(0.010)	great(0.009)	screen(0.009)	issu(0.008)	recogn(0.008)	microsd(0.008)	android(0.008)	bought(0.008)	expand(0.007)	univers(0.007)	limit(0.007)	32gb(0.006)	pop(0.006)	16gb(0.006)	pdf(0.006)	time(0.006)	insert(0.005)	devic(0.005)	small(0.005)	creativ(0.005)	ziio(0.005)	user(0.005)	expans(0.005)	icon(0.005)	product(0.005)	smart(0.005)	read(0.004)	version(0.004)	price(0.004)	good(0.004)	updat(0.004)	format(0.004)	dedic(0.004)	64gb(0.004)	day(0.004)	featur(0.004)	remot(0.004)	
Topic 8(0.028):	wifi(0.029)	connect(0.029)	problem(0.028)	read(0.025)	work(0.023)	devic(0.021)	internet(0.021)	email(0.018)	web(0.016)	comput(0.013)	kindl(0.011)	issu(0.011)	watch(0.011)	book(0.011)	brows(0.011)	surf(0.009)	video(0.009)	great(0.009)	check(0.008)	ipad(0.008)	good(0.008)	screen(0.008)	time(0.008)	laptop(0.007)	network(0.006)	movi(0.006)	day(0.006)	play(0.006)	thing(0.006)	game(0.006)	app(0.005)	music(0.005)	find(0.005)	search(0.005)	fine(0.005)	easi(0.005)	signal(0.005)	lot(0.005)	onlin(0.004)	nice(0.004)	listen(0.004)	travel(0.004)	updat(0.004)	unit(0.004)	better(0.004)	netflix(0.004)	router(0.004)	fire(0.004)	ebook(0.004)	long(0.004)	
Topic 9(0.024):	screen(0.063)	touch(0.033)	keyboard(0.025)	write(0.023)	type(0.016)	pen(0.015)	work(0.015)	time(0.013)	thing(0.010)	handwrit(0.010)	text(0.009)	crack(0.008)	stylus(0.008)	app(0.007)	sensit(0.007)	turn(0.007)	hand(0.007)	cover(0.006)	letter(0.006)	love(0.006)	input(0.006)	program(0.006)	good(0.006)	review(0.006)	glass(0.005)	side(0.005)	featur(0.005)	recognit(0.005)	spen(0.005)	feel(0.005)	lot(0.005)	find(0.005)	press(0.005)	function(0.005)	paper(0.005)	read(0.005)	virtual(0.004)	scratch(0.004)	day(0.004)	dock(0.004)	option(0.004)	pad(0.004)	great(0.004)	devic(0.004)	draw(0.004)	respons(0.004)	problem(0.004)	learn(0.004)	bad(0.004)	unrespons(0.004)	
Topic 10(0.033):	ipad(0.025)	screen(0.017)	android(0.012)	devic(0.011)	samsung(0.011)	galaxi(0.010)	batteri(0.010)	kindl(0.009)	better(0.009)	nexus(0.008)	good(0.008)	time(0.008)	asus(0.007)	amazon(0.007)	buy(0.007)	updat(0.007)	case(0.007)	price(0.007)	feel(0.006)	app(0.006)	great(0.006)	fire(0.006)	issu(0.006)	compar(0.006)	year(0.006)	thing(0.006)	tab(0.005)	resolut(0.005)	display(0.005)	life(0.005)	nice(0.005)	review(0.005)	light(0.005)	hdx(0.005)	featur(0.005)	work(0.005)	transform(0.005)	infin(0.004)	version(0.004)	hd(0.004)	best(0.004)	notic(0.004)	soni(0.004)	qualiti(0.004)	hold(0.004)	softwar(0.004)	lot(0.004)	appl(0.004)	hope(0.004)	pretti(0.004)	
