Topic 0(0.024):	ipad(0.061)	feel(0.015)	review(0.014)	samsung(0.013)	appl(0.012)	asus(0.011)	screen(0.011)	galaxi(0.010)	time(0.010)	price(0.010)	devic(0.009)	mini(0.009)	tab(0.009)	buy(0.009)	android(0.008)	hold(0.008)	good(0.008)	great(0.007)	solid(0.007)	weight(0.006)	generat(0.006)	qualiti(0.006)	hand(0.006)	issu(0.006)	inch(0.006)	lot(0.006)	display(0.005)	light(0.005)	transform(0.005)	user(0.005)	build(0.005)	nexus(0.005)	problem(0.005)	thing(0.005)	compar(0.005)	year(0.005)	upgrad(0.005)	hope(0.004)	acer(0.004)	product(0.004)	better(0.004)	disappoint(0.004)	long(0.004)	decid(0.004)	drop(0.004)	work(0.004)	laptop(0.004)	find(0.004)	deal(0.004)	day(0.004)	
Topic 1(0.028):	app(0.039)	android(0.035)	ipad(0.024)	devic(0.021)	work(0.019)	great(0.016)	samsung(0.015)	appl(0.010)	featur(0.010)	love(0.010)	thing(0.009)	market(0.009)	better(0.009)	updat(0.008)	support(0.008)	softwar(0.008)	best(0.007)	product(0.007)	os(0.007)	galaxi(0.007)	buy(0.006)	version(0.006)	hardwar(0.006)	camera(0.006)	screen(0.006)	limit(0.005)	nice(0.005)	star(0.005)	pen(0.005)	includ(0.005)	phone(0.005)	good(0.005)	applic(0.005)	time(0.005)	function(0.004)	touch(0.004)	iphon(0.004)	window(0.004)	flash(0.004)	upgrad(0.004)	user(0.004)	print(0.004)	find(0.004)	experi(0.004)	basic(0.004)	laptop(0.004)	custom(0.004)	pc(0.004)	price(0.004)	system(0.003)	
Topic 2(0.048):	great(0.065)	work(0.055)	batteri(0.047)	good(0.038)	life(0.037)	price(0.035)	screen(0.021)	keyboard(0.013)	laptop(0.010)	wifi(0.010)	hour(0.010)	long(0.009)	ipad(0.009)	decent(0.008)	fine(0.008)	qualiti(0.008)	problem(0.008)	perfect(0.008)	excel(0.007)	condit(0.007)	better(0.007)	pretti(0.006)	bluetooth(0.006)	bought(0.006)	unit(0.006)	resolut(0.006)	perform(0.006)	case(0.006)	power(0.006)	expect(0.005)	replac(0.005)	advertis(0.005)	charg(0.005)	buy(0.005)	pictur(0.005)	scratch(0.005)	month(0.005)	dock(0.005)	fast(0.005)	size(0.005)	game(0.005)	app(0.004)	item(0.004)	deal(0.004)	camera(0.004)	built(0.004)	thing(0.004)	devic(0.004)	brand(0.004)	speed(0.004)	
Topic 3(0.025):	app(0.029)	work(0.025)	time(0.020)	day(0.018)	book(0.016)	kindl(0.014)	good(0.013)	charg(0.013)	download(0.013)	read(0.012)	easi(0.012)	devic(0.010)	thing(0.010)	internet(0.009)	game(0.009)	email(0.009)	issu(0.008)	find(0.008)	keyboard(0.007)	batteri(0.007)	long(0.007)	lot(0.007)	fast(0.006)	second(0.006)	play(0.006)	freez(0.006)	month(0.006)	hold(0.006)	light(0.006)	pretti(0.006)	help(0.006)	set(0.006)	start(0.005)	bought(0.005)	check(0.005)	fire(0.005)	hdx(0.005)	paper(0.005)	love(0.005)	hour(0.005)	order(0.005)	travel(0.005)	usb(0.005)	crash(0.005)	store(0.004)	amazon(0.004)	great(0.004)	comput(0.004)	web(0.004)	review(0.004)	
Topic 4(0.052):	kindl(0.089)	love(0.064)	fire(0.058)	hdx(0.041)	purchas(0.021)	amazon(0.017)	great(0.015)	bought(0.013)	hd(0.012)	happi(0.011)	year(0.010)	gift(0.009)	christma(0.008)	buy(0.008)	upgrad(0.008)	thing(0.007)	absolut(0.007)	work(0.007)	best(0.007)	wife(0.007)	time(0.007)	origin(0.007)	ipad(0.007)	product(0.007)	read(0.006)	day(0.006)	good(0.006)	glad(0.006)	devic(0.006)	help(0.006)	better(0.006)	mayday(0.006)	servic(0.006)	featur(0.006)	awesom(0.006)	problem(0.006)	recommend(0.006)	custom(0.005)	enjoy(0.005)	decid(0.005)	model(0.005)	nexus(0.005)	receiv(0.005)	review(0.005)	month(0.004)	book(0.004)	thought(0.004)	button(0.004)	easi(0.004)	price(0.004)	
Topic 5(0.023):	screen(0.030)	app(0.024)	write(0.019)	work(0.018)	pen(0.018)	touch(0.015)	button(0.014)	time(0.013)	stylus(0.011)	thing(0.010)	keyboard(0.010)	type(0.010)	handwrit(0.010)	featur(0.009)	great(0.008)	hand(0.007)	love(0.007)	paper(0.006)	text(0.006)	spen(0.006)	draw(0.006)	side(0.006)	read(0.006)	devic(0.005)	find(0.005)	finger(0.005)	turn(0.005)	snote(0.005)	good(0.005)	easi(0.005)	sensit(0.005)	function(0.005)	pdf(0.005)	ipad(0.005)	program(0.005)	lot(0.005)	open(0.005)	power(0.005)	samsung(0.004)	set(0.004)	play(0.004)	student(0.004)	email(0.004)	document(0.004)	perfect(0.004)	small(0.004)	recognit(0.004)	game(0.004)	learn(0.004)	better(0.004)	
Topic 6(0.028):	app(0.029)	video(0.029)	flash(0.021)	work(0.021)	download(0.016)	devic(0.015)	play(0.014)	file(0.013)	watch(0.012)	amazon(0.012)	support(0.011)	player(0.010)	movi(0.010)	android(0.009)	instal(0.009)	googl(0.009)	tv(0.009)	great(0.008)	browser(0.008)	adob(0.008)	email(0.007)	store(0.007)	ipad(0.007)	connect(0.007)	kindl(0.007)	game(0.007)	netflix(0.007)	stream(0.007)	thing(0.006)	youtub(0.006)	web(0.006)	prime(0.006)	problem(0.006)	time(0.006)	view(0.006)	easi(0.005)	screen(0.005)	site(0.005)	comput(0.005)	itun(0.005)	internet(0.005)	set(0.005)	featur(0.004)	media(0.004)	music(0.004)	format(0.004)	control(0.004)	allow(0.004)	issu(0.004)	sync(0.004)	
Topic 7(0.053):	screen(0.053)	good(0.045)	nice(0.034)	great(0.031)	fast(0.025)	easi(0.021)	size(0.017)	light(0.016)	respons(0.015)	display(0.013)	batteri(0.012)	sound(0.012)	qualiti(0.011)	touch(0.011)	beauti(0.010)	life(0.010)	work(0.010)	clear(0.010)	app(0.009)	android(0.009)	video(0.009)	weight(0.008)	excel(0.008)	resolut(0.007)	game(0.007)	color(0.007)	design(0.007)	pretti(0.007)	smooth(0.007)	price(0.007)	feel(0.007)	perform(0.007)	devic(0.007)	play(0.006)	decent(0.006)	hand(0.006)	camera(0.006)	thin(0.006)	bright(0.006)	lightweight(0.005)	processor(0.005)	amaz(0.005)	speaker(0.005)	awesom(0.005)	small(0.005)	pictur(0.005)	high(0.005)	featur(0.005)	perfect(0.005)	sharp(0.005)	
Topic 8(0.022):	screen(0.052)	ipad(0.024)	display(0.017)	android(0.017)	resolut(0.015)	nexus(0.014)	read(0.013)	better(0.012)	bright(0.012)	devic(0.012)	color(0.010)	hdx(0.009)	kindl(0.009)	app(0.008)	notic(0.008)	hd(0.008)	good(0.007)	compar(0.007)	retina(0.007)	nice(0.006)	amazon(0.006)	thing(0.006)	feel(0.006)	blue(0.006)	great(0.006)	white(0.006)	light(0.005)	peopl(0.005)	mini(0.005)	easi(0.005)	time(0.005)	price(0.005)	sharp(0.005)	review(0.005)	text(0.005)	appl(0.005)	beauti(0.005)	user(0.004)	fire(0.004)	size(0.004)	googl(0.004)	side(0.004)	respons(0.004)	power(0.004)	clear(0.004)	bit(0.004)	os(0.004)	best(0.004)	view(0.004)	qualiti(0.004)	
Topic 9(0.027):	ipad(0.035)	screen(0.026)	size(0.019)	laptop(0.017)	read(0.015)	watch(0.014)	love(0.013)	batteri(0.013)	bought(0.011)	movi(0.011)	devic(0.011)	great(0.010)	year(0.010)	kindl(0.009)	better(0.009)	phone(0.009)	week(0.008)	time(0.008)	video(0.007)	price(0.007)	life(0.007)	work(0.007)	wife(0.007)	carri(0.007)	book(0.007)	hour(0.007)	small(0.007)	perfect(0.006)	touch(0.006)	enjoy(0.006)	good(0.006)	qualiti(0.006)	easi(0.006)	charg(0.006)	buy(0.005)	smaller(0.005)	big(0.005)	full(0.005)	nice(0.005)	thing(0.005)	netbook(0.005)	display(0.004)	mini(0.004)	travel(0.004)	bigger(0.004)	expect(0.004)	half(0.004)	game(0.004)	conveni(0.004)	light(0.004)	
Topic 10(0.044):	product(0.038)	samsung(0.028)	ipad(0.025)	galaxi(0.022)	appl(0.018)	good(0.016)	best(0.016)	great(0.016)	expect(0.014)	work(0.014)	better(0.013)	recommend(0.012)	price(0.010)	high(0.010)	android(0.010)	tab(0.010)	devic(0.010)	purchas(0.009)	featur(0.009)	bought(0.007)	love(0.007)	buy(0.007)	app(0.006)	awesom(0.006)	star(0.006)	qualiti(0.006)	fast(0.006)	phone(0.006)	thing(0.006)	review(0.006)	pen(0.006)	time(0.005)	reason(0.005)	amaz(0.005)	pretti(0.005)	smart(0.005)	excel(0.004)	user(0.004)	soni(0.004)	issu(0.004)	spen(0.004)	day(0.004)	rate(0.004)	batteri(0.004)	design(0.004)	hope(0.004)	money(0.004)	experi(0.004)	friend(0.004)	disappoint(0.004)	
