ef	0	2	3	5	10	0	2	3	14	13
hs	2	6	2	3	7	13	8	2	3	10
delight	1	2	3	4	10	1	2	3	4	11
microsd	0	2	2	5	11	0	3	2	5	15
master	1	1	4	4	10	1	1	4	4	10
debat	2	4	3	3	8	2	4	3	3	8
difficulti	0	5	6	5	4	0	5	6	5	4
joy	3	0	2	4	11	3	0	2	4	12
offic	6	5	3	3	2	7	5	3	3	2
adob	2	4	2	6	6	2	4	2	6	7
man	2	4	6	3	5	2	5	6	3	6
met	3	2	2	8	5	3	2	2	8	5
mid	4	2	4	4	6	5	2	4	4	6
modern	4	4	5	0	7	4	4	6	0	7
shockproof	5	8	5	1	1	5	8	6	1	1
tape	4	2	5	5	4	4	3	8	8	4
row	6	3	3	4	4	6	3	3	4	4
boot	3	4	3	7	3	3	4	3	14	3
block	2	2	2	7	7	2	2	2	7	7
darker	1	7	3	3	6	1	8	5	3	7
2mp	2	3	2	10	3	2	3	2	12	7
hdmi	1	1	6	4	8	1	2	11	4	10
prove	4	4	4	3	5	4	4	4	3	5
cycl	4	4	3	3	6	4	4	3	7	6
costco	5	5	2	2	6	14	6	2	2	7
march	9	1	3	3	4	11	2	3	3	5
thorough	5	2	2	9	1	5	2	2	9	1
inferior	4	6	1	4	5	5	7	1	4	5
disappear	2	9	4	4	1	2	9	4	6	1
8mp	7	3	1	4	5	7	3	1	5	5
studio	1	2	3	6	8	2	2	3	7	10
discount	6	1	5	2	6	6	1	5	2	6
suitabl	1	5	2	5	6	1	5	3	5	6
dpreview	1	2	2	5	10	1	2	2	5	15
girl	2	3	1	6	7	2	3	1	6	7
risk	6	5	3	4	2	6	5	3	4	2
refocus	7	5	5	3	0	8	11	7	3	0
satisfactori	2	8	3	4	3	2	8	3	4	3
whatsoev	3	3	3	3	8	3	3	3	3	8
trash	7	3	5	2	3	7	3	6	2	3
fish	3	3	2	6	6	3	4	2	6	6
quicktim	0	2	3	3	12	0	2	3	4	13
placement	1	5	3	6	5	1	6	3	6	6
insert	6	3	2	7	2	6	3	2	8	2
involv	3	3	4	3	7	4	3	4	3	7
d70	3	3	5	2	7	6	9	6	2	8
deserv	5	3	2	3	8	5	3	2	3	8
dot	2	2	6	4	7	3	2	9	5	9
forum	6	3	5	1	6	7	3	5	1	7
render	2	7	6	2	4	2	7	7	2	4
nex7	0	1	3	5	12	0	1	3	18	21
station	1	3	3	6	8	1	3	4	6	8
warm	2	4	7	5	3	2	4	8	5	3
blank	9	4	4	1	3	9	7	5	1	3
tricki	1	1	5	5	9	1	1	5	5	9
jam	10	4	6	0	1	14	6	6	0	1
floor	2	2	10	2	5	2	2	10	2	5
crappi	7	9	2	3	0	7	9	3	3	0
confid	5	4	2	5	5	5	5	2	5	5
brother	7	1	2	4	7	8	1	2	5	7
wildlif	0	2	4	5	10	0	2	5	5	10
fresh	8	4	4	3	2	9	4	4	3	2
8x10	1	0	1	9	10	1	0	1	9	11
disapoint	9	8	2	0	1	9	8	2	0	1
latch	7	3	6	2	3	9	3	6	5	3
oppos	0	4	4	5	8	0	4	4	6	8
bulk	1	1	1	2	16	1	1	1	2	18
materi	4	4	1	6	6	4	4	1	6	6
collect	1	2	2	6	10	1	2	5	6	10
breez	0	1	1	7	12	0	1	1	7	12
d7100	2	3	1	4	11	2	3	5	6	23
shift	3	4	2	3	9	3	6	2	3	11
a40	1	3	3	14	0	1	5	5	32	0
swivel	1	0	2	6	12	1	0	2	8	15
soso	0	5	10	4	2	0	5	10	5	2
fabul	0	3	2	5	11	0	5	2	6	13
android	2	3	7	7	2	2	6	8	9	4
rival	1	0	2	3	15	1	0	2	4	15
footag	1	5	6	3	7	1	5	8	4	14
d5100	2	1	4	4	11	3	1	8	4	14
expir	6	12	2	2	0	6	12	2	2	0
4x	1	3	4	7	7	1	4	6	8	7
fee	7	8	2	3	2	7	10	2	4	2
remark	3	1	7	6	5	3	1	8	6	5
vr	2	4	4	3	9	2	5	7	4	9
12mp	3	2	2	7	8	5	2	2	7	9
gig	0	0	5	5	12	0	0	6	5	16
land	5	10	4	1	2	5	11	4	1	2
lightroom	3	1	2	2	14	4	1	2	3	20
swim	5	8	4	1	4	6	8	4	1	4
sync	3	4	4	4	7	3	4	8	4	7
compet	1	3	5	5	8	1	4	8	5	8
advis	9	5	5	1	2	9	5	5	1	2
incamera	1	1	1	9	10	1	1	1	11	10
anticip	1	3	3	7	8	1	3	3	7	8
wider	0	0	5	5	12	0	0	5	6	14
minimum	1	3	7	5	6	1	3	7	7	6
discuss	8	5	4	1	4	8	5	4	1	4
listen	11	3	3	3	2	11	3	3	3	2
novemb	5	3	3	2	9	5	3	3	2	9
summari	3	6	7	2	4	3	6	7	2	4
d200	4	4	4	2	8	6	6	7	2	10
boat	4	4	3	5	6	4	4	3	7	7
buffer	6	2	2	2	10	7	2	3	3	11
brilliant	2	2	2	2	14	2	2	2	2	14
gorgeous	2	2	4	5	9	2	2	4	5	9
sceneri	2	1	5	7	7	3	1	5	8	7
stolen	7	4	4	3	4	7	5	4	3	4
notch	0	0	8	3	11	0	0	8	3	12
4gb	0	2	5	6	8	0	2	6	7	8
till	8	3	3	3	5	9	4	4	3	7
guarante	8	7	4	1	2	8	8	5	1	2
ratio	0	2	3	8	9	0	2	3	8	11
daili	4	2	1	9	6	5	2	1	10	6
stereo	0	3	6	3	10	0	5	8	3	10
fstop	1	3	4	4	10	1	4	5	4	14
pant	3	1	4	6	8	4	1	4	6	9
wideangl	0	2	6	7	7	0	3	7	10	9
garbag	15	4	1	0	2	22	5	1	0	2
countri	4	3	3	6	6	4	3	3	9	6
darn	2	2	10	3	5	2	3	12	3	5
hardwar	5	2	8	3	4	6	3	9	3	4
sacrific	1	2	4	7	8	1	2	4	7	8
20mm	0	1	3	3	15	0	1	3	4	30
road	1	5	4	6	5	1	8	4	6	6
ensur	3	7	3	3	7	3	7	3	3	7
trick	4	3	4	4	8	5	3	4	5	13
disk	4	4	2	8	5	5	5	2	11	5
vision	3	3	8	4	5	4	5	9	6	6
camara	3	2	2	5	3	5	2	3	5	3
hype	4	4	10	1	4	4	4	12	1	5
candid	2	5	4	5	7	2	6	4	6	8
defin	1	1	5	4	12	1	1	5	4	12
zs20	0	15	7	1	0	0	28	15	1	0
explan	5	7	4	6	1	5	7	4	6	1
pleasant	1	0	6	6	10	1	0	6	8	10
bounc	2	2	3	2	14	3	6	3	3	18
maker	3	4	4	7	5	3	4	4	7	5
ocean	6	7	5	4	1	8	7	5	4	1
categori	3	3	4	8	5	4	3	4	8	5
august	10	6	0	5	2	11	6	0	5	2
wx1	1	1	3	9	9	1	4	8	22	23
winner	2	2	4	6	9	2	2	4	6	13
uniqu	3	0	5	5	10	3	0	6	5	10
justifi	6	1	7	6	3	6	1	7	6	3
polici	12	6	1	2	2	13	6	1	2	2
surviv	6	4	5	2	6	7	4	5	2	6
depart	11	7	1	1	3	15	8	1	1	3
vertic	2	8	5	2	6	2	10	5	3	6
bang	1	3	4	3	13	1	4	4	3	13
ultim	2	4	8	5	5	2	4	8	5	5
halfway	1	8	6	5	4	1	9	6	5	5
configur	0	3	8	5	8	0	4	8	5	10
reflect	3	5	5	4	7	3	5	5	4	8
afraid	3	7	4	3	7	3	7	4	3	7
driver	6	6	4	5	3	13	9	4	5	3
smartphon	4	5	7	5	3	4	5	12	9	4
sister	2	6	2	5	9	2	7	3	5	9
funni	4	6	2	6	6	4	6	2	6	6
explor	1	0	7	9	7	1	0	7	9	7
estim	13	3	2	4	2	14	3	2	4	2
narrow	0	3	6	7	8	0	4	6	8	8
win	3	2	5	8	6	3	8	6	9	6
instanc	4	3	2	6	9	4	3	2	6	11
expert	1	4	6	2	11	1	4	6	2	11
underexpos	1	4	6	8	5	1	6	8	8	7
meant	2	3	5	6	8	2	3	5	7	8
holiday	7	4	5	1	7	7	6	5	2	7
logic	3	1	2	6	12	3	1	3	7	13
brighter	1	4	6	4	9	1	4	6	4	10
peak	0	0	2	7	15	0	0	2	11	23
hood	3	2	3	7	9	4	2	4	15	11
greater	3	0	6	5	10	3	0	6	6	11
moder	1	4	8	4	7	2	4	11	4	7
written	4	1	5	6	8	4	2	5	6	8
f18	0	0	4	5	16	0	0	7	7	19
thick	5	4	4	6	6	5	4	4	10	6
egg	6	2	2	3	12	6	3	3	3	14
iq	2	2	8	2	11	3	5	13	6	16
reput	8	3	2	5	7	9	3	2	5	7
abus	8	6	6	3	2	8	6	6	4	2
28mm	2	2	5	5	11	2	2	6	6	11
vari	3	1	9	5	7	3	1	10	5	7
lead	4	3	7	5	6	4	3	7	5	6
greatest	2	2	4	7	10	2	2	4	7	10
advic	5	4	6	5	5	5	5	6	5	5
shortcom	2	3	8	8	4	2	3	10	8	5
settl	5	6	1	6	7	5	6	1	6	7
skill	2	4	1	8	10	2	4	1	8	10
clearer	3	5	7	3	7	4	5	9	3	8
