Topic 0(0.038):	camera(0.073)	great(0.062)	fast(0.038)	app(0.034)	wifi(0.031)	good(0.028)	NUM(0.027)	awesom(0.027)	respons(0.024)	flash(0.021)	work(0.021)	screen(0.020)	pictur(0.020)	buy(0.018)	video(0.017)	faster(0.015)	light(0.013)	qualiti(0.013)	internet(0.013)	decent(0.012)	big(0.011)	speed(0.011)	minut(0.011)	save(0.011)	photo(0.011)	newegg(0.010)	love(0.010)	lag(0.009)	time(0.009)	amaz(0.009)	interfac(0.009)	mode(0.008)	data(0.008)	galaxi(0.008)	allow(0.008)	thing(0.008)	bright(0.007)	call(0.007)	googl(0.006)	item(0.006)	messag(0.006)	thought(0.006)	hardwar(0.006)	freez(0.006)	second(0.006)	load(0.006)	nexus(0.006)	send(0.006)	memori(0.005)	better(0.005)	
Topic 1(0.044):	NUM(0.052)	price(0.043)	work(0.038)	sim(0.037)	iphon(0.030)	att(0.030)	unlock(0.027)	samsung(0.024)	tmobil(0.023)	data(0.023)	contract(0.022)	smart(0.021)	card(0.020)	network(0.019)	better(0.018)	plan(0.017)	buy(0.016)	function(0.015)	best(0.013)	find(0.011)	app(0.010)	cheap(0.009)	galaxi(0.009)	gsm(0.009)	3g(0.009)	advertis(0.009)	recept(0.009)	featur(0.009)	problem(0.008)	great(0.008)	easili(0.008)	fast(0.008)	good(0.008)	qualiti(0.008)	save(0.007)	brand(0.007)	mobil(0.007)	smartphon(0.007)	disappoint(0.007)	order(0.007)	compar(0.007)	s4(0.007)	dual(0.007)	talk(0.007)	month(0.007)	excel(0.006)	easi(0.006)	wifi(0.006)	faster(0.006)	blackberri(0.006)	
Topic 2(0.052):	nice(0.068)	work(0.055)	unlock(0.032)	feel(0.026)	issu(0.025)	android(0.024)	beauti(0.023)	screen(0.022)	dual(0.022)	speaker(0.022)	best(0.021)	sim(0.020)	durabl(0.020)	smartphon(0.019)	NUM(0.019)	display(0.019)	call(0.018)	fast(0.016)	solid(0.015)	system(0.014)	cheap(0.013)	plastic(0.013)	loud(0.013)	fine(0.013)	impress(0.012)	devic(0.012)	coupl(0.012)	htc(0.011)	glass(0.011)	absolut(0.011)	softwar(0.011)	pretti(0.010)	clear(0.009)	love(0.009)	galaxi(0.009)	scratch(0.009)	basic(0.009)	featur(0.009)	audio(0.009)	sound(0.008)	expect(0.008)	day(0.008)	time(0.008)	samsung(0.007)	capabl(0.007)	year(0.007)	excel(0.007)	easi(0.007)	drop(0.007)	mobil(0.007)	
Topic 3(0.039):	NUM(0.120)	batteri(0.059)	great(0.049)	day(0.047)	life(0.043)	work(0.038)	charg(0.037)	good(0.024)	long(0.020)	lte(0.019)	fast(0.017)	month(0.016)	nice(0.014)	charger(0.014)	heavi(0.014)	light(0.011)	perfect(0.011)	week(0.011)	power(0.011)	port(0.011)	pictur(0.011)	solid(0.010)	feel(0.010)	reason(0.009)	tmobil(0.009)	design(0.009)	camera(0.008)	easi(0.008)	window(0.008)	qualiti(0.008)	time(0.007)	cpu(0.007)	display(0.007)	white(0.006)	cabl(0.006)	hand(0.006)	respons(0.006)	htc(0.006)	amaz(0.005)	extrem(0.005)	thing(0.005)	full(0.005)	lag(0.005)	set(0.005)	usb(0.005)	receiv(0.005)	3g(0.005)	order(0.005)	half(0.005)	close(0.005)	
Topic 4(0.036):	NUM(0.099)	screen(0.065)	sd(0.029)	fast(0.028)	great(0.023)	cheap(0.022)	card(0.022)	slot(0.018)	memori(0.018)	work(0.018)	android(0.016)	cover(0.016)	storag(0.016)	lot(0.016)	nice(0.015)	micro(0.014)	gb(0.014)	4g(0.014)	read(0.014)	case(0.013)	camera(0.013)	price(0.013)	sim(0.013)	lte(0.013)	batteri(0.009)	better(0.009)	speed(0.009)	amaz(0.009)	hour(0.009)	small(0.009)	big(0.008)	pretti(0.008)	good(0.008)	allow(0.007)	remov(0.007)	lock(0.007)	tmobil(0.007)	support(0.007)	bought(0.007)	bright(0.007)	touch(0.006)	size(0.006)	resolut(0.005)	fit(0.005)	wifi(0.005)	money(0.005)	plan(0.005)	extra(0.005)	con(0.005)	appear(0.005)	
Topic 5(0.029):	great(0.054)	set(0.032)	call(0.031)	batteri(0.030)	video(0.028)	time(0.026)	work(0.026)	NUM(0.024)	wifi(0.019)	featur(0.019)	day(0.019)	email(0.018)	lot(0.018)	play(0.016)	text(0.014)	web(0.014)	servic(0.014)	sim(0.014)	easi(0.013)	intern(0.013)	excel(0.013)	love(0.012)	purchas(0.012)	fast(0.012)	game(0.012)	qualiti(0.011)	easili(0.010)	heavi(0.009)	good(0.009)	year(0.009)	music(0.009)	help(0.009)	bit(0.009)	receiv(0.009)	charg(0.008)	app(0.008)	data(0.007)	pretti(0.007)	drop(0.007)	plan(0.007)	unlock(0.007)	storag(0.007)	camera(0.007)	screen(0.007)	voic(0.007)	turn(0.007)	custom(0.007)	ram(0.007)	gps(0.007)	seller(0.007)	
Topic 6(0.033):	NUM(0.137)	camera(0.048)	love(0.031)	great(0.029)	screen(0.027)	processor(0.024)	fast(0.021)	nice(0.021)	front(0.020)	htc(0.019)	iphon(0.017)	featur(0.016)	good(0.015)	core(0.014)	definit(0.012)	face(0.012)	friend(0.012)	clear(0.012)	user(0.011)	recommend(0.011)	work(0.011)	ram(0.011)	number(0.011)	mode(0.011)	speaker(0.011)	quad(0.011)	amaz(0.010)	list(0.009)	compar(0.009)	full(0.009)	android(0.009)	loud(0.009)	batteri(0.009)	beauti(0.007)	day(0.007)	read(0.007)	life(0.007)	hardwar(0.007)	gb(0.007)	warranti(0.007)	hour(0.007)	hold(0.007)	mine(0.007)	better(0.007)	year(0.007)	charg(0.007)	googl(0.006)	product(0.006)	video(0.006)	size(0.005)	
Topic 7(0.039):	NUM(0.084)	android(0.043)	app(0.036)	review(0.032)	appl(0.026)	samsung(0.026)	newegg(0.025)	version(0.023)	devic(0.022)	time(0.021)	upgrad(0.019)	best(0.017)	design(0.016)	root(0.014)	iphon(0.014)	product(0.014)	screen(0.014)	market(0.012)	latest(0.012)	googl(0.012)	galaxi(0.011)	model(0.011)	os(0.011)	person(0.011)	money(0.011)	great(0.011)	direct(0.010)	option(0.010)	custom(0.010)	love(0.010)	store(0.010)	bought(0.010)	faster(0.009)	card(0.009)	interfac(0.009)	compani(0.009)	buy(0.008)	unlock(0.008)	problem(0.007)	beauti(0.007)	updat(0.007)	sd(0.007)	stock(0.007)	move(0.007)	hope(0.007)	worth(0.007)	support(0.007)	big(0.007)	access(0.007)	price(0.007)	
Topic 8(0.033):	NUM(0.075)	great(0.042)	play(0.041)	servic(0.035)	work(0.034)	easi(0.034)	googl(0.030)	smooth(0.024)	fast(0.023)	mobil(0.019)	camera(0.018)	screen(0.015)	batteri(0.015)	os(0.015)	att(0.014)	locat(0.014)	carrier(0.014)	high(0.014)	set(0.012)	issu(0.012)	fantast(0.012)	window(0.012)	perform(0.012)	ram(0.012)	game(0.011)	price(0.011)	video(0.010)	friend(0.010)	core(0.010)	radio(0.010)	quad(0.008)	tmobil(0.008)	compat(0.008)	tech(0.008)	egg(0.008)	store(0.008)	memori(0.007)	display(0.007)	easili(0.007)	sound(0.007)	respons(0.006)	life(0.006)	upgrad(0.006)	3g(0.006)	microsd(0.006)	rom(0.006)	glass(0.006)	design(0.006)	custom(0.006)	music(0.006)	
Topic 9(0.038):	app(0.060)	batteri(0.059)	android(0.054)	life(0.032)	good(0.026)	os(0.023)	download(0.021)	root(0.021)	updat(0.020)	smooth(0.019)	NUM(0.018)	devic(0.015)	user(0.015)	easi(0.014)	bloatwar(0.014)	wifi(0.014)	game(0.013)	instal(0.013)	featur(0.013)	softwar(0.012)	problem(0.012)	radio(0.011)	power(0.011)	fast(0.011)	amaz(0.011)	help(0.011)	price(0.010)	processor(0.009)	system(0.009)	remov(0.009)	pretti(0.009)	averag(0.008)	iphon(0.008)	excel(0.008)	screen(0.008)	day(0.008)	issu(0.007)	function(0.007)	blackberri(0.007)	decent(0.007)	samsung(0.007)	replac(0.007)	gps(0.007)	tmobil(0.007)	extra(0.007)	low(0.007)	unlock(0.006)	lot(0.006)	support(0.006)	charg(0.005)	
Topic 10(0.076):	screen(0.081)	good(0.076)	great(0.052)	qualiti(0.037)	price(0.035)	batteri(0.031)	nice(0.026)	size(0.026)	pretti(0.025)	feel(0.024)	big(0.024)	fast(0.023)	NUM(0.022)	life(0.021)	display(0.021)	camera(0.020)	build(0.020)	hand(0.018)	resolut(0.017)	bright(0.016)	excel(0.016)	respons(0.014)	color(0.012)	decent(0.011)	sound(0.010)	easi(0.010)	clear(0.010)	spec(0.009)	fit(0.009)	pocket(0.009)	sim(0.008)	slot(0.008)	solid(0.008)	touch(0.007)	speaker(0.007)	cheap(0.007)	perfect(0.007)	featur(0.006)	sd(0.006)	top(0.006)	weight(0.006)	perform(0.006)	beauti(0.005)	problem(0.005)	loud(0.005)	awesom(0.005)	dual(0.005)	model(0.005)	light(0.005)	small(0.005)	
