Topic 0(0.042):	set(0.030)	movi(0.029)	pictur(0.028)	watch(0.027)	3d(0.027)	game(0.020)	color(0.019)	dark(0.015)	screen(0.014)	black(0.012)	good(0.012)	amaz(0.010)	bright(0.010)	mode(0.010)	qualiti(0.009)	great(0.008)	sport(0.008)	turn(0.008)	imag(0.007)	scene(0.007)	play(0.007)	move(0.007)	notic(0.007)	room(0.007)	motion(0.006)	thing(0.006)	recommend(0.006)	view(0.006)	featur(0.006)	excel(0.006)	time(0.006)	better(0.006)	adjust(0.006)	video(0.006)	perfect(0.006)	bit(0.005)	cloud(0.005)	rate(0.005)	definit(0.005)	best(0.005)	samsung(0.005)	level(0.005)	fast(0.005)	bluray(0.005)	high(0.005)	hd(0.005)	light(0.005)	blur(0.004)	display(0.004)	refresh(0.004)	
Topic 1(0.052):	samsung(0.036)	plasma(0.034)	lcd(0.021)	price(0.019)	pictur(0.019)	led(0.018)	better(0.017)	screen(0.015)	panel(0.013)	model(0.013)	purchas(0.012)	qualiti(0.012)	compar(0.012)	good(0.011)	store(0.011)	bought(0.010)	panason(0.010)	best(0.010)	year(0.010)	black(0.010)	vizio(0.009)	set(0.009)	buy(0.009)	tvs(0.009)	hdtv(0.009)	inch(0.008)	color(0.008)	size(0.008)	month(0.008)	stand(0.008)	time(0.007)	televis(0.007)	great(0.007)	high(0.007)	sharp(0.007)	love(0.007)	issu(0.006)	brand(0.006)	manufactur(0.006)	1080p(0.006)	review(0.006)	thing(0.006)	seri(0.006)	soni(0.006)	decid(0.006)	version(0.005)	room(0.005)	big(0.005)	replac(0.004)	view(0.004)	
Topic 2(0.085):	pictur(0.073)	great(0.070)	price(0.035)	nice(0.028)	color(0.026)	good(0.024)	qualiti(0.023)	black(0.018)	thin(0.014)	bright(0.013)	light(0.012)	amaz(0.012)	cheap(0.011)	screen(0.010)	clear(0.010)	awesom(0.009)	sharp(0.009)	led(0.009)	design(0.008)	beauti(0.008)	decent(0.008)	contrast(0.008)	crisp(0.007)	super(0.007)	product(0.007)	lot(0.007)	4k(0.007)	lcd(0.007)	deep(0.006)	display(0.006)	featur(0.006)	ship(0.006)	bezel(0.006)	120hz(0.006)	fast(0.005)	hdmi(0.005)	game(0.005)	sound(0.005)	best(0.005)	stand(0.005)	lg(0.005)	sale(0.005)	box(0.005)	deal(0.005)	incred(0.004)	remot(0.004)	resolut(0.004)	extrem(0.004)	rich(0.004)	app(0.004)	
Topic 3(0.062):	hdmi(0.034)	input(0.032)	connect(0.025)	pictur(0.025)	set(0.023)	great(0.022)	port(0.018)	easi(0.016)	video(0.016)	good(0.013)	room(0.012)	cabl(0.012)	work(0.011)	sound(0.011)	audio(0.011)	game(0.011)	play(0.011)	usb(0.010)	monitor(0.010)	pc(0.010)	lot(0.010)	option(0.009)	compon(0.008)	nice(0.008)	perfect(0.008)	plenti(0.008)	featur(0.008)	devic(0.007)	watch(0.007)	output(0.007)	dvd(0.007)	speaker(0.007)	vga(0.006)	hook(0.006)	movi(0.006)	screen(0.006)	light(0.006)	color(0.006)	player(0.006)	box(0.006)	small(0.005)	media(0.005)	comput(0.005)	view(0.005)	drive(0.005)	setup(0.005)	plug(0.005)	size(0.004)	qualiti(0.004)	low(0.004)	
Topic 4(0.085):	pictur(0.090)	great(0.059)	qualiti(0.045)	sound(0.042)	good(0.035)	set(0.030)	hd(0.027)	cabl(0.014)	excel(0.013)	easi(0.013)	high(0.012)	better(0.012)	work(0.012)	speaker(0.012)	channel(0.011)	box(0.010)	nice(0.009)	amaz(0.009)	recommend(0.008)	price(0.007)	screen(0.007)	fine(0.006)	signal(0.006)	antenna(0.006)	mount(0.006)	plasma(0.006)	volum(0.006)	clear(0.006)	setup(0.006)	beauti(0.006)	samsung(0.006)	color(0.006)	pixel(0.006)	expect(0.005)	low(0.005)	wall(0.005)	televis(0.005)	dead(0.005)	pretti(0.004)	dvd(0.004)	hook(0.004)	system(0.004)	hdtv(0.004)	light(0.004)	watch(0.004)	awesom(0.004)	panason(0.004)	digit(0.004)	love(0.004)	standard(0.004)	
Topic 5(0.064):	set(0.025)	buy(0.023)	samsung(0.020)	great(0.019)	panason(0.018)	review(0.018)	pictur(0.018)	purchas(0.017)	price(0.016)	plasma(0.016)	monitor(0.015)	best(0.014)	amazon(0.013)	qualiti(0.013)	good(0.013)	bought(0.011)	lg(0.010)	model(0.010)	soni(0.010)	featur(0.009)	money(0.009)	smart(0.009)	product(0.008)	work(0.008)	read(0.008)	hdtv(0.008)	comput(0.007)	size(0.007)	lot(0.007)	year(0.007)	wifi(0.006)	recommend(0.006)	perfect(0.006)	inch(0.006)	pc(0.006)	excel(0.006)	watch(0.006)	televis(0.006)	problem(0.005)	tvs(0.005)	love(0.005)	internet(0.005)	perform(0.005)	time(0.005)	connect(0.005)	fit(0.005)	room(0.005)	replac(0.005)	game(0.005)	compar(0.005)	
Topic 6(0.067):	pictur(0.042)	price(0.039)	good(0.036)	great(0.034)	qualiti(0.031)	remot(0.026)	easi(0.026)	sound(0.026)	featur(0.016)	nice(0.013)	setup(0.013)	3d(0.012)	menu(0.011)	imag(0.011)	control(0.011)	pretti(0.009)	decent(0.009)	set(0.009)	work(0.008)	smart(0.008)	clear(0.008)	big(0.008)	size(0.008)	button(0.007)	find(0.007)	screen(0.007)	color(0.007)	excel(0.007)	thin(0.006)	light(0.006)	lot(0.006)	system(0.006)	speaker(0.006)	input(0.006)	better(0.006)	expect(0.006)	option(0.005)	buy(0.005)	thing(0.005)	includ(0.005)	app(0.005)	glass(0.005)	user(0.005)	deal(0.005)	interfac(0.005)	adjust(0.004)	simpl(0.004)	function(0.004)	navig(0.004)	unit(0.004)	
Topic 7(0.065):	great(0.052)	work(0.032)	price(0.028)	newegg(0.021)	bought(0.020)	day(0.019)	ship(0.018)	game(0.017)	good(0.017)	happi(0.013)	problem(0.013)	play(0.013)	order(0.013)	free(0.012)	month(0.011)	connect(0.010)	purchas(0.009)	pictur(0.009)	buy(0.009)	arriv(0.009)	hdmi(0.009)	amazon(0.008)	deliveri(0.008)	time(0.008)	featur(0.008)	monitor(0.008)	better(0.008)	cabl(0.007)	receiv(0.007)	money(0.006)	hook(0.006)	player(0.006)	deal(0.006)	save(0.006)	ago(0.006)	comput(0.006)	replac(0.006)	video(0.006)	week(0.005)	sound(0.005)	ray(0.005)	love(0.005)	pc(0.005)	wait(0.005)	awesom(0.005)	internet(0.005)	bluray(0.005)	year(0.005)	servic(0.005)	hdtv(0.005)	
Topic 8(0.077):	app(0.053)	work(0.029)	connect(0.022)	watch(0.017)	remot(0.016)	netflix(0.015)	internet(0.015)	updat(0.014)	wireless(0.013)	video(0.013)	great(0.011)	amazon(0.011)	network(0.011)	samsung(0.010)	good(0.010)	issu(0.009)	time(0.009)	freez(0.009)	download(0.009)	wifi(0.008)	smart(0.008)	program(0.008)	cabl(0.008)	xfiniti(0.008)	adapt(0.008)	kindl(0.007)	problem(0.007)	stream(0.006)	movi(0.006)	panason(0.006)	youtub(0.006)	includ(0.006)	firmwar(0.006)	featur(0.006)	support(0.006)	lot(0.006)	play(0.005)	set(0.005)	find(0.005)	purchas(0.005)	start(0.005)	devic(0.005)	version(0.005)	router(0.005)	slow(0.005)	access(0.005)	function(0.005)	interfac(0.005)	box(0.004)	load(0.004)	
Topic 9(0.064):	hdmi(0.033)	input(0.031)	audio(0.024)	sound(0.021)	cabl(0.018)	time(0.015)	channel(0.015)	connect(0.014)	port(0.012)	pc(0.012)	hook(0.012)	problem(0.011)	screen(0.011)	speaker(0.011)	receiv(0.010)	chang(0.010)	game(0.010)	output(0.010)	remot(0.009)	watch(0.009)	set(0.009)	display(0.009)	box(0.009)	button(0.009)	work(0.009)	comput(0.008)	sourc(0.008)	lag(0.008)	switch(0.007)	dvd(0.007)	video(0.007)	turn(0.007)	monitor(0.007)	system(0.007)	compon(0.007)	digit(0.006)	con(0.006)	second(0.006)	play(0.006)	optic(0.006)	pictur(0.006)	mode(0.006)	signal(0.006)	control(0.005)	plug(0.005)	issu(0.005)	resolut(0.005)	1080p(0.005)	menu(0.005)	player(0.005)	
Topic 10(0.065):	pictur(0.032)	set(0.029)	sound(0.024)	screen(0.023)	color(0.019)	qualiti(0.018)	view(0.016)	watch(0.014)	great(0.014)	good(0.014)	angl(0.013)	turn(0.013)	speaker(0.013)	light(0.012)	black(0.012)	burn(0.009)	dark(0.009)	bright(0.009)	nois(0.009)	bad(0.008)	side(0.008)	issu(0.008)	notic(0.008)	time(0.008)	adjust(0.007)	chang(0.007)	plasma(0.007)	buzz(0.007)	contrast(0.006)	bit(0.006)	led(0.006)	channel(0.006)	pixel(0.006)	room(0.006)	imag(0.006)	mode(0.006)	scene(0.006)	better(0.005)	lcd(0.005)	power(0.005)	level(0.005)	audio(0.005)	thing(0.005)	backlight(0.005)	play(0.005)	problem(0.005)	hd(0.005)	white(0.004)	volum(0.004)	movi(0.004)	
