Topic 0(0.000):	samsung(0.034)	buy(0.019)	plasma(0.019)	purchas(0.018)	price(0.017)	review(0.015)	best(0.015)	lcd(0.015)	qualiti(0.015)	soni(0.015)	better(0.013)	led(0.013)	bought(0.013)	model(0.013)	great(0.013)	year(0.012)	hdtv(0.012)	good(0.011)	set(0.011)	panason(0.010)	screen(0.009)	inch(0.008)	lg(0.008)	store(0.007)	tvs(0.007)	time(0.007)	decid(0.007)	amazon(0.007)	love(0.007)	televis(0.006)	compar(0.006)	money(0.006)	month(0.006)	read(0.006)	replac(0.006)	smart(0.006)	1080p(0.006)	brand(0.006)	room(0.006)	vizio(0.006)	return(0.005)	product(0.005)	lot(0.005)	recommend(0.004)	size(0.004)	seri(0.004)	thing(0.004)	worth(0.004)	ago(0.004)	disappoint(0.004)	
Topic 1(0.000):	smart(0.036)	connect(0.026)	work(0.024)	netflix(0.024)	app(0.023)	samsung(0.019)	updat(0.018)	time(0.017)	internet(0.015)	problem(0.012)	wifi(0.010)	hub(0.010)	issu(0.010)	wireless(0.010)	network(0.010)	softwar(0.010)	amazon(0.010)	set(0.009)	stream(0.008)	watch(0.008)	buy(0.008)	featur(0.007)	turn(0.007)	roku(0.007)	great(0.007)	devic(0.006)	good(0.006)	thing(0.006)	fine(0.006)	start(0.005)	slow(0.005)	minut(0.005)	router(0.005)	bought(0.005)	video(0.005)	cabl(0.005)	servic(0.005)	function(0.004)	server(0.004)	day(0.004)	screen(0.004)	box(0.004)	load(0.004)	hulu(0.004)	error(0.004)	better(0.004)	support(0.004)	remot(0.004)	hour(0.004)	review(0.004)	
Topic 2(0.000):	app(0.078)	work(0.040)	watch(0.040)	kindl(0.031)	great(0.022)	xfiniti(0.021)	fire(0.019)	good(0.018)	download(0.017)	time(0.016)	comcast(0.014)	movi(0.014)	love(0.009)	play(0.009)	program(0.009)	freez(0.009)	hd(0.008)	live(0.008)	channel(0.008)	cabl(0.007)	buffer(0.007)	lot(0.007)	commerci(0.006)	nice(0.006)	player(0.006)	problem(0.006)	video(0.006)	episod(0.005)	star(0.005)	demand(0.005)	issu(0.005)	stream(0.005)	devic(0.005)	netflix(0.005)	favorit(0.005)	volum(0.005)	network(0.005)	disappoint(0.005)	load(0.005)	free(0.005)	better(0.005)	pay(0.005)	start(0.005)	fine(0.004)	find(0.004)	view(0.004)	servic(0.004)	updat(0.004)	content(0.004)	account(0.004)	
Topic 3(0.000):	sound(0.052)	speaker(0.030)	great(0.018)	good(0.016)	set(0.016)	room(0.015)	qualiti(0.014)	mount(0.013)	system(0.012)	wall(0.011)	audio(0.011)	nice(0.010)	screen(0.009)	stand(0.009)	volum(0.008)	light(0.007)	easi(0.007)	small(0.007)	view(0.007)	better(0.007)	size(0.007)	remot(0.006)	input(0.006)	samsung(0.006)	surround(0.006)	thin(0.006)	work(0.006)	connect(0.005)	problem(0.005)	extern(0.005)	side(0.005)	hdmi(0.005)	live(0.005)	lot(0.005)	control(0.004)	perfect(0.004)	port(0.004)	unit(0.004)	adjust(0.004)	buy(0.004)	decent(0.004)	theater(0.004)	low(0.004)	hear(0.004)	level(0.004)	issu(0.004)	turn(0.004)	cabl(0.004)	built(0.004)	angl(0.004)	
Topic 4(0.000):	app(0.036)	video(0.022)	samsung(0.019)	smart(0.019)	work(0.015)	netflix(0.015)	remot(0.014)	amazon(0.014)	web(0.013)	featur(0.012)	browser(0.012)	stream(0.012)	keyboard(0.012)	play(0.011)	youtub(0.011)	internet(0.011)	support(0.009)	watch(0.008)	connect(0.008)	movi(0.008)	great(0.008)	usb(0.007)	good(0.007)	wireless(0.007)	set(0.006)	control(0.006)	comput(0.006)	access(0.005)	network(0.005)	slow(0.005)	updat(0.005)	player(0.005)	time(0.004)	buy(0.004)	brows(0.004)	file(0.004)	search(0.004)	screen(0.004)	flash(0.004)	model(0.004)	wifi(0.004)	devic(0.004)	prime(0.004)	find(0.004)	type(0.004)	hulu(0.004)	download(0.004)	instant(0.004)	includ(0.004)	content(0.004)	
Topic 5(0.000):	set(0.040)	color(0.030)	good(0.014)	game(0.012)	bright(0.012)	black(0.011)	screen(0.011)	adjust(0.011)	great(0.010)	mode(0.010)	monitor(0.009)	qualiti(0.009)	rate(0.008)	imag(0.008)	contrast(0.008)	clear(0.008)	refresh(0.008)	1080p(0.007)	display(0.007)	sharp(0.007)	time(0.007)	input(0.007)	120hz(0.006)	resolut(0.006)	better(0.006)	movi(0.006)	60hz(0.006)	view(0.006)	watch(0.006)	hd(0.005)	motion(0.005)	nice(0.005)	play(0.005)	hdmi(0.005)	video(0.005)	best(0.005)	high(0.005)	notic(0.005)	lag(0.005)	chang(0.005)	bit(0.005)	lot(0.005)	pc(0.005)	calibr(0.004)	blur(0.004)	turn(0.004)	menu(0.004)	crisp(0.004)	excel(0.004)	work(0.004)	
Topic 6(0.000):	3d(0.046)	movi(0.027)	watch(0.025)	set(0.021)	great(0.021)	game(0.017)	qualiti(0.012)	glass(0.011)	good(0.011)	hd(0.010)	amaz(0.010)	bluray(0.009)	sport(0.009)	motion(0.008)	featur(0.008)	turn(0.007)	play(0.007)	work(0.007)	video(0.007)	player(0.006)	thing(0.006)	awesom(0.006)	time(0.006)	samsung(0.006)	imag(0.006)	ray(0.006)	better(0.006)	screen(0.006)	notic(0.005)	view(0.005)	soap(0.005)	love(0.005)	review(0.005)	opera(0.005)	2d(0.005)	content(0.005)	color(0.005)	mode(0.005)	best(0.005)	issu(0.005)	fast(0.004)	experi(0.004)	peopl(0.004)	dvd(0.004)	clear(0.004)	film(0.004)	calibr(0.004)	problem(0.004)	buy(0.003)	high(0.003)	
Topic 7(0.000):	great(0.075)	good(0.051)	price(0.045)	qualiti(0.038)	sound(0.030)	set(0.021)	easi(0.017)	excel(0.014)	product(0.014)	featur(0.014)	work(0.013)	nice(0.013)	smart(0.012)	happi(0.012)	love(0.011)	recommend(0.011)	purchas(0.011)	bought(0.009)	buy(0.008)	review(0.008)	awesom(0.008)	high(0.008)	expect(0.007)	better(0.007)	amazon(0.007)	deal(0.007)	setup(0.006)	amaz(0.006)	best(0.006)	samsung(0.006)	perfect(0.006)	pretti(0.006)	month(0.005)	remot(0.005)	televis(0.005)	size(0.005)	color(0.005)	lot(0.005)	money(0.004)	ship(0.004)	day(0.004)	clear(0.004)	arriv(0.004)	bad(0.004)	satisfi(0.004)	star(0.004)	time(0.004)	beauti(0.004)	decent(0.004)	deliveri(0.004)	
Topic 8(0.000):	remot(0.069)	button(0.027)	channel(0.019)	work(0.019)	control(0.019)	turn(0.014)	set(0.014)	time(0.013)	power(0.011)	chang(0.009)	input(0.009)	screen(0.008)	volum(0.007)	menu(0.007)	featur(0.007)	sound(0.007)	easi(0.006)	thing(0.006)	manual(0.006)	press(0.006)	samsung(0.006)	box(0.006)	function(0.006)	program(0.005)	good(0.005)	select(0.005)	find(0.005)	touch(0.005)	second(0.005)	setup(0.005)	univers(0.005)	3d(0.005)	glass(0.005)	cabl(0.005)	guid(0.005)	app(0.005)	smart(0.004)	light(0.004)	great(0.004)	nice(0.004)	problem(0.004)	display(0.004)	click(0.004)	batteri(0.004)	includ(0.004)	switch(0.004)	annoy(0.003)	point(0.003)	devic(0.003)	hit(0.003)	
Topic 9(0.000):	stand(0.024)	qualiti(0.018)	samsung(0.016)	screen(0.015)	set(0.013)	screw(0.012)	great(0.012)	base(0.011)	good(0.011)	issu(0.010)	price(0.009)	lg(0.009)	panel(0.009)	model(0.009)	mount(0.009)	review(0.008)	wall(0.008)	product(0.007)	nice(0.006)	better(0.006)	purchas(0.006)	bad(0.006)	black(0.006)	problem(0.005)	soni(0.005)	defect(0.005)	light(0.005)	design(0.005)	vizio(0.005)	box(0.005)	cheap(0.005)	bit(0.005)	thin(0.005)	size(0.005)	tvs(0.005)	unit(0.005)	amazon(0.004)	panason(0.004)	read(0.004)	lcd(0.004)	led(0.004)	work(0.004)	small(0.004)	bezel(0.004)	buy(0.004)	compar(0.004)	year(0.004)	color(0.004)	expect(0.004)	replac(0.004)	
Topic 10(0.000):	screen(0.040)	set(0.020)	light(0.020)	black(0.019)	watch(0.018)	dark(0.016)	color(0.016)	bright(0.014)	notic(0.014)	view(0.011)	issu(0.011)	imag(0.011)	pixel(0.010)	scene(0.009)	turn(0.009)	side(0.009)	time(0.008)	great(0.008)	room(0.008)	plasma(0.008)	led(0.008)	white(0.008)	corner(0.007)	burn(0.007)	movi(0.007)	good(0.007)	bleed(0.007)	top(0.006)	edg(0.006)	backlight(0.006)	problem(0.006)	left(0.006)	bottom(0.006)	day(0.006)	angl(0.005)	qualiti(0.005)	bad(0.005)	dead(0.005)	cloud(0.005)	contrast(0.005)	mode(0.005)	game(0.005)	hour(0.005)	bar(0.004)	dim(0.004)	appear(0.004)	green(0.004)	lot(0.004)	chang(0.004)	vertic(0.004)	
