Topic 0(0.059):	sound(0.053)	pictur(0.032)	set(0.026)	nt(0.026)	good(0.024)	qualiti(0.024)	great(0.021)	speaker(0.019)	system(0.011)	game(0.011)	audio(0.010)	monitor(0.010)	stand(0.010)	mount(0.009)	nice(0.009)	color(0.009)	better(0.008)	easi(0.008)	wall(0.007)	remot(0.007)	clear(0.007)	price(0.007)	volum(0.006)	room(0.006)	video(0.006)	input(0.006)	adjust(0.006)	pc(0.006)	control(0.006)	light(0.006)	work(0.006)	problem(0.006)	unit(0.005)	lot(0.005)	excel(0.005)	decent(0.005)	surround(0.005)	screen(0.005)	recommend(0.005)	issu(0.005)	bad(0.005)	pretti(0.005)	fine(0.005)	play(0.005)	small(0.005)	watch(0.005)	turn(0.005)	hook(0.005)	view(0.005)	thing(0.005)	
Topic 1(0.046):	app(0.045)	smart(0.041)	samsung(0.033)	remot(0.023)	work(0.021)	nt(0.019)	netflix(0.018)	featur(0.017)	video(0.016)	great(0.013)	keyboard(0.013)	youtub(0.012)	amazon(0.012)	web(0.011)	stream(0.011)	slow(0.010)	support(0.010)	browser(0.010)	interfac(0.009)	buy(0.008)	play(0.008)	good(0.008)	movi(0.008)	internet(0.008)	better(0.007)	pictur(0.007)	watch(0.007)	time(0.007)	control(0.007)	access(0.006)	updat(0.006)	3d(0.006)	wireless(0.006)	issu(0.006)	connect(0.006)	user(0.006)	set(0.006)	softwar(0.006)	function(0.005)	easi(0.005)	comput(0.005)	search(0.005)	includ(0.005)	type(0.005)	qualiti(0.005)	screen(0.005)	problem(0.005)	lg(0.005)	hub(0.005)	bought(0.005)	
Topic 2(0.047):	screen(0.032)	pictur(0.029)	set(0.029)	color(0.024)	nt(0.022)	black(0.022)	light(0.021)	bright(0.018)	view(0.018)	watch(0.016)	dark(0.016)	room(0.014)	movi(0.013)	notic(0.012)	issu(0.011)	good(0.010)	great(0.010)	contrast(0.009)	led(0.009)	adjust(0.009)	panel(0.009)	mode(0.009)	samsung(0.008)	imag(0.008)	side(0.008)	angl(0.008)	3d(0.008)	level(0.007)	white(0.007)	better(0.007)	turn(0.007)	plasma(0.007)	scene(0.006)	calibr(0.006)	backlight(0.006)	corner(0.006)	qualiti(0.006)	problem(0.006)	glare(0.006)	lot(0.006)	time(0.006)	bad(0.005)	chang(0.005)	lcd(0.005)	model(0.005)	thing(0.005)	bit(0.005)	edg(0.005)	pixel(0.005)	display(0.005)	
Topic 3(0.114):	great(0.075)	pictur(0.066)	good(0.035)	price(0.035)	qualiti(0.027)	set(0.021)	love(0.018)	sound(0.018)	purchas(0.016)	samsung(0.016)	room(0.014)	buy(0.013)	easi(0.013)	bought(0.013)	size(0.013)	happi(0.012)	nice(0.012)	product(0.011)	excel(0.011)	perfect(0.011)	recommend(0.011)	best(0.010)	awesom(0.010)	nt(0.010)	amaz(0.009)	year(0.008)	lg(0.008)	screen(0.008)	bedroom(0.007)	better(0.007)	live(0.007)	high(0.007)	month(0.007)	beauti(0.007)	featur(0.007)	smart(0.006)	hdtv(0.006)	televis(0.006)	inch(0.006)	work(0.006)	expect(0.006)	3d(0.006)	ago(0.006)	deliveri(0.006)	fantast(0.005)	setup(0.005)	time(0.005)	week(0.005)	color(0.005)	lcd(0.005)	
Topic 4(0.058):	amazon(0.034)	review(0.029)	samsung(0.026)	nt(0.024)	purchas(0.019)	return(0.018)	buy(0.018)	time(0.016)	model(0.015)	problem(0.014)	price(0.014)	product(0.013)	work(0.013)	good(0.012)	read(0.012)	great(0.012)	bought(0.011)	set(0.010)	custom(0.010)	ship(0.010)	week(0.009)	servic(0.009)	day(0.009)	issu(0.008)	store(0.008)	call(0.008)	order(0.008)	deal(0.008)	support(0.007)	month(0.007)	year(0.007)	best(0.007)	help(0.006)	updat(0.006)	bad(0.006)	decid(0.006)	peopl(0.006)	hope(0.006)	unit(0.006)	pictur(0.005)	soni(0.005)	turn(0.005)	thing(0.005)	vizio(0.005)	happi(0.005)	remot(0.005)	free(0.005)	brand(0.005)	experi(0.005)	write(0.004)	
Topic 5(0.062):	pictur(0.041)	samsung(0.027)	set(0.024)	qualiti(0.023)	nt(0.019)	plasma(0.018)	hd(0.018)	lcd(0.015)	price(0.014)	soni(0.014)	best(0.014)	better(0.013)	good(0.013)	hdtv(0.012)	great(0.011)	buy(0.010)	led(0.010)	model(0.010)	year(0.009)	1080p(0.009)	compar(0.009)	watch(0.008)	review(0.008)	color(0.008)	televis(0.008)	channel(0.007)	cabl(0.007)	120hz(0.007)	tvs(0.007)	bought(0.006)	screen(0.006)	panason(0.006)	time(0.006)	purchas(0.006)	high(0.006)	rate(0.006)	dvd(0.006)	seri(0.005)	sharp(0.005)	movi(0.005)	lot(0.005)	display(0.005)	sd(0.005)	amaz(0.004)	thing(0.004)	store(0.004)	calibr(0.004)	imag(0.004)	brand(0.004)	standard(0.004)	
Topic 6(0.045):	good(0.048)	nt(0.034)	connect(0.028)	work(0.025)	pictur(0.024)	smart(0.021)	internet(0.020)	netflix(0.020)	featur(0.020)	great(0.019)	app(0.017)	time(0.017)	wireless(0.016)	stream(0.015)	watch(0.014)	qualiti(0.014)	money(0.012)	sound(0.011)	video(0.011)	price(0.011)	remot(0.011)	worth(0.010)	wifi(0.009)	buy(0.009)	nice(0.009)	cabl(0.008)	movi(0.008)	lot(0.008)	extra(0.007)	samsung(0.007)	problem(0.007)	network(0.007)	fine(0.007)	purchas(0.007)	servic(0.007)	bad(0.007)	spend(0.006)	amazon(0.006)	thing(0.006)	screen(0.006)	issu(0.006)	youtub(0.006)	experi(0.006)	set(0.005)	bought(0.005)	better(0.005)	excel(0.005)	access(0.005)	month(0.004)	hulu(0.004)	
Topic 7(0.046):	hdmi(0.029)	remot(0.028)	cabl(0.028)	nt(0.024)	connect(0.022)	input(0.020)	set(0.019)	work(0.015)	audio(0.015)	port(0.012)	sound(0.012)	channel(0.012)	control(0.012)	box(0.012)	chang(0.010)	video(0.010)	dvd(0.010)	button(0.009)	pictur(0.009)	player(0.009)	output(0.009)	usb(0.008)	compon(0.008)	turn(0.008)	digit(0.008)	speaker(0.008)	receiv(0.007)	watch(0.007)	easi(0.007)	samsung(0.007)	play(0.007)	time(0.007)	featur(0.007)	smart(0.006)	setup(0.006)	option(0.006)	signal(0.006)	problem(0.006)	plug(0.006)	sourc(0.006)	hook(0.005)	screen(0.005)	system(0.005)	issu(0.005)	volum(0.005)	devic(0.005)	good(0.005)	extern(0.005)	great(0.005)	thing(0.004)	
Topic 8(0.086):	samsung(0.050)	servic(0.030)	problem(0.026)	call(0.024)	nt(0.023)	repair(0.023)	warranti(0.021)	year(0.020)	custom(0.018)	month(0.017)	buy(0.017)	replac(0.017)	product(0.015)	issu(0.015)	work(0.013)	purchas(0.012)	day(0.012)	time(0.011)	support(0.011)	soni(0.010)	week(0.010)	lg(0.010)	set(0.009)	told(0.009)	screen(0.008)	power(0.007)	tech(0.007)	model(0.007)	send(0.007)	bought(0.006)	good(0.006)	start(0.006)	pictur(0.006)	amazon(0.006)	cost(0.006)	board(0.006)	help(0.006)	defect(0.006)	return(0.006)	turn(0.006)	contact(0.005)	great(0.005)	number(0.005)	bad(0.005)	hour(0.005)	wait(0.005)	televis(0.005)	qualiti(0.005)	panel(0.005)	compani(0.004)	
Topic 9(0.051):	screen(0.032)	channel(0.030)	pictur(0.025)	set(0.023)	remot(0.022)	nt(0.021)	turn(0.021)	cabl(0.014)	button(0.014)	watch(0.013)	time(0.012)	work(0.010)	box(0.010)	sound(0.010)	color(0.009)	problem(0.009)	chang(0.008)	control(0.008)	notic(0.008)	imag(0.008)	hd(0.007)	light(0.007)	black(0.007)	power(0.007)	program(0.007)	pixel(0.007)	second(0.006)	good(0.006)	display(0.006)	start(0.006)	bright(0.006)	input(0.006)	great(0.006)	buzz(0.006)	scene(0.005)	thing(0.005)	day(0.005)	volum(0.005)	white(0.005)	annoy(0.005)	issu(0.005)	mode(0.005)	menu(0.005)	adjust(0.005)	week(0.005)	movi(0.005)	select(0.005)	featur(0.005)	game(0.005)	dark(0.004)	
Topic 10(0.051):	app(0.070)	video(0.038)	netflix(0.034)	watch(0.033)	nt(0.031)	play(0.029)	time(0.027)	work(0.025)	amazon(0.023)	youtub(0.018)	stream(0.017)	movi(0.015)	buffer(0.014)	start(0.012)	problem(0.011)	commerci(0.011)	prime(0.011)	great(0.010)	load(0.010)	issu(0.010)	freez(0.009)	good(0.009)	minut(0.009)	download(0.008)	connect(0.008)	hulu(0.008)	thing(0.008)	slow(0.007)	samsung(0.007)	second(0.007)	error(0.007)	internet(0.006)	fine(0.006)	smart(0.006)	browser(0.006)	pictur(0.006)	lot(0.005)	comput(0.005)	televis(0.005)	program(0.005)	updat(0.005)	love(0.005)	bought(0.004)	constant(0.004)	devic(0.004)	screen(0.004)	xfiniti(0.004)	select(0.004)	wifi(0.004)	roku(0.004)	
