Topic 0(0.000):	screen(0.080)	nice(0.054)	case(0.028)	size(0.021)	good(0.021)	feel(0.020)	big(0.019)	touch(0.018)	hand(0.016)	great(0.015)	small(0.015)	fast(0.014)	display(0.013)	protector(0.012)	respons(0.012)	color(0.011)	perfect(0.011)	super(0.011)	bright(0.011)	fit(0.010)	glass(0.010)	cool(0.009)	protect(0.009)	easili(0.009)	light(0.009)	beauti(0.009)	scratch(0.008)	thin(0.008)	durabl(0.008)	love(0.008)	sensit(0.008)	bigger(0.008)	resolut(0.007)	sleek(0.007)	batteri(0.007)	weight(0.007)	cover(0.007)	white(0.006)	pretti(0.006)	amaz(0.006)	high(0.006)	qualiti(0.006)	work(0.006)	featur(0.006)	appear(0.005)	clear(0.005)	touchscreen(0.005)	crack(0.005)	price(0.005)	find(0.005)	
Topic 1(0.000):	app(0.105)	android(0.041)	window(0.030)	store(0.024)	play(0.023)	download(0.022)	googl(0.022)	iphon(0.021)	updat(0.018)	game(0.017)	os(0.015)	instal(0.012)	system(0.012)	appl(0.012)	free(0.011)	lot(0.011)	market(0.010)	find(0.010)	work(0.009)	music(0.009)	io(0.009)	compar(0.007)	time(0.007)	limit(0.007)	facebook(0.007)	oper(0.007)	lack(0.007)	great(0.007)	version(0.006)	gps(0.006)	better(0.006)	buy(0.006)	thing(0.006)	map(0.006)	applic(0.006)	featur(0.006)	load(0.006)	good(0.005)	problem(0.005)	pretti(0.005)	browser(0.005)	crash(0.005)	parti(0.005)	sync(0.005)	youtub(0.005)	support(0.004)	fan(0.004)	nokia(0.004)	navig(0.004)	learn(0.004)	
Topic 2(0.000):	great(0.104)	price(0.075)	love(0.053)	bought(0.033)	good(0.030)	recommend(0.025)	smart(0.021)	cheap(0.018)	purchas(0.018)	happi(0.017)	best(0.016)	awesom(0.015)	work(0.014)	smartphon(0.014)	buy(0.013)	excel(0.013)	product(0.013)	gift(0.011)	deal(0.011)	featur(0.011)	nokia(0.011)	year(0.011)	high(0.009)	month(0.009)	daughter(0.009)	nice(0.009)	worth(0.009)	money(0.009)	son(0.008)	lumia(0.007)	replac(0.007)	problem(0.007)	ago(0.006)	christma(0.006)	amaz(0.006)	pay(0.006)	contract(0.006)	fast(0.006)	amazon(0.005)	paid(0.005)	wife(0.005)	tmobil(0.005)	brand(0.005)	afford(0.005)	thing(0.005)	satisfi(0.005)	simpl(0.005)	window(0.005)	moto(0.005)	reason(0.005)	
Topic 3(0.000):	batteri(0.116)	charg(0.075)	life(0.051)	day(0.039)	hour(0.026)	charger(0.021)	long(0.018)	time(0.016)	good(0.016)	great(0.013)	week(0.012)	hold(0.012)	night(0.010)	bad(0.010)	turn(0.009)	work(0.009)	full(0.009)	plug(0.008)	usb(0.008)	port(0.008)	recharg(0.007)	problem(0.007)	drain(0.007)	die(0.007)	month(0.006)	thing(0.006)	longer(0.006)	low(0.006)	half(0.006)	screen(0.006)	stay(0.005)	dead(0.005)	better(0.005)	coupl(0.005)	fast(0.005)	arriv(0.004)	smart(0.004)	cabl(0.004)	suck(0.004)	averag(0.004)	power(0.004)	short(0.004)	remov(0.004)	android(0.004)	purchas(0.004)	game(0.004)	play(0.004)	lot(0.004)	bare(0.004)	second(0.004)	
Topic 4(0.000):	sound(0.045)	speaker(0.043)	qualiti(0.040)	great(0.033)	loud(0.027)	hear(0.024)	radio(0.023)	fantast(0.022)	call(0.021)	fm(0.020)	clear(0.020)	volum(0.019)	bad(0.017)	enjoy(0.016)	surpris(0.016)	terribl(0.015)	audio(0.015)	bit(0.015)	recept(0.013)	headphon(0.013)	good(0.013)	listen(0.012)	built(0.011)	low(0.011)	flaw(0.011)	glitch(0.011)	heard(0.011)	bluetooth(0.011)	car(0.010)	ear(0.010)	better(0.009)	speakerphon(0.009)	headset(0.009)	featur(0.009)	work(0.009)	describ(0.008)	speak(0.007)	music(0.007)	piec(0.006)	purpos(0.006)	bell(0.006)	adapt(0.006)	nois(0.006)	wireless(0.006)	idea(0.006)	video(0.006)	total(0.005)	flip(0.005)	factori(0.005)	negat(0.005)	
Topic 5(0.000):	camera(0.096)	good(0.083)	great(0.037)	flash(0.030)	pictur(0.026)	price(0.023)	expect(0.022)	pretti(0.020)	qualiti(0.019)	light(0.018)	decent(0.018)	front(0.018)	featur(0.015)	work(0.013)	better(0.013)	photo(0.011)	video(0.011)	face(0.011)	perform(0.010)	low(0.008)	nice(0.008)	screen(0.008)	basic(0.007)	star(0.007)	pic(0.007)	shot(0.007)	solid(0.006)	problem(0.005)	nokia(0.005)	meet(0.005)	condit(0.005)	imag(0.005)	lot(0.005)	terribl(0.005)	fast(0.004)	thing(0.004)	fine(0.004)	choic(0.004)	record(0.004)	wifi(0.004)	bright(0.004)	function(0.004)	true(0.004)	best(0.004)	batteri(0.004)	color(0.004)	app(0.004)	lack(0.004)	troubl(0.004)	bad(0.004)	
Topic 6(0.000):	card(0.109)	sim(0.069)	work(0.043)	sd(0.043)	memori(0.031)	micro(0.022)	slot(0.020)	storag(0.018)	microsd(0.015)	read(0.015)	intern(0.013)	8gb(0.010)	fine(0.010)	music(0.009)	app(0.009)	manual(0.009)	includ(0.008)	move(0.008)	space(0.008)	purchas(0.008)	wo(0.008)	recogn(0.008)	box(0.007)	great(0.007)	add(0.007)	dual(0.007)	16gb(0.006)	addit(0.006)	save(0.006)	instruct(0.006)	fit(0.006)	rington(0.006)	issu(0.006)	descript(0.005)	tmobil(0.005)	regular(0.005)	mp3(0.005)	allow(0.005)	insert(0.005)	standard(0.005)	media(0.005)	buy(0.005)	bought(0.005)	unlock(0.005)	mini(0.005)	prepaid(0.005)	extra(0.004)	instal(0.004)	cut(0.004)	size(0.004)	
Topic 7(0.000):	samsung(0.065)	galaxi(0.045)	bewar(0.027)	drop(0.026)	item(0.024)	time(0.024)	work(0.022)	buyer(0.022)	order(0.020)	receiv(0.020)	disappoint(0.016)	water(0.016)	s3(0.015)	care(0.015)	straight(0.015)	talk(0.015)	function(0.015)	job(0.015)	great(0.014)	today(0.014)	glad(0.013)	damag(0.013)	soni(0.011)	replac(0.011)	refurbish(0.011)	rate(0.010)	cost(0.010)	wonder(0.010)	deliv(0.010)	iii(0.010)	mine(0.009)	lost(0.009)	period(0.009)	reciev(0.009)	junk(0.009)	warranti(0.009)	sad(0.009)	voic(0.008)	mail(0.008)	alot(0.008)	minut(0.008)	purchas(0.007)	good(0.007)	bought(0.007)	dial(0.007)	person(0.007)	avoid(0.007)	comment(0.007)	oper(0.007)	bill(0.007)	
Topic 8(0.000):	work(0.048)	servic(0.041)	tmobil(0.030)	att(0.024)	buy(0.023)	network(0.023)	good(0.020)	cell(0.020)	return(0.020)	custom(0.018)	verizon(0.018)	signal(0.017)	seller(0.016)	unlock(0.016)	call(0.015)	carrier(0.015)	support(0.015)	worst(0.014)	horribl(0.013)	problem(0.013)	area(0.013)	gsm(0.011)	mobil(0.011)	3g(0.011)	compat(0.011)	band(0.010)	great(0.010)	sprint(0.009)	told(0.009)	lg(0.009)	live(0.008)	tech(0.008)	code(0.008)	contact(0.008)	coverag(0.008)	help(0.008)	peopl(0.008)	cellular(0.008)	number(0.007)	countri(0.007)	activ(0.007)	compani(0.007)	terribl(0.007)	exchang(0.007)	purchas(0.006)	pick(0.006)	hous(0.006)	refund(0.006)	tracfon(0.006)	time(0.005)	
Topic 9(0.000):	fast(0.043)	4g(0.035)	htc(0.031)	inspir(0.026)	lte(0.021)	processor(0.020)	3g(0.020)	core(0.019)	version(0.017)	faster(0.017)	dual(0.016)	support(0.015)	ram(0.014)	issu(0.014)	android(0.014)	ship(0.014)	slow(0.013)	capabl(0.013)	hardwar(0.011)	upgrad(0.011)	devic(0.011)	amaz(0.010)	great(0.010)	smooth(0.010)	releas(0.010)	quad(0.010)	extrem(0.009)	speed(0.009)	improv(0.009)	lag(0.008)	unlock(0.008)	impress(0.008)	process(0.008)	samsung(0.008)	radio(0.008)	s4(0.008)	nexus(0.008)	droid(0.007)	simpl(0.007)	gb(0.007)	opinion(0.007)	respons(0.007)	serious(0.006)	notic(0.006)	2g(0.006)	good(0.006)	sim(0.006)	tmobil(0.006)	wifi(0.006)	weak(0.006)	
Topic 10(0.000):	love(0.084)	easi(0.070)	great(0.030)	work(0.029)	keyboard(0.028)	window(0.024)	blackberri(0.023)	hate(0.022)	figur(0.016)	learn(0.016)	exact(0.016)	type(0.016)	thing(0.015)	nice(0.014)	perfect(0.014)	friend(0.014)	finger(0.013)	good(0.013)	small(0.013)	curv(0.012)	absolut(0.012)	android(0.012)	slide(0.011)	screen(0.011)	imposs(0.010)	recommend(0.010)	person(0.010)	simpl(0.009)	user(0.009)	intuit(0.008)	stand(0.008)	three(0.008)	text(0.008)	touch(0.007)	issu(0.007)	cute(0.007)	cell(0.007)	updat(0.006)	luck(0.006)	iphon(0.006)	system(0.006)	oper(0.006)	navig(0.006)	root(0.006)	big(0.006)	better(0.006)	cool(0.006)	os(0.005)	mom(0.005)	con(0.005)	
Topic 11(0.000):	button(0.058)	volum(0.032)	power(0.024)	cover(0.024)	chang(0.023)	side(0.022)	annoy(0.019)	color(0.018)	wrong(0.017)	complaint(0.017)	set(0.016)	lock(0.016)	left(0.014)	top(0.014)	ring(0.014)	design(0.014)	menu(0.013)	press(0.012)	review(0.012)	bother(0.012)	user(0.011)	turn(0.011)	mode(0.011)	plastic(0.011)	tone(0.011)	locat(0.011)	broke(0.010)	reset(0.010)	bottom(0.010)	pocket(0.010)	black(0.010)	alarm(0.010)	push(0.009)	control(0.009)	level(0.009)	hit(0.009)	prefer(0.009)	camera(0.009)	posit(0.008)	easier(0.008)	background(0.008)	minor(0.008)	shut(0.008)	function(0.008)	choos(0.008)	adjust(0.007)	vibrat(0.007)	thing(0.007)	middl(0.007)	click(0.007)	
Topic 12(0.000):	money(0.081)	wast(0.068)	send(0.044)	text(0.043)	messag(0.038)	email(0.027)	pictur(0.022)	time(0.020)	internet(0.016)	call(0.016)	crap(0.016)	plan(0.016)	worth(0.014)	work(0.014)	piec(0.014)	data(0.014)	receiv(0.011)	worst(0.011)	account(0.011)	cellphon(0.011)	address(0.010)	requir(0.010)	web(0.009)	setup(0.009)	check(0.009)	surf(0.009)	pain(0.009)	crazi(0.009)	complain(0.009)	correct(0.008)	accept(0.008)	access(0.008)	unlimit(0.008)	good(0.008)	simpli(0.008)	write(0.008)	creat(0.007)	constant(0.007)	frustrat(0.007)	abil(0.007)	guess(0.007)	calendar(0.007)	biggest(0.007)	junk(0.007)	sort(0.007)	question(0.006)	book(0.006)	multipl(0.006)	entri(0.006)	reciev(0.006)	
