Topic 0(0.039):	screen(0.075)	good(0.026)	feel(0.022)	nice(0.021)	great(0.021)	size(0.018)	touch(0.017)	hand(0.015)	case(0.013)	big(0.013)	respons(0.012)	fast(0.012)	display(0.011)	bright(0.011)	small(0.010)	love(0.010)	qualiti(0.009)	easi(0.009)	beauti(0.009)	color(0.008)	pretti(0.008)	batteri(0.007)	resolut(0.007)	app(0.007)	perfect(0.006)	solid(0.006)	cheap(0.006)	work(0.006)	amaz(0.006)	camera(0.006)	protector(0.006)	super(0.006)	price(0.006)	cool(0.006)	light(0.005)	window(0.005)	smooth(0.005)	inch(0.005)	design(0.005)	high(0.005)	sleek(0.005)	excel(0.004)	clear(0.004)	cover(0.004)	android(0.004)	glass(0.004)	life(0.004)	lot(0.004)	sensit(0.004)	featur(0.004)	
Topic 1(0.039):	app(0.059)	window(0.031)	android(0.029)	nokia(0.014)	great(0.013)	iphon(0.012)	music(0.012)	good(0.011)	googl(0.011)	map(0.011)	store(0.010)	work(0.010)	os(0.009)	system(0.009)	download(0.009)	play(0.009)	gps(0.009)	free(0.008)	better(0.007)	io(0.007)	tile(0.007)	featur(0.007)	navig(0.007)	love(0.006)	oper(0.006)	appl(0.006)	microsoft(0.006)	game(0.006)	thing(0.006)	updat(0.005)	lot(0.005)	time(0.005)	easi(0.005)	limit(0.005)	wifi(0.005)	find(0.005)	devic(0.005)	best(0.005)	camera(0.005)	screen(0.004)	video(0.004)	pretti(0.004)	lumia(0.004)	offlin(0.004)	data(0.004)	market(0.004)	function(0.004)	live(0.004)	compar(0.004)	drive(0.004)	
Topic 2(0.083):	price(0.067)	great(0.052)	good(0.030)	smart(0.022)	smartphon(0.021)	best(0.017)	nokia(0.016)	buy(0.015)	lumia(0.012)	window(0.012)	cheap(0.012)	bought(0.012)	featur(0.011)	year(0.010)	month(0.010)	android(0.010)	money(0.010)	deal(0.009)	purchas(0.009)	contract(0.008)	recommend(0.008)	pay(0.008)	iphon(0.008)	tmobil(0.008)	nice(0.007)	cost(0.007)	better(0.007)	qualiti(0.007)	plan(0.006)	budget(0.006)	worth(0.006)	product(0.006)	buck(0.006)	work(0.006)	amazon(0.006)	devic(0.006)	love(0.006)	high(0.006)	beat(0.006)	lot(0.005)	time(0.005)	thing(0.005)	happi(0.005)	amaz(0.005)	entri(0.005)	basic(0.005)	awesom(0.004)	paid(0.004)	dollar(0.004)	excel(0.004)	
Topic 3(0.040):	batteri(0.096)	life(0.050)	day(0.041)	charg(0.036)	good(0.025)	great(0.018)	hour(0.018)	time(0.013)	work(0.011)	charger(0.010)	turn(0.010)	long(0.008)	screen(0.007)	bad(0.007)	call(0.007)	fast(0.006)	play(0.006)	die(0.006)	week(0.006)	pretti(0.005)	night(0.005)	better(0.005)	app(0.005)	thing(0.005)	drain(0.005)	love(0.005)	full(0.005)	game(0.005)	port(0.005)	nice(0.005)	hold(0.004)	half(0.004)	lot(0.004)	usag(0.004)	wifi(0.004)	heavi(0.004)	unlock(0.004)	power(0.004)	coupl(0.004)	featur(0.004)	stay(0.004)	iphon(0.004)	issu(0.004)	suck(0.004)	cabl(0.004)	month(0.003)	review(0.003)	camera(0.003)	averag(0.003)	short(0.003)	
Topic 4(0.028):	good(0.068)	qualiti(0.049)	sound(0.041)	great(0.035)	call(0.031)	speaker(0.020)	clear(0.020)	work(0.018)	excel(0.015)	loud(0.013)	recept(0.013)	nice(0.012)	music(0.011)	price(0.010)	audio(0.010)	headphon(0.009)	camera(0.008)	radio(0.008)	listen(0.008)	better(0.008)	player(0.008)	video(0.007)	surpris(0.007)	hear(0.007)	screen(0.007)	best(0.006)	voic(0.006)	bluetooth(0.006)	love(0.006)	mp3(0.006)	time(0.005)	fm(0.005)	decent(0.005)	play(0.005)	pretti(0.005)	car(0.005)	volum(0.005)	bell(0.005)	recommend(0.004)	flaw(0.004)	easi(0.004)	speakerphon(0.004)	bit(0.004)	signal(0.004)	problem(0.004)	thing(0.004)	peopl(0.004)	batteri(0.004)	verizon(0.004)	app(0.004)	
Topic 5(0.032):	camera(0.078)	great(0.044)	good(0.028)	pictur(0.022)	flash(0.019)	featur(0.017)	front(0.017)	nice(0.015)	light(0.015)	video(0.014)	screen(0.013)	nokia(0.012)	price(0.011)	face(0.010)	qualiti(0.010)	work(0.010)	pretti(0.010)	expect(0.010)	decent(0.009)	better(0.008)	amaz(0.008)	low(0.008)	photo(0.008)	love(0.008)	awesom(0.007)	app(0.007)	best(0.007)	star(0.007)	thing(0.007)	perform(0.007)	batteri(0.006)	smart(0.006)	fast(0.006)	record(0.006)	excel(0.006)	pic(0.005)	perfect(0.005)	led(0.004)	shot(0.004)	5mp(0.004)	wifi(0.004)	display(0.004)	basic(0.004)	solid(0.004)	call(0.004)	music(0.004)	cool(0.004)	bright(0.004)	sound(0.004)	reason(0.003)	
Topic 6(0.030):	card(0.052)	work(0.047)	sim(0.036)	good(0.021)	sd(0.021)	memori(0.017)	great(0.016)	slot(0.012)	storag(0.012)	fine(0.011)	app(0.010)	micro(0.010)	intern(0.009)	microsd(0.008)	file(0.008)	buy(0.007)	dual(0.007)	box(0.007)	att(0.006)	nice(0.006)	tmobil(0.006)	option(0.006)	music(0.006)	batteri(0.006)	perfect(0.005)	camera(0.005)	includ(0.005)	user(0.005)	price(0.005)	screen(0.005)	activ(0.005)	android(0.005)	featur(0.005)	mp3(0.005)	add(0.005)	transfer(0.004)	devic(0.004)	pay(0.004)	extra(0.004)	love(0.004)	product(0.004)	instruct(0.004)	manual(0.004)	bluetooth(0.004)	instal(0.004)	big(0.004)	read(0.004)	bought(0.004)	fit(0.004)	insert(0.004)	
Topic 7(0.038):	galaxi(0.037)	samsung(0.035)	good(0.026)	time(0.026)	work(0.022)	great(0.020)	s3(0.013)	purchas(0.013)	talk(0.013)	love(0.012)	drop(0.012)	iphon(0.012)	receiv(0.012)	order(0.011)	straight(0.009)	verizon(0.008)	year(0.008)	happi(0.008)	minut(0.008)	best(0.007)	cost(0.007)	item(0.007)	iii(0.006)	condit(0.006)	price(0.006)	buy(0.006)	day(0.006)	disappoint(0.006)	nice(0.006)	hope(0.006)	rate(0.006)	mine(0.006)	product(0.005)	better(0.005)	water(0.005)	perfect(0.005)	screen(0.005)	impress(0.005)	expect(0.005)	version(0.005)	s4(0.005)	month(0.005)	upgrad(0.004)	deliv(0.004)	thing(0.004)	bewar(0.004)	refurbish(0.004)	satisfi(0.004)	call(0.004)	excel(0.004)	
Topic 8(0.041):	servic(0.036)	call(0.024)	work(0.021)	verizon(0.021)	tmobil(0.017)	great(0.015)	custom(0.015)	good(0.014)	signal(0.013)	wifi(0.012)	cell(0.012)	area(0.011)	problem(0.010)	buy(0.010)	network(0.010)	lg(0.010)	time(0.009)	mobil(0.009)	activ(0.008)	return(0.008)	carrier(0.008)	live(0.008)	amazon(0.007)	boost(0.007)	att(0.007)	coverag(0.007)	sprint(0.007)	excel(0.007)	help(0.006)	connect(0.006)	store(0.006)	card(0.006)	number(0.006)	plan(0.006)	month(0.006)	recept(0.006)	issu(0.005)	gsm(0.005)	bought(0.005)	tracfon(0.005)	unlock(0.005)	better(0.005)	best(0.005)	day(0.005)	support(0.005)	switch(0.005)	receiv(0.005)	bar(0.005)	year(0.004)	review(0.004)	
Topic 9(0.029):	fast(0.031)	great(0.023)	android(0.017)	4g(0.016)	htc(0.015)	processor(0.015)	devic(0.014)	good(0.012)	speed(0.011)	work(0.011)	ram(0.010)	screen(0.010)	smooth(0.009)	core(0.009)	galaxi(0.009)	issu(0.009)	batteri(0.009)	lte(0.009)	version(0.008)	nexus(0.008)	3g(0.008)	price(0.008)	camera(0.007)	iphon(0.007)	droid(0.007)	upgrad(0.007)	excel(0.007)	updat(0.007)	featur(0.006)	dual(0.006)	samsung(0.006)	support(0.006)	hardwar(0.006)	better(0.006)	ship(0.006)	faster(0.006)	respons(0.006)	time(0.006)	lag(0.006)	inspir(0.006)	life(0.005)	perform(0.005)	os(0.005)	best(0.005)	qualiti(0.005)	verizon(0.005)	spec(0.005)	app(0.005)	unlock(0.005)	softwar(0.005)	
Topic 10(0.056):	love(0.097)	easi(0.041)	great(0.038)	recommend(0.026)	good(0.026)	window(0.020)	work(0.015)	nice(0.015)	keyboard(0.015)	friend(0.014)	awesom(0.013)	bought(0.011)	absolut(0.011)	featur(0.011)	type(0.011)	user(0.011)	blackberri(0.010)	android(0.009)	amaz(0.009)	lot(0.008)	gift(0.008)	learn(0.008)	best(0.007)	perfect(0.007)	person(0.007)	intuit(0.007)	exact(0.007)	high(0.007)	simpl(0.006)	daughter(0.006)	text(0.006)	smart(0.006)	cell(0.006)	nokia(0.006)	motorola(0.006)	app(0.005)	fast(0.005)	buy(0.005)	excel(0.005)	design(0.005)	thing(0.005)	figur(0.005)	price(0.004)	fun(0.004)	function(0.004)	devic(0.004)	hate(0.004)	interfac(0.004)	problem(0.004)	ming(0.004)	
