Topic 0(0.045):	remot(0.059)	channel(0.028)	button(0.026)	nt(0.026)	control(0.023)	set(0.018)	input(0.016)	work(0.016)	time(0.014)	turn(0.014)	chang(0.014)	sound(0.013)	volum(0.011)	screen(0.010)	featur(0.009)	cabl(0.009)	power(0.008)	menu(0.008)	samsung(0.007)	smart(0.007)	find(0.007)	pictur(0.007)	audio(0.007)	speaker(0.007)	box(0.006)	program(0.006)	function(0.006)	nice(0.006)	select(0.006)	easi(0.006)	system(0.006)	press(0.006)	second(0.006)	thing(0.006)	manual(0.005)	good(0.005)	click(0.005)	touch(0.005)	small(0.005)	option(0.005)	switch(0.005)	display(0.005)	app(0.005)	hdmi(0.005)	bit(0.005)	setup(0.005)	receiv(0.004)	sourc(0.004)	watch(0.004)	problem(0.004)	
Topic 1(0.076):	pictur(0.031)	samsung(0.031)	nt(0.020)	plasma(0.020)	qualiti(0.019)	better(0.017)	set(0.016)	lcd(0.016)	good(0.014)	soni(0.014)	model(0.014)	price(0.014)	best(0.013)	led(0.013)	great(0.012)	buy(0.012)	year(0.011)	lg(0.010)	review(0.010)	hdtv(0.010)	rate(0.009)	compar(0.009)	screen(0.009)	color(0.008)	120hz(0.008)	panason(0.008)	purchas(0.008)	bought(0.008)	1080p(0.007)	tvs(0.007)	sound(0.007)	hd(0.006)	3d(0.006)	room(0.006)	money(0.006)	watch(0.006)	inch(0.006)	refresh(0.006)	high(0.006)	size(0.005)	vizio(0.005)	time(0.005)	seri(0.005)	store(0.005)	decid(0.005)	60hz(0.005)	lot(0.005)	game(0.005)	thing(0.005)	televis(0.005)	
Topic 2(0.044):	cabl(0.035)	3d(0.030)	nt(0.027)	hdmi(0.025)	pictur(0.023)	hd(0.021)	set(0.019)	great(0.018)	work(0.016)	box(0.016)	watch(0.016)	dvd(0.014)	connect(0.014)	movi(0.014)	glass(0.014)	player(0.014)	channel(0.013)	good(0.011)	hook(0.010)	game(0.009)	bluray(0.008)	samsung(0.008)	play(0.008)	input(0.008)	turn(0.007)	qualiti(0.007)	time(0.007)	port(0.007)	thing(0.007)	problem(0.007)	signal(0.007)	ray(0.006)	video(0.006)	fine(0.005)	purchas(0.005)	buy(0.005)	compon(0.005)	pc(0.005)	screen(0.005)	xbox(0.005)	plug(0.005)	bought(0.005)	easi(0.005)	day(0.005)	view(0.005)	soni(0.004)	ps3(0.004)	awesom(0.004)	receiv(0.004)	issu(0.004)	
Topic 3(0.058):	screen(0.034)	set(0.033)	pictur(0.027)	nt(0.022)	color(0.021)	black(0.018)	light(0.017)	bright(0.016)	watch(0.015)	dark(0.013)	view(0.013)	notic(0.013)	room(0.013)	stand(0.010)	movi(0.010)	mode(0.009)	great(0.009)	turn(0.009)	issu(0.008)	mount(0.008)	adjust(0.008)	imag(0.008)	contrast(0.008)	scene(0.008)	time(0.008)	game(0.008)	side(0.008)	good(0.007)	angl(0.007)	white(0.007)	problem(0.007)	pixel(0.006)	level(0.006)	led(0.006)	screw(0.005)	wall(0.005)	corner(0.005)	lot(0.005)	bad(0.005)	calibr(0.005)	backlight(0.005)	glare(0.005)	bottom(0.005)	bit(0.005)	left(0.005)	box(0.004)	thing(0.004)	panel(0.004)	perfect(0.004)	nice(0.004)	
Topic 4(0.101):	pictur(0.099)	great(0.068)	good(0.048)	qualiti(0.041)	set(0.038)	sound(0.031)	easi(0.026)	price(0.019)	nice(0.017)	featur(0.014)	color(0.014)	smart(0.014)	excel(0.013)	work(0.012)	love(0.010)	nt(0.010)	setup(0.009)	3d(0.009)	clear(0.009)	amaz(0.009)	awesom(0.009)	remot(0.008)	size(0.007)	adjust(0.007)	thin(0.007)	better(0.006)	beauti(0.006)	samsung(0.006)	light(0.006)	recommend(0.006)	perfect(0.006)	pretti(0.006)	black(0.005)	expect(0.005)	decent(0.005)	lot(0.005)	screen(0.005)	box(0.004)	product(0.004)	app(0.004)	sharp(0.004)	high(0.004)	option(0.004)	tweak(0.004)	design(0.004)	review(0.004)	crisp(0.004)	hd(0.004)	bright(0.004)	room(0.004)	
Topic 5(0.080):	amazon(0.044)	price(0.038)	great(0.034)	purchas(0.030)	buy(0.026)	good(0.020)	review(0.020)	deliveri(0.020)	nt(0.019)	ship(0.015)	happi(0.015)	bought(0.015)	product(0.015)	samsung(0.014)	set(0.013)	time(0.013)	order(0.012)	day(0.012)	deal(0.010)	servic(0.010)	work(0.010)	best(0.010)	week(0.009)	box(0.009)	read(0.008)	free(0.008)	return(0.008)	store(0.008)	month(0.007)	year(0.007)	excel(0.007)	deliv(0.007)	recommend(0.007)	lg(0.007)	arriv(0.006)	love(0.006)	experi(0.006)	televis(0.006)	pictur(0.006)	item(0.005)	thing(0.005)	sale(0.005)	newegg(0.005)	big(0.005)	model(0.005)	expect(0.005)	receiv(0.005)	paid(0.005)	custom(0.005)	better(0.005)	
Topic 6(0.055):	samsung(0.051)	servic(0.038)	call(0.036)	custom(0.026)	nt(0.026)	problem(0.024)	support(0.022)	issu(0.020)	week(0.014)	replac(0.014)	repair(0.013)	return(0.013)	product(0.013)	day(0.013)	work(0.012)	amazon(0.012)	tech(0.011)	time(0.011)	set(0.010)	warranti(0.010)	soni(0.010)	help(0.009)	lg(0.009)	told(0.009)	send(0.008)	updat(0.008)	purchas(0.008)	hour(0.008)	buy(0.008)	model(0.007)	wait(0.007)	number(0.007)	phone(0.007)	contact(0.007)	month(0.007)	review(0.006)	receiv(0.006)	hope(0.006)	final(0.006)	good(0.005)	defect(0.005)	thing(0.005)	great(0.005)	year(0.005)	rep(0.005)	email(0.005)	offer(0.004)	firmwar(0.004)	bad(0.004)	peopl(0.004)	
Topic 7(0.077):	smart(0.042)	app(0.040)	samsung(0.028)	netflix(0.026)	nt(0.026)	work(0.023)	connect(0.019)	updat(0.016)	amazon(0.015)	video(0.015)	time(0.013)	internet(0.013)	stream(0.013)	featur(0.011)	wireless(0.011)	youtub(0.010)	watch(0.010)	hub(0.010)	problem(0.009)	wifi(0.009)	buy(0.009)	network(0.008)	issu(0.008)	softwar(0.008)	browser(0.008)	web(0.008)	set(0.008)	play(0.007)	keyboard(0.007)	support(0.007)	great(0.007)	good(0.007)	remot(0.007)	slow(0.006)	devic(0.006)	movi(0.006)	roku(0.006)	access(0.006)	bought(0.006)	thing(0.006)	pictur(0.005)	hulu(0.005)	purchas(0.005)	prime(0.005)	comput(0.005)	start(0.005)	load(0.005)	screen(0.004)	model(0.004)	better(0.004)	
Topic 8(0.038):	nt(0.029)	pictur(0.026)	remot(0.023)	set(0.022)	screen(0.019)	qualiti(0.015)	pixel(0.013)	watch(0.013)	imag(0.013)	color(0.012)	samsung(0.011)	great(0.011)	black(0.010)	issu(0.010)	display(0.009)	movi(0.009)	monitor(0.009)	light(0.009)	smart(0.008)	3d(0.008)	turn(0.008)	notic(0.008)	good(0.007)	time(0.007)	work(0.007)	featur(0.007)	adjust(0.007)	control(0.006)	bright(0.006)	bad(0.006)	bluray(0.006)	dead(0.006)	price(0.006)	vizio(0.006)	box(0.005)	hd(0.005)	white(0.005)	compar(0.005)	netflix(0.005)	problem(0.005)	amaz(0.005)	review(0.005)	resolut(0.005)	panel(0.005)	play(0.005)	1080p(0.004)	better(0.004)	dvd(0.004)	dark(0.004)	size(0.004)	
Topic 9(0.080):	app(0.077)	watch(0.060)	great(0.031)	good(0.031)	nt(0.025)	movi(0.025)	love(0.018)	work(0.018)	channel(0.017)	kindl(0.017)	hd(0.016)	program(0.015)	live(0.015)	xfiniti(0.015)	download(0.014)	time(0.013)	freez(0.012)	play(0.012)	commerci(0.011)	stream(0.011)	buffer(0.011)	video(0.010)	nice(0.010)	volum(0.010)	fire(0.009)	favorit(0.008)	lot(0.008)	netflix(0.007)	problem(0.007)	better(0.007)	network(0.007)	easi(0.007)	issu(0.006)	start(0.006)	cabl(0.006)	wifi(0.006)	minut(0.006)	pictur(0.006)	view(0.006)	content(0.006)	limit(0.006)	day(0.006)	free(0.005)	pretti(0.005)	access(0.005)	enjoy(0.005)	player(0.005)	thing(0.005)	bad(0.005)	amazon(0.005)	
Topic 10(0.052):	sound(0.054)	pictur(0.041)	good(0.034)	qualiti(0.033)	nt(0.032)	speaker(0.023)	stand(0.018)	great(0.015)	price(0.014)	nice(0.014)	volum(0.013)	hear(0.012)	screen(0.012)	buzz(0.011)	expect(0.010)	better(0.010)	turn(0.010)	clear(0.009)	unit(0.009)	set(0.009)	nois(0.008)	review(0.008)	size(0.008)	low(0.008)	wall(0.007)	cheap(0.007)	loud(0.007)	mount(0.007)	light(0.007)	thing(0.006)	pretti(0.006)	thin(0.006)	side(0.006)	base(0.006)	decent(0.005)	bad(0.005)	weight(0.005)	remot(0.005)	bought(0.005)	issu(0.005)	lcd(0.005)	fine(0.005)	inch(0.005)	work(0.005)	monitor(0.005)	flat(0.005)	money(0.005)	excel(0.005)	imag(0.005)	recommend(0.005)	
