Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1075,2,0,"very light sensitive  had to turn down the brightness in the dvr software to 8 to get a non washed out pic.",0,1,23,1.000000,1.000000
1075,2,1,"they were very inexpensive   80 black friday  so for what i paid  they re ok.",0,1,20,0.547883,0.093987
1075,2,2,"night vision is good  but the ir leds are visible as a red ring.",0,1,14,0.517609,0.134532
1075,2,3,"very narrow field of view.",1,0,2,0.597882,0.134532
1075,2,4,"might as well be black and white  colors are very pale and washed out.",1,0,2,0.565084,0.093987
1075,2,5,"resolution at 400 lines is iffy  unless someone is very close to the cam  15 20 ft   recognizable faces is not possible.",1,0,8,0.609001,0.096281
1077,2,0,"weather proof n v works well",0,0,4,1.000000,1.000000
1077,2,1,"i wasn t impressed with the picture quality.",1,0,11,0.502089,0.134532
1077,2,2,"they advertise 40  of facial recognition but it might take an expert eye for that.",1,0,4,0.565848,0.128448
1077,2,3,"i can t read the license plate of my vehicle parked  25  away.",1,0,4,0.613023,0.096281
1080,2,0,"great canon camera",0,1,22,1.000000,1.000000
1080,2,1,"the extra kit portion provided in this package is junk and not worth the extra cost.",1,1,22,0.533254,0.131460
1088,2,0,"camera build quality  button location  flip out screen  the way it feels in the hand  high megapixel count  live view  it s a canon.",0,1,19,1.000000,1.000000
1088,2,1,"high iso means nothing when the result is garbage.",1,1,19,0.264235,0.036670
1088,2,2,"i actually owned two of these  after returning the first one.",1,1,19,0.545742,0.081986
1088,2,3,"the average consumer might not notice this  but a professional should.",1,1,19,0.574007,0.147542
1088,2,4,"and manual mode only produced very average results at best.",1,1,19,0.183193,0.051144
1088,2,5,"indoors with all the lights on  it would jump up to iso 1600  full auto setting .",1,0,2,0.609860,0.174707
1088,2,6,"yet  in a side by side comparison  my xti would sit comfortably at 400 iso.",1,0,1,0.295036,0.064854
1088,2,7,"manual settings with the exact same lenses between the two produced nearly identical images.",1,0,2,0.547710,0.107379
1088,2,8,"the 60d was not perceptibly better.",1,0,1,0.673809,0.154371
1088,2,9,"actually  the 60d was still overly bright noisy in comparison.",1,0,1,0.055744,0.021267
1088,2,10,"for a brand new camera to produce results similar to  let alone worse than  a 6 year old camera is hugely disappointing.",1,0,7,0.547150,0.107379
1088,2,11,"auto focus was not great either.",1,0,2,0.607245,0.107379
1088,2,12,"images weren t crystal clear.",1,0,11,0.592663,0.128448
1088,2,13,"colors not defined well.",1,0,2,0.614887,0.098624
1088,2,14,"video is still not advanced enough yet to be more than a gimmick.",1,0,10,0.686199,0.123786
1088,2,15,"manually focusing video is frustrating.",1,0,10,0.127517,0.022712
1088,2,16,"makes the video feature almost useless.",1,0,10,0.259237,0.041013
1102,2,0,"good build quality  good optical performance  not too big.",0,0,11,1.000000,1.000000
1102,2,1,"auto focus is poor from 200mm to 300mm zoom.",1,1,23,0.591533,0.109959
1128,2,0,"small   it is a compact camera after all.",0,0,1,1.000000,1.000000
1128,2,1,"well built   surprisingly solid and hefty.",0,0,1,0.498895,0.078064
1128,2,2,"much better than the sx230.",0,0,1,0.559561,0.078064
1128,2,3,"larger image sensor than your typical compact.",0,0,1,0.592148,0.129682
1128,2,4,"only 12 mp but the larger sensor has better looking pics than a 16 mp with a smaller sensor.",0,0,1,0.089416,0.022245
1128,2,5,"ability to shoot raw.",0,0,5,0.601060,0.078064
1128,2,6,"enough manual controls if you re into that.",0,0,2,0.602404,0.081986
1128,2,7,"somewhat short battery life.",1,1,17,0.587091,0.093987
1128,2,8,"might want to get a spare.",1,1,17,0.644683,0.080003
1129,2,0,"very nice beginners package.",0,0,3,1.000000,1.000000
1129,2,1,"it has everything you need to do a variety of things.",0,0,4,0.580883,0.109959
1132,2,0,"under  40  usb  4 video  left and right audio...",0,1,17,1.000000,1.000000
1132,2,1,"1 egg is as low as i can go ",1,1,17,0.535767,0.093987
1132,2,2,"this will not work with windows 7  don t even bother ",1,0,12,0.595713,0.129682
1132,2,3,"it does not seem to work with windows xp either.",1,0,12,0.020349,0.012125
1132,2,4,"i even downloaded the drivers from sabrent site  didn t help.",1,0,0,0.541250,0.093987
1132,2,5,"both machines found it  neither could install it.",1,0,12,0.668558,0.129682
1132,2,6,"w7 had a nice bsod during one attempt at installation.",1,0,12,0.087397,0.028427
1132,2,7,"the software just says  install failed...  and xp can t find a driver  the hardware may not work.",1,0,0,0.370987,0.135427
1132,2,8,"well  it does not work.",1,0,0,0.152702,0.023925
1132,2,9," cannot install this hardware ",1,0,0,0.595452,0.074864
1133,2,0,"took to an event in the bright hot sun over the weekend.",0,0,4,1.000000,1.000000
1133,2,1,"photo quality clarity was superb.",0,0,6,0.543668,0.078064
1133,2,2,"a lot of buttons to understand.",0,0,6,0.517449,0.081986
1133,2,3,"i wish it came with a more complete owners guide.",0,0,0,0.549367,0.078064
1133,2,4,"i ve looked up settings and advice online and fumbled some.",0,0,11,0.661713,0.147542
1133,2,5,"still not sure what the best settings are but i m so very pleased with the clear crisp photos and the fps.",0,0,11,0.150265,0.044601
1133,2,6,"super fast shipping with every item displayed.",0,0,6,0.605708,0.112594
1133,2,7,"weight takes some getting use to and a  dslr for dummies  guide would help.",1,0,0,0.622993,0.080003
1134,2,0,"very good picture quality  comparable to canons that are almost 3x the price of this one.",0,0,3,1.000000,1.000000
1134,2,1,"also  great features for something in this price range.",0,0,3,0.331504,0.065574
1139,2,0,"pictures come out great  compact  controls easy to use.",0,0,0,1.000000,1.000000
1139,2,1,"1  run  don t walk  and buy rechargable batteries for this   it ll drain alkaline batteries fast.however  rechargable batteries will last much longer.",1,1,17,0.503091,0.128448
1139,2,2,"2  the flash takes a while to reset after using  10  seconds   somewhat inconvenient.",1,1,17,0.579841,0.093987
1139,2,3,"3  when the batteries run low  wierd things happen to the controls  e.g.",1,1,17,0.659917,0.154371
1139,2,4,"stuck in slideshow mode and unable to stop or turn off w o removing batteries .",1,1,17,0.332015,0.065574
1140,2,0,"grest price  clear pictures  great for beginners",0,0,3,1.000000,1.000000
1140,2,1,"definitely get rechargable batteries   wore out alkanine batteries in 2 sessions  rechargable ones have lasted for 5  sessions.",1,1,17,0.543847,0.107379
1140,2,2,"flash takes a long time to reset between pictures.",1,1,23,0.587593,0.080003
1141,2,0,"awesome picture quality upto 5 megapixel resolution.",0,0,3,1.000000,1.000000
1141,2,1,"easy upload to pc. cannot beat the price for a 5 megapixel digicam.",0,0,3,0.229818,0.052058
1141,2,2,"consumes batteries quick when using flash.",1,1,17,0.609742,0.090198
1142,2,0,"great camera for a beginner.",0,0,3,1.000000,1.000000
1142,2,1,"price was excellent.",0,0,3,0.521673,0.078064
1142,2,2,"was a christmas gift for my wife.",0,1,22,0.528562,0.112594
1142,2,3,"she loves it and newegg got it to me in three days.",0,1,22,0.554490,0.107379
1142,2,4,"software is for windows 98.",1,0,12,0.609742,0.112594
1142,2,5,"it does work with xp but a novice with computers might not think it would.",1,0,12,0.586839,0.080003
