Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
509,2,0,"1 .after power recharge full it will black screen   2. have not chinese type keyboard input  3. ram only 1.45 gb  much more less then product to brag 4gb",0,0,6,1.000000,1.000000
509,2,1,"big screen with clear display",1,1,22,0.585227,0.141594
515,2,0,"looks new and it is a samsung galaxy s3",0,0,7,1.000000,1.000000
515,2,1,"this phone is not new  i can t perform a factory data reset of any kind  the phone will take me to an initial page that is in chinese but clearly states quens reset counter xda  chainfire   which means with absolutely no doubts this phone was rooted  custon roms were installed and was sent back after a reset of the flash counter  but they forgot to set it back to the original state and now i will have to reinstall the whole factory settings on the phone myself if i want to keep it.",1,1,17,0.608181,0.148520
521,2,0,"larger sceen  ability to download cracked apps",0,1,24,1.000000,1.000000
521,2,1,"android os apps automatically load into memory even after you  kill  them or change settings to prevent them from starting up.",1,1,24,0.400651,0.119710
521,2,2,"this causes increased battery drain and uses internal ram  with unlocked version you ll have a hard time updating firmware in android s already fragmented update process.",1,1,15,0.696630,0.165082
521,2,3,"each carrier  may  offer an update and it s usually at different times.",1,1,15,0.419979,0.143723
521,2,4,"unlike iphone  the updates are carrier specific.",1,1,18,0.158170,0.104301
521,2,5,"many people with an unbranded android have to install a non supported firmware like a cyanogenmod.",1,1,18,0.687828,0.178737
521,2,6,"anti virus apps scan after you have installed the app   after you ve been infected  not before installing.",1,1,18,0.185565,0.114685
521,2,7,"samsung kies  similar to itunes  is useless and problematic  very poor product support from samsung.",1,1,20,0.543375,0.251376
531,2,0,"decent phone  .takes",0,0,0,1.000000,1.000000
531,2,1,"decent pictures.",0,0,0,0.130078,0.094725
531,2,2,"good gps.",0,0,9,0.700507,0.222037
531,2,3,"gets phone signal where a lot of other phones don t.",0,0,9,0.673774,0.229889
531,2,4,"i am not a fan of windows os for it.",1,1,15,0.645862,0.151451
531,2,5,"lot apps that are normally free they charge you for.",1,1,18,0.591219,0.157312
531,2,6,"phone is a pain 2 update.",1,1,18,0.612912,0.151451
531,2,7,"my next phone will not be a windows phone .if",1,1,15,0.583015,0.154359
545,2,0,"1.very nice keyboard  easy to use.",0,0,6,1.000000,1.000000
545,2,1,"2.speakers are more improved  comparing with x1a version.",0,0,6,0.747862,0.238033
545,2,2,"3.design structure is very nice.",0,0,6,0.738876,0.229985
545,2,3,"1. 1.i used this phone for less than a month and first what s happened  touch screen start making a noise like a broken peace under screen panel.",1,1,25,0.661631,0.229889
545,2,4,"i was trying to set rma for return to exchange with sonny ericsson  but they only fix phones  even if you just purchased.",1,1,16,0.705631,0.151381
545,2,5,"it means after you paid  470.00 for a brand new phone  you will be given a refurbished version.",1,0,1,0.652511,0.157312
545,2,6,"this is worst    2. panel button  under  call  button.",1,1,18,0.735338,0.249665
545,2,7,"there is no reason to place this button on the top of the phone  because you pressed all the time by mistake  and this is make you slow down on the phone call.",1,1,18,0.139971,0.165010
545,2,8,"designers did a big mistake by placing this button on the main top   3.",1,1,16,0.243136,0.118694
545,2,9,"most common bug happening at least 20 times a day   ",1,1,16,0.482277,0.155416
545,2,10,"i have to restart the phone 20 times daily because of lag with all software s loading and entire windows files.",1,1,16,0.141201,0.109086
545,2,11,"when you tab the screen 3 times  quickly   it freezes the display and you cannot do anything as just restarting the phone.",1,1,22,0.265585,0.144401
546,2,0,"  fast gps   windows mobile 6.5   spb mobile shell 3.5",0,0,8,1.000000,1.000000
546,2,1,"  unstable  locks up constantly    unreliable  corrupted memory card with all pictures and music lost    accelerometers are worthless  only work with a very few programs    lags like a an old 486 running today s software   poor reception   no assignable buttons  no ms voice command    reboots randomly for no reason.",1,1,24,0.433580,0.191376
546,2,2,"  locks up and turns off screen during call  not allowing me to hang up   speaker quality is very bad.",1,1,17,0.546101,0.142738
550,2,0,"when it works  everything is functional.",0,0,1,1.000000,1.000000
550,2,1,"sony s us customer service   repair center is a joke.",1,1,17,0.629306,0.154359
553,2,0,"was cheap  seemed higher spec for the  ",0,0,4,1.000000,1.000000
553,2,1,"this phone is loaded with malware that by nature of the android os  cannot be removed   i later learned most cheapo china phones have malware from day one .",1,1,16,0.654254,0.170271
