Doc ID, Source, SentenceIndex, ActualSentiment, PredictedSentiment
0,2,0,0,0
0,2,1,1,1
0,2,2,1,1
1,2,0,0,0
1,2,1,0,0
1,2,2,0,0
1,2,3,0,0
1,2,4,1,1
1,2,5,1,1
2,2,0,0,0
2,2,1,0,0
2,2,2,0,0
2,2,3,1,1
2,2,4,1,1
3,2,0,0,0
3,2,1,0,0
3,2,2,1,0
4,2,0,0,0
4,2,1,1,1
4,2,2,1,1
4,2,3,1,1
5,2,0,0,0
5,2,1,0,0
5,2,2,0,0
5,2,3,0,0
5,2,4,0,0
5,2,5,0,0
5,2,6,0,0
5,2,7,0,0
5,2,8,0,0
5,2,9,0,0
5,2,10,0,0
5,2,11,0,0
5,2,12,1,1
5,2,13,1,1
5,2,14,1,1
5,2,15,1,1
5,2,16,1,1
5,2,17,1,1
6,2,0,0,1
6,2,1,1,1
6,2,2,1,1
6,2,3,1,1
6,2,4,1,1
6,2,5,1,1
6,2,6,1,1
6,2,7,1,1
7,2,0,0,1
7,2,1,0,1
7,2,2,0,1
7,2,3,1,0
7,2,4,1,0
7,2,5,1,0
8,2,0,0,0
8,2,1,1,1
8,2,2,1,1
8,2,3,1,1
8,2,4,1,1
8,2,5,1,1
9,2,0,0,1
9,2,1,0,1
9,2,2,0,1
9,2,3,0,1
9,2,4,0,1
9,2,5,0,1
9,2,6,0,1
9,2,7,0,1
9,2,8,0,1
9,2,9,0,1
9,2,10,1,1
9,2,11,1,1
9,2,12,1,1
9,2,13,1,1
9,2,14,1,1
9,2,15,1,1
9,2,16,1,1
9,2,17,1,1
9,2,18,1,1
9,2,19,1,1
10,2,0,0,0
10,2,1,1,1
11,2,0,0,0
11,2,1,1,1
11,2,2,1,1
12,2,0,0,1
12,2,1,0,1
13,2,0,0,0
13,2,1,0,0
13,2,2,0,0
13,2,3,0,0
13,2,4,0,0
13,2,5,0,0
13,2,6,0,0
13,2,7,1,0
14,2,0,0,1
14,2,1,0,1
14,2,2,0,1
14,2,3,0,1
14,2,4,0,1
14,2,5,0,1
14,2,6,0,1
14,2,7,0,1
14,2,8,0,1
14,2,9,0,1
14,2,10,0,1
14,2,11,0,1
14,2,12,0,1
14,2,13,0,1
14,2,14,0,1
14,2,15,0,1
14,2,16,0,1
14,2,17,1,0
14,2,18,1,0
14,2,19,1,0
14,2,20,1,0
14,2,21,1,0
14,2,22,1,0
15,2,0,0,0
15,2,1,0,0
15,2,2,0,0
15,2,3,0,0
15,2,4,0,0
15,2,5,0,0
15,2,6,0,0
15,2,7,0,0
15,2,8,0,0
15,2,9,0,1
15,2,10,1,1
15,2,11,1,1
16,2,0,0,0
16,2,1,1,1
16,2,2,1,1
16,2,3,1,1
16,2,4,1,1
16,2,5,1,1
17,2,0,0,1
17,2,1,0,1
17,2,2,0,1
17,2,3,0,1
17,2,4,0,1
17,2,5,0,1
17,2,6,0,1
17,2,7,0,1
17,2,8,0,1
17,2,9,0,1
17,2,10,1,1
17,2,11,1,1
17,2,12,1,1
17,2,13,1,1
17,2,14,1,1
17,2,15,1,1
17,2,16,1,1
17,2,17,1,1
17,2,18,1,1
17,2,19,1,1
18,2,0,0,0
18,2,1,1,1
19,2,0,0,0
19,2,1,1,1
19,2,2,1,1
20,2,0,0,1
20,2,1,0,1
21,2,0,0,0
21,2,1,0,0
21,2,2,0,0
21,2,3,0,0
21,2,4,0,0
21,2,5,0,0
21,2,6,0,0
21,2,7,1,0
22,2,0,0,1
22,2,1,0,1
22,2,2,0,1
22,2,3,0,1
22,2,4,0,1
22,2,5,0,1
22,2,6,0,1
22,2,7,0,1
22,2,8,0,1
22,2,9,0,1
22,2,10,0,1
22,2,11,0,1
22,2,12,0,1
22,2,13,0,1
22,2,14,0,1
22,2,15,0,1
22,2,16,0,1
22,2,17,1,0
22,2,18,1,0
22,2,19,1,0
22,2,20,1,0
22,2,21,1,0
22,2,22,1,0
23,2,0,0,0
23,2,1,0,0
23,2,2,0,0
23,2,3,0,0
23,2,4,0,0
23,2,5,0,0
23,2,6,0,0
23,2,7,0,0
23,2,8,0,0
23,2,9,0,1
23,2,10,1,1
23,2,11,1,1
24,2,0,0,0
24,2,1,1,1
24,2,2,1,1
24,2,3,1,1
24,2,4,1,1
24,2,5,1,1
25,2,0,0,1
25,2,1,0,1
25,2,2,0,1
25,2,3,0,1
25,2,4,0,1
25,2,5,0,1
25,2,6,0,1
25,2,7,0,1
25,2,8,0,1
25,2,9,0,1
25,2,10,1,1
25,2,11,1,1
25,2,12,1,1
25,2,13,1,1
25,2,14,1,1
25,2,15,1,1
25,2,16,1,1
25,2,17,1,1
25,2,18,1,1
25,2,19,1,1
26,2,0,0,0
26,2,1,1,1
27,2,0,0,0
27,2,1,1,1
27,2,2,1,1
28,2,0,0,1
28,2,1,0,1
29,2,0,0,0
29,2,1,0,0
29,2,2,0,0
29,2,3,0,0
29,2,4,0,0
29,2,5,0,0
29,2,6,0,0
29,2,7,1,0
30,2,0,0,1
30,2,1,0,1
30,2,2,0,1
30,2,3,0,1
30,2,4,0,1
30,2,5,0,1
30,2,6,0,1
30,2,7,0,1
30,2,8,0,1
30,2,9,0,1
30,2,10,0,1
30,2,11,0,1
30,2,12,0,1
30,2,13,0,1
30,2,14,0,1
30,2,15,0,1
30,2,16,0,1
30,2,17,1,0
30,2,18,1,0
30,2,19,1,0
30,2,20,1,0
30,2,21,1,0
30,2,22,1,0
31,2,0,0,0
31,2,1,0,0
31,2,2,0,0
31,2,3,0,0
31,2,4,0,0
31,2,5,0,0
31,2,6,0,0
31,2,7,0,0
31,2,8,0,0
31,2,9,0,1
31,2,10,1,1
31,2,11,1,1
32,2,0,0,0
32,2,1,1,1
32,2,2,1,1
32,2,3,1,1
32,2,4,1,1
32,2,5,1,1
33,2,0,0,1
33,2,1,0,1
33,2,2,0,1
33,2,3,0,1
33,2,4,0,1
33,2,5,0,1
33,2,6,0,1
33,2,7,0,1
33,2,8,0,1
33,2,9,0,1
33,2,10,1,1
33,2,11,1,1
33,2,12,1,1
33,2,13,1,1
33,2,14,1,1
33,2,15,1,1
33,2,16,1,1
33,2,17,1,1
33,2,18,1,1
33,2,19,1,1
34,2,0,0,0
34,2,1,1,1
35,2,0,0,0
35,2,1,1,1
35,2,2,1,1
36,2,0,0,1
36,2,1,0,1
37,2,0,0,0
37,2,1,0,0
37,2,2,0,0
37,2,3,0,0
37,2,4,0,0
37,2,5,0,0
37,2,6,0,0
37,2,7,1,0
38,2,0,0,1
38,2,1,0,1
38,2,2,0,1
38,2,3,0,1
38,2,4,0,1
38,2,5,0,1
38,2,6,0,1
38,2,7,0,1
38,2,8,0,1
38,2,9,0,1
38,2,10,0,1
38,2,11,0,1
38,2,12,0,1
38,2,13,0,1
38,2,14,0,1
38,2,15,0,1
38,2,16,0,1
38,2,17,1,0
38,2,18,1,0
38,2,19,1,0
38,2,20,1,0
38,2,21,1,0
38,2,22,1,0
39,2,0,0,0
39,2,1,0,0
39,2,2,0,0
39,2,3,0,0
39,2,4,0,0
39,2,5,0,0
39,2,6,0,0
39,2,7,0,0
39,2,8,0,0
39,2,9,0,1
39,2,10,1,1
39,2,11,1,1
40,2,0,0,0
40,2,1,1,1
40,2,2,1,1
40,2,3,1,1
40,2,4,1,1
40,2,5,1,1
41,2,0,0,1
41,2,1,0,1
41,2,2,0,1
41,2,3,0,1
41,2,4,0,1
41,2,5,0,1
41,2,6,0,1
41,2,7,0,1
41,2,8,0,1
41,2,9,0,1
41,2,10,1,1
41,2,11,1,1
41,2,12,1,1
41,2,13,1,1
41,2,14,1,1
41,2,15,1,1
41,2,16,1,1
41,2,17,1,1
41,2,18,1,1
41,2,19,1,1
42,2,0,0,0
42,2,1,1,1
43,2,0,0,0
43,2,1,1,1
43,2,2,1,1
44,2,0,0,1
44,2,1,0,1
45,2,0,0,0
45,2,1,0,0
45,2,2,0,0
45,2,3,0,0
45,2,4,0,0
45,2,5,0,0
45,2,6,0,0
45,2,7,1,0
46,2,0,0,1
46,2,1,0,1
46,2,2,0,1
46,2,3,0,1
46,2,4,0,1
46,2,5,0,1
46,2,6,0,1
46,2,7,0,1
46,2,8,0,1
46,2,9,0,1
46,2,10,0,1
46,2,11,0,1
46,2,12,0,1
46,2,13,0,1
46,2,14,0,1
46,2,15,0,1
46,2,16,0,1
46,2,17,1,0
46,2,18,1,0
46,2,19,1,0
46,2,20,1,0
46,2,21,1,0
46,2,22,1,0
47,2,0,0,0
47,2,1,0,0
47,2,2,0,0
47,2,3,0,0
47,2,4,0,0
47,2,5,0,0
47,2,6,0,0
47,2,7,0,0
47,2,8,0,0
47,2,9,0,1
47,2,10,1,1
47,2,11,1,1
48,2,0,0,0
48,2,1,1,1
48,2,2,1,1
48,2,3,1,1
48,2,4,1,1
48,2,5,1,1
49,2,0,0,1
49,2,1,0,1
49,2,2,0,1
49,2,3,0,1
49,2,4,0,1
49,2,5,0,1
49,2,6,0,1
49,2,7,0,1
49,2,8,0,1
49,2,9,0,1
49,2,10,1,1
49,2,11,1,1
49,2,12,1,1
49,2,13,1,1
49,2,14,1,1
49,2,15,1,1
49,2,16,1,1
49,2,17,1,1
49,2,18,1,1
49,2,19,1,1
50,2,0,0,0
50,2,1,1,1
51,2,0,0,0
51,2,1,1,1
51,2,2,1,1
52,2,0,0,1
52,2,1,0,1
53,2,0,0,0
53,2,1,0,0
53,2,2,0,0
53,2,3,0,0
53,2,4,0,0
53,2,5,0,0
53,2,6,0,0
53,2,7,1,0
54,2,0,0,1
54,2,1,0,1
54,2,2,0,1
54,2,3,0,1
54,2,4,0,1
54,2,5,0,1
54,2,6,0,1
54,2,7,0,1
54,2,8,0,1
54,2,9,0,1
54,2,10,0,1
54,2,11,0,1
54,2,12,0,1
54,2,13,0,1
54,2,14,0,1
54,2,15,0,1
54,2,16,0,1
54,2,17,1,0
54,2,18,1,0
54,2,19,1,0
54,2,20,1,0
54,2,21,1,0
54,2,22,1,0
55,2,0,0,0
55,2,1,0,0
55,2,2,0,0
55,2,3,0,0
55,2,4,0,0
55,2,5,0,0
55,2,6,0,0
55,2,7,0,0
55,2,8,0,0
55,2,9,0,1
55,2,10,1,1
55,2,11,1,1
56,2,0,0,0
56,2,1,1,1
56,2,2,1,1
56,2,3,1,1
56,2,4,1,1
56,2,5,1,1
57,2,0,0,1
57,2,1,0,1
57,2,2,0,1
57,2,3,0,1
57,2,4,0,1
57,2,5,0,1
57,2,6,0,1
57,2,7,0,1
57,2,8,0,1
57,2,9,0,1
57,2,10,1,1
57,2,11,1,1
57,2,12,1,1
57,2,13,1,1
57,2,14,1,1
57,2,15,1,1
57,2,16,1,1
57,2,17,1,1
57,2,18,1,1
57,2,19,1,1
58,2,0,0,0
58,2,1,1,1
59,2,0,0,0
59,2,1,1,1
59,2,2,1,1
60,2,0,0,1
60,2,1,0,1
61,2,0,0,0
61,2,1,0,0
61,2,2,0,0
61,2,3,0,0
61,2,4,0,0
61,2,5,0,0
61,2,6,0,0
61,2,7,1,0
62,2,0,0,1
62,2,1,0,1
62,2,2,0,1
62,2,3,0,1
62,2,4,0,1
62,2,5,0,1
62,2,6,0,1
62,2,7,0,1
62,2,8,0,1
62,2,9,0,1
62,2,10,0,1
62,2,11,0,1
62,2,12,0,1
62,2,13,0,1
62,2,14,0,1
62,2,15,0,1
62,2,16,0,1
62,2,17,1,0
62,2,18,1,0
62,2,19,1,0
62,2,20,1,0
62,2,21,1,0
62,2,22,1,0
63,2,0,0,0
63,2,1,0,0
63,2,2,0,0
63,2,3,0,0
63,2,4,0,0
63,2,5,0,0
63,2,6,0,0
63,2,7,0,0
63,2,8,0,0
63,2,9,0,1
63,2,10,1,1
63,2,11,1,1
64,2,0,0,0
64,2,1,1,1
64,2,2,1,1
64,2,3,1,1
64,2,4,1,1
64,2,5,1,1
65,2,0,0,1
65,2,1,0,1
65,2,2,0,1
65,2,3,0,1
65,2,4,0,1
65,2,5,0,1
65,2,6,0,1
65,2,7,0,1
65,2,8,0,1
65,2,9,0,1
65,2,10,1,1
65,2,11,1,1
65,2,12,1,1
65,2,13,1,1
65,2,14,1,1
65,2,15,1,1
65,2,16,1,1
65,2,17,1,1
65,2,18,1,1
65,2,19,1,1
66,2,0,0,0
66,2,1,1,1
67,2,0,0,0
67,2,1,1,1
67,2,2,1,1
68,2,0,0,1
68,2,1,0,1
69,2,0,0,0
69,2,1,0,0
69,2,2,0,0
69,2,3,0,0
69,2,4,0,0
69,2,5,0,0
69,2,6,0,0
69,2,7,1,0
70,2,0,0,1
70,2,1,0,1
70,2,2,0,1
70,2,3,0,1
70,2,4,0,1
70,2,5,0,1
70,2,6,0,1
70,2,7,0,1
70,2,8,0,1
70,2,9,0,1
70,2,10,0,1
70,2,11,0,1
70,2,12,0,1
70,2,13,0,1
70,2,14,0,1
70,2,15,0,1
70,2,16,0,1
70,2,17,1,0
70,2,18,1,0
70,2,19,1,0
70,2,20,1,0
70,2,21,1,0
70,2,22,1,0
71,2,0,0,0
71,2,1,0,0
71,2,2,0,0
71,2,3,0,0
71,2,4,0,0
71,2,5,0,0
71,2,6,0,0
71,2,7,0,0
71,2,8,0,0
71,2,9,0,1
71,2,10,1,1
71,2,11,1,1
72,2,0,0,0
72,2,1,1,1
73,2,0,0,0
73,2,1,1,1
74,2,0,0,0
74,2,1,0,0
74,2,2,0,0
74,2,3,0,0
74,2,4,0,0
74,2,5,1,1
74,2,6,1,1
74,2,7,1,1
75,2,0,0,0
75,2,1,0,0
75,2,2,1,1
75,2,3,1,1
75,2,4,1,1
76,2,0,0,0
76,2,1,1,1
76,2,2,1,1
76,2,3,1,1
77,2,0,0,0
77,2,1,0,0
77,2,2,0,0
77,2,3,0,0
77,2,4,0,0
77,2,5,0,0
77,2,6,0,0
77,2,7,0,1
77,2,8,1,1
78,2,0,0,0
78,2,1,0,0
78,2,2,1,1
79,2,0,0,0
79,2,1,0,1
79,2,2,1,1
80,2,0,0,0
80,2,1,1,1
81,2,0,0,0
81,2,1,0,0
81,2,2,0,0
81,2,3,0,0
82,2,0,0,0
82,2,1,1,1
83,2,0,0,0
83,2,1,0,0
83,2,2,0,0
83,2,3,1,1
83,2,4,1,1
83,2,5,1,1
84,2,0,0,0
84,2,1,0,0
84,2,2,0,0
84,2,3,0,0
84,2,4,0,0
84,2,5,0,0
84,2,6,0,0
84,2,7,0,0
84,2,8,0,0
84,2,9,0,0
84,2,10,0,0
84,2,11,0,0
84,2,12,0,0
85,2,0,0,0
85,2,1,0,0
85,2,2,0,0
85,2,3,0,0
85,2,4,0,0
85,2,5,0,0
85,2,6,0,0
85,2,7,0,0
85,2,8,1,1
85,2,9,1,1
85,2,10,1,1
86,2,0,0,0
86,2,1,0,0
