Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1560,2,0,"it has a nice big display and bright backlight.",0,0,8,1.000000,1.000000
1560,2,1,"it s pretty light and sturdy feeling.",0,0,11,0.680802,0.212530
1560,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,17,0.683977,0.161782
1560,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,24,0.674510,0.155486
1560,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,17,0.638533,0.158488
1562,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,8,1.000000,1.000000
1562,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,1,20,0.661315,0.208159
1563,2,0,"small with nice assortment of colors to choose from.",0,0,4,1.000000,1.000000
1563,2,1,"it runs most anything google play has to throw so far.",0,0,10,0.684610,0.212530
1563,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,0,2,0.694175,0.162029
1563,2,3,"this was a good gift for our 12 year old.",0,0,2,0.663211,0.204445
1563,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,0,14,0.699897,0.212226
1563,2,5,"it s a bit thick.",1,1,20,0.621809,0.204445
1563,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,1,20,0.708137,0.155486
1563,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,21,0.638759,0.162029
1563,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,19,0.684926,0.161782
1563,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,20,0.624790,0.158488
1566,2,0,"great value ",0,0,9,1.000000,1.000000
1566,2,1,"fully capable tablet for everything i wanted  internet  games  apps ",0,0,10,0.719408,0.212530
1566,2,2,"sd card is unintentionally removed if body is flexed too much.",1,1,19,0.634354,0.158730
1567,2,0,"received tablet in 1 business day with free shipping.",0,0,5,1.000000,1.000000
1567,2,1,"impressive.",0,0,5,0.636454,0.204445
1567,2,2,"functions well despite mediocre tech website reviews.",0,0,5,0.719422,0.212530
1567,2,3,"for this price range  both front and rear facing cameras and micro sd slot are big pluses over the google nexus.",0,0,6,0.701218,0.155486
