Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
848,2,0,"decent image quality.",0,0,6,1.000000,1.000000
848,2,1,"media play function is neat.",0,0,7,0.614539,0.128282
848,2,2,"speakers better than some.",0,1,12,0.610780,0.155057
848,2,3,"confusing remote.",1,1,15,0.600251,0.129329
848,2,4,"tv picture lags a bit when changing channels.",1,1,9,0.528439,0.128282
848,2,5,"usb quit working.",1,0,7,0.569253,0.156283
848,2,6,"so so picture quality.",1,0,6,0.526176,0.142275
853,2,0,"tv has great viewing angles and built in gaming mode for when you want to play games with it.",0,0,0,1.000000,1.000000
853,2,1,"better looking image then other 4k tvs",0,0,3,0.621735,0.242761
853,2,2,"smart tv has adds now and then which are a slight annoyance.",1,1,15,0.581268,0.156283
853,2,3,"for good audio needs a sound bar or sound system.",1,1,12,0.518569,0.223050
855,2,0,"great tv at a great price.",0,0,1,1.000000,1.000000
855,2,1,"don t let the refurbished scare you off.",0,0,1,0.640931,0.241050
855,2,2,"bought it about 6 months ago.",0,0,1,0.566358,0.156283
855,2,3,"works great.",0,0,1,0.600251,0.204507
855,2,4,"easy to set up.",0,0,1,0.562042,0.202993
855,2,5,"nice selection of inputs.",0,0,7,0.530123,0.202993
855,2,6,"not free....nothing that i ve found.",1,0,1,0.554230,0.221437
856,2,0,"nice size  excellent picture  enough ports  digital audio out.",0,0,0,1.000000,1.000000
856,2,1,"wish i could label hdmi ports and also remove ota tv from inputs list.",1,0,0,0.385230,0.142847
856,2,2,"a very minor thing.",1,1,15,0.575155,0.142275
857,2,0,"looks brand new out of the box  packaged and shipped well.",0,0,1,1.000000,1.000000
857,2,1,"works like a new tv should.",0,0,1,0.631646,0.128282
857,2,2,"great picture and color  after very little adjusting .",0,0,6,0.539546,0.242761
857,2,3,"is as advertised.",0,0,3,0.571052,0.223050
858,2,0,"wonderful picture  decent sound  easy setup  3 hdmi   digital coax out   thin bezel.",0,0,0,1.000000,1.000000
858,2,1,"no analog sound out.",1,0,0,0.373386,0.085796
858,2,2,"only 60mhz not 120mhz  but haven t noticed any ghosting.",1,0,0,0.550139,0.142275
859,2,0,"i already had one sanyo 42  with a few more bells and whistles that i did a lot of research on before buying  but this one looks just as good.",0,0,1,1.000000,1.000000
859,2,1,"considering i got the first one at you know where on black friday for  450 this is a great deal.",0,0,0,0.387043,0.127127
862,2,0,"good deal for the money.",0,0,1,1.000000,1.000000
862,2,1,"works just as it should.",0,0,1,0.628354,0.242761
862,2,2,"doesn t have the sound issues that i have seen with more expensive tv s",0,0,5,0.543053,0.129329
862,2,3,"more video inputs would be nice  but not gonna complain it holds all my current devices.",1,1,9,0.518569,0.141140
863,2,0,"incredible picture quality  can plug my hardrive right into the usb port and watch movies and tv shows off of it  not many tv s can do it.",0,0,7,1.000000,1.000000
863,2,1,"speakers are loud and clear.",0,0,7,0.621776,0.155057
863,2,2,"one of the 4 hdmi ports is a pain sometimes.",1,0,7,0.536123,0.142275
864,2,0,"just set this up this morning after getting it for eight hundred on black friday.",0,0,2,1.000000,1.000000
864,2,1,"i love the ultra thin and simplistic bezel.",0,0,2,0.606265,0.204507
864,2,2,"picture is stunning.",0,0,2,0.621046,0.202993
864,2,3,"had some input lag when first connecting my xbox   this is eliminated by turning the tv to game mode  which i believe enables the  vyper drive   as i don t see a standalone option  and disabling the image processing options like opc  noise reduction  etc.",0,1,9,0.644201,0.204188
864,2,4,"i didn t notice a drop in picture quality after doing this  and those options save specifically for your game console s input.",0,1,12,0.239052,0.077897
864,2,5,"wifi set up was easy but had only medium connection strength....i ll likely go wired  but ymmv.",0,0,7,0.591543,0.156283
864,2,6,"usb input is a big plus  and it plays many movie types   avi  mkv  asf  and more.",0,0,7,0.544506,0.155057
864,2,7,"sound quality is as good as other sets  but i will be using my surround sound soon instead.",0,1,12,0.545959,0.242761
864,2,8,"  only one component input   no biggie as i ll move over to hdmi.",1,1,12,0.547412,0.204507
864,2,9,"  apps include vudu  netflix  youtube  but no hulu    maybe that will be updated  pleaseplease ",1,1,10,0.512299,0.142275
865,2,0,"picture quality is outstanding  sound quality is very good for a thin tv  streams services like netflix very well  nice configuration options  uses the same lcd panel as samsung s top end products  passes through dd and dts sound from sources  streaming  hdmi  to the optical out connection   for the quality of the tv the price is very reasonable.",0,0,7,1.000000,1.000000
865,2,1,"don t expect much in the web browsing area.",1,1,8,0.608746,0.223050
866,2,0,"i am very impressed with this product the color and sound are excellentand the price got it during cyber monday last year.",0,0,2,1.000000,1.000000
866,2,1,"after watching a movie if i did not go back out to select another program soon or exit out the end of the movie would stay locked on the screen and you could not cut the tv off by the tv off button or the remote off button.thankfully this was a common problem and a technian from vizio told how to reset the tv.after doing what he instructed me to do several times 4 or 5 it stopped and l have not had any other issues.",1,1,9,0.544804,0.223050
868,2,0,"easy set up wifi works well with d link router vizio internet apps include netflix  youtube  and hulu perfect for the kitchen great value on refurbished equipment reasonable quality image  not great  not bad ",0,0,7,1.000000,1.000000
868,2,1,"no hbo go sound okay but not great  though this is pretty much par for the course with most low cost flat screens  can hook into soundbar ",1,0,7,0.469206,0.131415
869,2,0,"product arrived quickly and as dexcribed.",0,0,4,1.000000,1.000000
869,2,1,"seems to work very sel lso far.",0,0,4,0.639423,0.155057
869,2,2,"this is my first vizio  i have a larger samsung.",0,0,4,0.587289,0.129329
869,2,3,"i was a little surprised at how light the tv is.",0,0,2,0.595529,0.155057
869,2,4,"seems cheap but this may be normal for 32  tv.",0,0,3,0.583278,0.128282
869,2,5,"i have some issue with wifi signal strenght but contacted vizio and spoke to an actual perosn who was most helpful  i like that a lot.",0,0,3,0.543053,0.156283
869,2,6,"picture and sound quality are very good.",0,0,6,0.572357,0.204507
869,2,7,"overall after a few days i must say i am quite please with the purchase.",0,0,4,0.566870,0.241050
869,2,8,"extremelty easy to use app s  netflix ",0,0,2,0.519301,0.129329
869,2,9,"wifi receiver a bit weak",1,1,13,0.510182,0.142275
870,2,0,"arrived damaged  so can t comment",0,1,13,1.000000,1.000000
870,2,1,"the tv arrived damaged  so i can t comment on its qualities",1,1,13,0.085580,0.092721
871,2,0,"it is overall a great tv.",0,1,12,1.000000,1.000000
871,2,1,"i ordered it to use my xbox on and it does that without a problem.",0,1,9,0.587455,0.202993
871,2,2,"goes to 1080p with hdmi so i m not sure why the recommended hd was 720p.",0,1,9,0.580863,0.242761
871,2,3,"if you are looking for a tv to play games on this is it i feel.",0,1,12,0.596178,0.202993
871,2,4,"as far as television and movies it has great picture and sound quality.",0,1,8,0.625442,0.307512
871,2,5,"the sound is astoundingly good from the built in speakers.",0,1,8,0.317806,0.085478
871,2,6,"the only con i can think of is the base for the tv is a little cheap.",1,1,8,0.536725,0.221437
873,2,0,"crisp clear picture  small bezel  easy interface and menu",0,0,2,1.000000,1.000000
873,2,1,"built in speakers aren t very good.",1,1,8,0.596651,0.223050
875,2,0,"not too heavy great size adequate bezel width great input options easy to configure sound is pretty decent too  wonderful color  great brigtness and lots of options for setting up.",0,0,1,1.000000,1.000000
875,2,1,"the stand is glass  which is kind of a delicate substrate for it.",1,1,13,0.624702,0.202993
875,2,2,"is not a  smart  tv   so you will have to provide your own  netflix   hulu  streaming etc. off brand with an almost comical  chinese  sounding name   but it adds to its charm.",1,1,15,0.533312,0.142275
876,2,0,"very cheap for a 50 .",0,0,3,1.000000,1.000000
876,2,1,"but it works nice even over a year now",0,0,3,0.557032,0.221437
877,2,0,"pretty great tv for  359 with rebate card.",0,0,1,1.000000,1.000000
877,2,1,"replaced my old 2006 42  pan plasma.",0,0,1,0.238877,0.125610
877,2,2,"weighs less than half of that 100lb beast.",0,0,1,0.637516,0.156283
877,2,3,"better speakers than the 32  one i bought.",0,0,4,0.564580,0.128282
877,2,4," same brand   haven t hooked it up to the computer as of yet  but its intended for tv and movies.",0,0,3,0.583278,0.155057
877,2,5,"very low heat compared to the old plasma s radiation.",0,0,4,0.581268,0.129329
877,2,6,"hooks up to my lap top edge to edge with a few tweaks in display settings.",0,0,0,0.619197,0.205708
877,2,7,"really really good picture on hd stuff and surfing thru the lap top.",0,0,0,0.349482,0.143015
877,2,8,"wouldn t expect it to be a great computer monitor for gaming but will do a follow up after i try it out.",1,0,3,0.524938,0.155057
877,2,9,"took a little tweaking to get the base set up straight.",1,0,3,0.537650,0.223050
878,2,0,"  low cost  low cost  low cost   3 hdmi inputs   acceptable quality  blackness   refresh rate   easily adjustable picture balance",0,0,0,1.000000,1.000000
878,2,1,"  turning on takes a few secs  no big deal   non existent customer service   it supposedly plays movies from a usb stick  but the formats i tried were not accepted.",1,1,14,0.542004,0.137937
881,2,0,"works amazingly for a refurbished tv  i really settled when i decided to get a 720p tv and i actually dont regret it  the picture quality is amazing  the screen had no scratches or any signs of wear  i thought i might have been sent a new tv on accident ",0,0,1,1.000000,1.000000
881,2,1,"the very few problems i did have with this tv were minor  the 3rd hdmi input does not work  but that doesnt matter to me.",1,1,15,0.430399,0.169223
881,2,2,"the speakers are a little buggy  for the most part it works great  but if i play a game where the music blasts suddenly or has very high bass the speakers get really loud  beyond what the volume setting is  and it seems like the speakers will blow out.",1,1,12,0.440474,0.210427
882,2,0,"great price and it suits all expected needs.",0,0,1,1.000000,1.000000
882,2,1,"pleasant surprise that it had 4 hdmi ports.",0,0,7,0.601570,0.241050
882,2,2,"my spouse is happy  actually has reconnected with tv viewing.",0,0,4,0.611763,0.202993
882,2,3,"nicely packaged.",0,0,1,0.570922,0.128282
882,2,4,"low volume output  but hope to rectify that with visio soundbar.",1,1,12,0.529092,0.241050
882,2,5,"no batteries were included.",1,1,13,0.550227,0.142275
