Doc ID, Source, SentenceIndex, ActualSentiment, PredictedSentiment
0,2,0,0,1
0,2,1,0,1
0,2,2,1,1
0,2,3,1,0
0,2,4,1,0
0,2,5,1,0
0,2,6,1,0
1,2,0,0,0
1,2,1,1,1
2,2,0,0,0
2,2,1,0,0
2,2,2,1,1
2,2,3,1,1
3,2,0,0,0
3,2,1,1,1
3,2,2,1,1
3,2,3,1,1
4,2,0,0,0
4,2,1,0,0
4,2,2,1,1
4,2,3,1,1
4,2,4,1,1
4,2,5,1,1
5,2,0,0,0
5,2,1,0,0
5,2,2,0,0
5,2,3,0,0
5,2,4,1,0
6,2,0,0,0
6,2,1,1,1
7,2,0,0,0
7,2,1,0,0
7,2,2,0,1
7,2,3,1,1
7,2,4,1,1
8,2,0,0,0
8,2,1,0,0
8,2,2,0,0
8,2,3,1,1
8,2,4,1,1
9,2,0,0,0
9,2,1,1,1
9,2,2,1,1
9,2,3,1,1
10,2,0,0,0
10,2,1,0,0
10,2,2,0,0
10,2,3,1,1
10,2,4,1,1
10,2,5,1,1
10,2,6,1,1
11,2,0,0,0
11,2,1,0,0
11,2,2,0,0
11,2,3,0,0
11,2,4,1,1
11,2,5,1,1
12,2,0,0,0
12,2,1,0,0
12,2,2,0,0
12,2,3,0,0
12,2,4,0,0
12,2,5,0,0
12,2,6,0,0
12,2,7,0,0
12,2,8,0,1
12,2,9,0,1
12,2,10,1,1
12,2,11,1,1
12,2,12,1,1
13,2,0,0,0
13,2,1,0,0
13,2,2,1,1
13,2,3,1,1
13,2,4,1,1
13,2,5,1,1
14,2,0,0,0
14,2,1,0,0
14,2,2,0,0
14,2,3,0,0
14,2,4,1,0
15,2,0,0,0
15,2,1,1,1
16,2,0,0,0
16,2,1,0,0
16,2,2,0,1
16,2,3,1,1
16,2,4,1,1
17,2,0,0,0
17,2,1,0,0
17,2,2,0,0
17,2,3,1,1
17,2,4,1,1
18,2,0,0,0
18,2,1,1,1
18,2,2,1,1
18,2,3,1,1
19,2,0,0,0
19,2,1,0,0
19,2,2,0,0
19,2,3,1,1
19,2,4,1,1
19,2,5,1,1
19,2,6,1,1
20,2,0,0,0
20,2,1,0,0
20,2,2,0,0
20,2,3,0,0
20,2,4,1,1
20,2,5,1,1
21,2,0,0,0
21,2,1,0,0
21,2,2,0,0
21,2,3,0,0
21,2,4,0,0
21,2,5,0,0
21,2,6,0,0
21,2,7,0,0
21,2,8,0,1
21,2,9,0,1
21,2,10,1,1
21,2,11,1,1
21,2,12,1,1
22,2,0,0,0
22,2,1,0,0
22,2,2,1,1
22,2,3,1,1
22,2,4,1,1
22,2,5,1,1
23,2,0,0,0
23,2,1,0,0
23,2,2,0,0
23,2,3,0,0
23,2,4,1,0
24,2,0,0,0
24,2,1,1,1
25,2,0,0,0
25,2,1,0,0
25,2,2,0,1
25,2,3,1,1
25,2,4,1,1
26,2,0,0,0
26,2,1,0,0
26,2,2,0,0
26,2,3,1,1
26,2,4,1,1
27,2,0,0,0
27,2,1,1,1
27,2,2,1,1
27,2,3,1,1
28,2,0,0,0
28,2,1,0,0
28,2,2,0,0
28,2,3,1,1
28,2,4,1,1
28,2,5,1,1
28,2,6,1,1
29,2,0,0,0
29,2,1,0,0
29,2,2,0,0
29,2,3,0,0
29,2,4,1,1
29,2,5,1,1
30,2,0,0,0
30,2,1,0,0
30,2,2,0,0
30,2,3,0,0
30,2,4,0,0
30,2,5,0,0
30,2,6,0,0
30,2,7,0,0
30,2,8,0,1
30,2,9,0,1
30,2,10,1,1
30,2,11,1,1
30,2,12,1,1
31,2,0,0,0
31,2,1,0,0
31,2,2,1,1
31,2,3,1,1
31,2,4,1,1
31,2,5,1,1
32,2,0,0,0
32,2,1,0,0
32,2,2,0,0
32,2,3,0,0
32,2,4,1,0
33,2,0,0,0
33,2,1,1,1
34,2,0,0,0
34,2,1,0,0
34,2,2,0,1
34,2,3,1,1
34,2,4,1,1
35,2,0,0,0
35,2,1,0,0
35,2,2,0,0
35,2,3,1,1
35,2,4,1,1
36,2,0,0,0
36,2,1,1,1
36,2,2,1,1
36,2,3,1,1
37,2,0,0,0
37,2,1,0,0
37,2,2,0,0
37,2,3,1,1
37,2,4,1,1
37,2,5,1,1
37,2,6,1,1
38,2,0,0,0
38,2,1,0,0
38,2,2,0,0
38,2,3,0,0
38,2,4,1,1
38,2,5,1,1
39,2,0,0,0
39,2,1,0,0
39,2,2,0,0
39,2,3,0,0
39,2,4,0,0
39,2,5,0,0
39,2,6,0,0
39,2,7,0,0
39,2,8,0,1
39,2,9,0,1
39,2,10,1,1
39,2,11,1,1
39,2,12,1,1
40,2,0,0,0
40,2,1,0,0
40,2,2,1,1
40,2,3,1,1
40,2,4,1,1
40,2,5,1,1
41,2,0,0,0
41,2,1,0,0
41,2,2,0,0
41,2,3,0,0
41,2,4,1,0
42,2,0,0,0
42,2,1,1,1
43,2,0,0,0
43,2,1,0,0
43,2,2,0,1
43,2,3,1,1
43,2,4,1,1
44,2,0,0,0
44,2,1,0,0
44,2,2,0,0
44,2,3,1,1
44,2,4,1,1
45,2,0,0,0
45,2,1,1,1
45,2,2,1,1
45,2,3,1,1
46,2,0,0,0
46,2,1,0,0
46,2,2,0,0
46,2,3,1,1
46,2,4,1,1
46,2,5,1,1
46,2,6,1,1
47,2,0,0,0
47,2,1,0,0
47,2,2,0,0
47,2,3,0,0
47,2,4,1,1
47,2,5,1,1
48,2,0,0,0
48,2,1,0,0
48,2,2,0,0
48,2,3,0,0
48,2,4,0,0
48,2,5,0,0
48,2,6,0,0
48,2,7,0,0
48,2,8,0,1
48,2,9,0,1
48,2,10,1,1
48,2,11,1,1
48,2,12,1,1
49,2,0,0,0
49,2,1,0,0
49,2,2,1,1
49,2,3,1,1
49,2,4,1,1
49,2,5,1,1
50,2,0,0,0
50,2,1,0,0
50,2,2,0,0
50,2,3,0,0
50,2,4,1,0
51,2,0,0,0
51,2,1,1,1
52,2,0,0,0
52,2,1,0,0
52,2,2,0,1
52,2,3,1,1
52,2,4,1,1
53,2,0,0,0
53,2,1,0,0
53,2,2,0,0
53,2,3,1,1
53,2,4,1,1
54,2,0,0,0
54,2,1,1,1
54,2,2,1,1
54,2,3,1,1
55,2,0,0,0
55,2,1,0,0
55,2,2,0,0
55,2,3,1,1
55,2,4,1,1
55,2,5,1,1
55,2,6,1,1
56,2,0,0,0
56,2,1,0,0
56,2,2,0,0
56,2,3,0,0
56,2,4,1,1
56,2,5,1,1
57,2,0,0,0
57,2,1,0,0
57,2,2,0,0
57,2,3,0,0
57,2,4,0,0
57,2,5,0,0
57,2,6,0,0
57,2,7,0,0
57,2,8,0,1
57,2,9,0,1
57,2,10,1,1
57,2,11,1,1
57,2,12,1,1
58,2,0,0,0
58,2,1,0,0
58,2,2,1,1
58,2,3,1,1
58,2,4,1,1
58,2,5,1,1
59,2,0,0,0
59,2,1,0,0
59,2,2,0,0
59,2,3,0,0
59,2,4,1,0
60,2,0,0,0
60,2,1,1,1
61,2,0,0,0
61,2,1,0,0
61,2,2,0,1
61,2,3,1,1
61,2,4,1,1
62,2,0,0,0
62,2,1,0,0
62,2,2,0,0
62,2,3,1,1
62,2,4,1,1
63,2,0,0,0
63,2,1,1,1
63,2,2,1,1
63,2,3,1,1
64,2,0,0,0
64,2,1,0,0
64,2,2,0,0
64,2,3,1,1
64,2,4,1,1
64,2,5,1,1
64,2,6,1,1
65,2,0,0,0
65,2,1,0,0
65,2,2,0,0
65,2,3,0,0
65,2,4,1,1
65,2,5,1,1
66,2,0,0,0
66,2,1,0,0
66,2,2,0,0
66,2,3,0,0
66,2,4,0,0
66,2,5,0,0
66,2,6,0,0
66,2,7,0,0
66,2,8,0,1
66,2,9,0,1
66,2,10,1,1
66,2,11,1,1
66,2,12,1,1
67,2,0,0,0
67,2,1,0,0
67,2,2,1,1
67,2,3,1,1
67,2,4,1,1
67,2,5,1,1
68,2,0,0,0
68,2,1,0,0
68,2,2,0,0
68,2,3,0,0
68,2,4,1,0
69,2,0,0,0
69,2,1,1,1
70,2,0,0,0
70,2,1,0,0
70,2,2,0,1
70,2,3,1,1
70,2,4,1,1
71,2,0,0,0
71,2,1,0,0
71,2,2,0,0
71,2,3,1,1
