Topic 0(0.043):	easi(0.049)	set(0.035)	pictur(0.028)	mode(0.023)	manual(0.022)	great(0.020)	featur(0.020)	control(0.020)	learn(0.016)	menu(0.015)	work(0.014)	function(0.013)	nice(0.012)	time(0.012)	auto(0.011)	option(0.011)	screen(0.010)	menus(0.010)	user(0.010)	help(0.009)	button(0.008)	shot(0.008)	good(0.008)	automat(0.007)	read(0.007)	lot(0.007)	thing(0.007)	turn(0.007)	intuit(0.007)	interfac(0.007)	oper(0.006)	fast(0.006)	navig(0.006)	scene(0.006)	shoot(0.006)	photo(0.006)	fun(0.006)	pretti(0.005)	flash(0.005)	love(0.005)	system(0.005)	figur(0.005)	lcd(0.005)	understand(0.005)	simpl(0.005)	advanc(0.004)	len(0.004)	focus(0.004)	touchscreen(0.004)	point(0.004)	
Topic 1(0.038):	love(0.035)	pictur(0.035)	bought(0.021)	softwar(0.021)	easi(0.020)	kodak(0.019)	photo(0.018)	review(0.016)	gift(0.015)	work(0.014)	comput(0.013)	read(0.012)	year(0.010)	screen(0.010)	great(0.010)	window(0.009)	daughter(0.009)	purchas(0.009)	featur(0.008)	easyshar(0.008)	manual(0.007)	lot(0.007)	christma(0.007)	user(0.007)	print(0.007)	nice(0.007)	month(0.007)	upload(0.007)	digit(0.007)	excel(0.006)	friend(0.006)	download(0.006)	wonder(0.006)	video(0.006)	share(0.005)	instal(0.005)	set(0.005)	nikon(0.005)	buy(0.005)	clear(0.005)	replac(0.005)	oper(0.005)	support(0.005)	good(0.005)	ago(0.005)	problem(0.005)	batteri(0.005)	edit(0.005)	wife(0.005)	load(0.005)	
Topic 2(0.041):	batteri(0.053)	pictur(0.039)	light(0.029)	good(0.025)	life(0.021)	flash(0.020)	great(0.019)	card(0.015)	lcd(0.013)	color(0.013)	time(0.011)	bright(0.011)	small(0.011)	size(0.011)	nice(0.011)	low(0.010)	long(0.010)	easi(0.010)	shot(0.009)	aa(0.009)	recharg(0.009)	memori(0.009)	photo(0.008)	thing(0.008)	sd(0.007)	love(0.007)	len(0.007)	screen(0.007)	clear(0.007)	mode(0.006)	pretti(0.006)	video(0.006)	set(0.006)	pocket(0.006)	excel(0.005)	zoom(0.005)	pic(0.005)	compact(0.005)	charg(0.005)	work(0.005)	indoor(0.005)	amaz(0.005)	option(0.005)	power(0.005)	fast(0.005)	outdoor(0.005)	carri(0.005)	black(0.005)	white(0.004)	weight(0.004)	
Topic 3(0.037):	len(0.033)	canon(0.030)	zoom(0.020)	buy(0.016)	digit(0.015)	better(0.013)	bought(0.013)	lens(0.012)	good(0.012)	price(0.011)	upgrad(0.011)	money(0.010)	panason(0.009)	great(0.009)	purchas(0.008)	soni(0.008)	dslr(0.008)	optic(0.008)	qualiti(0.008)	replac(0.007)	olympus(0.007)	year(0.007)	review(0.007)	elph(0.007)	case(0.007)	pictur(0.007)	time(0.007)	high(0.006)	kit(0.006)	lumix(0.006)	powershot(0.006)	epl2(0.006)	nikon(0.006)	bodi(0.006)	consid(0.006)	best(0.005)	featur(0.005)	rang(0.005)	shot(0.005)	mp(0.005)	slr(0.005)	extra(0.005)	spend(0.005)	excel(0.005)	viewfind(0.005)	iso(0.005)	packag(0.005)	nex(0.005)	newegg(0.005)	model(0.005)	
Topic 4(0.033):	screen(0.037)	mode(0.024)	pictur(0.023)	shot(0.022)	great(0.018)	shoot(0.017)	fast(0.017)	touch(0.016)	light(0.015)	lcd(0.013)	set(0.012)	button(0.012)	focus(0.012)	easi(0.011)	shutter(0.011)	featur(0.011)	size(0.010)	time(0.010)	good(0.010)	small(0.010)	low(0.009)	qualiti(0.008)	view(0.008)	imag(0.008)	nice(0.008)	speed(0.007)	zoom(0.007)	love(0.007)	bright(0.007)	thing(0.007)	flash(0.006)	video(0.006)	movi(0.006)	big(0.006)	lot(0.005)	photo(0.005)	point(0.005)	amaz(0.005)	frame(0.005)	hand(0.005)	hold(0.005)	len(0.005)	press(0.004)	day(0.004)	excel(0.004)	second(0.004)	work(0.004)	panorama(0.004)	start(0.004)	face(0.004)	
Topic 5(0.038):	pictur(0.067)	good(0.055)	shot(0.024)	photo(0.023)	qualiti(0.023)	great(0.021)	work(0.018)	focus(0.018)	zoom(0.017)	shoot(0.016)	point(0.016)	blurri(0.014)	video(0.013)	better(0.013)	time(0.013)	indoor(0.010)	light(0.009)	imag(0.009)	button(0.009)	pic(0.009)	long(0.008)	problem(0.008)	day(0.008)	shutter(0.008)	underwat(0.007)	night(0.007)	mode(0.007)	detail(0.006)	bought(0.006)	nice(0.006)	turn(0.006)	price(0.006)	sharp(0.006)	record(0.006)	fine(0.006)	expect(0.006)	slow(0.005)	digit(0.005)	olympus(0.005)	water(0.005)	pretti(0.005)	buy(0.005)	nikon(0.005)	clear(0.005)	color(0.005)	bad(0.004)	second(0.004)	set(0.004)	trip(0.004)	fair(0.004)	
Topic 6(0.027):	photo(0.035)	video(0.026)	shoot(0.017)	good(0.015)	featur(0.013)	point(0.012)	dslr(0.011)	time(0.010)	screen(0.010)	shot(0.010)	record(0.010)	digit(0.009)	thing(0.009)	feel(0.009)	better(0.009)	great(0.009)	set(0.008)	lot(0.007)	hand(0.007)	color(0.006)	mode(0.006)	nice(0.006)	amaz(0.006)	best(0.006)	len(0.006)	photograph(0.006)	compar(0.005)	nikon(0.005)	water(0.005)	built(0.005)	qualiti(0.005)	close(0.005)	flash(0.005)	canon(0.005)	cool(0.005)	hold(0.005)	imag(0.005)	sound(0.005)	big(0.005)	problem(0.005)	small(0.005)	balanc(0.004)	play(0.004)	pocket(0.004)	case(0.004)	model(0.004)	solid(0.004)	slr(0.004)	pic(0.004)	zoom(0.004)	
Topic 7(0.029):	len(0.044)	imag(0.025)	great(0.021)	lens(0.021)	qualiti(0.019)	kit(0.016)	sensor(0.014)	iso(0.013)	light(0.012)	low(0.011)	amaz(0.011)	zoom(0.011)	nikon(0.009)	full(0.009)	soni(0.009)	good(0.009)	sharp(0.009)	better(0.009)	bodi(0.008)	nois(0.008)	shot(0.008)	pictur(0.007)	excel(0.007)	love(0.007)	shoot(0.007)	frame(0.007)	high(0.007)	work(0.007)	angl(0.006)	video(0.006)	fast(0.006)	small(0.006)	clean(0.006)	crop(0.005)	photographi(0.005)	prime(0.005)	raw(0.005)	color(0.005)	abil(0.005)	dust(0.005)	start(0.005)	best(0.005)	d610(0.005)	size(0.005)	usabl(0.004)	focus(0.004)	mode(0.004)	d800(0.004)	time(0.004)	dx(0.004)	
Topic 8(0.044):	qualiti(0.046)	pictur(0.045)	video(0.038)	good(0.036)	great(0.032)	imag(0.024)	featur(0.019)	nice(0.019)	excel(0.016)	batteri(0.014)	easi(0.013)	set(0.011)	shot(0.010)	hd(0.010)	shoot(0.008)	photo(0.008)	small(0.008)	pic(0.007)	amaz(0.007)	digit(0.007)	color(0.007)	zoom(0.007)	captur(0.007)	price(0.007)	light(0.006)	movi(0.006)	mode(0.006)	len(0.005)	awesom(0.005)	better(0.005)	best(0.005)	record(0.005)	compact(0.005)	time(0.005)	card(0.005)	pretti(0.005)	expect(0.005)	softwar(0.005)	outstand(0.005)	soni(0.005)	simpl(0.005)	sound(0.004)	canon(0.004)	life(0.004)	audio(0.004)	feel(0.004)	charg(0.004)	incred(0.004)	memori(0.004)	fast(0.004)	
Topic 9(0.051):	canon(0.027)	soni(0.026)	price(0.018)	year(0.016)	review(0.015)	purchas(0.014)	qualiti(0.014)	great(0.014)	better(0.013)	shoot(0.013)	best(0.012)	good(0.012)	bought(0.011)	point(0.011)	disappoint(0.011)	buy(0.011)	imag(0.010)	model(0.010)	lens(0.010)	happi(0.010)	time(0.009)	product(0.009)	digit(0.009)	lot(0.009)	amazon(0.007)	decid(0.007)	featur(0.007)	pictur(0.007)	len(0.007)	read(0.007)	nikon(0.007)	replac(0.007)	return(0.007)	dslr(0.007)	photo(0.006)	recommend(0.006)	expens(0.006)	love(0.006)	panason(0.006)	big(0.005)	find(0.005)	full(0.005)	sensor(0.005)	hope(0.005)	cost(0.005)	worth(0.005)	compar(0.005)	frame(0.005)	reason(0.005)	high(0.005)	
Topic 10(0.029):	video(0.049)	qualiti(0.044)	pictur(0.040)	imag(0.029)	mode(0.024)	canon(0.019)	better(0.017)	zoom(0.016)	good(0.011)	focus(0.011)	hd(0.010)	review(0.010)	card(0.010)	turn(0.010)	photo(0.009)	shoot(0.008)	excel(0.008)	lot(0.008)	love(0.008)	nice(0.007)	sd(0.007)	switch(0.007)	compact(0.007)	resolut(0.006)	auto(0.006)	find(0.006)	issu(0.006)	compar(0.006)	dial(0.006)	point(0.006)	horribl(0.005)	size(0.005)	color(0.005)	stabil(0.005)	set(0.005)	buy(0.005)	disappoint(0.005)	movi(0.005)	problem(0.004)	year(0.004)	nikon(0.004)	expect(0.004)	light(0.004)	featur(0.004)	audio(0.004)	work(0.004)	low(0.004)	time(0.004)	surpris(0.004)	blurri(0.004)	
