Topic 0(0.000):	screen(0.068)	good(0.027)	feel(0.026)	great(0.021)	touch(0.018)	size(0.017)	nice(0.017)	hand(0.015)	big(0.013)	small(0.013)	case(0.013)	display(0.012)	qualiti(0.010)	respons(0.010)	bright(0.010)	beauti(0.009)	love(0.009)	fast(0.009)	work(0.008)	perfect(0.008)	easi(0.007)	color(0.007)	batteri(0.007)	resolut(0.007)	design(0.006)	easili(0.006)	scratch(0.006)	light(0.006)	fit(0.006)	solid(0.006)	sleek(0.006)	cheap(0.006)	inch(0.006)	better(0.006)	pretti(0.005)	protector(0.005)	amaz(0.005)	excel(0.005)	cool(0.005)	cover(0.005)	app(0.005)	smooth(0.005)	thing(0.005)	pocket(0.005)	glass(0.005)	best(0.004)	camera(0.004)	hold(0.004)	super(0.004)	weight(0.004)	
Topic 1(0.000):	app(0.051)	window(0.032)	android(0.031)	music(0.012)	great(0.011)	iphon(0.011)	work(0.011)	good(0.011)	nokia(0.010)	os(0.010)	download(0.009)	googl(0.009)	devic(0.009)	store(0.009)	map(0.008)	system(0.008)	play(0.008)	better(0.008)	appl(0.008)	game(0.007)	gps(0.007)	io(0.007)	featur(0.006)	easi(0.006)	oper(0.006)	free(0.006)	thing(0.006)	love(0.006)	updat(0.006)	time(0.006)	lot(0.006)	microsoft(0.005)	best(0.005)	user(0.005)	find(0.005)	tile(0.005)	limit(0.005)	market(0.004)	screen(0.004)	sync(0.004)	pretti(0.004)	drive(0.004)	navig(0.004)	web(0.004)	price(0.004)	compar(0.004)	learn(0.004)	wifi(0.004)	video(0.004)	nice(0.004)	
Topic 2(0.000):	price(0.070)	great(0.056)	good(0.029)	smartphon(0.023)	smart(0.021)	nokia(0.018)	best(0.016)	lumia(0.014)	buy(0.013)	cheap(0.013)	window(0.012)	recommend(0.010)	featur(0.010)	android(0.010)	bought(0.010)	deal(0.010)	money(0.009)	year(0.009)	nice(0.008)	product(0.008)	better(0.008)	contract(0.008)	pay(0.008)	amazon(0.007)	month(0.007)	cost(0.007)	love(0.007)	purchas(0.007)	qualiti(0.007)	high(0.007)	buck(0.006)	iphon(0.006)	tmobil(0.006)	work(0.006)	budget(0.006)	excel(0.006)	basic(0.006)	thing(0.005)	time(0.005)	amaz(0.005)	awesom(0.005)	worth(0.005)	plan(0.005)	devic(0.005)	beat(0.005)	lot(0.005)	find(0.005)	entri(0.005)	level(0.005)	paid(0.005)	
Topic 3(0.000):	batteri(0.108)	life(0.053)	day(0.042)	charg(0.035)	good(0.024)	great(0.022)	hour(0.019)	time(0.012)	work(0.010)	long(0.008)	thing(0.008)	bad(0.008)	better(0.008)	screen(0.007)	turn(0.007)	app(0.007)	wifi(0.007)	fast(0.006)	call(0.006)	night(0.006)	pretti(0.006)	usag(0.006)	full(0.005)	suck(0.005)	play(0.005)	charger(0.005)	week(0.005)	coupl(0.005)	power(0.005)	game(0.005)	half(0.005)	amaz(0.004)	dead(0.004)	remov(0.004)	lot(0.004)	die(0.004)	love(0.004)	featur(0.004)	user(0.004)	recommend(0.004)	averag(0.004)	moder(0.004)	heavi(0.004)	nice(0.003)	drain(0.003)	buy(0.003)	camera(0.003)	recharg(0.003)	bought(0.003)	longer(0.003)	
Topic 4(0.000):	good(0.063)	qualiti(0.038)	sound(0.034)	great(0.030)	call(0.027)	speaker(0.020)	work(0.017)	clear(0.017)	loud(0.013)	bluetooth(0.012)	nice(0.012)	music(0.012)	excel(0.011)	recept(0.011)	featur(0.010)	listen(0.009)	camera(0.009)	radio(0.009)	price(0.009)	hear(0.008)	audio(0.008)	player(0.008)	screen(0.007)	surpris(0.007)	headphon(0.007)	video(0.006)	fm(0.006)	play(0.005)	ear(0.005)	best(0.005)	voic(0.005)	mp3(0.005)	bit(0.005)	recommend(0.005)	batteri(0.005)	pretti(0.005)	volum(0.005)	better(0.005)	headset(0.005)	wireless(0.005)	flaw(0.004)	devic(0.004)	glitch(0.004)	bell(0.004)	time(0.004)	motorola(0.004)	signal(0.004)	connect(0.004)	love(0.004)	life(0.004)	
Topic 5(0.000):	camera(0.089)	great(0.035)	good(0.031)	pictur(0.023)	flash(0.023)	front(0.020)	qualiti(0.016)	light(0.014)	nice(0.014)	screen(0.014)	face(0.014)	video(0.013)	work(0.013)	price(0.012)	pretti(0.011)	low(0.011)	featur(0.010)	app(0.010)	photo(0.010)	expect(0.010)	better(0.009)	nokia(0.009)	decent(0.008)	amaz(0.008)	star(0.007)	awesom(0.007)	batteri(0.006)	love(0.006)	best(0.006)	call(0.006)	thing(0.006)	perform(0.005)	excel(0.005)	pic(0.005)	smart(0.005)	lot(0.005)	fast(0.004)	skype(0.004)	display(0.004)	bright(0.004)	touch(0.004)	record(0.004)	perfect(0.004)	shot(0.004)	led(0.004)	5mp(0.004)	player(0.004)	reason(0.003)	solid(0.003)	speaker(0.003)	
Topic 6(0.000):	card(0.058)	sim(0.054)	work(0.049)	good(0.024)	sd(0.018)	memori(0.014)	great(0.013)	slot(0.012)	micro(0.010)	fine(0.010)	dual(0.009)	intern(0.009)	batteri(0.008)	travel(0.008)	storag(0.008)	buy(0.008)	app(0.008)	microsd(0.007)	unlock(0.007)	bought(0.007)	perfect(0.006)	product(0.006)	camera(0.006)	insert(0.006)	tmobil(0.005)	featur(0.005)	nice(0.005)	time(0.005)	instruct(0.005)	manual(0.005)	easi(0.004)	screen(0.004)	call(0.004)	includ(0.004)	extra(0.004)	set(0.004)	love(0.004)	music(0.004)	busi(0.004)	purchas(0.004)	size(0.004)	support(0.004)	read(0.004)	space(0.004)	thing(0.004)	lot(0.004)	mp3(0.004)	att(0.004)	file(0.003)	option(0.003)	
Topic 7(0.000):	samsung(0.033)	galaxi(0.033)	work(0.029)	great(0.028)	good(0.027)	time(0.026)	receiv(0.014)	drop(0.014)	product(0.012)	expect(0.011)	love(0.011)	talk(0.010)	order(0.010)	buy(0.010)	iphon(0.009)	purchas(0.009)	condit(0.009)	s3(0.009)	year(0.008)	function(0.008)	rate(0.008)	arriv(0.007)	nice(0.007)	happi(0.007)	disappoint(0.007)	seller(0.007)	day(0.006)	better(0.006)	origin(0.006)	best(0.006)	perfect(0.006)	straight(0.006)	item(0.006)	replac(0.006)	star(0.006)	wonder(0.006)	job(0.006)	voic(0.005)	scratch(0.005)	bought(0.005)	mine(0.005)	motorola(0.005)	deal(0.005)	version(0.005)	excel(0.005)	deliv(0.005)	fast(0.004)	droid(0.004)	soni(0.004)	iii(0.004)	
Topic 8(0.000):	call(0.031)	servic(0.030)	work(0.027)	tmobil(0.025)	wifi(0.024)	network(0.018)	great(0.017)	signal(0.017)	att(0.016)	good(0.015)	area(0.012)	connect(0.011)	verizon(0.011)	cell(0.011)	unlock(0.009)	3g(0.009)	problem(0.009)	time(0.009)	coverag(0.009)	data(0.009)	custom(0.009)	mobil(0.008)	live(0.008)	recept(0.008)	lg(0.008)	carrier(0.007)	4g(0.007)	better(0.007)	drop(0.007)	featur(0.007)	buy(0.006)	sprint(0.006)	gsm(0.006)	internet(0.006)	hous(0.006)	activ(0.005)	excel(0.005)	lot(0.005)	qualiti(0.005)	support(0.005)	boost(0.004)	return(0.004)	issu(0.004)	pick(0.004)	bought(0.004)	iphon(0.004)	month(0.004)	bar(0.004)	recommend(0.004)	switch(0.004)	
Topic 9(0.000):	fast(0.027)	android(0.018)	great(0.018)	devic(0.017)	iphon(0.014)	nexus(0.014)	htc(0.013)	processor(0.013)	galaxi(0.012)	screen(0.012)	4g(0.011)	core(0.010)	ram(0.010)	speed(0.009)	best(0.009)	price(0.009)	samsung(0.009)	upgrad(0.009)	smooth(0.009)	better(0.009)	good(0.009)	version(0.009)	updat(0.008)	lte(0.008)	faster(0.008)	issu(0.008)	excel(0.008)	hardwar(0.008)	verizon(0.006)	s3(0.006)	work(0.006)	spec(0.006)	droid(0.006)	experi(0.006)	softwar(0.006)	nice(0.005)	dual(0.005)	batteri(0.005)	incred(0.005)	love(0.005)	improv(0.005)	time(0.005)	ship(0.005)	perform(0.005)	googl(0.005)	s4(0.005)	quad(0.005)	respons(0.005)	amaz(0.004)	impress(0.004)	
Topic 10(0.000):	love(0.108)	easi(0.044)	great(0.035)	good(0.022)	nice(0.018)	window(0.018)	bought(0.017)	keyboard(0.017)	recommend(0.017)	featur(0.015)	work(0.014)	type(0.014)	blackberri(0.012)	awesom(0.012)	absolut(0.011)	simpl(0.010)	gift(0.009)	daughter(0.009)	friend(0.008)	cell(0.008)	text(0.007)	excel(0.007)	thing(0.007)	exact(0.007)	learn(0.007)	small(0.007)	motorola(0.007)	purchas(0.007)	pretti(0.007)	intuit(0.006)	best(0.006)	lot(0.006)	happi(0.006)	figur(0.006)	son(0.006)	hate(0.006)	set(0.006)	android(0.005)	screen(0.005)	satisfi(0.005)	user(0.005)	iphon(0.005)	slide(0.005)	impress(0.005)	price(0.004)	husband(0.004)	interfac(0.004)	a1200(0.004)	ming(0.004)	person(0.004)	
