Topic 0(0.115):	pictur(0.104)	great(0.086)	qualiti(0.050)	good(0.047)	price(0.034)	sound(0.031)	easi(0.023)	set(0.016)	excel(0.016)	nice(0.015)	color(0.012)	setup(0.010)	product(0.010)	awesom(0.010)	work(0.009)	featur(0.009)	clear(0.009)	smart(0.008)	best(0.008)	amaz(0.008)	beauti(0.007)	better(0.007)	samsung(0.007)	crisp(0.006)	decent(0.006)	high(0.006)	remot(0.006)	hd(0.006)	light(0.006)	imag(0.005)	thin(0.005)	recommend(0.005)	love(0.005)	design(0.005)	box(0.005)	screen(0.005)	pretti(0.005)	sharp(0.005)	expect(0.005)	deal(0.004)	option(0.004)	buy(0.004)	led(0.004)	fantast(0.004)	lot(0.004)	lg(0.004)	control(0.004)	menu(0.004)	input(0.003)	speaker(0.003)	
Topic 1(0.047):	set(0.033)	pictur(0.031)	color(0.028)	bright(0.015)	black(0.015)	great(0.014)	screen(0.012)	light(0.012)	led(0.011)	good(0.011)	mode(0.011)	contrast(0.011)	adjust(0.010)	movi(0.010)	watch(0.010)	game(0.009)	rate(0.008)	view(0.008)	dark(0.008)	room(0.007)	turn(0.007)	sound(0.007)	refresh(0.007)	qualiti(0.007)	imag(0.007)	motion(0.007)	nice(0.007)	level(0.007)	notic(0.007)	120hz(0.006)	display(0.006)	monitor(0.006)	sharp(0.006)	clear(0.006)	panel(0.005)	work(0.005)	featur(0.005)	backlight(0.005)	thing(0.005)	pixel(0.005)	high(0.005)	sport(0.005)	angl(0.005)	scene(0.004)	issu(0.004)	lot(0.004)	white(0.004)	bit(0.004)	better(0.004)	perfect(0.004)	
Topic 2(0.048):	app(0.036)	remot(0.033)	smart(0.021)	netflix(0.018)	work(0.017)	control(0.017)	featur(0.016)	youtub(0.013)	good(0.013)	great(0.013)	video(0.012)	watch(0.011)	samsung(0.011)	set(0.010)	nice(0.009)	movi(0.009)	3d(0.009)	easi(0.009)	pictur(0.008)	web(0.008)	user(0.008)	button(0.008)	time(0.007)	volum(0.007)	interfac(0.007)	stream(0.007)	keyboard(0.007)	googl(0.006)	internet(0.006)	amazon(0.006)	cool(0.005)	function(0.005)	play(0.005)	navig(0.005)	sound(0.005)	connect(0.005)	devic(0.005)	pretti(0.005)	love(0.005)	screen(0.005)	search(0.005)	thing(0.005)	find(0.005)	issu(0.004)	simpl(0.004)	model(0.004)	light(0.004)	qualiti(0.004)	wireless(0.004)	option(0.004)	
Topic 3(0.051):	plasma(0.029)	pictur(0.024)	good(0.017)	screen(0.017)	price(0.017)	room(0.016)	nice(0.015)	samsung(0.015)	size(0.015)	great(0.014)	panason(0.014)	set(0.013)	mount(0.013)	wall(0.012)	black(0.011)	better(0.011)	stand(0.011)	lcd(0.011)	bought(0.010)	big(0.009)	small(0.009)	qualiti(0.008)	perfect(0.008)	thin(0.008)	compar(0.008)	easi(0.008)	live(0.008)	unit(0.007)	bezel(0.007)	light(0.007)	led(0.006)	tvs(0.006)	model(0.006)	purchas(0.006)	year(0.006)	hdtv(0.006)	fit(0.005)	buy(0.005)	sound(0.005)	color(0.005)	point(0.005)	replac(0.005)	work(0.005)	inch(0.005)	televis(0.004)	love(0.004)	low(0.004)	space(0.004)	soni(0.004)	flat(0.004)	
Topic 4(0.072):	great(0.033)	price(0.024)	purchas(0.022)	review(0.018)	buy(0.017)	good(0.017)	bought(0.017)	samsung(0.015)	year(0.014)	game(0.014)	monitor(0.014)	work(0.013)	love(0.013)	month(0.012)	lg(0.012)	happi(0.012)	amazon(0.010)	led(0.009)	pictur(0.009)	best(0.009)	inch(0.008)	hdtv(0.008)	recommend(0.007)	play(0.007)	plasma(0.007)	day(0.007)	thing(0.007)	model(0.007)	problem(0.007)	issu(0.007)	read(0.007)	qualiti(0.007)	screen(0.007)	room(0.007)	better(0.006)	comput(0.006)	ago(0.006)	lcd(0.006)	replac(0.006)	product(0.006)	newegg(0.006)	bad(0.006)	ship(0.006)	vizio(0.006)	bedroom(0.005)	time(0.005)	set(0.005)	deal(0.005)	week(0.005)	brand(0.005)	
Topic 5(0.069):	app(0.049)	watch(0.023)	great(0.022)	comcast(0.016)	xfiniti(0.015)	servic(0.014)	channel(0.014)	amazon(0.014)	cabl(0.013)	work(0.012)	internet(0.012)	good(0.011)	day(0.010)	order(0.010)	free(0.010)	movi(0.010)	box(0.009)	pay(0.009)	love(0.009)	buy(0.009)	time(0.008)	access(0.008)	price(0.008)	nice(0.008)	purchas(0.007)	ship(0.007)	wifi(0.007)	netflix(0.007)	program(0.007)	limit(0.007)	live(0.007)	demand(0.006)	lot(0.006)	download(0.006)	custom(0.006)	content(0.006)	money(0.006)	featur(0.006)	bought(0.006)	favorit(0.006)	arriv(0.006)	smart(0.005)	expect(0.005)	account(0.005)	subscript(0.005)	offer(0.005)	easi(0.005)	network(0.005)	set(0.005)	newegg(0.005)	
Topic 6(0.042):	3d(0.051)	pictur(0.037)	set(0.028)	watch(0.019)	movi(0.017)	qualiti(0.016)	good(0.014)	hd(0.014)	samsung(0.014)	great(0.013)	amaz(0.013)	imag(0.011)	glass(0.011)	game(0.010)	better(0.009)	best(0.009)	view(0.008)	soni(0.007)	love(0.007)	color(0.007)	awesom(0.006)	hdtv(0.006)	buy(0.006)	clear(0.006)	play(0.006)	bluray(0.006)	work(0.006)	vizio(0.006)	review(0.006)	thing(0.006)	1080p(0.006)	ray(0.005)	channel(0.005)	screen(0.005)	experi(0.005)	notic(0.005)	time(0.005)	2d(0.005)	content(0.005)	player(0.005)	cabl(0.005)	perfect(0.005)	calibr(0.005)	turn(0.005)	sharp(0.005)	featur(0.005)	purchas(0.004)	sound(0.004)	televis(0.004)	bought(0.004)	
Topic 7(0.041):	connect(0.039)	hdmi(0.031)	sound(0.024)	cabl(0.024)	input(0.022)	audio(0.018)	pictur(0.015)	port(0.014)	good(0.013)	great(0.013)	video(0.012)	work(0.011)	hook(0.011)	speaker(0.010)	compon(0.009)	usb(0.009)	output(0.009)	monitor(0.009)	pc(0.009)	comput(0.009)	internet(0.008)	system(0.008)	qualiti(0.008)	box(0.007)	wifi(0.007)	wireless(0.007)	vga(0.007)	devic(0.006)	set(0.006)	player(0.006)	stream(0.006)	play(0.006)	easi(0.006)	digit(0.006)	dvd(0.006)	smart(0.006)	laptop(0.005)	samsung(0.005)	featur(0.005)	netflix(0.005)	surround(0.005)	receiv(0.005)	watch(0.005)	option(0.005)	plug(0.004)	lot(0.004)	optic(0.004)	jack(0.004)	headphon(0.004)	hd(0.004)	
Topic 8(0.113):	app(0.075)	work(0.058)	kindl(0.045)	watch(0.033)	fire(0.029)	time(0.022)	great(0.020)	xfiniti(0.020)	download(0.019)	good(0.014)	freez(0.014)	play(0.014)	comcast(0.011)	movi(0.010)	problem(0.010)	commerci(0.009)	hd(0.009)	connect(0.009)	buffer(0.009)	program(0.008)	video(0.008)	load(0.008)	lot(0.007)	start(0.007)	error(0.007)	fine(0.006)	devic(0.006)	live(0.006)	issu(0.006)	player(0.006)	internet(0.006)	love(0.005)	disappoint(0.005)	updat(0.005)	frustrat(0.005)	stream(0.005)	better(0.005)	episod(0.004)	cabl(0.004)	minut(0.004)	star(0.004)	netflix(0.004)	wast(0.004)	network(0.004)	restart(0.004)	view(0.004)	compat(0.004)	day(0.004)	requir(0.004)	instal(0.004)	
Topic 9(0.041):	screen(0.052)	box(0.021)	set(0.015)	black(0.015)	light(0.014)	pictur(0.014)	notic(0.012)	watch(0.012)	time(0.011)	side(0.010)	left(0.009)	stand(0.009)	burn(0.009)	dark(0.009)	deliveri(0.008)	day(0.008)	turn(0.008)	view(0.008)	ship(0.008)	color(0.008)	top(0.008)	bottom(0.007)	issu(0.007)	bright(0.007)	damag(0.006)	problem(0.006)	imag(0.006)	arriv(0.006)	week(0.006)	thing(0.006)	packag(0.006)	corner(0.006)	good(0.005)	vertic(0.005)	led(0.005)	appear(0.005)	pixel(0.005)	great(0.005)	blue(0.005)	white(0.005)	scene(0.004)	small(0.004)	adjust(0.004)	angl(0.004)	hour(0.004)	product(0.004)	amazon(0.004)	bad(0.004)	lot(0.004)	care(0.004)	
Topic 10(0.076):	samsung(0.031)	servic(0.026)	call(0.024)	problem(0.018)	warranti(0.017)	amazon(0.016)	custom(0.016)	day(0.016)	replac(0.015)	repair(0.013)	month(0.013)	return(0.012)	issu(0.011)	week(0.011)	year(0.011)	product(0.010)	support(0.010)	work(0.010)	purchas(0.010)	time(0.010)	ship(0.010)	buy(0.009)	set(0.009)	told(0.009)	lg(0.008)	screen(0.007)	receiv(0.007)	wait(0.007)	deliveri(0.006)	help(0.006)	tech(0.006)	order(0.006)	contact(0.006)	power(0.005)	compani(0.005)	pixel(0.005)	send(0.005)	dead(0.005)	hour(0.005)	cost(0.005)	defect(0.005)	turn(0.005)	final(0.004)	unit(0.004)	experi(0.004)	phone(0.004)	peopl(0.004)	great(0.004)	refund(0.004)	panason(0.004)	
