Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1519,2,0,"repair turnaround was satisfactory",0,1,27,1.000000,1.000000
1519,2,1,"went dead after about 5 times using looking up restaurants.",1,1,27,0.692937,0.124165
1519,2,2,"upon replacement the new unit tf card slot didn t work.",1,0,7,0.725136,0.176041
1519,2,3,"tf card disappeared in the slot.",1,0,7,0.054657,0.029551
1519,2,4,"defective slot.",1,0,7,0.089667,0.049322
1529,2,0,"beautiful display  runs well after bloatware is disabled.",0,0,12,1.000000,1.000000
1529,2,1,"i really like the s pen wacom interface  and the organic feel of handwriting notes and drawing.",0,0,9,0.713067,0.122135
1529,2,2,"the perks that came with the tablet were very nice too   50gb of dropbox for 2 years   25 in google play store credit  etc.",0,0,1,0.676804,0.218142
1529,2,3,"battery life declined in the extreme after approx 5 months of daily use.",1,1,18,0.679992,0.233694
1529,2,4,"the battery would completely discharge within 2 hours  regardless of use.",1,1,18,0.243252,0.058447
1529,2,5,"second issue is inconsistent wifi  even when sitting right next to the router the signal would repeatedly drop and be lost.",1,1,23,0.637354,0.130571
1561,2,0,"it works how it should and runs good",0,0,10,1.000000,1.000000
1561,2,1,"the battery life is not good at all that is the only thing that is making it a 2 egg and not a 4 5 egg if the battery lasted more than 5 10 minutes of constant use it would not be all that bad of a thing to have but as it is now i can not use it",1,1,18,0.424210,0.141641
1562,2,0,"lots of functionality",0,0,1,1.000000,1.000000
1562,2,1,"poor resolution  quite speaker  lags a lot  doesn t seem to like netflix  and even hulu and youtube videos are always choppy  never smooth.",1,0,1,0.402505,0.168833
1562,2,2,"lots of lag mainly  also wish it was brighter  and they won t let you return it",1,0,1,0.121325,0.082647
1567,2,0,"primarily a child s toy.",1,1,21,1.000000,1.000000
1567,2,1,"i bought this thing to help track my medical accounts and test results.",1,1,16,0.732746,0.159939
1567,2,2,"it will not allow me to download the required app or even log into my medical accounts ",1,1,16,0.403869,0.091457
1570,2,0,"nice display  excellent battery life  decent performance.",0,0,3,1.000000,1.000000
1570,2,1," developer support  windows adb drivers are included with the tablet ",0,1,16,0.724461,0.251414
1570,2,2,"no 5ghz wifi support  no multiple user account support.",1,1,16,0.231068,0.049908
1570,2,3," developer support  the presence of windows adb drivers is not documented  it takes some web searching to discover that they are exposed via the  cd rom  storage mode for the usb connection .",1,1,25,0.376098,0.096955
1572,2,0,"my husband has a kindle i purchased this because i wanted something more.",0,1,17,1.000000,1.000000
1572,2,1,"this is that a mini computer.",0,1,26,0.685674,0.124165
1572,2,2,"hard to touch on small area to log onto different places.",1,0,0,0.697983,0.135044
1572,2,3,"also wanted to read on like a kindle and this has the back light which you cannot read in the sun.",1,0,0,0.679273,0.109833
1572,2,4,"would not purchase again might as well buy a small laptop.",1,0,9,0.657428,0.115596
1574,2,0,"  low cost    good deal on the microsoft office   hardware is basic but ok",0,1,25,1.000000,1.000000
1574,2,1,"note  i really liked this device  it was a good value for the office software  the device itself was well built and pretty well designed.",1,1,25,0.435019,0.118122
1574,2,2,"it uses new hardware and then new hardware has really buggy device drivers.",1,1,29,0.401309,0.153743
1574,2,3,"i found the updated device drivers introduced new problems.",1,1,29,0.225363,0.145430
1574,2,4,"if you want to get one of these  go to the hp forums and query about the device and wireless bluetooth problems.",1,1,28,0.090821,0.035184
1574,2,5,"more info    this device uses a realtek chip for bluetooth and wireless ethernet   shared bandwidth  the drivers are really bad and prevent the device from working correctly.",1,1,25,0.300930,0.100819
1574,2,6,"other vendors that use this same chip are also having the same problems.",1,1,28,0.406753,0.127352
1574,2,7," you will have issues with power management and the ethernet getting disabled when you use a bluetooth headphone.",1,1,25,0.725452,0.251414
1574,2,8," you can listen to music that is on your device with a bluetooth headset.",1,1,19,0.392835,0.112432
1574,2,9,"just do not expect to stream music video from the internet to the device and back out to your bluetooth device without problems.",1,1,23,0.094044,0.059383
1574,2,10,"example of the effect  the realtek chip provides both the ethernet and bluetooth support and they share bandwidth.",1,1,25,0.437590,0.104798
1574,2,11,"use of one cuts the other device s bandwidth significantly.",1,1,25,0.668491,0.148345
1574,2,12,"for example  my ethernet maximum wireless bandwidth went from 20 mbs to 5 mbs when a bluetooth headset was used.",1,1,23,0.677695,0.122135
1574,2,13,"that would be ok  but audio then came out of sync with movies it started out 1 2 second off but in 10 minutes the audio was 2 seconds out of sync with the video.",1,1,16,0.652454,0.137255
1574,2,14,"this cause me to update the drivers from the hp website.",1,1,16,0.678458,0.159939
1574,2,15,"these new drivers are from realtek and are meant to address customer complaints.",1,1,28,0.281224,0.096173
1574,2,16,"problem is they are much worse that the original default drivers provided for the device.",1,1,28,0.363079,0.124461
1574,2,17,"they introduce new problems.",1,1,28,0.121560,0.041545
1574,2,18," the end result was i returned the device with in a week.",1,1,28,0.654060,0.205386
1581,2,0,"screen is better than it s predecessor.",0,0,4,1.000000,1.000000
1581,2,1,"pen is a big plus for me  it understands my hand writing almost flawlessly.",0,0,9,0.728389,0.148345
