Topic 0(0.037):	screen(0.114)	lcd(0.062)	touch(0.029)	nice(0.028)	view(0.025)	featur(0.014)	viewfind(0.014)	display(0.011)	easi(0.009)	size(0.009)	small(0.008)	big(0.006)	finder(0.006)	great(0.005)	set(0.005)	bright(0.005)	good(0.004)	crack(0.004)	easili(0.004)	user(0.004)	clear(0.004)	thing(0.003)	option(0.003)	compact(0.003)	huge(0.003)	shot(0.003)	find(0.003)	pictur(0.003)	pocket(0.003)	perfect(0.003)	type(0.003)	love(0.003)	cool(0.003)	fast(0.003)	function(0.002)	design(0.002)	best(0.002)	time(0.002)	fit(0.002)	menu(0.002)	movi(0.002)	film(0.002)	excel(0.002)	hold(0.002)	problem(0.002)	correct(0.002)	rang(0.002)	face(0.002)	care(0.002)	reason(0.002)	
Topic 1(0.041):	great(0.229)	easi(0.059)	love(0.051)	pic(0.031)	featur(0.024)	amaz(0.017)	price(0.016)	pictur(0.011)	awesom(0.010)	recommend(0.007)	qualiti(0.005)	perfect(0.004)	small(0.003)	compact(0.003)	excel(0.002)	high(0.002)	happi(0.002)	deal(0.002)	bought(0.002)	thing(0.002)	work(0.002)	good(0.002)	nice(0.002)	carri(0.002)	fun(0.002)	fast(0.002)	captur(0.002)	best(0.002)	clear(0.002)	learn(0.002)	size(0.002)	understand(0.002)	lot(0.002)	time(0.002)	option(0.002)	upgrad(0.002)	super(0.002)	function(0.002)	product(0.001)	beauti(0.001)	purchas(0.001)	long(0.001)	figur(0.001)	pick(0.001)	buy(0.001)	con(0.001)	simpl(0.001)	big(0.001)	bit(0.001)	friend(0.001)	
Topic 2(0.036):	canon(0.168)	year(0.026)	powershot(0.014)	better(0.013)	t3i(0.010)	elph(0.010)	bought(0.007)	rebel(0.007)	purchas(0.006)	replac(0.006)	70d(0.006)	big(0.005)	5d(0.005)	mark(0.005)	60d(0.005)	disappoint(0.005)	7d(0.005)	review(0.004)	qualiti(0.004)	compar(0.004)	thing(0.004)	model(0.004)	upgrad(0.004)	shot(0.004)	lot(0.003)	buy(0.003)	good(0.003)	digit(0.003)	ago(0.003)	bad(0.003)	read(0.003)	decid(0.003)	time(0.003)	photograph(0.003)	recommend(0.003)	price(0.002)	size(0.002)	best(0.002)	fine(0.002)	excel(0.002)	month(0.002)	dslr(0.002)	longer(0.002)	happi(0.002)	older(0.002)	ii(0.002)	power(0.002)	side(0.002)	great(0.002)	featur(0.002)	
Topic 3(0.039):	imag(0.129)	qualiti(0.061)	nois(0.032)	iso(0.028)	high(0.017)	stabil(0.013)	fuji(0.013)	compar(0.013)	sharp(0.011)	panason(0.010)	best(0.010)	detail(0.009)	produc(0.008)	print(0.007)	excel(0.006)	size(0.006)	sensor(0.006)	set(0.005)	better(0.005)	rang(0.005)	higher(0.005)	notic(0.005)	color(0.005)	compact(0.005)	pixel(0.004)	featur(0.004)	digit(0.004)	noisi(0.004)	flash(0.004)	full(0.004)	design(0.004)	resolut(0.003)	megapixel(0.003)	usabl(0.003)	expect(0.003)	control(0.003)	level(0.003)	lot(0.003)	extrem(0.003)	small(0.003)	angl(0.003)	reduct(0.003)	lack(0.003)	good(0.002)	fine(0.002)	capabl(0.002)	bad(0.002)	nice(0.002)	user(0.002)	appear(0.002)	
Topic 4(0.035):	feel(0.036)	better(0.027)	bit(0.024)	model(0.019)	good(0.016)	pretti(0.012)	cheap(0.011)	price(0.010)	lot(0.010)	featur(0.008)	nice(0.008)	awesom(0.008)	compar(0.007)	expens(0.007)	control(0.006)	high(0.006)	find(0.005)	thing(0.005)	solid(0.005)	work(0.005)	rang(0.005)	fast(0.005)	fuji(0.005)	side(0.005)	qualiti(0.005)	read(0.004)	experi(0.004)	higher(0.004)	decent(0.004)	excel(0.004)	pro(0.004)	olympus(0.004)	plastic(0.004)	time(0.004)	big(0.004)	expect(0.003)	deal(0.003)	bad(0.003)	option(0.003)	frame(0.003)	photographi(0.003)	great(0.003)	point(0.003)	choic(0.003)	star(0.003)	low(0.003)	photograph(0.003)	kind(0.003)	hope(0.003)	display(0.003)	
Topic 5(0.039):	zoom(0.123)	digit(0.060)	optic(0.030)	featur(0.025)	small(0.022)	great(0.020)	price(0.014)	good(0.012)	easi(0.010)	size(0.010)	pocket(0.009)	compact(0.009)	resolut(0.008)	slr(0.006)	excel(0.006)	fit(0.005)	3x(0.005)	mp(0.005)	pictur(0.005)	carri(0.004)	nice(0.004)	best(0.004)	option(0.004)	long(0.004)	megapixel(0.004)	10x(0.004)	a40(0.003)	manual(0.003)	better(0.003)	turn(0.003)	decent(0.003)	time(0.003)	model(0.003)	5x(0.003)	high(0.003)	lot(0.003)	con(0.003)	perfect(0.003)	shot(0.003)	rang(0.003)	stabil(0.002)	qualiti(0.002)	easili(0.002)	buy(0.002)	allow(0.002)	function(0.002)	problem(0.002)	angl(0.002)	learn(0.002)	bit(0.002)	
Topic 6(0.042):	pictur(0.338)	qualiti(0.033)	blurri(0.028)	clear(0.016)	turn(0.010)	disappoint(0.010)	better(0.010)	good(0.009)	horribl(0.009)	set(0.008)	terribl(0.006)	bought(0.006)	bad(0.004)	nice(0.004)	great(0.004)	decent(0.004)	time(0.004)	graini(0.003)	return(0.003)	kodak(0.003)	friend(0.003)	crisp(0.002)	expect(0.002)	night(0.002)	color(0.002)	long(0.002)	recommend(0.002)	decid(0.002)	pretti(0.002)	print(0.002)	easi(0.002)	review(0.002)	insid(0.002)	featur(0.002)	fuzzi(0.002)	kid(0.002)	peopl(0.002)	appear(0.002)	year(0.002)	worth(0.002)	play(0.002)	digit(0.002)	lot(0.001)	slow(0.001)	purchas(0.001)	figur(0.001)	love(0.001)	shot(0.001)	thing(0.001)	matter(0.001)	
Topic 7(0.040):	nikon(0.118)	issu(0.031)	d610(0.031)	d600(0.028)	sensor(0.018)	review(0.017)	spot(0.014)	frame(0.012)	problem(0.012)	full(0.011)	purchas(0.010)	clean(0.009)	custom(0.009)	dust(0.008)	coolpix(0.008)	oil(0.008)	shutter(0.007)	time(0.007)	replac(0.006)	year(0.006)	owner(0.006)	fx(0.006)	happi(0.006)	product(0.006)	love(0.006)	user(0.006)	dx(0.005)	d800(0.005)	wait(0.005)	decid(0.005)	releas(0.005)	d7000(0.005)	star(0.004)	month(0.004)	chang(0.003)	d7100(0.003)	peopl(0.003)	upgrad(0.003)	buy(0.003)	d700(0.003)	d90(0.003)	offer(0.003)	imag(0.003)	compani(0.003)	updat(0.003)	rate(0.002)	friend(0.002)	notic(0.002)	check(0.002)	address(0.002)	
Topic 8(0.038):	buy(0.083)	bought(0.055)	money(0.029)	year(0.027)	time(0.017)	month(0.013)	work(0.012)	disappoint(0.010)	thought(0.010)	bad(0.010)	wast(0.010)	worth(0.009)	thing(0.009)	ago(0.008)	worst(0.008)	piec(0.007)	spend(0.006)	pictur(0.006)	wo(0.006)	return(0.005)	product(0.005)	daughter(0.005)	price(0.004)	junk(0.004)	better(0.004)	happi(0.004)	long(0.004)	wrong(0.004)	week(0.004)	reason(0.003)	love(0.003)	review(0.003)	problem(0.003)	friend(0.003)	purchas(0.003)	error(0.003)	turn(0.003)	christma(0.003)	recommend(0.003)	digit(0.002)	start(0.002)	store(0.002)	basic(0.002)	three(0.002)	brand(0.002)	great(0.002)	half(0.002)	paid(0.002)	cost(0.002)	save(0.002)	
Topic 9(0.035):	nice(0.028)	pictur(0.021)	good(0.016)	time(0.015)	lumix(0.015)	panason(0.015)	thing(0.014)	help(0.013)	zoom(0.012)	price(0.009)	big(0.009)	lot(0.009)	great(0.008)	better(0.008)	updat(0.008)	mode(0.008)	samsung(0.008)	design(0.007)	featur(0.006)	upgrad(0.006)	read(0.006)	problem(0.006)	mp(0.005)	find(0.005)	gps(0.005)	real(0.005)	love(0.005)	detail(0.005)	happi(0.004)	wonder(0.004)	bad(0.004)	leav(0.004)	small(0.004)	deal(0.004)	disappoint(0.004)	fit(0.004)	fast(0.004)	tv(0.004)	best(0.004)	pocket(0.004)	screen(0.003)	bit(0.003)	second(0.003)	power(0.003)	chang(0.003)	pretti(0.003)	recommend(0.003)	wo(0.003)	clear(0.003)	sharp(0.003)	
Topic 10(0.044):	product(0.031)	amazon(0.029)	return(0.029)	problem(0.028)	repair(0.025)	servic(0.024)	purchas(0.022)	warranti(0.021)	custom(0.019)	ship(0.019)	receiv(0.016)	call(0.015)	month(0.015)	send(0.015)	time(0.014)	order(0.013)	packag(0.012)	replac(0.012)	day(0.011)	defect(0.010)	work(0.010)	week(0.010)	item(0.010)	box(0.008)	support(0.008)	contact(0.007)	told(0.007)	compani(0.007)	cost(0.006)	year(0.006)	buy(0.006)	pay(0.005)	email(0.005)	offer(0.005)	error(0.005)	refund(0.005)	star(0.004)	hope(0.004)	seller(0.004)	manufactur(0.004)	open(0.004)	unit(0.004)	brand(0.004)	bought(0.004)	deal(0.004)	arriv(0.003)	wait(0.003)	person(0.003)	number(0.003)	issu(0.003)	
