Topic 0(0.035):	cabl(0.026)	good(0.020)	thing(0.019)	usb(0.018)	nice(0.016)	help(0.014)	design(0.013)	read(0.012)	better(0.011)	find(0.009)	standard(0.009)	big(0.008)	deal(0.008)	bad(0.007)	time(0.007)	great(0.006)	upgrad(0.006)	lot(0.006)	leav(0.005)	port(0.005)	samsung(0.005)	casio(0.005)	qualiti(0.004)	charg(0.004)	thought(0.004)	annoy(0.004)	small(0.004)	price(0.004)	review(0.004)	bit(0.004)	proprietari(0.004)	chang(0.004)	real(0.004)	featur(0.004)	mode(0.004)	problem(0.003)	love(0.003)	mp(0.003)	detail(0.003)	display(0.003)	happi(0.003)	wonder(0.003)	reason(0.003)	idea(0.003)	expens(0.003)	tv(0.003)	set(0.003)	flaw(0.003)	hold(0.003)	pretti(0.003)	
Topic 1(0.036):	work(0.056)	wifi(0.022)	featur(0.021)	samsung(0.020)	phone(0.019)	time(0.019)	connect(0.016)	updat(0.013)	upload(0.009)	wo(0.009)	lot(0.008)	gps(0.006)	devic(0.006)	iphon(0.006)	network(0.006)	app(0.006)	find(0.005)	remot(0.005)	set(0.005)	reason(0.005)	figur(0.005)	wireless(0.005)	system(0.005)	hour(0.005)	minut(0.005)	pretti(0.004)	bought(0.004)	smart(0.004)	firmwar(0.004)	function(0.004)	disappoint(0.004)	issu(0.004)	direct(0.003)	buy(0.003)	useless(0.003)	great(0.003)	better(0.003)	star(0.003)	post(0.003)	facebook(0.003)	help(0.003)	review(0.003)	fine(0.003)	day(0.003)	internet(0.003)	expect(0.003)	fun(0.003)	nice(0.003)	cell(0.003)	android(0.003)	
Topic 2(0.039):	small(0.071)	featur(0.050)	nice(0.043)	size(0.043)	pocket(0.038)	easi(0.036)	great(0.029)	fit(0.021)	big(0.017)	carri(0.017)	compact(0.016)	good(0.010)	easili(0.010)	perfect(0.006)	qualiti(0.004)	case(0.004)	tini(0.004)	weight(0.004)	clear(0.003)	find(0.003)	lot(0.003)	larger(0.003)	time(0.003)	portabl(0.003)	color(0.003)	price(0.003)	menus(0.003)	fun(0.003)	excel(0.003)	love(0.002)	purs(0.002)	hand(0.002)	bought(0.002)	smaller(0.002)	turn(0.002)	function(0.002)	decent(0.002)	recommend(0.002)	stick(0.002)	travel(0.002)	conveni(0.002)	high(0.002)	amaz(0.002)	zoom(0.002)	wife(0.002)	thing(0.002)	option(0.002)	beauti(0.002)	cool(0.002)	user(0.002)	
Topic 3(0.037):	photo(0.227)	qualiti(0.041)	better(0.026)	great(0.016)	disappoint(0.011)	turn(0.011)	lot(0.008)	featur(0.007)	expect(0.006)	purchas(0.005)	review(0.005)	mp(0.005)	nice(0.004)	good(0.004)	blur(0.004)	find(0.004)	time(0.004)	clear(0.004)	captur(0.003)	best(0.003)	close(0.003)	bad(0.003)	blurri(0.003)	beauti(0.003)	buy(0.003)	option(0.003)	set(0.003)	bought(0.003)	thing(0.003)	improv(0.003)	year(0.002)	thought(0.002)	peopl(0.002)	recommend(0.002)	replac(0.002)	famili(0.002)	compact(0.002)	shot(0.002)	easi(0.002)	decent(0.002)	work(0.002)	digit(0.002)	fine(0.002)	print(0.002)	problem(0.002)	resolut(0.002)	pretti(0.002)	day(0.002)	perfect(0.002)	definit(0.002)	
Topic 4(0.038):	lens(0.041)	dslr(0.022)	len(0.020)	soni(0.020)	nex5n(0.017)	nex(0.016)	focus(0.016)	iso(0.015)	sensor(0.013)	better(0.012)	bodi(0.010)	high(0.009)	5n(0.009)	manual(0.009)	shoot(0.008)	perform(0.008)	adapt(0.008)	viewfind(0.007)	fast(0.007)	system(0.007)	af(0.007)	control(0.007)	best(0.007)	option(0.006)	evf(0.006)	allow(0.006)	dial(0.005)	mount(0.005)	size(0.005)	imag(0.005)	shutter(0.005)	button(0.005)	kit(0.005)	smaller(0.004)	excel(0.004)	menu(0.004)	compact(0.004)	find(0.004)	light(0.004)	screen(0.004)	hand(0.004)	function(0.003)	larger(0.003)	apertur(0.003)	nex7(0.003)	limit(0.003)	review(0.003)	weight(0.003)	current(0.003)	ps(0.003)	
Topic 5(0.037):	len(0.147)	feel(0.026)	kit(0.017)	bodi(0.011)	cover(0.010)	bit(0.010)	cheap(0.008)	better(0.008)	flash(0.007)	grip(0.006)	start(0.006)	function(0.006)	awesom(0.005)	plastic(0.005)	good(0.005)	nice(0.005)	solid(0.005)	hand(0.005)	pretti(0.004)	hold(0.004)	excel(0.004)	work(0.004)	cap(0.004)	fast(0.004)	case(0.004)	thing(0.004)	includ(0.004)	handl(0.004)	button(0.003)	turn(0.003)	mm(0.003)	small(0.003)	find(0.003)	built(0.003)	fuji(0.003)	filter(0.003)	attach(0.003)	angl(0.003)	love(0.003)	bad(0.003)	buy(0.003)	switch(0.003)	photographi(0.003)	cost(0.003)	big(0.002)	decent(0.002)	addit(0.002)	close(0.002)	control(0.002)	higher(0.002)	
Topic 6(0.039):	imag(0.130)	qualiti(0.059)	nois(0.028)	iso(0.024)	sharp(0.015)	high(0.014)	compar(0.014)	stabil(0.013)	better(0.010)	detail(0.009)	panason(0.009)	produc(0.009)	rang(0.008)	best(0.008)	resolut(0.007)	pixel(0.007)	print(0.007)	model(0.006)	set(0.006)	color(0.006)	compact(0.005)	sensor(0.005)	notic(0.005)	good(0.005)	excel(0.005)	featur(0.005)	fuji(0.005)	megapixel(0.005)	size(0.004)	noisi(0.004)	higher(0.004)	lot(0.004)	full(0.004)	level(0.003)	build(0.003)	extrem(0.003)	soft(0.003)	reduct(0.003)	built(0.003)	expect(0.002)	f30(0.002)	bad(0.002)	test(0.002)	usabl(0.002)	angl(0.002)	control(0.002)	expens(0.002)	exposur(0.002)	bit(0.002)	disappoint(0.002)	
Topic 7(0.040):	good(0.210)	qualiti(0.093)	price(0.063)	pretti(0.021)	expect(0.017)	better(0.014)	decent(0.008)	excel(0.005)	cheap(0.004)	buy(0.003)	compact(0.003)	rang(0.003)	great(0.003)	happi(0.003)	nice(0.003)	thought(0.003)	featur(0.003)	year(0.003)	easi(0.003)	bit(0.002)	recommend(0.002)	lot(0.002)	small(0.002)	size(0.002)	bad(0.002)	print(0.002)	definit(0.002)	thing(0.002)	expens(0.002)	horribl(0.002)	color(0.002)	bought(0.002)	lack(0.002)	store(0.002)	best(0.002)	work(0.002)	choic(0.002)	crisp(0.002)	time(0.001)	worth(0.001)	capabl(0.001)	turn(0.001)	hope(0.001)	general(0.001)	care(0.001)	fair(0.001)	averag(0.001)	high(0.001)	option(0.001)	carri(0.001)	
Topic 8(0.037):	softwar(0.046)	kodak(0.043)	comput(0.035)	easi(0.024)	work(0.024)	download(0.021)	instal(0.014)	window(0.012)	pc(0.010)	support(0.010)	problem(0.008)	find(0.008)	transfer(0.008)	easyshar(0.007)	load(0.007)	function(0.006)	share(0.006)	usb(0.006)	file(0.006)	user(0.005)	program(0.005)	longer(0.005)	compat(0.005)	simpl(0.005)	instruct(0.004)	system(0.004)	mac(0.004)	dock(0.004)	upload(0.004)	oper(0.004)	includ(0.004)	good(0.004)	figur(0.004)	websit(0.004)	clear(0.003)	digit(0.003)	plug(0.003)	bought(0.003)	nice(0.003)	cd(0.003)	wo(0.003)	edit(0.003)	printer(0.003)	help(0.003)	price(0.002)	xp(0.002)	time(0.002)	devic(0.002)	store(0.002)	buy(0.002)	
Topic 9(0.038):	zoom(0.148)	digit(0.070)	optic(0.033)	price(0.018)	panason(0.016)	lumix(0.014)	featur(0.011)	best(0.009)	good(0.009)	slr(0.006)	great(0.006)	mp(0.006)	turn(0.005)	3x(0.005)	megapixel(0.005)	buy(0.005)	resolut(0.004)	time(0.004)	excel(0.004)	qualiti(0.004)	bit(0.004)	option(0.004)	stabil(0.004)	hold(0.003)	10x(0.003)	better(0.003)	problem(0.003)	hp(0.003)	lot(0.003)	zs20(0.003)	35mm(0.003)	compact(0.003)	lcd(0.003)	high(0.003)	model(0.003)	size(0.003)	allow(0.003)	macro(0.002)	long(0.002)	smaller(0.002)	12x(0.002)	perfect(0.002)	coupl(0.002)	compar(0.002)	5x(0.002)	easi(0.002)	nice(0.002)	shot(0.002)	close(0.002)	learn(0.002)	
Topic 10(0.040):	mode(0.096)	set(0.068)	manual(0.039)	auto(0.035)	control(0.019)	shoot(0.015)	button(0.013)	switch(0.012)	adjust(0.012)	menu(0.012)	chang(0.011)	scene(0.010)	shutter(0.010)	movi(0.010)	iso(0.009)	speed(0.009)	white(0.008)	select(0.008)	exposur(0.008)	automat(0.007)	shot(0.007)	balanc(0.007)	option(0.005)	flash(0.005)	turn(0.005)	learn(0.004)	lot(0.004)	point(0.004)	menus(0.004)	featur(0.004)	macro(0.004)	apertur(0.004)	hand(0.004)	program(0.004)	press(0.003)	thing(0.003)	nice(0.003)	good(0.003)	situat(0.003)	function(0.003)	time(0.003)	fair(0.003)	better(0.003)	work(0.003)	start(0.002)	abil(0.002)	allow(0.002)	intellig(0.002)	panorama(0.002)	best(0.002)	
