Topic 0(0.037):	button(0.055)	time(0.019)	thing(0.017)	option(0.017)	keyboard(0.016)	open(0.013)	press(0.012)	good(0.011)	side(0.011)	list(0.011)	find(0.011)	turn(0.010)	hold(0.010)	screen(0.009)	type(0.009)	featur(0.008)	set(0.008)	bit(0.007)	contact(0.007)	menu(0.006)	chang(0.005)	touch(0.005)	design(0.005)	top(0.005)	better(0.005)	annoy(0.005)	cover(0.005)	hit(0.005)	lock(0.005)	touchscreen(0.005)	power(0.004)	camera(0.004)	mode(0.004)	finger(0.004)	day(0.004)	navig(0.004)	click(0.004)	user(0.004)	feel(0.004)	volum(0.004)	icon(0.003)	select(0.003)	start(0.003)	easi(0.003)	number(0.003)	read(0.003)	text(0.003)	display(0.003)	push(0.003)	bad(0.003)	
Topic 1(0.041):	return(0.038)	receiv(0.036)	amazon(0.036)	product(0.032)	order(0.031)	seller(0.031)	box(0.031)	item(0.025)	ship(0.017)	purchas(0.016)	charger(0.013)	condit(0.011)	refund(0.011)	disappoint(0.010)	arriv(0.009)	origin(0.009)	refurbish(0.008)	broken(0.007)	buy(0.006)	packag(0.006)	review(0.006)	seal(0.005)	open(0.005)	defect(0.005)	advertis(0.005)	bewar(0.004)	scratch(0.004)	descript(0.004)	work(0.004)	damag(0.004)	brand(0.004)	send(0.004)	inspir(0.004)	problem(0.003)	time(0.003)	suppos(0.003)	sold(0.003)	hope(0.003)	bad(0.003)	black(0.003)	vendor(0.003)	cabl(0.003)	son(0.003)	help(0.003)	bought(0.003)	day(0.003)	notic(0.002)	wait(0.002)	buyer(0.002)	paid(0.002)	
Topic 2(0.039):	support(0.028)	custom(0.028)	blu(0.021)	servic(0.021)	warranti(0.019)	month(0.019)	email(0.017)	product(0.017)	send(0.015)	time(0.014)	compani(0.014)	call(0.014)	week(0.013)	replac(0.012)	told(0.012)	contact(0.012)	wait(0.011)	receiv(0.011)	day(0.010)	bought(0.010)	repair(0.009)	devic(0.009)	newegg(0.008)	purchas(0.008)	help(0.007)	buy(0.007)	number(0.007)	defect(0.006)	issu(0.006)	care(0.006)	pay(0.006)	cover(0.006)	review(0.006)	person(0.005)	problem(0.005)	answer(0.005)	question(0.005)	model(0.004)	repli(0.004)	final(0.004)	manufactur(0.004)	busi(0.004)	work(0.004)	amazon(0.004)	mail(0.004)	ship(0.003)	tech(0.003)	return(0.003)	respons(0.003)	case(0.003)	
Topic 3(0.039):	call(0.106)	text(0.059)	messag(0.033)	hear(0.017)	set(0.016)	featur(0.016)	send(0.013)	volum(0.013)	peopl(0.013)	voic(0.012)	sound(0.011)	qualiti(0.011)	turn(0.009)	drop(0.009)	ring(0.009)	talk(0.008)	time(0.008)	speaker(0.008)	figur(0.007)	receiv(0.007)	number(0.007)	thing(0.006)	clear(0.006)	person(0.006)	basic(0.005)	alarm(0.004)	rington(0.004)	function(0.004)	chang(0.004)	email(0.003)	tone(0.003)	loud(0.003)	good(0.003)	open(0.003)	internet(0.003)	pictur(0.003)	signal(0.003)	vibrat(0.003)	manual(0.002)	day(0.002)	problem(0.002)	wo(0.002)	three(0.002)	bad(0.002)	fine(0.002)	review(0.002)	bar(0.002)	record(0.002)	flip(0.002)	second(0.002)	
Topic 4(0.043):	batteri(0.195)	charg(0.091)	life(0.064)	day(0.052)	hour(0.024)	charger(0.017)	turn(0.014)	port(0.009)	die(0.008)	long(0.007)	power(0.007)	replac(0.007)	plug(0.007)	remov(0.006)	hold(0.006)	time(0.005)	great(0.005)	night(0.005)	full(0.005)	cord(0.005)	drain(0.004)	dead(0.004)	start(0.004)	month(0.003)	terribl(0.003)	wo(0.003)	year(0.003)	hand(0.003)	problem(0.003)	thing(0.002)	short(0.002)	leav(0.002)	bad(0.002)	week(0.002)	issu(0.002)	usag(0.002)	mode(0.002)	low(0.002)	constant(0.002)	better(0.002)	gps(0.002)	saver(0.001)	half(0.001)	work(0.001)	fast(0.001)	recharg(0.001)	left(0.001)	set(0.001)	longer(0.001)	good(0.001)	
Topic 5(0.040):	problem(0.080)	time(0.059)	issu(0.053)	day(0.032)	replac(0.025)	month(0.023)	start(0.019)	freez(0.018)	week(0.015)	turn(0.013)	reset(0.010)	restart(0.009)	shut(0.009)	work(0.008)	second(0.008)	hope(0.008)	bought(0.007)	return(0.007)	ago(0.006)	reboot(0.005)	power(0.005)	reason(0.005)	help(0.005)	bad(0.004)	call(0.004)	year(0.004)	thing(0.004)	random(0.003)	complet(0.003)	drop(0.003)	model(0.003)	coupl(0.003)	receiv(0.003)	long(0.003)	wait(0.003)	constant(0.003)	fail(0.002)	solv(0.002)	decid(0.002)	cingular(0.002)	screen(0.002)	send(0.002)	half(0.002)	frustrat(0.002)	review(0.002)	buy(0.002)	read(0.002)	store(0.002)	error(0.002)	resolv(0.002)	
Topic 6(0.039):	unlock(0.080)	att(0.050)	tmobil(0.049)	network(0.032)	4g(0.030)	htc(0.027)	work(0.020)	3g(0.020)	lock(0.016)	carrier(0.012)	gsm(0.010)	2g(0.008)	lte(0.007)	mobil(0.007)	code(0.007)	brand(0.006)	compat(0.006)	inspir(0.006)	buy(0.005)	band(0.005)	support(0.004)	advertis(0.003)	purchas(0.003)	local(0.003)	wrong(0.003)	sim(0.003)	fast(0.003)	second(0.003)	activ(0.003)	live(0.002)	area(0.002)	model(0.002)	talk(0.002)	requir(0.002)	star(0.002)	complet(0.002)	suppos(0.002)	receiv(0.002)	deal(0.002)	upgrad(0.002)	excel(0.002)	bad(0.002)	frequenc(0.002)	speed(0.002)	bought(0.002)	data(0.002)	problem(0.002)	signal(0.002)	big(0.002)	time(0.002)	
Topic 7(0.040):	camera(0.101)	qualiti(0.047)	pictur(0.037)	great(0.022)	good(0.021)	front(0.020)	video(0.019)	light(0.018)	flash(0.015)	decent(0.013)	face(0.012)	sound(0.011)	speaker(0.010)	screen(0.007)	low(0.007)	feel(0.007)	clear(0.006)	photo(0.006)	bright(0.006)	better(0.006)	pretti(0.005)	fast(0.005)	build(0.005)	game(0.004)	solid(0.004)	lot(0.004)	respons(0.004)	plastic(0.004)	hand(0.004)	high(0.004)	music(0.004)	thing(0.004)	expect(0.004)	compar(0.004)	perfect(0.003)	loud(0.003)	heavi(0.003)	excel(0.003)	time(0.003)	lack(0.003)	shot(0.003)	amaz(0.003)	bad(0.003)	long(0.002)	batteri(0.002)	bit(0.002)	color(0.002)	best(0.002)	price(0.002)	full(0.002)	
Topic 8(0.041):	app(0.087)	window(0.075)	android(0.067)	iphon(0.036)	os(0.021)	microsoft(0.016)	appl(0.013)	system(0.011)	tile(0.010)	io(0.010)	limit(0.008)	thing(0.008)	flash(0.007)	better(0.007)	price(0.007)	user(0.006)	compar(0.006)	best(0.006)	lack(0.005)	easi(0.005)	file(0.005)	smart(0.005)	oper(0.005)	game(0.005)	lot(0.005)	smartphon(0.005)	photo(0.004)	store(0.004)	featur(0.004)	hardwar(0.004)	wo(0.003)	find(0.003)	facebook(0.003)	wp8(0.003)	great(0.003)	smooth(0.003)	year(0.003)	skydriv(0.003)	live(0.003)	music(0.003)	chang(0.003)	platform(0.003)	interfac(0.003)	peopl(0.003)	account(0.003)	beat(0.003)	tablet(0.003)	feel(0.002)	email(0.002)	open(0.002)	
Topic 9(0.037):	samsung(0.064)	verizon(0.062)	galaxi(0.040)	s3(0.022)	iphon(0.017)	better(0.015)	softwar(0.015)	review(0.014)	version(0.010)	peopl(0.010)	droid(0.009)	upgrad(0.007)	featur(0.007)	carrier(0.007)	model(0.007)	razr(0.006)	lock(0.006)	year(0.006)	time(0.005)	market(0.005)	big(0.004)	best(0.004)	reason(0.004)	motorola(0.004)	user(0.004)	issu(0.004)	switch(0.004)	iii(0.003)	sprint(0.003)	great(0.003)	improv(0.003)	4g(0.003)	wife(0.003)	screen(0.003)	gps(0.003)	recept(0.003)	updat(0.003)	googl(0.003)	speed(0.002)	high(0.002)	wireless(0.002)	day(0.002)	oper(0.002)	drop(0.002)	signal(0.002)	custom(0.002)	week(0.002)	hand(0.002)	good(0.002)	hardwar(0.002)	
Topic 10(0.035):	blackberri(0.026)	bad(0.021)	con(0.017)	slow(0.014)	el(0.010)	work(0.009)	la(0.009)	bb(0.009)	en(0.009)	de(0.008)	es(0.007)	time(0.007)	product(0.006)	cell(0.006)	venezuela(0.005)	3g(0.005)	buy(0.005)	system(0.004)	bought(0.004)	lo(0.004)	recommend(0.004)	torch(0.004)	happi(0.004)	perfect(0.003)	color(0.003)	model(0.003)	disappoint(0.003)	great(0.003)	compar(0.003)	friend(0.003)	internet(0.003)	function(0.003)	upgrad(0.003)	better(0.003)	return(0.003)	softwar(0.003)	peopl(0.003)	month(0.003)	user(0.003)	open(0.003)	respons(0.003)	gsm(0.003)	iphon(0.003)	thing(0.003)	para(0.003)	chang(0.003)	excel(0.002)	store(0.002)	day(0.002)	black(0.002)	
