Topic 0(0.037):	charg(0.085)	charger(0.041)	work(0.032)	problem(0.026)	replac(0.024)	port(0.015)	plug(0.012)	day(0.011)	month(0.009)	week(0.008)	issu(0.008)	car(0.007)	hold(0.007)	cord(0.007)	talk(0.006)	usb(0.006)	great(0.006)	review(0.006)	long(0.005)	purchas(0.005)	wo(0.005)	cabl(0.005)	bought(0.005)	bad(0.005)	buy(0.005)	year(0.005)	power(0.004)	thing(0.004)	die(0.004)	leav(0.004)	hour(0.004)	origin(0.004)	turn(0.004)	set(0.003)	start(0.003)	damag(0.003)	dead(0.003)	time(0.003)	star(0.003)	type(0.003)	straight(0.003)	hope(0.003)	happi(0.003)	disappoint(0.003)	function(0.003)	second(0.003)	notic(0.002)	ago(0.002)	thought(0.002)	updat(0.002)	
Topic 1(0.040):	time(0.071)	problem(0.064)	issu(0.050)	day(0.035)	turn(0.026)	start(0.023)	freez(0.021)	month(0.020)	week(0.016)	shut(0.013)	restart(0.012)	reset(0.010)	work(0.009)	second(0.008)	coupl(0.008)	return(0.007)	hope(0.007)	ago(0.007)	year(0.007)	power(0.007)	reboot(0.006)	complet(0.006)	thing(0.005)	drop(0.005)	screen(0.005)	replac(0.005)	help(0.004)	random(0.004)	reason(0.004)	call(0.003)	half(0.003)	wo(0.003)	factori(0.003)	constant(0.003)	bought(0.003)	send(0.002)	wait(0.002)	lot(0.002)	open(0.002)	read(0.002)	stay(0.002)	good(0.002)	hour(0.002)	long(0.002)	solv(0.002)	resolv(0.002)	great(0.002)	buy(0.002)	frustrat(0.002)	point(0.002)	
Topic 2(0.038):	work(0.276)	fine(0.035)	expect(0.009)	great(0.008)	problem(0.008)	time(0.006)	tmobil(0.005)	proper(0.005)	bought(0.005)	buy(0.005)	star(0.004)	internet(0.004)	week(0.004)	perfect(0.003)	thing(0.003)	drop(0.003)	screen(0.003)	bad(0.003)	return(0.003)	day(0.002)	good(0.002)	suppos(0.002)	talk(0.002)	disappoint(0.002)	small(0.002)	receiv(0.002)	reason(0.002)	help(0.002)	purchas(0.002)	pretti(0.002)	start(0.002)	turn(0.002)	lot(0.002)	recommend(0.002)	product(0.002)	slow(0.002)	call(0.002)	hope(0.002)	friend(0.002)	cheap(0.002)	thought(0.002)	wo(0.002)	final(0.002)	respons(0.002)	happi(0.002)	better(0.002)	guess(0.002)	clear(0.001)	function(0.001)	second(0.001)	
Topic 3(0.038):	card(0.137)	sim(0.095)	sd(0.041)	memori(0.039)	micro(0.015)	slot(0.014)	intern(0.014)	work(0.009)	instal(0.008)	storag(0.008)	microsd(0.007)	dual(0.005)	read(0.005)	buy(0.005)	mobil(0.003)	space(0.003)	insert(0.003)	good(0.003)	8gb(0.003)	requir(0.003)	save(0.003)	bought(0.003)	problem(0.003)	fit(0.002)	remov(0.002)	big(0.002)	purchas(0.002)	store(0.002)	32gb(0.002)	includ(0.002)	deal(0.002)	applic(0.002)	move(0.002)	check(0.002)	regular(0.002)	list(0.002)	price(0.002)	recommend(0.002)	order(0.002)	onlin(0.002)	time(0.002)	fact(0.002)	cheap(0.002)	system(0.002)	current(0.002)	smart(0.002)	week(0.002)	local(0.001)	nice(0.001)	wo(0.001)	
Topic 4(0.039):	support(0.030)	custom(0.022)	devic(0.021)	send(0.020)	contact(0.018)	blu(0.017)	warranti(0.017)	email(0.017)	product(0.016)	replac(0.016)	servic(0.016)	receiv(0.014)	compani(0.012)	told(0.012)	purchas(0.011)	week(0.011)	month(0.011)	call(0.011)	repair(0.010)	wait(0.010)	model(0.009)	day(0.009)	help(0.008)	issu(0.008)	number(0.007)	problem(0.007)	care(0.007)	defect(0.007)	newegg(0.007)	time(0.007)	buy(0.007)	person(0.006)	answer(0.006)	respons(0.006)	tech(0.005)	manufactur(0.005)	work(0.005)	question(0.005)	repli(0.004)	cover(0.004)	review(0.004)	htc(0.004)	busi(0.004)	mail(0.004)	final(0.004)	complet(0.003)	case(0.003)	consid(0.003)	bought(0.003)	return(0.003)	
Topic 5(0.037):	nice(0.087)	good(0.052)	excel(0.038)	easi(0.022)	fast(0.017)	lot(0.013)	recommend(0.011)	featur(0.007)	thing(0.007)	screen(0.007)	happi(0.006)	bought(0.005)	better(0.005)	friend(0.005)	expect(0.005)	qualiti(0.005)	great(0.005)	pretti(0.005)	price(0.004)	star(0.004)	bad(0.004)	size(0.004)	big(0.003)	perfect(0.003)	work(0.003)	find(0.003)	user(0.003)	day(0.003)	simpl(0.003)	upgrad(0.003)	softwar(0.003)	deal(0.003)	chang(0.003)	slow(0.003)	love(0.003)	reason(0.002)	feel(0.002)	respons(0.002)	high(0.002)	camera(0.002)	easili(0.002)	clear(0.002)	smart(0.002)	long(0.002)	system(0.002)	open(0.002)	buy(0.002)	fit(0.002)	function(0.002)	small(0.002)	
Topic 6(0.037):	wifi(0.073)	call(0.049)	data(0.043)	connect(0.037)	set(0.026)	internet(0.025)	access(0.011)	network(0.010)	work(0.008)	featur(0.007)	option(0.006)	problem(0.006)	find(0.005)	screen(0.005)	chang(0.005)	mobil(0.005)	good(0.004)	free(0.004)	tmobil(0.004)	time(0.004)	text(0.004)	account(0.004)	clear(0.004)	plan(0.004)	signal(0.004)	thing(0.004)	easi(0.003)	great(0.003)	turn(0.003)	display(0.003)	function(0.003)	allow(0.003)	updat(0.003)	select(0.003)	save(0.003)	cellular(0.003)	help(0.002)	devic(0.002)	limit(0.002)	user(0.002)	bad(0.002)	day(0.002)	download(0.002)	hotspot(0.002)	applic(0.002)	cool(0.002)	requir(0.002)	touch(0.002)	slow(0.002)	switch(0.002)	
Topic 7(0.039):	servic(0.077)	call(0.058)	time(0.037)	custom(0.023)	minut(0.020)	lg(0.020)	activ(0.019)	signal(0.015)	number(0.013)	recept(0.013)	tracfon(0.013)	cell(0.013)	area(0.012)	talk(0.011)	drop(0.011)	year(0.008)	transfer(0.007)	coverag(0.007)	sprint(0.006)	hour(0.006)	live(0.006)	bar(0.005)	motorola(0.005)	net(0.004)	told(0.004)	websit(0.004)	find(0.004)	problem(0.004)	web(0.004)	onlin(0.004)	pick(0.003)	month(0.003)	thing(0.003)	check(0.003)	receiv(0.003)	horribl(0.003)	peopl(0.003)	buy(0.003)	user(0.003)	day(0.003)	person(0.003)	hous(0.003)	lot(0.003)	help(0.003)	week(0.002)	long(0.002)	reason(0.002)	final(0.002)	order(0.002)	star(0.002)	
Topic 8(0.041):	return(0.039)	product(0.038)	amazon(0.038)	purchas(0.036)	seller(0.036)	order(0.034)	receiv(0.033)	box(0.030)	item(0.027)	ship(0.018)	disappoint(0.012)	arriv(0.012)	condit(0.011)	refund(0.010)	refurbish(0.010)	advertis(0.009)	brand(0.008)	origin(0.008)	packag(0.006)	scratch(0.006)	broken(0.005)	sold(0.005)	bewar(0.005)	descript(0.005)	open(0.005)	seal(0.004)	defect(0.004)	damag(0.004)	buy(0.004)	sell(0.004)	suppos(0.004)	buyer(0.004)	vendor(0.003)	hope(0.003)	english(0.003)	compani(0.003)	second(0.003)	notic(0.003)	paid(0.003)	cellphon(0.003)	time(0.003)	work(0.003)	unit(0.003)	black(0.003)	review(0.003)	recommend(0.003)	proper(0.002)	languag(0.002)	son(0.002)	screw(0.002)	
Topic 9(0.038):	tmobil(0.051)	month(0.048)	plan(0.046)	pay(0.027)	purchas(0.016)	contract(0.016)	buy(0.015)	boost(0.014)	year(0.014)	mobil(0.013)	cost(0.011)	bought(0.011)	prepaid(0.011)	unlimit(0.008)	switch(0.008)	store(0.007)	minut(0.006)	chang(0.006)	famili(0.005)	expens(0.005)	walmart(0.005)	time(0.005)	compani(0.005)	deal(0.005)	paid(0.005)	problem(0.004)	amazon(0.004)	cell(0.004)	save(0.004)	cheap(0.004)	credit(0.004)	fact(0.004)	extra(0.003)	check(0.003)	cheaper(0.003)	thing(0.003)	net10(0.003)	happi(0.003)	work(0.003)	custom(0.003)	start(0.003)	better(0.003)	final(0.003)	dollar(0.003)	account(0.003)	great(0.003)	websit(0.003)	find(0.003)	hope(0.002)	text(0.002)	
Topic 10(0.039):	good(0.229)	price(0.079)	pretti(0.019)	smart(0.015)	low(0.013)	cheap(0.010)	basic(0.008)	easi(0.008)	qualiti(0.007)	better(0.007)	recommend(0.004)	great(0.004)	thing(0.004)	featur(0.004)	expect(0.004)	lot(0.003)	nice(0.003)	rang(0.003)	function(0.003)	happi(0.003)	find(0.002)	best(0.002)	fast(0.002)	deal(0.002)	small(0.002)	compar(0.002)	time(0.002)	bought(0.002)	bit(0.002)	work(0.002)	bad(0.002)	decent(0.002)	screen(0.002)	oper(0.002)	slow(0.002)	averag(0.002)	perfect(0.002)	learn(0.002)	size(0.002)	complain(0.002)	love(0.002)	camera(0.002)	simpl(0.002)	sound(0.001)	perform(0.001)	product(0.001)	case(0.001)	buy(0.001)	day(0.001)	recept(0.001)	
Topic 11(0.040):	camera(0.102)	qualiti(0.049)	pictur(0.037)	great(0.025)	good(0.022)	front(0.022)	flash(0.019)	light(0.017)	video(0.017)	face(0.012)	decent(0.012)	speaker(0.011)	sound(0.011)	amaz(0.010)	pretti(0.009)	screen(0.009)	feel(0.008)	clear(0.008)	better(0.007)	low(0.007)	thing(0.007)	bright(0.006)	fast(0.005)	loud(0.005)	build(0.005)	photo(0.005)	high(0.005)	plastic(0.005)	solid(0.004)	lack(0.004)	lot(0.004)	bit(0.004)	respons(0.004)	perfect(0.004)	best(0.003)	smooth(0.003)	compar(0.003)	hand(0.003)	expect(0.003)	full(0.003)	case(0.003)	heavi(0.002)	music(0.002)	size(0.002)	shot(0.002)	game(0.002)	fair(0.002)	time(0.002)	audio(0.002)	cheap(0.002)	
