Topic 0(0.032):	pen(0.029)	app(0.026)	screen(0.025)	write(0.017)	featur(0.013)	time(0.011)	stylus(0.011)	read(0.010)	work(0.009)	good(0.008)	text(0.008)	paper(0.007)	spen(0.007)	program(0.007)	bright(0.007)	function(0.007)	draw(0.007)	bit(0.007)	feel(0.007)	digit(0.006)	set(0.006)	hand(0.006)	review(0.006)	high(0.005)	save(0.005)	sensit(0.005)	open(0.005)	handwrit(0.005)	move(0.005)	pretti(0.005)	case(0.005)	document(0.004)	find(0.004)	color(0.004)	thing(0.004)	file(0.004)	button(0.004)	appear(0.004)	android(0.004)	better(0.004)	mode(0.004)	great(0.004)	bottom(0.004)	offer(0.003)	edit(0.003)	small(0.003)	second(0.003)	window(0.003)	notic(0.003)	allow(0.003)	
Topic 1(0.032):	devic(0.179)	purchas(0.014)	music(0.010)	limit(0.010)	support(0.009)	access(0.008)	video(0.008)	user(0.008)	amazon(0.008)	media(0.007)	site(0.006)	function(0.006)	hardwar(0.006)	android(0.006)	issu(0.006)	free(0.006)	thing(0.005)	point(0.005)	option(0.005)	expect(0.004)	experi(0.004)	store(0.004)	read(0.004)	problem(0.004)	servic(0.004)	peopl(0.004)	better(0.004)	person(0.004)	great(0.004)	storag(0.003)	best(0.003)	display(0.003)	review(0.003)	system(0.003)	tab(0.003)	work(0.003)	good(0.003)	set(0.003)	wait(0.003)	addit(0.003)	basic(0.003)	feel(0.003)	version(0.003)	design(0.003)	lack(0.003)	offer(0.003)	month(0.003)	compar(0.003)	allow(0.003)	screen(0.003)	
Topic 2(0.032):	wifi(0.072)	connect(0.068)	time(0.023)	network(0.020)	internet(0.014)	problem(0.014)	speed(0.014)	set(0.011)	issu(0.010)	work(0.009)	wireless(0.009)	signal(0.008)	router(0.007)	load(0.005)	read(0.004)	phone(0.004)	download(0.004)	buy(0.004)	good(0.003)	laptop(0.003)	day(0.003)	gps(0.003)	function(0.003)	fast(0.003)	stay(0.003)	upgrad(0.003)	perform(0.003)	nice(0.002)	support(0.002)	easi(0.002)	access(0.002)	ic(0.002)	tech(0.002)	wake(0.002)	bought(0.002)	great(0.002)	second(0.002)	price(0.002)	find(0.002)	minut(0.002)	help(0.002)	option(0.002)	screen(0.002)	drop(0.002)	thing(0.002)	coupl(0.002)	rate(0.002)	user(0.002)	light(0.002)	side(0.002)	
Topic 3(0.034):	love(0.093)	bought(0.071)	christma(0.027)	kid(0.020)	gift(0.018)	awesom(0.016)	son(0.016)	easi(0.014)	daughter(0.012)	recommend(0.011)	great(0.007)	money(0.007)	happi(0.007)	wife(0.006)	enjoy(0.006)	buy(0.005)	game(0.005)	play(0.004)	time(0.004)	month(0.004)	day(0.004)	year(0.003)	amaz(0.003)	purchas(0.003)	product(0.003)	best(0.003)	work(0.003)	pictur(0.003)	learn(0.003)	perfect(0.003)	lot(0.003)	nice(0.002)	week(0.002)	movi(0.002)	read(0.002)	email(0.002)	friend(0.002)	pay(0.002)	watch(0.002)	good(0.002)	thing(0.002)	start(0.002)	problem(0.002)	better(0.002)	thought(0.002)	help(0.002)	download(0.002)	complaint(0.002)	wo(0.002)	long(0.002)	
Topic 4(0.034):	problem(0.058)	unit(0.057)	time(0.047)	updat(0.031)	issu(0.028)	work(0.015)	start(0.015)	day(0.014)	reboot(0.014)	turn(0.014)	week(0.014)	power(0.013)	reset(0.010)	firmwar(0.009)	button(0.009)	star(0.008)	wait(0.007)	second(0.006)	return(0.006)	random(0.006)	month(0.005)	hope(0.005)	touchscreen(0.005)	boot(0.005)	review(0.005)	freez(0.004)	factori(0.004)	replac(0.004)	minut(0.004)	hardwar(0.004)	coupl(0.003)	disappoint(0.003)	die(0.003)	fail(0.003)	money(0.003)	shut(0.003)	set(0.003)	complet(0.003)	crash(0.003)	purchas(0.002)	press(0.002)	touch(0.002)	screen(0.002)	system(0.002)	web(0.002)	perform(0.002)	forum(0.002)	nice(0.002)	bad(0.002)	function(0.002)	
Topic 5(0.032):	window(0.068)	softwar(0.016)	instal(0.014)	full(0.013)	work(0.012)	microsoft(0.011)	offic(0.009)	os(0.009)	desktop(0.008)	surfac(0.008)	driver(0.008)	pro(0.008)	program(0.008)	small(0.006)	pc(0.006)	laptop(0.006)	better(0.006)	acer(0.006)	rt(0.006)	screen(0.006)	comput(0.006)	lenovo(0.005)	drive(0.005)	good(0.005)	excel(0.005)	version(0.005)	button(0.004)	power(0.004)	size(0.004)	click(0.004)	graphic(0.004)	bluetooth(0.003)	hardwar(0.003)	processor(0.003)	dell(0.003)	sleep(0.003)	bit(0.003)	restart(0.003)	applic(0.003)	design(0.003)	thing(0.003)	free(0.003)	chang(0.003)	problem(0.003)	easi(0.003)	perfect(0.003)	issu(0.003)	upgrad(0.003)	time(0.003)	function(0.003)	
Topic 6(0.032):	slow(0.062)	price(0.043)	expect(0.029)	cheap(0.027)	low(0.014)	good(0.008)	bit(0.007)	freez(0.007)	screen(0.006)	worth(0.006)	qualiti(0.006)	money(0.005)	time(0.005)	resolut(0.005)	bad(0.005)	pretti(0.004)	respons(0.004)	nice(0.004)	buy(0.004)	fast(0.004)	load(0.004)	perform(0.003)	work(0.003)	great(0.003)	bought(0.003)	high(0.003)	better(0.003)	web(0.003)	decent(0.003)	purchas(0.003)	easi(0.003)	year(0.003)	game(0.003)	pay(0.003)	review(0.003)	speed(0.003)	reason(0.002)	brows(0.002)	size(0.002)	app(0.002)	android(0.002)	sound(0.002)	lot(0.002)	terribl(0.002)	thing(0.002)	clear(0.002)	problem(0.002)	video(0.002)	lag(0.002)	comput(0.002)	
Topic 7(0.033):	work(0.237)	fine(0.035)	bought(0.009)	time(0.007)	buy(0.006)	great(0.006)	nice(0.005)	problem(0.005)	money(0.005)	day(0.004)	perfect(0.004)	wo(0.004)	product(0.003)	fast(0.003)	recommend(0.003)	purchas(0.003)	month(0.003)	hold(0.003)	screen(0.003)	start(0.002)	good(0.002)	reset(0.002)	set(0.002)	price(0.002)	turn(0.002)	download(0.002)	comput(0.002)	button(0.002)	thing(0.002)	better(0.002)	phone(0.002)	freez(0.002)	find(0.002)	email(0.002)	touch(0.002)	second(0.002)	brows(0.002)	read(0.002)	play(0.002)	week(0.002)	system(0.002)	review(0.002)	function(0.002)	high(0.002)	left(0.002)	big(0.002)	short(0.002)	file(0.002)	wait(0.002)	disappoint(0.002)	
Topic 8(0.034):	batteri(0.166)	life(0.101)	hour(0.035)	long(0.017)	good(0.010)	price(0.006)	excel(0.006)	fast(0.005)	great(0.005)	expect(0.005)	light(0.004)	drain(0.004)	nice(0.004)	time(0.003)	easi(0.003)	size(0.003)	power(0.003)	decent(0.003)	game(0.003)	low(0.003)	minut(0.003)	better(0.003)	screen(0.003)	weight(0.003)	solid(0.003)	short(0.003)	day(0.002)	resolut(0.002)	respons(0.002)	charg(0.002)	issu(0.002)	full(0.002)	reason(0.002)	pretti(0.002)	high(0.002)	perfect(0.002)	work(0.002)	buy(0.002)	month(0.002)	advertis(0.002)	perform(0.002)	best(0.002)	bright(0.002)	display(0.002)	hold(0.002)	heavi(0.002)	big(0.002)	definit(0.002)	processor(0.002)	boot(0.002)	
Topic 9(0.031):	year(0.039)	model(0.025)	time(0.022)	screen(0.015)	case(0.014)	problem(0.011)	updat(0.011)	softwar(0.011)	user(0.010)	experi(0.010)	review(0.008)	button(0.008)	purchas(0.007)	compar(0.007)	lot(0.006)	great(0.006)	version(0.006)	display(0.005)	game(0.005)	store(0.005)	price(0.005)	month(0.005)	good(0.005)	speaker(0.005)	work(0.004)	mention(0.004)	instal(0.004)	coupl(0.004)	hope(0.004)	best(0.004)	pretti(0.003)	worth(0.003)	thing(0.003)	email(0.003)	expect(0.003)	test(0.003)	download(0.003)	internet(0.003)	money(0.003)	notic(0.003)	peopl(0.003)	find(0.003)	sound(0.003)	day(0.003)	nice(0.003)	hd(0.003)	power(0.003)	perform(0.003)	save(0.003)	app(0.003)	
Topic 10(0.033):	card(0.067)	sd(0.048)	memori(0.040)	storag(0.023)	slot(0.023)	gb(0.018)	android(0.013)	intern(0.011)	space(0.011)	microsd(0.009)	file(0.008)	micro(0.008)	32gb(0.007)	ram(0.006)	16gb(0.006)	system(0.005)	8gb(0.005)	full(0.005)	creativ(0.005)	gig(0.005)	size(0.005)	perform(0.004)	nice(0.004)	move(0.004)	expand(0.004)	data(0.004)	extern(0.004)	photo(0.004)	remov(0.004)	display(0.003)	applic(0.003)	price(0.003)	download(0.003)	case(0.003)	program(0.003)	app(0.003)	load(0.003)	instal(0.003)	machin(0.003)	good(0.003)	lot(0.003)	work(0.003)	support(0.002)	processor(0.002)	music(0.002)	advertis(0.002)	free(0.002)	pc(0.002)	screen(0.002)	purchas(0.002)	
