pic	1	2	3	5	8	1	2	3	5	12
pin	6	6	1	3	3	6	8	1	3	4
began	8	5	2	4	0	13	9	2	4	0
seamless	1	2	3	7	6	1	2	3	7	7
res	2	0	3	8	6	4	0	3	8	6
faulti	11	5	3	0	0	14	6	5	0	0
ten	1	4	5	5	5	1	4	5	5	5
knock	4	2	0	8	6	5	2	0	8	6
appli	5	4	3	3	5	5	4	3	3	6
intens	3	1	4	6	6	4	1	4	6	7
aluminum	2	3	3	7	5	2	4	4	7	6
effort	2	1	7	4	6	3	1	7	5	6
clariti	2	0	2	6	10	2	0	2	6	10
engin	5	5	3	7	0	5	5	3	7	0
repli	10	2	3	3	2	11	2	3	3	2
popular	3	5	2	4	6	3	5	2	4	6
gripe	2	1	2	8	7	2	1	2	8	7
knowledg	3	1	2	5	9	4	1	3	6	9
adult	1	7	6	4	2	1	8	6	4	2
mac	0	6	5	6	3	0	8	5	10	5
frank	2	3	2	7	6	2	3	2	7	6
frame	5	2	4	7	2	7	2	4	8	2
snap	5	4	0	6	5	5	5	0	7	5
consider	1	4	6	8	1	1	4	6	8	1
member	2	2	3	4	9	3	3	4	5	12
consist	2	5	4	8	1	2	5	4	10	1
describ	5	0	4	5	6	5	0	4	5	7
kick	1	4	4	7	4	1	4	4	7	4
xoom	4	2	1	5	8	4	2	1	14	10
standbi	2	5	4	5	4	2	9	4	5	4
boy	1	5	0	2	12	1	5	0	2	12
ipad2	3	4	3	7	3	3	10	4	11	3
wacom	3	2	2	7	7	4	4	2	15	9
magazin	0	3	5	6	7	0	3	5	7	10
credit	4	6	4	2	5	4	11	4	2	7
happier	1	3	3	4	10	1	3	3	4	10
treat	7	1	3	6	4	9	1	3	7	4
reload	9	6	1	1	4	9	6	1	1	4
ac	4	5	3	3	6	4	6	3	3	7
s4	1	3	7	5	5	1	4	10	5	5
calendar	2	0	2	7	10	4	0	3	11	12
4gb	1	3	1	6	10	1	3	1	8	12
gpu	1	6	0	9	5	1	6	0	9	6
portrait	1	4	3	6	7	1	4	4	7	7
bump	4	4	4	8	1	4	5	4	8	1
walk	3	2	4	4	8	3	2	4	4	8
blank	10	5	4	1	1	12	6	4	1	1
action	5	5	1	3	7	5	6	1	3	8
clock	2	2	3	8	5	2	2	4	17	7
lucki	2	3	5	5	6	2	3	5	5	7
vivid	0	1	1	7	12	0	1	1	8	12
recognit	1	7	2	8	3	1	8	2	13	5
wear	5	3	2	7	4	5	3	2	7	4
lead	5	3	3	5	5	5	3	3	5	5
advis	5	4	5	5	2	5	4	5	5	2
struggl	0	4	7	8	2	0	4	7	8	2
rubber	2	1	2	8	8	3	1	3	10	9
rough	3	5	4	5	4	3	5	4	6	4
rid	6	1	0	10	4	7	1	0	10	4
retail	6	4	6	3	2	7	4	8	3	2
stori	8	5	5	2	1	8	6	5	2	1
children	4	7	4	3	3	4	8	5	3	4
heavier	3	3	4	7	5	3	3	4	7	6
babi	1	4	3	5	9	1	4	3	5	9
admit	5	5	1	5	6	6	5	1	5	6
shape	3	3	1	8	7	3	4	1	8	7
widget	1	4	6	8	3	2	4	10	8	4
sudden	7	6	8	1	0	8	6	8	1	0
restor	9	3	4	3	3	9	3	4	4	3
resist	2	3	4	6	7	3	3	4	6	7
chines	4	2	7	4	5	8	2	8	8	8
decis	3	2	6	5	6	3	2	6	5	12
silk	0	1	4	6	11	0	3	4	7	15
polici	10	6	3	2	1	13	6	3	2	1
netbook	2	5	6	6	3	2	6	6	13	5
bonus	1	1	4	8	8	1	1	5	9	9
failur	10	8	1	2	1	12	10	1	4	1
playback	2	1	2	6	11	3	1	2	6	12
agre	5	4	5	6	2	7	4	7	6	2
superior	1	2	4	8	7	1	4	4	8	7
blow	2	2	2	11	5	2	2	3	11	5
wipe	7	4	5	5	1	7	4	6	7	1
password	9	3	5	2	3	12	5	6	3	3
prior	4	2	4	4	8	4	2	5	4	8
placement	2	4	3	9	4	2	4	3	9	4
backlight	7	1	5	4	5	9	1	5	5	5
strength	5	2	3	8	4	6	2	4	9	4
