Topic 0(0.036):	return(0.055)	unit(0.049)	ship(0.033)	order(0.031)	day(0.030)	receiv(0.029)	replac(0.028)	item(0.027)	amazon(0.022)	purchas(0.022)	box(0.022)	seller(0.014)	refund(0.012)	arriv(0.011)	refurbish(0.010)	defect(0.009)	newegg(0.009)	week(0.008)	packag(0.007)	send(0.006)	paid(0.006)	wait(0.006)	contact(0.006)	pay(0.004)	process(0.004)	start(0.004)	model(0.004)	charg(0.004)	review(0.004)	vendor(0.003)	product(0.003)	origin(0.003)	condit(0.002)	disappoint(0.002)	brand(0.002)	scratch(0.002)	work(0.002)	problem(0.002)	deliveri(0.002)	mark(0.002)	minut(0.002)	month(0.002)	hope(0.002)	appear(0.002)	today(0.002)	sell(0.002)	compani(0.002)	fail(0.002)	damag(0.002)	email(0.002)	
Topic 1(0.032):	product(0.166)	purchas(0.041)	disappoint(0.025)	recommend(0.017)	buy(0.016)	work(0.011)	creativ(0.006)	month(0.005)	bought(0.005)	review(0.005)	best(0.004)	advertis(0.004)	time(0.004)	receiv(0.004)	high(0.003)	qualiti(0.003)	nice(0.003)	excel(0.003)	thing(0.003)	hope(0.002)	expect(0.002)	return(0.002)	deal(0.002)	happi(0.002)	refurbish(0.002)	enjoy(0.002)	help(0.002)	money(0.002)	lot(0.002)	simpli(0.002)	reason(0.002)	stay(0.002)	brand(0.002)	price(0.002)	learn(0.002)	worth(0.002)	star(0.002)	peopl(0.002)	exact(0.002)	good(0.002)	manufactur(0.002)	great(0.002)	complet(0.002)	rate(0.002)	person(0.002)	box(0.002)	year(0.002)	amazon(0.002)	includ(0.002)	better(0.002)	
Topic 2(0.034):	screen(0.247)	touch(0.076)	respons(0.030)	drop(0.006)	resolut(0.005)	nice(0.004)	scratch(0.004)	fast(0.004)	crack(0.004)	qualiti(0.003)	bright(0.003)	good(0.003)	finger(0.003)	clear(0.003)	better(0.002)	work(0.002)	size(0.002)	bit(0.002)	cover(0.002)	system(0.002)	sensit(0.002)	time(0.002)	angl(0.002)	complet(0.002)	design(0.002)	easi(0.002)	great(0.002)	set(0.002)	protector(0.002)	hold(0.002)	case(0.002)	touchscreen(0.002)	edg(0.002)	price(0.002)	lot(0.002)	buy(0.002)	replac(0.002)	day(0.002)	respond(0.002)	thought(0.002)	small(0.002)	side(0.001)	app(0.001)	start(0.001)	pretti(0.001)	thing(0.001)	find(0.001)	built(0.001)	area(0.001)	protect(0.001)	
Topic 3(0.034):	charg(0.113)	usb(0.064)	charger(0.041)	port(0.040)	power(0.026)	plug(0.026)	cabl(0.024)	adapt(0.018)	hdmi(0.014)	micro(0.013)	connector(0.007)	cord(0.006)	proprietari(0.004)	work(0.004)	wall(0.004)	phone(0.003)	nice(0.003)	standard(0.003)	wo(0.003)	recharg(0.003)	comput(0.003)	hold(0.003)	respons(0.002)	batteri(0.002)	full(0.002)	fulli(0.002)	flaw(0.002)	microusb(0.002)	purchas(0.002)	tabl(0.002)	bit(0.002)	sit(0.002)	includ(0.002)	dead(0.002)	hour(0.002)	connect(0.002)	good(0.002)	better(0.002)	suppli(0.002)	problem(0.002)	case(0.002)	great(0.002)	short(0.002)	side(0.002)	addit(0.002)	long(0.002)	buy(0.002)	box(0.002)	fit(0.002)	time(0.002)	
Topic 4(0.039):	kindl(0.127)	fire(0.064)	hdx(0.058)	amazon(0.054)	read(0.034)	book(0.034)	hd(0.018)	movi(0.011)	love(0.010)	prime(0.010)	mayday(0.008)	purchas(0.008)	year(0.008)	featur(0.007)	blue(0.007)	watch(0.007)	origin(0.007)	offer(0.006)	display(0.006)	download(0.006)	free(0.006)	upgrad(0.006)	help(0.006)	easi(0.006)	color(0.005)	music(0.005)	devic(0.005)	light(0.005)	white(0.004)	email(0.004)	nexus(0.004)	improv(0.004)	recommend(0.004)	notic(0.004)	special(0.004)	access(0.003)	internet(0.003)	content(0.003)	servic(0.003)	happi(0.003)	peopl(0.003)	person(0.003)	mini(0.003)	tv(0.003)	amaz(0.003)	best(0.003)	easier(0.002)	background(0.002)	enjoy(0.002)	compar(0.002)	
Topic 5(0.033):	card(0.070)	sd(0.048)	memori(0.039)	storag(0.027)	slot(0.022)	gb(0.019)	space(0.012)	micro(0.011)	intern(0.010)	ram(0.009)	microsd(0.008)	32gb(0.008)	size(0.007)	16gb(0.007)	android(0.006)	expand(0.006)	file(0.006)	data(0.006)	full(0.006)	gig(0.005)	move(0.005)	8gb(0.005)	extern(0.005)	case(0.004)	system(0.004)	app(0.004)	usb(0.004)	price(0.004)	lot(0.004)	great(0.004)	includ(0.004)	drive(0.003)	load(0.003)	processor(0.003)	64gb(0.003)	access(0.003)	nice(0.003)	perform(0.003)	add(0.003)	feel(0.003)	remov(0.003)	deal(0.003)	thing(0.003)	program(0.003)	screen(0.002)	extra(0.002)	purchas(0.002)	good(0.002)	instal(0.002)	free(0.002)	
Topic 6(0.034):	ipad(0.195)	appl(0.075)	air(0.020)	buy(0.015)	mini(0.013)	peopl(0.009)	io(0.009)	better(0.008)	display(0.008)	retina(0.008)	compar(0.006)	iphon(0.005)	itun(0.005)	version(0.005)	big(0.005)	android(0.005)	faster(0.005)	purchas(0.004)	generat(0.004)	lot(0.004)	design(0.004)	improv(0.004)	user(0.004)	wife(0.004)	time(0.003)	find(0.003)	notic(0.003)	bought(0.003)	feel(0.003)	definit(0.003)	machin(0.003)	increas(0.003)	store(0.003)	busi(0.003)	thing(0.003)	option(0.003)	price(0.003)	consid(0.002)	fact(0.002)	origin(0.002)	lighter(0.002)	chang(0.002)	thought(0.002)	decid(0.002)	reason(0.002)	cost(0.002)	gen(0.002)	read(0.002)	safari(0.002)	product(0.002)	
Topic 7(0.033):	work(0.256)	fine(0.042)	day(0.011)	time(0.009)	bought(0.007)	problem(0.004)	thing(0.004)	wo(0.004)	nice(0.004)	great(0.004)	perfect(0.003)	find(0.003)	screen(0.003)	buy(0.003)	cover(0.003)	good(0.003)	set(0.003)	comput(0.003)	phone(0.002)	fast(0.002)	proper(0.002)	small(0.002)	box(0.002)	better(0.002)	month(0.002)	return(0.002)	guess(0.002)	start(0.002)	wait(0.002)	bad(0.002)	hope(0.002)	year(0.002)	drop(0.002)	laptop(0.002)	review(0.002)	week(0.002)	read(0.002)	multipl(0.002)	load(0.002)	system(0.002)	big(0.002)	email(0.002)	lot(0.002)	pretti(0.002)	hold(0.002)	open(0.002)	purchas(0.002)	figur(0.002)	download(0.002)	short(0.002)	
Topic 8(0.034):	app(0.204)	googl(0.049)	store(0.045)	play(0.024)	instal(0.012)	android(0.011)	find(0.009)	allow(0.008)	time(0.007)	os(0.007)	download(0.007)	set(0.006)	free(0.006)	limit(0.005)	amazon(0.005)	access(0.005)	tv(0.005)	nexus(0.005)	select(0.004)	phone(0.004)	compat(0.004)	account(0.004)	includ(0.004)	great(0.004)	version(0.003)	work(0.003)	hardwar(0.003)	netflix(0.003)	box(0.003)	function(0.003)	pretti(0.003)	thing(0.002)	nice(0.002)	system(0.002)	screen(0.002)	lot(0.002)	easili(0.002)	review(0.002)	better(0.002)	skype(0.002)	control(0.002)	support(0.002)	expect(0.002)	load(0.002)	option(0.002)	experi(0.002)	annoy(0.002)	reader(0.002)	addit(0.002)	close(0.002)	
Topic 9(0.033):	pen(0.029)	app(0.028)	write(0.020)	featur(0.020)	samsung(0.017)	stylus(0.015)	review(0.010)	read(0.010)	spen(0.010)	draw(0.010)	thing(0.009)	paper(0.009)	hand(0.009)	better(0.009)	handwrit(0.008)	screen(0.008)	text(0.008)	work(0.007)	lot(0.007)	feel(0.007)	pretti(0.007)	document(0.007)	edit(0.006)	case(0.006)	open(0.006)	student(0.006)	digit(0.006)	bit(0.005)	find(0.005)	softwar(0.005)	function(0.005)	program(0.005)	good(0.005)	great(0.005)	laptop(0.005)	pdf(0.005)	type(0.005)	sensit(0.005)	android(0.005)	wacom(0.004)	snote(0.004)	best(0.004)	experi(0.004)	lag(0.004)	day(0.004)	galaxi(0.004)	small(0.004)	save(0.004)	meet(0.004)	interfac(0.004)	
Topic 10(0.032):	devic(0.191)	android(0.050)	user(0.016)	applic(0.015)	function(0.014)	screen(0.010)	phone(0.009)	experi(0.006)	allow(0.005)	time(0.005)	point(0.005)	better(0.004)	content(0.004)	good(0.004)	hardwar(0.004)	work(0.004)	option(0.004)	interfac(0.004)	best(0.003)	feel(0.003)	root(0.003)	read(0.003)	thing(0.003)	set(0.003)	great(0.003)	find(0.003)	requir(0.003)	design(0.003)	googl(0.003)	offer(0.002)	version(0.002)	limit(0.002)	case(0.002)	app(0.002)	day(0.002)	support(0.002)	oper(0.002)	review(0.002)	peopl(0.002)	high(0.002)	qualiti(0.002)	expect(0.002)	mobil(0.002)	buy(0.002)	includ(0.002)	size(0.002)	base(0.002)	instal(0.002)	access(0.002)	notic(0.002)	
Topic 11(0.034):	bought(0.088)	buy(0.052)	money(0.044)	christma(0.031)	kid(0.024)	gift(0.018)	year(0.018)	son(0.017)	daughter(0.015)	wast(0.013)	month(0.012)	junk(0.008)	pay(0.008)	piec(0.007)	spend(0.007)	worth(0.006)	broke(0.006)	work(0.006)	freez(0.004)	purchas(0.004)	week(0.004)	recommend(0.004)	return(0.004)	horribl(0.003)	time(0.003)	zeepad(0.003)	crap(0.003)	thing(0.003)	extra(0.002)	wo(0.002)	replac(0.002)	thought(0.002)	die(0.002)	star(0.002)	wife(0.002)	spent(0.002)	three(0.002)	brand(0.002)	save(0.002)	famili(0.002)	disappoint(0.002)	good(0.002)	turn(0.002)	play(0.002)	plan(0.002)	phone(0.002)	order(0.002)	price(0.002)	better(0.002)	download(0.002)	
Topic 12(0.033):	good(0.182)	qualiti(0.042)	price(0.035)	bad(0.023)	screen(0.013)	pretti(0.011)	build(0.008)	perform(0.008)	nice(0.008)	bit(0.007)	resolut(0.005)	lot(0.004)	sound(0.004)	feel(0.004)	fast(0.004)	impress(0.004)	high(0.004)	decent(0.004)	display(0.004)	respons(0.003)	thing(0.003)	hold(0.003)	work(0.003)	time(0.003)	excel(0.003)	better(0.003)	great(0.003)	color(0.002)	android(0.002)	size(0.002)	reason(0.002)	speaker(0.002)	case(0.002)	best(0.002)	clear(0.002)	design(0.002)	pixel(0.002)	scratch(0.002)	expect(0.002)	basic(0.002)	solid(0.002)	find(0.002)	smooth(0.002)	product(0.002)	upgrad(0.002)	replac(0.002)	cheap(0.002)	buy(0.002)	cover(0.002)	easili(0.002)	
Topic 13(0.032):	issu(0.068)	updat(0.068)	time(0.016)	star(0.014)	review(0.013)	firmwar(0.011)	softwar(0.011)	upgrad(0.009)	android(0.008)	set(0.008)	mode(0.007)	option(0.007)	rate(0.006)	lag(0.006)	work(0.006)	thing(0.005)	releas(0.005)	complet(0.005)	problem(0.005)	develop(0.005)	support(0.005)	bean(0.004)	hardwar(0.004)	user(0.004)	hope(0.004)	good(0.004)	jelli(0.004)	os(0.004)	factori(0.003)	recommend(0.003)	call(0.003)	day(0.003)	perform(0.003)	browser(0.003)	wait(0.003)	stock(0.003)	great(0.003)	locat(0.003)	reason(0.003)	reset(0.003)	ic(0.003)	start(0.003)	nexus(0.003)	post(0.003)	latest(0.003)	chang(0.003)	hit(0.003)	read(0.003)	left(0.003)	version(0.003)	
