Topic 0(0.060):	remot(0.091)	set(0.052)	control(0.035)	button(0.027)	time(0.019)	work(0.018)	channel(0.014)	featur(0.014)	easi(0.013)	chang(0.011)	setup(0.010)	menu(0.009)	box(0.009)	nice(0.009)	user(0.008)	find(0.008)	function(0.007)	manual(0.007)	second(0.007)	turn(0.007)	select(0.006)	power(0.006)	volum(0.005)	option(0.005)	press(0.005)	program(0.005)	guid(0.005)	review(0.004)	good(0.004)	point(0.004)	direct(0.004)	bit(0.004)	simpl(0.004)	adjust(0.004)	design(0.004)	includ(0.004)	requir(0.004)	navig(0.004)	touch(0.003)	menus(0.003)	univers(0.003)	interfac(0.003)	initi(0.003)	display(0.003)	move(0.003)	click(0.003)	thing(0.003)	start(0.003)	enter(0.003)	receiv(0.003)	
Topic 1(0.062):	plasma(0.040)	set(0.033)	panason(0.031)	samsung(0.028)	best(0.023)	buy(0.022)	review(0.020)	lcd(0.016)	better(0.013)	hdtv(0.011)	purchas(0.011)	qualiti(0.011)	imag(0.010)	burn(0.010)	price(0.009)	hd(0.009)	read(0.009)	model(0.009)	watch(0.008)	store(0.008)	compar(0.008)	time(0.008)	buzz(0.007)	year(0.006)	nois(0.006)	thing(0.006)	hour(0.006)	screen(0.006)	money(0.005)	room(0.005)	led(0.005)	amaz(0.005)	high(0.005)	inch(0.005)	channel(0.005)	tvs(0.005)	decid(0.005)	peopl(0.005)	televis(0.005)	seri(0.005)	bought(0.004)	help(0.004)	black(0.004)	lot(0.004)	hope(0.004)	absolut(0.004)	long(0.004)	consid(0.004)	glare(0.003)	view(0.003)	
Topic 2(0.059):	lg(0.047)	qualiti(0.043)	soni(0.039)	vizio(0.036)	model(0.033)	good(0.030)	purchas(0.027)	issu(0.021)	review(0.019)	product(0.016)	better(0.016)	price(0.012)	televis(0.012)	brand(0.010)	featur(0.009)	bought(0.008)	buy(0.008)	return(0.008)	tvs(0.006)	disappoint(0.006)	offer(0.006)	recommend(0.006)	cost(0.005)	reason(0.005)	money(0.005)	experi(0.005)	read(0.005)	amazon(0.005)	inch(0.005)	fact(0.005)	star(0.004)	bad(0.004)	expect(0.004)	screen(0.004)	manufactur(0.004)	deal(0.003)	worth(0.003)	hope(0.003)	seri(0.003)	person(0.003)	point(0.003)	consid(0.003)	fine(0.003)	pic(0.003)	sale(0.003)	thing(0.003)	bravia(0.003)	peopl(0.003)	thought(0.003)	extra(0.003)	
Topic 3(0.057):	3d(0.059)	movi(0.042)	watch(0.030)	great(0.020)	glass(0.017)	good(0.016)	set(0.014)	thing(0.014)	bluray(0.014)	awesom(0.013)	amaz(0.012)	play(0.011)	featur(0.011)	love(0.011)	best(0.009)	player(0.009)	game(0.008)	better(0.007)	nice(0.007)	lot(0.006)	content(0.006)	pretti(0.005)	deal(0.005)	ray(0.005)	bought(0.005)	theater(0.005)	live(0.005)	turn(0.004)	activ(0.004)	ps3(0.004)	2d(0.004)	hd(0.004)	beauti(0.004)	clear(0.004)	perfect(0.004)	time(0.004)	buy(0.004)	pair(0.003)	sport(0.003)	experi(0.003)	happi(0.003)	expect(0.003)	impress(0.003)	blu(0.003)	option(0.003)	led(0.003)	view(0.003)	bit(0.003)	eye(0.003)	absolut(0.003)	
Topic 4(0.062):	sound(0.136)	good(0.060)	qualiti(0.051)	speaker(0.045)	system(0.022)	volum(0.020)	great(0.019)	nice(0.014)	audio(0.013)	better(0.011)	excel(0.010)	extern(0.010)	surround(0.010)	hear(0.010)	low(0.009)	price(0.008)	bar(0.007)	clear(0.006)	expect(0.006)	adjust(0.006)	pretti(0.005)	decent(0.005)	recommend(0.005)	loud(0.005)	horribl(0.004)	lot(0.004)	builtin(0.004)	hook(0.004)	bad(0.004)	set(0.004)	theater(0.003)	hdtv(0.003)	improv(0.003)	best(0.003)	definit(0.003)	lack(0.003)	flat(0.003)	big(0.003)	bass(0.002)	high(0.002)	level(0.002)	full(0.002)	bought(0.002)	led(0.002)	intern(0.002)	weak(0.002)	happi(0.002)	room(0.002)	connect(0.002)	headphon(0.002)	
Topic 5(0.057):	stand(0.038)	mount(0.025)	wall(0.022)	size(0.017)	base(0.015)	screw(0.014)	unit(0.014)	screen(0.014)	small(0.013)	room(0.012)	nice(0.012)	thin(0.010)	light(0.010)	price(0.008)	perfect(0.008)	cheap(0.007)	good(0.007)	thing(0.007)	side(0.007)	bit(0.006)	easi(0.006)	great(0.006)	bedroom(0.006)	set(0.006)	box(0.006)	big(0.006)	attach(0.006)	view(0.005)	high(0.005)	design(0.005)	instal(0.005)	fit(0.005)	frame(0.005)	bezel(0.005)	inch(0.005)	sit(0.005)	extrem(0.005)	fine(0.005)	includ(0.004)	qualiti(0.004)	bottom(0.004)	weight(0.004)	better(0.004)	plug(0.004)	plastic(0.004)	expect(0.004)	swivel(0.004)	find(0.003)	buy(0.003)	clear(0.003)	
Topic 6(0.064):	samsung(0.066)	servic(0.050)	call(0.046)	custom(0.035)	support(0.028)	problem(0.026)	product(0.020)	told(0.018)	week(0.017)	day(0.017)	work(0.016)	tech(0.015)	issu(0.015)	purchas(0.012)	help(0.011)	time(0.011)	replac(0.010)	phone(0.010)	number(0.009)	contact(0.009)	hour(0.009)	send(0.009)	wait(0.008)	repair(0.008)	final(0.008)	receiv(0.005)	minut(0.005)	email(0.005)	return(0.005)	set(0.005)	wrong(0.004)	buy(0.004)	rep(0.004)	month(0.004)	technician(0.004)	peopl(0.004)	updat(0.004)	center(0.004)	resolv(0.003)	compani(0.003)	defect(0.003)	websit(0.003)	answer(0.003)	firmwar(0.003)	worst(0.003)	review(0.003)	today(0.003)	direct(0.003)	hold(0.003)	long(0.003)	
Topic 7(0.060):	game(0.038)	monitor(0.026)	1080p(0.019)	rate(0.018)	pc(0.017)	120hz(0.016)	comput(0.014)	imag(0.014)	resolut(0.013)	input(0.012)	refresh(0.012)	color(0.012)	display(0.011)	60hz(0.011)	good(0.010)	led(0.010)	mode(0.010)	set(0.010)	bad(0.010)	price(0.010)	motion(0.009)	lag(0.009)	play(0.007)	clear(0.007)	better(0.007)	hdmi(0.007)	fast(0.007)	720p(0.006)	lot(0.006)	hdtv(0.006)	qualiti(0.006)	hz(0.006)	notic(0.006)	blur(0.006)	sport(0.005)	ps3(0.005)	4k(0.005)	time(0.004)	advertis(0.004)	movi(0.004)	compar(0.004)	move(0.004)	full(0.004)	read(0.004)	screen(0.004)	adjust(0.004)	perform(0.004)	thing(0.004)	high(0.004)	respons(0.004)	
Topic 8(0.072):	app(0.116)	work(0.067)	watch(0.061)	kindl(0.032)	download(0.023)	xfiniti(0.022)	fire(0.022)	comcast(0.018)	time(0.016)	program(0.015)	movi(0.013)	freez(0.012)	hd(0.010)	buffer(0.009)	live(0.008)	love(0.007)	play(0.007)	demand(0.007)	commerci(0.007)	lot(0.007)	star(0.006)	favorit(0.006)	good(0.006)	pay(0.006)	episod(0.005)	load(0.005)	fine(0.005)	limit(0.005)	free(0.005)	player(0.005)	frustrat(0.005)	great(0.005)	disappoint(0.004)	devic(0.004)	find(0.004)	account(0.004)	channel(0.004)	select(0.004)	tablet(0.004)	start(0.003)	hbo(0.003)	subscript(0.003)	content(0.003)	wo(0.003)	catch(0.003)	subscrib(0.003)	enjoy(0.003)	requir(0.003)	cabl(0.003)	delet(0.003)	
Topic 9(0.060):	cabl(0.059)	hdmi(0.053)	input(0.029)	connect(0.027)	audio(0.027)	port(0.020)	channel(0.019)	hd(0.018)	box(0.016)	dvd(0.016)	hook(0.015)	video(0.013)	digit(0.013)	player(0.012)	compon(0.012)	output(0.011)	signal(0.010)	receiv(0.010)	work(0.009)	option(0.007)	plug(0.006)	rca(0.006)	optic(0.006)	analog(0.006)	sourc(0.006)	tuner(0.005)	standard(0.005)	problem(0.005)	switch(0.005)	antenna(0.005)	jack(0.005)	usb(0.005)	hdtv(0.005)	av(0.005)	display(0.004)	devic(0.004)	headphon(0.004)	excel(0.004)	connector(0.004)	comput(0.004)	fine(0.003)	basic(0.003)	toshiba(0.003)	broadcast(0.003)	setup(0.003)	vga(0.003)	wii(0.003)	coax(0.003)	pc(0.003)	find(0.003)	
Topic 10(0.066):	smart(0.062)	connect(0.043)	work(0.039)	netflix(0.036)	samsung(0.034)	updat(0.033)	internet(0.022)	time(0.021)	wireless(0.020)	network(0.019)	wifi(0.019)	softwar(0.018)	issu(0.016)	hub(0.015)	problem(0.012)	roku(0.010)	devic(0.010)	fine(0.009)	featur(0.008)	function(0.008)	thing(0.008)	amazon(0.008)	stream(0.007)	start(0.007)	bought(0.006)	minut(0.006)	error(0.006)	router(0.006)	server(0.006)	prime(0.006)	slow(0.005)	load(0.005)	buy(0.005)	hour(0.004)	turn(0.004)	applic(0.004)	smarthub(0.004)	firmwar(0.004)	reset(0.004)	messag(0.004)	review(0.004)	constant(0.004)	version(0.004)	speed(0.003)	setup(0.003)	ethernet(0.003)	media(0.003)	disappoint(0.003)	access(0.003)	fail(0.003)	
