Topic 0(0.030):	batteri(0.097)	charg(0.030)	time(0.024)	work(0.022)	recharg(0.015)	problem(0.011)	hour(0.011)	turn(0.011)	updat(0.010)	set(0.009)	long(0.009)	aa(0.008)	minut(0.008)	life(0.008)	charger(0.008)	kodak(0.007)	remov(0.007)	power(0.007)	issu(0.007)	dead(0.006)	shot(0.006)	month(0.006)	wifi(0.006)	includ(0.006)	manual(0.006)	buy(0.006)	nimh(0.005)	screen(0.005)	gps(0.005)	connect(0.005)	error(0.005)	box(0.005)	day(0.005)	start(0.005)	softwar(0.005)	replac(0.005)	fulli(0.004)	panason(0.004)	dock(0.004)	review(0.004)	hold(0.004)	read(0.004)	instruct(0.004)	download(0.004)	photo(0.004)	help(0.004)	network(0.004)	messag(0.004)	chang(0.004)	star(0.004)	
Topic 1(0.024):	light(0.035)	low(0.030)	iso(0.025)	set(0.022)	great(0.020)	flash(0.019)	mode(0.018)	video(0.017)	shot(0.016)	high(0.015)	perform(0.013)	nois(0.013)	better(0.010)	qualiti(0.010)	movi(0.008)	speed(0.008)	soni(0.008)	featur(0.008)	len(0.007)	expect(0.007)	imag(0.007)	capabl(0.007)	lot(0.007)	shoot(0.007)	manual(0.007)	photo(0.007)	work(0.007)	good(0.006)	resolut(0.006)	higher(0.006)	love(0.006)	best(0.006)	problem(0.006)	excel(0.006)	indoor(0.005)	situat(0.005)	time(0.005)	amaz(0.005)	file(0.005)	canon(0.005)	strap(0.005)	size(0.005)	improv(0.005)	record(0.005)	play(0.004)	lower(0.004)	photographi(0.004)	wx1(0.004)	sensor(0.004)	rate(0.004)	
Topic 2(0.068):	great(0.087)	zoom(0.061)	good(0.030)	qualiti(0.027)	easi(0.023)	optic(0.021)	photo(0.021)	digit(0.019)	nice(0.018)	price(0.018)	imag(0.017)	screen(0.017)	video(0.016)	small(0.016)	lcd(0.015)	size(0.013)	clear(0.013)	featur(0.013)	pic(0.011)	big(0.011)	work(0.010)	awesom(0.008)	stabil(0.007)	high(0.007)	resolut(0.007)	amaz(0.007)	print(0.007)	deal(0.006)	love(0.006)	compact(0.005)	shot(0.005)	detail(0.005)	lot(0.005)	mp(0.005)	set(0.005)	color(0.005)	sharp(0.005)	3x(0.005)	pixel(0.004)	better(0.004)	crisp(0.004)	recommend(0.004)	len(0.004)	5x(0.004)	packag(0.004)	10x(0.004)	mode(0.004)	excel(0.004)	close(0.004)	clariti(0.004)	
Topic 3(0.031):	nikon(0.053)	d610(0.033)	d600(0.031)	issu(0.028)	sensor(0.017)	review(0.015)	spot(0.014)	len(0.013)	problem(0.013)	great(0.011)	dust(0.011)	clean(0.010)	oil(0.009)	imag(0.008)	time(0.008)	shot(0.007)	frame(0.007)	shutter(0.007)	product(0.007)	love(0.007)	star(0.006)	canon(0.006)	qualiti(0.006)	replac(0.006)	focus(0.006)	year(0.006)	good(0.006)	owner(0.006)	d7000(0.005)	fx(0.005)	purchas(0.005)	full(0.005)	screen(0.005)	releas(0.005)	month(0.005)	bought(0.005)	upgrad(0.005)	updat(0.004)	design(0.004)	user(0.004)	buy(0.004)	custom(0.004)	work(0.004)	happi(0.004)	wait(0.004)	d7100(0.004)	lens(0.004)	decid(0.004)	d90(0.004)	dx(0.003)	
Topic 4(0.033):	len(0.042)	time(0.025)	work(0.022)	problem(0.021)	month(0.018)	error(0.018)	turn(0.013)	zoom(0.012)	cover(0.012)	nikon(0.012)	buy(0.011)	return(0.010)	canon(0.009)	warranti(0.009)	open(0.009)	day(0.008)	good(0.008)	repair(0.008)	week(0.008)	start(0.007)	bad(0.007)	love(0.006)	shot(0.006)	flash(0.006)	thing(0.006)	digit(0.006)	power(0.006)	photo(0.006)	retract(0.006)	function(0.006)	year(0.005)	focus(0.005)	button(0.005)	replac(0.005)	long(0.005)	stuck(0.005)	better(0.005)	product(0.005)	messag(0.005)	common(0.005)	scratch(0.005)	user(0.004)	screen(0.004)	olympus(0.004)	broke(0.004)	send(0.004)	wo(0.004)	shoot(0.004)	video(0.004)	purchas(0.004)	
Topic 5(0.026):	set(0.043)	mode(0.042)	easi(0.024)	button(0.024)	manual(0.023)	menu(0.020)	control(0.018)	chang(0.015)	auto(0.014)	iso(0.012)	shoot(0.012)	function(0.012)	shutter(0.011)	menus(0.009)	flash(0.009)	exposur(0.009)	screen(0.009)	apertur(0.009)	white(0.008)	balanc(0.008)	featur(0.008)	option(0.008)	shot(0.008)	adjust(0.008)	photo(0.007)	thing(0.007)	switch(0.007)	work(0.007)	canon(0.006)	speed(0.006)	point(0.006)	dial(0.006)	user(0.006)	select(0.006)	nice(0.006)	navig(0.005)	automat(0.005)	program(0.005)	scene(0.005)	focus(0.005)	light(0.005)	help(0.005)	allow(0.005)	time(0.005)	access(0.005)	system(0.005)	custom(0.004)	press(0.004)	great(0.004)	prioriti(0.004)	
Topic 6(0.061):	return(0.027)	amazon(0.021)	product(0.019)	servic(0.018)	soni(0.018)	repair(0.018)	custom(0.017)	buy(0.016)	ship(0.015)	problem(0.014)	warranti(0.013)	purchas(0.012)	time(0.012)	canon(0.012)	nikon(0.012)	call(0.011)	issu(0.011)	send(0.011)	day(0.010)	receiv(0.010)	work(0.008)	review(0.008)	order(0.008)	support(0.008)	defect(0.008)	good(0.008)	replac(0.007)	box(0.007)	compani(0.007)	click(0.007)	item(0.007)	refund(0.006)	hope(0.006)	told(0.006)	cost(0.006)	packag(0.005)	video(0.005)	help(0.005)	contact(0.005)	week(0.005)	wait(0.005)	bought(0.005)	price(0.005)	pay(0.005)	samsung(0.005)	star(0.004)	peopl(0.004)	offer(0.004)	email(0.004)	brand(0.004)	
Topic 7(0.032):	screen(0.049)	lcd(0.022)	feel(0.020)	touch(0.018)	viewfind(0.014)	bright(0.014)	view(0.014)	hand(0.013)	small(0.012)	nice(0.011)	easi(0.011)	button(0.011)	flash(0.010)	hold(0.010)	good(0.009)	light(0.009)	great(0.009)	control(0.009)	imag(0.009)	thing(0.007)	set(0.007)	bit(0.007)	shoot(0.007)	big(0.007)	finder(0.006)	featur(0.006)	bodi(0.006)	shot(0.006)	solid(0.006)	pretti(0.006)	qualiti(0.006)	grip(0.005)	shutter(0.005)	tini(0.005)	better(0.005)	display(0.005)	time(0.005)	len(0.005)	menus(0.005)	love(0.004)	oper(0.004)	problem(0.004)	work(0.004)	built(0.004)	sun(0.004)	difficult(0.004)	side(0.004)	sunlight(0.004)	cheap(0.004)	finger(0.004)	
Topic 8(0.046):	good(0.038)	small(0.031)	great(0.030)	pocket(0.028)	shoot(0.024)	easi(0.023)	light(0.023)	point(0.020)	nice(0.019)	qualiti(0.019)	size(0.019)	carri(0.015)	perfect(0.015)	fit(0.015)	compact(0.015)	shot(0.013)	batteri(0.013)	photo(0.012)	low(0.011)	video(0.009)	pretti(0.009)	featur(0.008)	price(0.007)	bought(0.007)	screen(0.007)	love(0.007)	excel(0.006)	dslr(0.006)	weight(0.006)	best(0.006)	day(0.005)	case(0.005)	purs(0.005)	time(0.005)	pic(0.005)	fast(0.005)	decent(0.005)	year(0.005)	life(0.005)	outdoor(0.005)	easili(0.004)	hand(0.004)	work(0.004)	big(0.004)	travel(0.004)	zoom(0.004)	canon(0.004)	portabl(0.004)	lot(0.004)	better(0.004)	
Topic 9(0.028):	qualiti(0.038)	len(0.035)	canon(0.030)	imag(0.027)	better(0.025)	good(0.022)	photo(0.020)	light(0.010)	soni(0.009)	zoom(0.009)	high(0.009)	small(0.009)	compact(0.008)	nikon(0.008)	compar(0.008)	size(0.007)	expect(0.007)	set(0.007)	low(0.006)	video(0.006)	dslr(0.006)	price(0.006)	produc(0.006)	sharp(0.006)	shot(0.006)	kit(0.005)	mm(0.005)	pocket(0.005)	lens(0.005)	fuji(0.005)	color(0.005)	panason(0.005)	bodi(0.005)	card(0.005)	resolut(0.004)	bought(0.004)	disappoint(0.004)	kodak(0.004)	year(0.004)	appear(0.004)	nois(0.004)	indoor(0.004)	angl(0.004)	side(0.004)	clear(0.004)	noisi(0.004)	t3i(0.004)	megapixel(0.004)	featur(0.004)	fit(0.004)	
Topic 10(0.034):	video(0.089)	record(0.032)	zoom(0.029)	qualiti(0.028)	sound(0.022)	good(0.021)	great(0.016)	hd(0.014)	shoot(0.013)	card(0.012)	audio(0.011)	featur(0.011)	mode(0.011)	nice(0.011)	movi(0.010)	nois(0.009)	focus(0.009)	memori(0.007)	better(0.007)	batteri(0.007)	time(0.006)	imag(0.006)	optic(0.006)	amaz(0.006)	click(0.006)	thing(0.006)	high(0.006)	work(0.006)	speed(0.005)	flash(0.005)	hear(0.005)	soni(0.005)	sd(0.005)	resolut(0.005)	second(0.005)	price(0.004)	len(0.004)	pretti(0.004)	mic(0.004)	excel(0.004)	fast(0.004)	pic(0.004)	camcord(0.004)	turn(0.004)	loud(0.004)	problem(0.004)	con(0.004)	buy(0.004)	1080p(0.003)	point(0.003)	
