Topic 0(0.046):	video(0.087)	qualiti(0.055)	good(0.046)	zoom(0.028)	record(0.026)	great(0.025)	photo(0.016)	imag(0.016)	sound(0.016)	hd(0.015)	movi(0.012)	mode(0.010)	focus(0.010)	audio(0.010)	pretti(0.009)	better(0.009)	pic(0.009)	thing(0.008)	shot(0.007)	bad(0.007)	amaz(0.007)	featur(0.007)	shoot(0.006)	disappoint(0.006)	nice(0.006)	resolut(0.006)	nois(0.006)	soni(0.005)	time(0.005)	excel(0.005)	clear(0.005)	expect(0.004)	len(0.004)	terribl(0.004)	impress(0.004)	color(0.004)	horribl(0.004)	size(0.004)	screen(0.004)	small(0.004)	clariti(0.004)	price(0.004)	turn(0.004)	high(0.004)	hear(0.004)	loud(0.003)	love(0.003)	playback(0.003)	batteri(0.003)	work(0.003)	
Topic 1(0.022):	zoom(0.021)	shutter(0.020)	issu(0.018)	len(0.017)	shot(0.017)	time(0.016)	sensor(0.015)	photo(0.014)	spot(0.013)	second(0.013)	work(0.012)	button(0.012)	error(0.011)	great(0.010)	year(0.010)	d610(0.010)	dust(0.010)	start(0.009)	turn(0.009)	clean(0.009)	nikon(0.009)	imag(0.009)	oil(0.009)	problem(0.008)	press(0.008)	d600(0.008)	digit(0.008)	shoot(0.008)	releas(0.007)	pic(0.007)	delay(0.006)	good(0.006)	focus(0.006)	wait(0.006)	day(0.006)	week(0.005)	review(0.005)	month(0.005)	long(0.005)	optic(0.005)	frame(0.004)	click(0.004)	coupl(0.004)	lumix(0.004)	test(0.004)	bought(0.004)	appear(0.004)	messag(0.004)	fast(0.004)	captur(0.004)	
Topic 2(0.044):	batteri(0.151)	charg(0.039)	life(0.026)	recharg(0.022)	charger(0.017)	time(0.014)	good(0.014)	aa(0.012)	day(0.011)	long(0.010)	work(0.009)	buy(0.008)	power(0.008)	hour(0.007)	thing(0.007)	great(0.007)	cabl(0.007)	remov(0.006)	turn(0.006)	problem(0.006)	usb(0.006)	shot(0.006)	video(0.006)	flash(0.006)	extra(0.005)	includ(0.005)	bought(0.005)	set(0.005)	purchas(0.005)	plug(0.005)	replac(0.005)	eat(0.005)	nice(0.005)	photo(0.005)	spare(0.005)	fulli(0.005)	dead(0.004)	short(0.004)	nimh(0.004)	card(0.004)	bad(0.004)	minut(0.004)	drain(0.004)	coupl(0.004)	canon(0.004)	shoot(0.003)	pack(0.003)	find(0.003)	die(0.003)	memori(0.003)	
Topic 3(0.052):	review(0.022)	water(0.021)	money(0.020)	waterproof(0.019)	bought(0.019)	buy(0.019)	good(0.017)	great(0.014)	underwat(0.012)	olympus(0.012)	time(0.012)	price(0.012)	read(0.011)	work(0.011)	year(0.010)	worth(0.009)	feel(0.009)	wast(0.009)	qualiti(0.008)	model(0.008)	better(0.008)	cheap(0.008)	soni(0.008)	bad(0.008)	replac(0.007)	piec(0.007)	photo(0.007)	trip(0.007)	junk(0.007)	thing(0.007)	recommend(0.006)	product(0.006)	drop(0.006)	proof(0.006)	featur(0.006)	digit(0.006)	case(0.005)	spend(0.005)	thought(0.005)	fuji(0.005)	lot(0.005)	snorkel(0.005)	pool(0.005)	test(0.004)	tough(0.004)	canon(0.004)	day(0.004)	purchas(0.004)	leak(0.004)	bit(0.004)	
Topic 4(0.070):	great(0.067)	price(0.057)	good(0.051)	zoom(0.041)	qualiti(0.024)	digit(0.018)	optic(0.017)	len(0.016)	featur(0.016)	buy(0.013)	better(0.013)	recommend(0.012)	nice(0.012)	work(0.011)	photo(0.009)	product(0.009)	excel(0.008)	money(0.007)	deal(0.007)	video(0.007)	high(0.007)	canon(0.007)	best(0.007)	small(0.006)	easi(0.006)	imag(0.006)	time(0.006)	nikon(0.005)	lot(0.005)	3x(0.005)	photograph(0.005)	batteri(0.005)	dslr(0.005)	photographi(0.005)	beat(0.005)	print(0.005)	beginn(0.005)	definit(0.005)	packag(0.004)	rang(0.004)	lens(0.004)	purchas(0.004)	mp(0.004)	kit(0.004)	love(0.004)	megapixel(0.004)	compact(0.004)	size(0.004)	bought(0.004)	resolut(0.004)	
Topic 5(0.052):	shoot(0.037)	point(0.036)	nikon(0.033)	love(0.027)	qualiti(0.024)	good(0.023)	digit(0.022)	great(0.019)	canon(0.019)	dslr(0.012)	photograph(0.011)	better(0.011)	price(0.010)	slr(0.010)	year(0.009)	expect(0.009)	buy(0.009)	coolpix(0.009)	best(0.009)	friend(0.008)	bought(0.008)	perfect(0.008)	size(0.008)	user(0.008)	imag(0.008)	photo(0.007)	easi(0.007)	recommend(0.007)	profession(0.007)	lot(0.007)	featur(0.007)	compact(0.006)	excel(0.006)	compar(0.006)	upgrad(0.006)	pro(0.006)	pocket(0.006)	d610(0.006)	small(0.006)	photographi(0.005)	work(0.005)	full(0.005)	nice(0.005)	phone(0.005)	high(0.004)	expens(0.004)	shot(0.004)	disappoint(0.004)	carri(0.004)	money(0.004)	
Topic 6(0.035):	soni(0.033)	lens(0.018)	qualiti(0.017)	len(0.016)	better(0.015)	nex(0.015)	dslr(0.014)	review(0.013)	buy(0.013)	nex5n(0.012)	canon(0.010)	best(0.010)	sensor(0.009)	price(0.009)	nikon(0.009)	product(0.008)	imag(0.008)	5n(0.008)	purchas(0.008)	worth(0.007)	high(0.007)	star(0.007)	cost(0.007)	good(0.007)	model(0.007)	size(0.006)	issu(0.006)	small(0.006)	bodi(0.006)	find(0.005)	great(0.005)	perform(0.005)	video(0.005)	adapt(0.005)	time(0.005)	big(0.005)	light(0.005)	rate(0.005)	amazon(0.004)	market(0.004)	expect(0.004)	consid(0.004)	viewfind(0.004)	decid(0.004)	expens(0.004)	compact(0.004)	iso(0.004)	compar(0.004)	focus(0.004)	panason(0.004)	
Topic 7(0.024):	imag(0.031)	iso(0.020)	len(0.020)	qualiti(0.019)	high(0.013)	nois(0.013)	better(0.013)	good(0.012)	video(0.011)	lens(0.010)	sensor(0.010)	set(0.010)	lot(0.009)	shoot(0.008)	canon(0.008)	photo(0.008)	focus(0.008)	rang(0.007)	nikon(0.007)	featur(0.007)	kit(0.007)	great(0.006)	raw(0.006)	price(0.006)	mode(0.006)	perform(0.006)	panason(0.006)	sharp(0.006)	improv(0.005)	shot(0.005)	higher(0.005)	speed(0.005)	stabil(0.005)	full(0.005)	control(0.005)	resolut(0.005)	excel(0.005)	soni(0.005)	70d(0.005)	size(0.005)	bodi(0.005)	photograph(0.004)	capabl(0.004)	time(0.004)	amaz(0.004)	auto(0.004)	file(0.004)	jpeg(0.004)	work(0.004)	produc(0.004)	
Topic 8(0.035):	len(0.070)	cover(0.015)	open(0.012)	pocket(0.011)	time(0.010)	small(0.010)	zoom(0.010)	case(0.009)	hand(0.009)	lens(0.008)	problem(0.008)	batteri(0.008)	turn(0.008)	screen(0.008)	hold(0.008)	good(0.007)	scratch(0.007)	work(0.007)	drop(0.007)	thing(0.007)	kit(0.006)	door(0.006)	front(0.006)	close(0.006)	fit(0.006)	bodi(0.006)	strap(0.006)	plastic(0.006)	grip(0.006)	attach(0.005)	feel(0.005)	month(0.005)	insid(0.005)	cap(0.005)	easili(0.005)	carri(0.005)	protect(0.005)	error(0.005)	finger(0.005)	care(0.005)	flash(0.005)	retract(0.005)	bit(0.005)	break(0.004)	button(0.004)	bag(0.004)	nice(0.004)	photo(0.004)	mount(0.004)	slide(0.004)	
Topic 9(0.029):	set(0.046)	manual(0.024)	time(0.023)	mode(0.023)	auto(0.023)	good(0.020)	work(0.017)	great(0.014)	learn(0.013)	shot(0.013)	featur(0.013)	flash(0.011)	adjust(0.011)	shoot(0.010)	read(0.010)	lot(0.009)	exposur(0.009)	white(0.009)	option(0.008)	turn(0.008)	balanc(0.008)	color(0.007)	photo(0.007)	easi(0.007)	slow(0.007)	shutter(0.007)	pic(0.006)	function(0.006)	point(0.006)	automat(0.006)	iso(0.006)	help(0.006)	better(0.006)	user(0.006)	qualiti(0.006)	chang(0.006)	figur(0.005)	light(0.005)	control(0.005)	scene(0.005)	face(0.005)	problem(0.005)	photograph(0.005)	long(0.005)	speed(0.005)	focus(0.005)	thing(0.004)	bit(0.004)	limit(0.004)	experi(0.004)	
Topic 10(0.031):	focus(0.041)	light(0.037)	shot(0.025)	mode(0.024)	low(0.023)	good(0.019)	photo(0.019)	set(0.018)	shutter(0.015)	time(0.015)	fast(0.014)	speed(0.012)	auto(0.011)	slow(0.011)	blurri(0.011)	iso(0.011)	shoot(0.010)	move(0.010)	second(0.009)	work(0.009)	video(0.008)	problem(0.008)	manual(0.008)	autofocus(0.008)	indoor(0.008)	action(0.007)	imag(0.007)	great(0.007)	condit(0.007)	subject(0.007)	high(0.006)	qualiti(0.006)	batteri(0.006)	better(0.006)	blur(0.006)	object(0.006)	situat(0.006)	flash(0.005)	thing(0.005)	bright(0.005)	captur(0.005)	graini(0.005)	zoom(0.005)	sport(0.005)	sharp(0.004)	bad(0.004)	love(0.004)	life(0.004)	nice(0.004)	hand(0.004)	
