Topic 0(0.038):	screen(0.057)	fast(0.033)	great(0.031)	big(0.024)	batteri(0.023)	size(0.021)	camera(0.017)	easi(0.015)	small(0.014)	love(0.013)	featur(0.012)	light(0.012)	nice(0.012)	display(0.012)	fit(0.011)	good(0.010)	amaz(0.010)	devic(0.009)	nokia(0.009)	work(0.009)	bright(0.009)	pocket(0.009)	life(0.009)	wonder(0.008)	hand(0.008)	super(0.008)	app(0.008)	flash(0.008)	better(0.007)	color(0.007)	photo(0.007)	case(0.007)	price(0.007)	processor(0.006)	pretti(0.006)	deal(0.006)	smartphon(0.006)	perfect(0.006)	resolut(0.006)	front(0.006)	pictur(0.006)	fantast(0.005)	qualiti(0.005)	best(0.005)	smart(0.005)	clear(0.005)	face(0.005)	problem(0.005)	lte(0.005)	kind(0.005)	
Topic 1(0.036):	batteri(0.112)	life(0.063)	good(0.058)	day(0.028)	charg(0.027)	thing(0.016)	app(0.015)	bad(0.015)	lot(0.013)	hour(0.013)	low(0.013)	time(0.012)	work(0.011)	hold(0.011)	terribl(0.011)	better(0.009)	long(0.008)	pretti(0.008)	perform(0.008)	feel(0.007)	half(0.007)	problem(0.007)	wifi(0.007)	talk(0.006)	decent(0.006)	hand(0.006)	camera(0.006)	user(0.006)	horribl(0.006)	heavi(0.006)	peopl(0.006)	remov(0.005)	star(0.005)	nice(0.005)	fast(0.005)	bright(0.005)	power(0.005)	play(0.005)	usag(0.005)	averag(0.005)	card(0.005)	left(0.004)	display(0.004)	smartphon(0.004)	button(0.004)	moder(0.004)	money(0.004)	con(0.004)	price(0.004)	constant(0.004)	
Topic 2(0.032):	screen(0.043)	case(0.029)	charger(0.025)	box(0.018)	usb(0.016)	cover(0.016)	feel(0.014)	good(0.013)	button(0.012)	plug(0.012)	side(0.011)	black(0.011)	open(0.011)	hand(0.011)	card(0.010)	touch(0.009)	protector(0.009)	cabl(0.009)	easi(0.009)	scratch(0.009)	charg(0.008)	plastic(0.008)	top(0.008)	includ(0.008)	time(0.008)	review(0.008)	better(0.007)	camera(0.007)	find(0.007)	iphon(0.007)	micro(0.006)	white(0.006)	great(0.006)	sim(0.006)	adapt(0.006)	perfect(0.006)	beauti(0.006)	work(0.005)	hold(0.005)	slot(0.005)	sd(0.005)	nexus(0.005)	batteri(0.005)	cheap(0.005)	nice(0.005)	resist(0.005)	wall(0.005)	power(0.005)	love(0.004)	drop(0.004)	
Topic 3(0.074):	buy(0.032)	bought(0.028)	product(0.024)	month(0.023)	purchas(0.020)	year(0.019)	amazon(0.018)	unlock(0.016)	review(0.016)	pay(0.015)	work(0.015)	good(0.014)	plan(0.013)	problem(0.013)	bad(0.011)	best(0.010)	motorola(0.010)	tmobil(0.010)	time(0.010)	newegg(0.010)	price(0.009)	ago(0.009)	happi(0.008)	servic(0.008)	verizon(0.008)	samsung(0.008)	cell(0.008)	contract(0.007)	replac(0.007)	great(0.007)	day(0.007)	ship(0.007)	sell(0.007)	order(0.007)	seller(0.007)	deal(0.007)	cheaper(0.007)	warranti(0.006)	model(0.006)	better(0.006)	compani(0.006)	version(0.005)	receiv(0.005)	recommend(0.005)	descript(0.005)	intern(0.005)	satisfi(0.005)	appl(0.004)	son(0.004)	thing(0.004)	
Topic 4(0.032):	camera(0.094)	screen(0.032)	good(0.028)	flash(0.027)	pictur(0.023)	front(0.023)	light(0.020)	better(0.017)	button(0.016)	great(0.015)	qualiti(0.012)	display(0.011)	face(0.011)	lot(0.010)	decent(0.010)	touch(0.010)	price(0.009)	core(0.009)	nice(0.009)	processor(0.008)	video(0.008)	featur(0.008)	app(0.008)	thing(0.007)	inch(0.007)	lack(0.007)	resolut(0.007)	low(0.006)	quad(0.006)	mp(0.006)	work(0.006)	5mp(0.006)	iphon(0.005)	set(0.005)	pretti(0.005)	problem(0.005)	pixel(0.005)	expect(0.005)	ipod(0.004)	led(0.004)	time(0.004)	flashlight(0.004)	year(0.004)	side(0.004)	full(0.004)	htc(0.004)	rear(0.004)	higher(0.004)	capabl(0.004)	call(0.004)	
Topic 5(0.047):	call(0.072)	servic(0.038)	wifi(0.029)	problem(0.019)	time(0.019)	drop(0.019)	tmobil(0.017)	qualiti(0.017)	signal(0.017)	great(0.016)	verizon(0.015)	work(0.015)	connect(0.013)	custom(0.013)	cell(0.013)	recept(0.013)	good(0.011)	network(0.010)	sound(0.010)	area(0.010)	talk(0.008)	minut(0.008)	text(0.008)	peopl(0.008)	motorola(0.008)	worst(0.007)	receiv(0.007)	week(0.006)	hous(0.006)	issu(0.006)	month(0.006)	better(0.006)	lot(0.006)	live(0.006)	bought(0.006)	year(0.006)	3g(0.006)	buy(0.006)	voic(0.006)	coverag(0.005)	replac(0.005)	switch(0.005)	send(0.005)	samsung(0.005)	bar(0.005)	4g(0.005)	support(0.005)	att(0.005)	excel(0.005)	pick(0.004)	
Topic 6(0.056):	day(0.042)	charg(0.029)	batteri(0.028)	time(0.027)	problem(0.025)	work(0.024)	week(0.023)	call(0.020)	receiv(0.019)	send(0.017)	replac(0.014)	turn(0.013)	return(0.012)	wait(0.011)	start(0.010)	email(0.010)	hope(0.009)	month(0.009)	bought(0.008)	told(0.007)	text(0.007)	fine(0.007)	order(0.007)	ship(0.007)	htc(0.007)	compani(0.007)	hour(0.007)	power(0.007)	nokia(0.007)	product(0.007)	arriv(0.006)	disappoint(0.006)	thing(0.006)	ago(0.006)	refund(0.006)	messag(0.006)	great(0.006)	help(0.006)	minut(0.005)	seller(0.005)	pictur(0.005)	custom(0.005)	contact(0.005)	shut(0.005)	complet(0.005)	repair(0.005)	reset(0.005)	issu(0.005)	support(0.005)	devic(0.005)	
Topic 7(0.039):	sim(0.053)	card(0.052)	work(0.022)	data(0.020)	tmobil(0.020)	3g(0.019)	4g(0.019)	sd(0.015)	support(0.013)	lte(0.013)	great(0.013)	network(0.012)	plan(0.011)	slot(0.011)	memori(0.010)	servic(0.010)	unlock(0.010)	good(0.010)	purchas(0.009)	att(0.009)	call(0.009)	micro(0.008)	dual(0.008)	connect(0.008)	problem(0.008)	batteri(0.007)	mobil(0.007)	fast(0.007)	compat(0.007)	number(0.007)	charg(0.007)	2g(0.006)	band(0.006)	time(0.006)	wifi(0.006)	speed(0.006)	activ(0.005)	transfer(0.005)	htc(0.005)	screen(0.005)	bought(0.005)	android(0.005)	area(0.005)	day(0.005)	devic(0.005)	capabl(0.004)	travel(0.004)	contract(0.004)	set(0.004)	oversea(0.004)	
Topic 8(0.025):	app(0.041)	work(0.025)	set(0.024)	wifi(0.019)	account(0.017)	email(0.016)	call(0.016)	messag(0.015)	tmobil(0.014)	time(0.013)	text(0.013)	contact(0.013)	connect(0.012)	featur(0.012)	data(0.011)	voic(0.011)	window(0.011)	problem(0.010)	sync(0.010)	googl(0.009)	facebook(0.009)	updat(0.008)	reset(0.008)	lock(0.008)	person(0.008)	easi(0.008)	gps(0.008)	access(0.007)	navig(0.007)	option(0.007)	peopl(0.007)	outlook(0.007)	microsoft(0.007)	instal(0.007)	download(0.007)	function(0.006)	gmail(0.006)	send(0.006)	open(0.006)	file(0.006)	basic(0.006)	tile(0.006)	calendar(0.005)	list(0.005)	issu(0.005)	figur(0.005)	search(0.005)	servic(0.005)	setup(0.005)	fine(0.005)	
Topic 9(0.029):	app(0.042)	window(0.034)	android(0.032)	screen(0.024)	updat(0.023)	os(0.020)	touch(0.019)	respons(0.017)	interfac(0.014)	easi(0.013)	softwar(0.012)	fast(0.012)	feel(0.012)	great(0.011)	time(0.009)	appl(0.008)	system(0.008)	sensit(0.008)	problem(0.008)	thing(0.008)	cheap(0.008)	plastic(0.007)	processor(0.007)	user(0.007)	samsung(0.007)	bright(0.007)	slow(0.007)	good(0.007)	oper(0.007)	store(0.007)	issu(0.006)	beauti(0.006)	set(0.006)	qualiti(0.006)	design(0.006)	featur(0.006)	htc(0.006)	touchscreen(0.006)	upgrad(0.006)	keyboard(0.005)	nice(0.005)	smooth(0.005)	applic(0.005)	chang(0.005)	io(0.005)	market(0.005)	turn(0.005)	camera(0.004)	annoy(0.004)	navig(0.004)	
Topic 10(0.060):	good(0.035)	smart(0.029)	love(0.028)	iphon(0.028)	android(0.024)	nexus(0.021)	best(0.020)	price(0.018)	smartphon(0.017)	bought(0.017)	better(0.013)	samsung(0.012)	user(0.012)	year(0.011)	window(0.011)	upgrad(0.010)	friend(0.010)	time(0.009)	galaxi(0.009)	buy(0.009)	week(0.008)	system(0.008)	feel(0.008)	compar(0.007)	googl(0.007)	wait(0.007)	easi(0.007)	oper(0.007)	money(0.007)	contract(0.007)	gift(0.006)	simpl(0.006)	nokia(0.006)	thought(0.006)	devic(0.006)	basic(0.006)	peopl(0.006)	updat(0.006)	purchas(0.005)	month(0.005)	function(0.005)	deal(0.005)	great(0.005)	experi(0.005)	con(0.005)	4s(0.005)	worth(0.005)	version(0.005)	learn(0.005)	daughter(0.005)	
