Topic 0(0.019):	screen(0.030)	button(0.023)	camera(0.014)	keyboard(0.014)	number(0.014)	usb(0.014)	call(0.013)	touch(0.012)	app(0.010)	time(0.009)	type(0.009)	headphon(0.008)	work(0.008)	cabl(0.008)	chang(0.008)	list(0.007)	volum(0.007)	good(0.007)	nice(0.007)	video(0.007)	music(0.007)	charger(0.006)	thing(0.006)	set(0.006)	plug(0.006)	featur(0.006)	speaker(0.005)	tap(0.005)	text(0.005)	easi(0.005)	clear(0.005)	pictur(0.005)	peopl(0.005)	feel(0.005)	hit(0.005)	click(0.004)	bad(0.004)	player(0.004)	jack(0.004)	front(0.004)	option(0.004)	file(0.004)	open(0.004)	side(0.004)	photo(0.004)	display(0.004)	play(0.004)	port(0.004)	top(0.004)	icon(0.004)	
Topic 1(0.063):	love(0.076)	great(0.054)	window(0.041)	price(0.039)	easi(0.027)	smartphon(0.024)	best(0.022)	excel(0.019)	featur(0.018)	work(0.014)	smart(0.014)	android(0.012)	nokia(0.012)	nice(0.012)	system(0.011)	oper(0.010)	impress(0.009)	awesom(0.009)	product(0.009)	fast(0.009)	simpl(0.008)	learn(0.008)	expect(0.008)	os(0.008)	amaz(0.007)	function(0.007)	budget(0.007)	buy(0.007)	recommend(0.006)	beat(0.006)	deal(0.006)	user(0.006)	mobil(0.006)	experi(0.005)	comput(0.005)	friend(0.005)	pretti(0.005)	interfac(0.005)	absolut(0.005)	lot(0.004)	perfect(0.004)	time(0.004)	feel(0.004)	design(0.004)	microsoft(0.004)	bought(0.004)	updat(0.004)	camera(0.004)	person(0.004)	version(0.004)	
Topic 2(0.026):	servic(0.023)	call(0.019)	buy(0.017)	custom(0.017)	samsung(0.016)	issu(0.013)	devic(0.013)	tracfon(0.011)	good(0.010)	problem(0.010)	month(0.010)	day(0.010)	htc(0.010)	time(0.009)	send(0.009)	updat(0.008)	email(0.008)	contact(0.008)	tmobil(0.008)	great(0.008)	iphon(0.008)	compani(0.008)	product(0.008)	peopl(0.008)	android(0.007)	question(0.007)	review(0.007)	text(0.007)	year(0.007)	care(0.007)	repair(0.007)	minut(0.007)	user(0.006)	websit(0.006)	respons(0.006)	talk(0.006)	number(0.006)	model(0.006)	work(0.006)	answer(0.006)	plan(0.005)	purchas(0.005)	happi(0.005)	week(0.005)	basic(0.005)	unlimit(0.005)	cell(0.005)	check(0.005)	thing(0.005)	support(0.004)	
Topic 3(0.029):	text(0.033)	messag(0.023)	set(0.019)	email(0.014)	call(0.013)	featur(0.012)	option(0.010)	app(0.009)	voic(0.008)	rington(0.008)	contact(0.008)	bluetooth(0.008)	screen(0.008)	turn(0.008)	time(0.008)	function(0.007)	send(0.007)	pictur(0.007)	find(0.007)	work(0.007)	thing(0.007)	ring(0.006)	internet(0.006)	access(0.006)	type(0.006)	easi(0.006)	alarm(0.006)	download(0.006)	menu(0.006)	problem(0.006)	keyboard(0.005)	sound(0.005)	read(0.005)	volum(0.005)	chang(0.005)	figur(0.005)	manual(0.005)	allow(0.005)	good(0.004)	address(0.004)	tone(0.004)	calendar(0.004)	connect(0.004)	person(0.004)	music(0.004)	number(0.004)	mode(0.004)	talk(0.004)	navig(0.004)	peopl(0.004)	
Topic 4(0.038):	button(0.041)	screen(0.040)	batteri(0.032)	time(0.030)	turn(0.029)	work(0.027)	power(0.019)	charg(0.017)	day(0.014)	touch(0.013)	start(0.011)	side(0.011)	press(0.009)	shut(0.009)	lock(0.008)	freez(0.008)	app(0.008)	charger(0.008)	month(0.007)	problem(0.007)	hold(0.007)	open(0.007)	cover(0.007)	reboot(0.007)	reset(0.007)	hour(0.007)	remov(0.007)	thing(0.007)	week(0.006)	top(0.006)	good(0.006)	left(0.006)	set(0.006)	restart(0.006)	case(0.006)	complet(0.006)	annoy(0.006)	volum(0.006)	second(0.005)	plug(0.005)	finger(0.005)	unlock(0.004)	light(0.004)	push(0.004)	small(0.004)	long(0.004)	minut(0.004)	call(0.004)	fine(0.004)	respond(0.004)	
Topic 5(0.042):	batteri(0.071)	charg(0.065)	day(0.037)	time(0.023)	issu(0.019)	htc(0.018)	hour(0.017)	life(0.016)	work(0.015)	problem(0.014)	inspir(0.013)	4g(0.012)	month(0.011)	charger(0.009)	great(0.009)	blu(0.009)	turn(0.008)	replac(0.008)	bought(0.008)	unlock(0.007)	call(0.007)	hold(0.007)	week(0.007)	receiv(0.006)	port(0.006)	long(0.006)	start(0.006)	return(0.006)	full(0.006)	play(0.006)	updat(0.006)	terribl(0.006)	warranti(0.005)	support(0.005)	send(0.005)	order(0.005)	product(0.005)	arriv(0.005)	fulli(0.005)	buy(0.005)	die(0.004)	love(0.004)	servic(0.004)	plug(0.004)	year(0.004)	screen(0.004)	email(0.004)	good(0.004)	thing(0.004)	devic(0.004)	
Topic 6(0.028):	call(0.027)	signal(0.025)	qualiti(0.024)	good(0.024)	servic(0.022)	great(0.022)	sound(0.021)	speaker(0.019)	recept(0.016)	4g(0.015)	wifi(0.013)	hear(0.013)	volum(0.012)	connect(0.012)	time(0.012)	area(0.012)	clear(0.012)	loud(0.011)	network(0.011)	cell(0.011)	work(0.011)	voic(0.011)	live(0.009)	issu(0.009)	coverag(0.009)	3g(0.009)	problem(0.008)	bad(0.008)	verizon(0.007)	better(0.007)	peopl(0.007)	tmobil(0.007)	lte(0.007)	internet(0.006)	data(0.006)	nice(0.006)	fast(0.005)	mobil(0.005)	excel(0.005)	hous(0.005)	carrier(0.005)	drop(0.005)	pick(0.005)	terribl(0.005)	low(0.005)	boost(0.005)	set(0.004)	lot(0.004)	speed(0.004)	bar(0.004)	
Topic 7(0.031):	sim(0.069)	card(0.057)	tmobil(0.042)	activ(0.020)	work(0.020)	att(0.018)	plan(0.014)	buy(0.014)	problem(0.012)	servic(0.012)	el(0.011)	purchas(0.010)	number(0.010)	store(0.010)	data(0.009)	la(0.009)	prepaid(0.009)	es(0.009)	de(0.008)	mobil(0.008)	network(0.008)	call(0.008)	unlock(0.007)	en(0.007)	bought(0.007)	con(0.007)	2g(0.006)	walmart(0.006)	day(0.006)	good(0.006)	compat(0.006)	band(0.006)	famili(0.006)	cell(0.005)	watch(0.005)	talk(0.005)	carrier(0.005)	lo(0.005)	support(0.005)	gsm(0.005)	transfer(0.005)	dual(0.005)	account(0.005)	text(0.004)	told(0.004)	messag(0.004)	nokia(0.004)	muy(0.004)	frequenc(0.004)	3g(0.004)	
Topic 8(0.046):	good(0.083)	camera(0.083)	qualiti(0.032)	price(0.028)	flash(0.027)	great(0.025)	pictur(0.023)	light(0.016)	front(0.016)	nice(0.013)	better(0.013)	screen(0.012)	work(0.010)	video(0.010)	pretti(0.010)	decent(0.010)	face(0.009)	thing(0.009)	featur(0.009)	low(0.009)	nokia(0.008)	sound(0.008)	photo(0.007)	product(0.006)	bad(0.006)	surpris(0.006)	best(0.006)	shot(0.005)	build(0.005)	expect(0.005)	function(0.005)	perfect(0.005)	problem(0.005)	app(0.004)	lack(0.004)	5mp(0.004)	basic(0.004)	perform(0.004)	time(0.004)	capabl(0.004)	recept(0.004)	mp(0.004)	pic(0.003)	lot(0.003)	clear(0.003)	bright(0.003)	call(0.003)	deal(0.003)	color(0.003)	fast(0.003)	
Topic 9(0.036):	buy(0.040)	cell(0.024)	nokia(0.024)	good(0.020)	problem(0.017)	better(0.017)	work(0.017)	time(0.013)	user(0.012)	model(0.012)	version(0.011)	unlock(0.010)	batteri(0.010)	year(0.009)	softwar(0.009)	thought(0.009)	brand(0.008)	friend(0.008)	iphon(0.008)	recommend(0.008)	wrong(0.008)	bought(0.007)	amazon(0.007)	disappoint(0.006)	replac(0.006)	pay(0.006)	carrier(0.006)	app(0.006)	android(0.006)	star(0.006)	issu(0.005)	crap(0.005)	call(0.005)	tmobil(0.005)	appl(0.005)	price(0.005)	piec(0.005)	suppos(0.005)	money(0.005)	life(0.004)	hope(0.004)	intern(0.004)	peopl(0.004)	galaxi(0.004)	list(0.004)	big(0.004)	lumia(0.004)	window(0.004)	excit(0.004)	month(0.004)	
Topic 10(0.069):	great(0.066)	good(0.045)	price(0.040)	bought(0.032)	recommend(0.031)	buy(0.023)	nokia(0.021)	smart(0.020)	money(0.020)	purchas(0.020)	love(0.019)	lumia(0.016)	smartphon(0.015)	featur(0.015)	happi(0.014)	review(0.014)	high(0.013)	worth(0.012)	year(0.012)	work(0.009)	son(0.009)	window(0.008)	gift(0.007)	cheap(0.007)	tmobil(0.007)	definit(0.007)	basic(0.006)	wife(0.006)	cell(0.006)	spend(0.006)	choic(0.006)	entri(0.006)	daughter(0.006)	lot(0.006)	amazon(0.006)	level(0.005)	deal(0.005)	friend(0.005)	nice(0.005)	order(0.005)	best(0.005)	awesom(0.005)	read(0.005)	husband(0.005)	store(0.005)	dollar(0.004)	cost(0.004)	plan(0.004)	christma(0.004)	lg(0.004)	
Topic 11(0.034):	android(0.050)	app(0.031)	window(0.026)	os(0.022)	updat(0.016)	devic(0.015)	time(0.014)	good(0.012)	user(0.011)	upgrad(0.011)	nokia(0.011)	best(0.010)	blackberri(0.010)	work(0.008)	great(0.008)	bad(0.007)	system(0.007)	year(0.007)	issu(0.006)	iphon(0.006)	find(0.006)	price(0.006)	smart(0.006)	batteri(0.006)	bb(0.006)	suck(0.006)	softwar(0.006)	freez(0.006)	buy(0.005)	power(0.005)	thing(0.005)	oper(0.005)	day(0.005)	smartphon(0.005)	lumia(0.005)	applic(0.005)	featur(0.004)	nice(0.004)	game(0.004)	month(0.004)	market(0.004)	soni(0.004)	start(0.004)	big(0.004)	version(0.004)	platform(0.004)	lot(0.004)	wp8(0.004)	capabl(0.004)	htc(0.004)	
Topic 12(0.043):	samsung(0.031)	galaxi(0.029)	iphon(0.029)	better(0.028)	price(0.026)	android(0.025)	great(0.019)	s3(0.012)	devic(0.010)	compar(0.010)	good(0.010)	verizon(0.010)	nexus(0.010)	best(0.010)	expect(0.010)	featur(0.008)	thing(0.008)	upgrad(0.007)	screen(0.007)	support(0.007)	appl(0.007)	buy(0.007)	contract(0.007)	work(0.006)	cost(0.006)	smartphon(0.006)	qualiti(0.006)	fast(0.006)	4g(0.006)	camera(0.006)	year(0.006)	love(0.005)	faster(0.005)	slow(0.005)	softwar(0.005)	high(0.005)	droid(0.005)	htc(0.005)	version(0.005)	s4(0.005)	batteri(0.005)	smart(0.005)	cheap(0.005)	user(0.005)	model(0.004)	updat(0.004)	find(0.004)	low(0.004)	review(0.004)	iii(0.004)	
Topic 13(0.030):	batteri(0.049)	good(0.038)	life(0.027)	great(0.020)	app(0.019)	camera(0.017)	qualiti(0.016)	music(0.016)	screen(0.016)	fast(0.015)	pretti(0.014)	day(0.013)	easi(0.011)	time(0.011)	sound(0.010)	work(0.010)	call(0.010)	video(0.009)	bad(0.008)	featur(0.008)	charg(0.008)	decent(0.008)	hour(0.007)	play(0.007)	respons(0.007)	lot(0.007)	listen(0.006)	excel(0.006)	speaker(0.006)	pictur(0.006)	better(0.005)	love(0.005)	cool(0.005)	gps(0.005)	nokia(0.005)	devic(0.005)	download(0.005)	feel(0.004)	amaz(0.004)	bit(0.004)	averag(0.004)	read(0.004)	user(0.004)	review(0.004)	player(0.004)	perform(0.004)	recept(0.004)	iphon(0.004)	function(0.004)	high(0.004)	
Topic 14(0.027):	call(0.043)	wifi(0.039)	work(0.034)	tmobil(0.022)	data(0.020)	nokia(0.019)	great(0.016)	internet(0.015)	plan(0.015)	connect(0.014)	app(0.012)	lumia(0.011)	gps(0.011)	servic(0.011)	text(0.011)	set(0.010)	featur(0.010)	time(0.009)	free(0.009)	network(0.008)	good(0.008)	smart(0.007)	voic(0.007)	game(0.007)	pay(0.007)	problem(0.006)	easi(0.006)	support(0.006)	thing(0.006)	email(0.006)	web(0.006)	bought(0.006)	window(0.006)	bluetooth(0.005)	smartphon(0.005)	map(0.005)	clear(0.005)	access(0.005)	download(0.005)	att(0.005)	camera(0.005)	turn(0.005)	qualiti(0.005)	basic(0.004)	check(0.004)	account(0.004)	devic(0.004)	find(0.004)	purpos(0.004)	day(0.004)	
Topic 15(0.044):	great(0.045)	feel(0.033)	nice(0.029)	price(0.028)	good(0.023)	cheap(0.022)	screen(0.019)	qualiti(0.016)	amaz(0.015)	love(0.012)	size(0.012)	work(0.011)	hand(0.011)	awesom(0.011)	solid(0.011)	android(0.010)	design(0.010)	thing(0.009)	devic(0.009)	app(0.009)	nokia(0.009)	camera(0.009)	star(0.009)	window(0.008)	plastic(0.008)	small(0.008)	keyboard(0.007)	better(0.006)	iphon(0.006)	build(0.006)	display(0.006)	hardwar(0.006)	lot(0.006)	case(0.006)	light(0.006)	bit(0.006)	softwar(0.005)	cover(0.005)	wonder(0.005)	featur(0.005)	weight(0.005)	batteri(0.005)	fit(0.005)	hold(0.004)	perform(0.004)	side(0.004)	pretti(0.004)	os(0.004)	rate(0.004)	lumia(0.004)	
Topic 16(0.036):	screen(0.084)	case(0.026)	touch(0.014)	big(0.014)	color(0.012)	nice(0.011)	drop(0.011)	size(0.011)	small(0.010)	time(0.010)	hand(0.010)	protector(0.009)	bright(0.009)	scratch(0.009)	great(0.009)	good(0.008)	crack(0.008)	cover(0.008)	love(0.007)	easi(0.007)	display(0.007)	easili(0.007)	glass(0.007)	work(0.007)	buy(0.007)	batteri(0.007)	pocket(0.007)	fit(0.006)	respons(0.006)	protect(0.006)	perfect(0.006)	find(0.005)	watch(0.005)	super(0.005)	better(0.005)	iphon(0.005)	fast(0.005)	feel(0.005)	beauti(0.005)	thing(0.005)	inch(0.005)	problem(0.005)	clear(0.004)	plastic(0.004)	resolut(0.004)	cool(0.004)	charger(0.004)	light(0.004)	pretti(0.004)	white(0.004)	
