Topic 0(0.038):	good(0.034)	nice(0.026)	screen(0.024)	camera(0.023)	buy(0.022)	price(0.020)	recommend(0.018)	touch(0.017)	product(0.016)	star(0.015)	better(0.014)	deal(0.013)	expect(0.012)	cheap(0.011)	pretti(0.011)	high(0.010)	find(0.010)	qualiti(0.010)	bought(0.009)	unit(0.009)	devic(0.009)	featur(0.009)	rate(0.009)	best(0.008)	reason(0.008)	bad(0.008)	big(0.008)	problem(0.008)	money(0.007)	purchas(0.007)	android(0.007)	kindl(0.007)	kid(0.007)	dragon(0.007)	skype(0.006)	keyboard(0.006)	thought(0.006)	toy(0.006)	fine(0.006)	bluetooth(0.006)	thing(0.005)	fast(0.005)	item(0.005)	brand(0.005)	disappoint(0.005)	front(0.005)	expens(0.005)	egg(0.005)	useless(0.004)	year(0.004)	
Topic 1(0.020):	keyboard(0.053)	dock(0.025)	batteri(0.024)	screen(0.018)	laptop(0.016)	life(0.015)	bluetooth(0.013)	great(0.011)	mous(0.008)	ipad(0.008)	type(0.008)	usb(0.007)	station(0.007)	case(0.007)	touch(0.007)	time(0.007)	connect(0.007)	charg(0.007)	day(0.006)	thing(0.006)	power(0.006)	better(0.006)	buy(0.006)	option(0.006)	issu(0.006)	light(0.006)	problem(0.006)	good(0.006)	port(0.006)	devic(0.005)	nice(0.005)	attach(0.005)	asus(0.005)	tf300(0.005)	game(0.005)	size(0.005)	travel(0.005)	bought(0.005)	pretti(0.004)	long(0.004)	fast(0.004)	weight(0.004)	respons(0.004)	wifi(0.004)	lot(0.004)	design(0.004)	hdmi(0.004)	carri(0.004)	hour(0.004)	perfect(0.004)	
Topic 2(0.028):	android(0.039)	app(0.026)	updat(0.024)	samsung(0.018)	galaxi(0.012)	os(0.012)	asus(0.012)	screen(0.011)	devic(0.010)	upgrad(0.010)	phone(0.010)	featur(0.010)	softwar(0.010)	great(0.009)	issu(0.009)	remot(0.008)	nice(0.008)	soni(0.008)	better(0.008)	root(0.008)	wifi(0.007)	jelli(0.007)	thing(0.007)	bean(0.007)	set(0.007)	version(0.006)	instal(0.006)	system(0.006)	infin(0.006)	ic(0.006)	control(0.006)	transform(0.006)	fast(0.006)	tv(0.006)	perform(0.006)	time(0.005)	nexus(0.005)	slow(0.005)	includ(0.005)	hope(0.005)	problem(0.005)	best(0.004)	firmwar(0.004)	applic(0.004)	improv(0.004)	releas(0.004)	love(0.004)	ipad(0.004)	connect(0.004)	chang(0.004)	
Topic 3(0.025):	app(0.029)	ipad(0.029)	samsung(0.028)	devic(0.025)	galaxi(0.023)	android(0.013)	tab(0.012)	comput(0.011)	phone(0.010)	laptop(0.010)	thing(0.009)	featur(0.008)	better(0.008)	appl(0.008)	email(0.007)	sync(0.006)	account(0.006)	window(0.006)	feel(0.006)	touch(0.006)	easi(0.006)	screen(0.006)	great(0.006)	file(0.006)	interfac(0.005)	store(0.005)	lot(0.005)	document(0.005)	edit(0.005)	buy(0.005)	bought(0.005)	program(0.004)	product(0.004)	good(0.004)	itun(0.004)	learn(0.004)	desktop(0.004)	replac(0.004)	nice(0.004)	offic(0.004)	download(0.004)	love(0.004)	version(0.003)	dropbox(0.003)	peopl(0.003)	ipod(0.003)	mac(0.003)	limit(0.003)	expect(0.003)	find(0.003)	
Topic 4(0.038):	price(0.057)	good(0.056)	bad(0.026)	time(0.015)	qualiti(0.014)	perform(0.013)	slow(0.012)	purchas(0.011)	buy(0.011)	better(0.010)	batteri(0.010)	expect(0.009)	bit(0.009)	thing(0.009)	game(0.009)	decent(0.008)	product(0.008)	low(0.008)	devic(0.008)	ipad(0.008)	pay(0.008)	review(0.007)	life(0.007)	recommend(0.007)	video(0.007)	issu(0.007)	bought(0.006)	screen(0.006)	lot(0.006)	camera(0.006)	consid(0.006)	asus(0.006)	wait(0.006)	pretti(0.005)	hope(0.005)	long(0.005)	return(0.005)	replac(0.005)	happi(0.005)	choic(0.005)	improv(0.005)	great(0.005)	point(0.004)	hour(0.004)	rang(0.004)	kid(0.004)	cheap(0.004)	deal(0.004)	browser(0.004)	option(0.004)	
Topic 5(0.036):	kindl(0.095)	fire(0.061)	hdx(0.048)	love(0.035)	amazon(0.022)	hd(0.017)	devic(0.012)	read(0.010)	purchas(0.009)	year(0.009)	book(0.009)	great(0.009)	origin(0.007)	upgrad(0.007)	featur(0.007)	app(0.007)	time(0.007)	ipad(0.006)	better(0.006)	buy(0.006)	prime(0.006)	review(0.006)	screen(0.006)	best(0.005)	help(0.005)	offer(0.005)	thing(0.005)	model(0.005)	display(0.005)	mayday(0.005)	good(0.005)	nexus(0.005)	bought(0.005)	video(0.004)	easi(0.004)	recommend(0.004)	enjoy(0.004)	notic(0.004)	happi(0.004)	experi(0.004)	problem(0.004)	version(0.004)	improv(0.004)	android(0.004)	compar(0.004)	download(0.004)	googl(0.004)	updat(0.003)	special(0.003)	thought(0.003)	
Topic 6(0.041):	buy(0.042)	money(0.037)	ipad(0.028)	appl(0.024)	wast(0.017)	product(0.016)	time(0.015)	purchas(0.015)	better(0.013)	review(0.013)	store(0.012)	spend(0.012)	amazon(0.012)	bought(0.011)	devic(0.010)	worth(0.010)	save(0.010)	junk(0.009)	thing(0.008)	month(0.008)	lot(0.008)	bewar(0.007)	buyer(0.007)	piec(0.007)	extra(0.007)	best(0.007)	att(0.007)	app(0.006)	learn(0.006)	version(0.006)	plan(0.006)	model(0.006)	brand(0.006)	wait(0.006)	day(0.005)	year(0.005)	card(0.005)	hate(0.005)	data(0.005)	sim(0.005)	peopl(0.005)	verizon(0.005)	crap(0.005)	return(0.005)	3g(0.004)	spent(0.004)	pay(0.004)	custom(0.004)	seller(0.004)	good(0.004)	
Topic 7(0.042):	return(0.048)	ship(0.028)	day(0.021)	repair(0.020)	amazon(0.020)	send(0.020)	pay(0.019)	replac(0.018)	receiv(0.017)	refund(0.016)	item(0.015)	product(0.015)	week(0.014)	seller(0.013)	defect(0.012)	unit(0.012)	contact(0.011)	warranti(0.011)	problem(0.010)	order(0.010)	call(0.009)	told(0.009)	purchas(0.009)	cost(0.009)	samsung(0.008)	time(0.008)	charg(0.008)	devic(0.008)	email(0.007)	compani(0.007)	number(0.007)	box(0.007)	arriv(0.007)	wait(0.007)	ipad(0.006)	asus(0.006)	issu(0.006)	screen(0.006)	servic(0.006)	money(0.005)	month(0.005)	support(0.005)	disappoint(0.005)	rma(0.005)	manufactur(0.005)	final(0.005)	exchang(0.005)	refurbish(0.005)	updat(0.005)	review(0.005)	
Topic 8(0.038):	product(0.047)	custom(0.036)	asus(0.033)	servic(0.029)	support(0.024)	problem(0.022)	issu(0.017)	buy(0.014)	compani(0.013)	call(0.013)	purchas(0.013)	recommend(0.012)	help(0.012)	great(0.011)	warranti(0.010)	appl(0.010)	amazon(0.010)	updat(0.008)	good(0.008)	time(0.008)	contact(0.008)	hope(0.008)	star(0.008)	qualiti(0.007)	day(0.006)	tech(0.006)	receiv(0.006)	disappoint(0.006)	send(0.005)	repair(0.005)	email(0.005)	year(0.005)	devic(0.005)	care(0.005)	told(0.005)	review(0.005)	acer(0.005)	manufactur(0.004)	happi(0.004)	hardwar(0.004)	return(0.004)	respons(0.004)	thing(0.004)	reset(0.004)	month(0.004)	resolv(0.004)	bad(0.004)	factori(0.004)	high(0.004)	person(0.004)	
Topic 9(0.032):	ipad(0.091)	product(0.039)	appl(0.023)	review(0.019)	samsung(0.019)	buy(0.018)	purchas(0.017)	galaxi(0.015)	great(0.014)	bought(0.014)	air(0.013)	good(0.010)	compar(0.010)	disappoint(0.009)	amazon(0.009)	happi(0.009)	generat(0.007)	mini(0.006)	iphon(0.006)	decid(0.006)	wife(0.006)	devic(0.006)	read(0.006)	enjoy(0.006)	best(0.006)	year(0.006)	soni(0.006)	price(0.006)	thing(0.005)	big(0.005)	love(0.005)	model(0.005)	tab(0.005)	satisfi(0.005)	gen(0.005)	cost(0.004)	hope(0.004)	return(0.004)	laptop(0.004)	regret(0.004)	perform(0.004)	app(0.004)	order(0.004)	wifi(0.004)	wait(0.004)	month(0.004)	problem(0.004)	week(0.004)	write(0.003)	wrong(0.003)	
Topic 10(0.024):	card(0.053)	sd(0.041)	memori(0.030)	storag(0.022)	slot(0.021)	app(0.020)	micro(0.014)	gb(0.011)	32gb(0.010)	space(0.010)	usb(0.010)	great(0.010)	intern(0.009)	screen(0.009)	microsd(0.008)	android(0.008)	gig(0.007)	ram(0.007)	instal(0.007)	hdmi(0.007)	expand(0.007)	devic(0.007)	16gb(0.007)	good(0.006)	game(0.006)	file(0.006)	model(0.006)	samsung(0.006)	extern(0.006)	nice(0.005)	drive(0.005)	price(0.005)	video(0.005)	ipad(0.005)	port(0.005)	play(0.005)	purchas(0.005)	64gb(0.005)	8gb(0.005)	move(0.005)	lot(0.005)	option(0.004)	expans(0.004)	core(0.004)	extra(0.004)	processor(0.004)	camera(0.004)	full(0.004)	bought(0.004)	music(0.004)	
