Topic 0(0.041):	connect(0.028)	remot(0.022)	channel(0.021)	set(0.019)	button(0.018)	work(0.016)	time(0.016)	wireless(0.014)	input(0.014)	featur(0.013)	turn(0.012)	pictur(0.011)	internet(0.011)	cabl(0.010)	setup(0.010)	network(0.010)	chang(0.010)	menu(0.010)	power(0.009)	easi(0.008)	wifi(0.008)	control(0.008)	second(0.008)	option(0.007)	nice(0.007)	hdmi(0.007)	netflix(0.007)	great(0.006)	find(0.006)	problem(0.006)	box(0.006)	adapt(0.006)	select(0.006)	smart(0.006)	good(0.006)	user(0.006)	router(0.006)	switch(0.005)	devic(0.005)	press(0.005)	game(0.005)	screen(0.005)	manual(0.005)	display(0.005)	hit(0.005)	volum(0.004)	updat(0.004)	guid(0.004)	app(0.004)	fine(0.004)	
Topic 1(0.042):	screen(0.021)	light(0.021)	set(0.016)	view(0.016)	3d(0.015)	stand(0.014)	black(0.013)	led(0.013)	remot(0.012)	pictur(0.011)	angl(0.010)	mount(0.010)	thin(0.010)	room(0.010)	plasma(0.010)	samsung(0.009)	nice(0.009)	side(0.009)	bezel(0.008)	great(0.008)	dark(0.008)	small(0.008)	glass(0.007)	button(0.007)	wall(0.007)	lcd(0.007)	review(0.007)	notic(0.007)	con(0.006)	frame(0.006)	better(0.006)	time(0.006)	model(0.006)	design(0.006)	panason(0.005)	price(0.005)	thing(0.005)	good(0.005)	color(0.005)	featur(0.005)	issu(0.005)	power(0.005)	qualiti(0.005)	weight(0.005)	watch(0.005)	work(0.004)	glare(0.004)	easi(0.004)	bright(0.004)	front(0.004)	
Topic 2(0.041):	sound(0.045)	good(0.027)	qualiti(0.025)	great(0.021)	speaker(0.020)	screw(0.018)	mount(0.017)	stand(0.017)	pictur(0.016)	buy(0.014)	expect(0.014)	set(0.013)	issu(0.012)	better(0.012)	system(0.010)	base(0.010)	wall(0.010)	samsung(0.010)	box(0.009)	money(0.008)	purchas(0.008)	review(0.008)	panel(0.008)	bewar(0.008)	buyer(0.007)	bought(0.007)	vizio(0.007)	deal(0.006)	thing(0.006)	product(0.006)	problem(0.006)	attach(0.006)	bar(0.006)	extern(0.006)	recommend(0.006)	app(0.006)	pay(0.005)	surround(0.005)	lg(0.005)	save(0.005)	terribl(0.005)	pretti(0.005)	theater(0.005)	low(0.005)	price(0.005)	audio(0.004)	cheap(0.004)	cost(0.004)	find(0.004)	built(0.004)	
Topic 3(0.042):	samsung(0.053)	servic(0.043)	call(0.035)	custom(0.027)	support(0.024)	problem(0.019)	issu(0.019)	replac(0.015)	tech(0.014)	amazon(0.013)	product(0.011)	help(0.011)	told(0.011)	contact(0.011)	day(0.011)	warranti(0.011)	set(0.010)	work(0.009)	lg(0.009)	repair(0.009)	updat(0.009)	time(0.008)	send(0.008)	week(0.008)	wait(0.007)	hour(0.007)	purchas(0.007)	firmwar(0.007)	phone(0.007)	return(0.006)	receiv(0.006)	buy(0.005)	model(0.005)	final(0.005)	manual(0.005)	number(0.004)	best(0.004)	offer(0.004)	email(0.004)	rep(0.004)	remot(0.004)	cabl(0.004)	websit(0.004)	experi(0.004)	respons(0.004)	bad(0.004)	center(0.004)	panason(0.003)	review(0.003)	compani(0.003)	
Topic 4(0.043):	remot(0.066)	control(0.031)	app(0.018)	speaker(0.015)	volum(0.015)	work(0.015)	sound(0.015)	keyboard(0.012)	great(0.012)	smart(0.010)	good(0.009)	big(0.008)	set(0.008)	samsung(0.008)	thing(0.007)	time(0.007)	button(0.007)	turn(0.006)	watch(0.006)	deal(0.006)	hear(0.006)	pictur(0.006)	screen(0.006)	review(0.006)	featur(0.006)	problem(0.006)	easi(0.006)	univers(0.006)	internet(0.006)	nice(0.006)	bit(0.006)	movi(0.005)	issu(0.005)	better(0.005)	buy(0.005)	read(0.005)	navig(0.005)	netflix(0.005)	video(0.005)	slow(0.005)	difficult(0.005)	built(0.005)	brows(0.005)	web(0.005)	voic(0.005)	user(0.005)	3d(0.005)	player(0.004)	interfac(0.004)	touch(0.004)	
Topic 5(0.105):	great(0.103)	pictur(0.080)	good(0.069)	price(0.043)	qualiti(0.038)	3d(0.031)	sound(0.024)	work(0.021)	featur(0.020)	smart(0.015)	excel(0.013)	product(0.011)	nice(0.011)	awesom(0.010)	set(0.010)	easi(0.010)	love(0.009)	movi(0.009)	glass(0.007)	pretti(0.006)	remot(0.006)	app(0.006)	samsung(0.006)	amaz(0.006)	lot(0.006)	watch(0.005)	better(0.005)	game(0.005)	deal(0.005)	decent(0.005)	fine(0.005)	bad(0.005)	play(0.004)	happi(0.004)	bought(0.004)	color(0.004)	2d(0.004)	option(0.004)	size(0.004)	function(0.004)	month(0.004)	simpl(0.004)	setup(0.004)	wifi(0.004)	money(0.004)	amazon(0.004)	reason(0.004)	review(0.003)	thing(0.003)	design(0.003)	
Topic 6(0.155):	app(0.079)	watch(0.045)	work(0.042)	kindl(0.035)	xfiniti(0.024)	great(0.021)	fire(0.021)	download(0.018)	comcast(0.016)	time(0.016)	movi(0.015)	good(0.015)	play(0.012)	hd(0.012)	freez(0.011)	program(0.011)	love(0.010)	live(0.009)	buffer(0.008)	channel(0.008)	lot(0.008)	commerci(0.008)	cabl(0.008)	video(0.006)	player(0.006)	demand(0.006)	episod(0.006)	problem(0.006)	stream(0.005)	start(0.005)	favorit(0.005)	nice(0.005)	disappoint(0.005)	star(0.005)	issu(0.005)	day(0.005)	devic(0.005)	network(0.005)	limit(0.005)	view(0.005)	better(0.005)	pay(0.005)	find(0.005)	servic(0.004)	updat(0.004)	fine(0.004)	account(0.004)	content(0.004)	select(0.004)	frustrat(0.004)	
Topic 7(0.049):	set(0.046)	pictur(0.042)	easi(0.037)	great(0.031)	box(0.017)	screen(0.017)	work(0.016)	adjust(0.015)	setup(0.014)	color(0.014)	good(0.013)	monitor(0.013)	light(0.012)	nice(0.011)	sound(0.011)	input(0.010)	problem(0.009)	cabl(0.009)	display(0.008)	pc(0.008)	remot(0.008)	hdmi(0.008)	qualiti(0.008)	thin(0.007)	turn(0.007)	price(0.006)	stand(0.006)	unit(0.006)	perfect(0.006)	bright(0.006)	connect(0.006)	small(0.006)	side(0.005)	hook(0.005)	room(0.005)	day(0.005)	power(0.005)	packag(0.004)	pretti(0.004)	fair(0.004)	option(0.004)	menu(0.004)	left(0.004)	black(0.004)	top(0.004)	bought(0.004)	control(0.004)	thing(0.004)	aspect(0.004)	ship(0.004)	
Topic 8(0.053):	recommend(0.019)	buy(0.018)	room(0.017)	price(0.017)	size(0.016)	purchas(0.015)	perfect(0.015)	screen(0.013)	set(0.012)	happi(0.012)	love(0.012)	bought(0.012)	high(0.010)	fit(0.010)	money(0.010)	live(0.009)	wall(0.008)	bedroom(0.008)	lg(0.008)	good(0.008)	great(0.008)	big(0.008)	mount(0.008)	pixel(0.008)	store(0.007)	hope(0.007)	worth(0.007)	model(0.007)	better(0.007)	pictur(0.007)	friend(0.007)	brand(0.007)	inch(0.006)	small(0.006)	box(0.006)	qualiti(0.006)	thing(0.006)	product(0.006)	unit(0.006)	space(0.006)	dead(0.006)	save(0.006)	time(0.005)	famili(0.005)	spend(0.005)	long(0.005)	best(0.005)	help(0.005)	definit(0.005)	sale(0.004)	
Topic 9(0.058):	samsung(0.041)	plasma(0.034)	price(0.029)	best(0.023)	pictur(0.023)	buy(0.021)	lcd(0.020)	led(0.019)	better(0.016)	year(0.016)	good(0.015)	hdtv(0.015)	panason(0.015)	qualiti(0.015)	set(0.014)	great(0.014)	purchas(0.013)	model(0.012)	soni(0.012)	tvs(0.012)	inch(0.011)	bought(0.011)	review(0.010)	love(0.009)	smart(0.008)	televis(0.008)	compar(0.008)	brand(0.008)	replac(0.007)	1080p(0.007)	vizio(0.007)	color(0.007)	lg(0.006)	monitor(0.006)	featur(0.005)	market(0.005)	decid(0.005)	technolog(0.004)	happi(0.004)	time(0.004)	money(0.004)	find(0.004)	sharp(0.004)	work(0.004)	simpli(0.004)	tcl(0.004)	store(0.004)	excel(0.004)	lot(0.004)	amaz(0.004)	
Topic 10(0.080):	smart(0.039)	app(0.039)	netflix(0.030)	samsung(0.026)	work(0.023)	updat(0.017)	video(0.016)	connect(0.016)	time(0.015)	stream(0.014)	internet(0.014)	amazon(0.014)	youtub(0.012)	watch(0.012)	hub(0.012)	softwar(0.011)	problem(0.009)	buy(0.008)	issu(0.008)	browser(0.007)	set(0.007)	play(0.007)	featur(0.007)	roku(0.007)	web(0.006)	movi(0.006)	thing(0.006)	support(0.006)	devic(0.006)	wifi(0.006)	hulu(0.006)	load(0.006)	network(0.006)	great(0.006)	bought(0.005)	access(0.005)	slow(0.005)	server(0.005)	start(0.005)	wireless(0.005)	googl(0.005)	comput(0.005)	fine(0.005)	good(0.004)	prime(0.004)	function(0.004)	better(0.004)	minut(0.004)	error(0.004)	turn(0.004)	
