Topic 0(0.048):	smart(0.051)	samsung(0.020)	room(0.015)	buy(0.015)	bought(0.013)	work(0.012)	purchas(0.012)	hub(0.012)	featur(0.012)	time(0.011)	updat(0.011)	live(0.011)	money(0.011)	set(0.010)	great(0.009)	day(0.008)	year(0.008)	product(0.008)	review(0.007)	save(0.007)	box(0.007)	bewar(0.007)	nice(0.007)	thing(0.007)	size(0.007)	worth(0.007)	roku(0.006)	pictur(0.006)	problem(0.006)	perfect(0.006)	better(0.006)	connect(0.006)	slow(0.006)	softwar(0.006)	month(0.005)	screen(0.005)	wall(0.005)	buyer(0.005)	return(0.005)	mount(0.005)	extra(0.005)	bedroom(0.005)	issu(0.005)	amazon(0.005)	recommend(0.005)	remot(0.005)	good(0.004)	turn(0.004)	fit(0.004)	function(0.004)	
Topic 1(0.156):	app(0.083)	work(0.041)	watch(0.039)	kindl(0.030)	great(0.024)	xfiniti(0.021)	fire(0.019)	download(0.018)	time(0.017)	good(0.016)	comcast(0.015)	movi(0.014)	love(0.010)	program(0.009)	live(0.009)	hd(0.009)	channel(0.008)	cabl(0.007)	play(0.007)	netflix(0.007)	freez(0.007)	star(0.007)	lot(0.006)	demand(0.006)	player(0.006)	better(0.005)	nice(0.005)	episod(0.005)	pay(0.005)	favorit(0.005)	find(0.005)	commerci(0.005)	stream(0.005)	free(0.005)	load(0.005)	servic(0.005)	network(0.005)	updat(0.005)	view(0.005)	access(0.005)	content(0.004)	devic(0.004)	disappoint(0.004)	enjoy(0.004)	thing(0.004)	limit(0.004)	pretti(0.004)	account(0.004)	amazon(0.004)	internet(0.004)	
Topic 2(0.035):	watch(0.030)	turn(0.026)	screen(0.021)	set(0.020)	movi(0.018)	time(0.018)	game(0.015)	play(0.014)	start(0.014)	pictur(0.014)	minut(0.012)	mode(0.012)	video(0.010)	issu(0.010)	app(0.010)	light(0.009)	buffer(0.009)	second(0.009)	work(0.009)	updat(0.009)	netflix(0.009)	channel(0.009)	day(0.008)	problem(0.008)	power(0.008)	great(0.008)	button(0.007)	menu(0.007)	bright(0.007)	featur(0.006)	chang(0.006)	program(0.006)	dark(0.006)	lot(0.006)	imag(0.005)	dim(0.005)	freez(0.005)	fine(0.005)	remot(0.005)	shut(0.005)	smart(0.005)	motion(0.005)	qualiti(0.004)	fast(0.004)	room(0.004)	option(0.004)	move(0.004)	burn(0.004)	switch(0.004)	sport(0.004)	
Topic 3(0.101):	great(0.086)	price(0.064)	pictur(0.054)	good(0.053)	qualiti(0.034)	love(0.024)	samsung(0.016)	bought(0.015)	work(0.014)	product(0.014)	happi(0.014)	purchas(0.013)	smart(0.013)	sound(0.012)	expect(0.011)	better(0.011)	buy(0.010)	deal(0.010)	excel(0.010)	screen(0.009)	nice(0.008)	led(0.008)	lg(0.008)	size(0.008)	month(0.008)	featur(0.007)	awesom(0.007)	best(0.007)	inch(0.007)	year(0.006)	model(0.006)	vizio(0.006)	paid(0.006)	bedroom(0.005)	hdtv(0.005)	money(0.005)	disappoint(0.005)	perfect(0.005)	sale(0.005)	lcd(0.005)	black(0.005)	televis(0.005)	amazon(0.005)	brand(0.005)	soni(0.004)	set(0.004)	cheap(0.004)	reason(0.004)	ago(0.004)	satisfi(0.004)	
Topic 4(0.035):	screen(0.030)	color(0.023)	black(0.020)	watch(0.019)	movi(0.017)	set(0.016)	pictur(0.016)	pixel(0.014)	imag(0.013)	notic(0.013)	3d(0.013)	dark(0.012)	bright(0.011)	light(0.010)	good(0.010)	scene(0.009)	view(0.008)	display(0.008)	white(0.007)	level(0.007)	qualiti(0.006)	great(0.006)	dead(0.006)	time(0.006)	bit(0.006)	game(0.006)	better(0.005)	contrast(0.005)	video(0.005)	detail(0.005)	sport(0.005)	edg(0.005)	bad(0.005)	side(0.005)	problem(0.005)	ghost(0.005)	issu(0.005)	appear(0.005)	high(0.004)	content(0.004)	panel(0.004)	led(0.004)	play(0.004)	motion(0.004)	plasma(0.004)	samsung(0.004)	fast(0.004)	blue(0.004)	red(0.004)	resolut(0.004)	
Topic 5(0.046):	stand(0.030)	screen(0.029)	mount(0.017)	screw(0.014)	box(0.014)	set(0.013)	wall(0.013)	remot(0.012)	base(0.011)	view(0.011)	side(0.011)	light(0.011)	pictur(0.010)	room(0.010)	small(0.009)	good(0.009)	black(0.009)	size(0.008)	nice(0.008)	easi(0.007)	button(0.007)	frame(0.007)	great(0.007)	bottom(0.006)	angl(0.006)	top(0.006)	glare(0.006)	big(0.006)	front(0.005)	perfect(0.005)	power(0.005)	thing(0.005)	cheap(0.005)	thin(0.005)	inch(0.005)	left(0.005)	problem(0.005)	bit(0.005)	swivel(0.005)	plastic(0.005)	touch(0.005)	notic(0.004)	heavi(0.004)	unit(0.004)	glass(0.004)	sit(0.004)	corner(0.004)	led(0.004)	attach(0.004)	work(0.004)	
Topic 6(0.077):	app(0.034)	samsung(0.026)	smart(0.025)	netflix(0.025)	work(0.024)	connect(0.023)	internet(0.016)	video(0.016)	wireless(0.013)	updat(0.013)	amazon(0.013)	stream(0.012)	problem(0.010)	network(0.010)	youtub(0.010)	wifi(0.010)	time(0.010)	issu(0.009)	support(0.009)	remot(0.008)	browser(0.008)	web(0.008)	softwar(0.008)	keyboard(0.007)	buy(0.007)	devic(0.007)	hub(0.007)	set(0.007)	featur(0.007)	play(0.006)	watch(0.006)	thing(0.005)	fine(0.005)	access(0.005)	movi(0.005)	comput(0.005)	server(0.005)	slow(0.005)	call(0.004)	good(0.004)	error(0.004)	player(0.004)	great(0.004)	hulu(0.004)	phone(0.004)	function(0.004)	servic(0.004)	router(0.004)	bought(0.004)	prime(0.004)	
Topic 7(0.086):	servic(0.030)	samsung(0.029)	call(0.027)	amazon(0.026)	custom(0.019)	day(0.018)	return(0.015)	ship(0.015)	support(0.013)	problem(0.013)	deliveri(0.013)	week(0.012)	replac(0.012)	time(0.012)	order(0.012)	repair(0.011)	issu(0.011)	warranti(0.011)	product(0.009)	buy(0.009)	work(0.009)	set(0.009)	receiv(0.009)	wait(0.009)	help(0.008)	arriv(0.008)	told(0.008)	purchas(0.008)	tech(0.008)	great(0.008)	contact(0.007)	send(0.007)	compani(0.007)	hour(0.006)	screen(0.006)	phone(0.006)	box(0.006)	good(0.005)	damag(0.005)	deliv(0.005)	number(0.005)	refund(0.005)	month(0.004)	lg(0.004)	item(0.004)	newegg(0.004)	unit(0.004)	final(0.004)	guy(0.004)	exchang(0.004)	
Topic 8(0.036):	sound(0.058)	volum(0.031)	speaker(0.025)	buzz(0.018)	screen(0.018)	hear(0.017)	pictur(0.016)	set(0.015)	great(0.014)	nois(0.013)	audio(0.013)	turn(0.013)	burn(0.012)	loud(0.011)	issu(0.010)	problem(0.009)	system(0.009)	low(0.008)	work(0.008)	control(0.008)	notic(0.008)	watch(0.008)	imag(0.007)	hour(0.007)	extern(0.007)	annoy(0.007)	thing(0.006)	time(0.006)	fan(0.006)	play(0.006)	movi(0.006)	surround(0.006)	good(0.006)	level(0.005)	bad(0.005)	horribl(0.005)	clear(0.005)	samsung(0.005)	review(0.005)	qualiti(0.005)	plasma(0.005)	second(0.005)	day(0.005)	nice(0.005)	start(0.005)	bass(0.005)	headphon(0.005)	unit(0.004)	expect(0.004)	heard(0.004)	
Topic 9(0.084):	pictur(0.110)	great(0.053)	qualiti(0.050)	good(0.049)	sound(0.043)	set(0.023)	amaz(0.017)	easi(0.017)	nice(0.016)	3d(0.014)	excel(0.013)	clear(0.013)	price(0.012)	featur(0.011)	watch(0.010)	movi(0.009)	color(0.009)	work(0.009)	hd(0.009)	awesom(0.008)	pretti(0.007)	setup(0.007)	imag(0.007)	app(0.006)	perfect(0.006)	beauti(0.006)	smart(0.006)	game(0.006)	better(0.006)	crisp(0.005)	connect(0.005)	video(0.005)	play(0.005)	decent(0.005)	bad(0.005)	remot(0.005)	lot(0.005)	fantast(0.005)	option(0.005)	netflix(0.004)	size(0.004)	absolut(0.004)	fine(0.004)	thing(0.004)	view(0.004)	speaker(0.004)	design(0.004)	thin(0.004)	internet(0.004)	adjust(0.004)	
Topic 10(0.042):	sound(0.039)	speaker(0.028)	recommend(0.021)	buy(0.016)	set(0.015)	qualiti(0.015)	high(0.015)	good(0.015)	system(0.012)	better(0.012)	purchas(0.011)	box(0.011)	great(0.011)	audio(0.010)	pictur(0.010)	remot(0.009)	easi(0.009)	samsung(0.009)	mount(0.009)	wall(0.008)	cabl(0.008)	price(0.008)	work(0.008)	definit(0.008)	extern(0.007)	surround(0.007)	ship(0.007)	hook(0.006)	bought(0.006)	setup(0.006)	control(0.006)	theater(0.006)	money(0.006)	connect(0.006)	bar(0.005)	cost(0.005)	brand(0.005)	built(0.005)	low(0.005)	expect(0.005)	hd(0.005)	issu(0.005)	free(0.005)	receiv(0.004)	experi(0.004)	product(0.004)	big(0.004)	output(0.004)	volum(0.004)	featur(0.004)	
