Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1075,2,0,"very light sensitive  had to turn down the brightness in the dvr software to 8 to get a non washed out pic.",0,1,23,1.000000,1.000000
1075,2,1,"they were very inexpensive   80 black friday  so for what i paid  they re ok.",0,1,15,0.552335,0.105963
1075,2,2,"night vision is good  but the ir leds are visible as a red ring.",0,1,23,0.551945,0.151837
1075,2,3,"very narrow field of view.",1,0,11,0.597559,0.151837
1075,2,4,"might as well be black and white  colors are very pale and washed out.",1,0,2,0.594221,0.105963
1075,2,5,"resolution at 400 lines is iffy  unless someone is very close to the cam  15 20 ft   recognizable faces is not possible.",1,0,8,0.627252,0.108913
1077,2,0,"weather proof n v works well",0,0,11,1.000000,1.000000
1077,2,1,"i wasn t impressed with the picture quality.",1,0,10,0.534306,0.151837
1077,2,2,"they advertise 40  of facial recognition but it might take an expert eye for that.",1,0,11,0.583700,0.144081
1077,2,3,"i can t read the license plate of my vehicle parked  25  away.",1,0,11,0.631469,0.108913
1080,2,0,"great canon camera",0,1,15,1.000000,1.000000
1080,2,1,"the extra kit portion provided in this package is junk and not worth the extra cost.",1,1,15,0.567029,0.147917
1088,2,0,"camera build quality  button location  flip out screen  the way it feels in the hand  high megapixel count  live view  it s a canon.",0,0,11,1.000000,1.000000
1088,2,1,"high iso means nothing when the result is garbage.",1,0,11,0.228395,0.037063
1088,2,2,"i actually owned two of these  after returning the first one.",1,0,9,0.543999,0.096619
1088,2,3,"the average consumer might not notice this  but a professional should.",1,0,6,0.623860,0.170802
1088,2,4,"and manual mode only produced very average results at best.",1,0,11,0.197631,0.052661
1088,2,5,"indoors with all the lights on  it would jump up to iso 1600  full auto setting .",1,0,11,0.649017,0.208859
1088,2,6,"yet  in a side by side comparison  my xti would sit comfortably at 400 iso.",1,0,0,0.301980,0.068829
1088,2,7,"manual settings with the exact same lenses between the two produced nearly identical images.",1,0,9,0.568573,0.124984
1088,2,8,"the 60d was not perceptibly better.",1,0,9,0.691440,0.179695
1088,2,9,"actually  the 60d was still overly bright noisy in comparison.",1,0,9,0.065809,0.020523
1088,2,10,"for a brand new camera to produce results similar to  let alone worse than  a 6 year old camera is hugely disappointing.",1,0,5,0.579955,0.124984
1088,2,11,"auto focus was not great either.",1,0,11,0.614496,0.124984
1088,2,12,"images weren t crystal clear.",1,0,11,0.618344,0.144081
1088,2,13,"colors not defined well.",1,0,11,0.629635,0.111936
1088,2,14,"video is still not advanced enough yet to be more than a gimmick.",1,0,11,0.707660,0.148780
1088,2,15,"manually focusing video is frustrating.",1,0,11,0.148195,0.023486
1088,2,16,"makes the video feature almost useless.",1,0,11,0.290670,0.063174
1102,2,0,"good build quality  good optical performance  not too big.",0,0,12,1.000000,1.000000
1102,2,1,"auto focus is poor from 200mm to 300mm zoom.",1,1,22,0.596902,0.128388
1128,2,0,"small   it is a compact camera after all.",0,0,12,1.000000,1.000000
1128,2,1,"well built   surprisingly solid and hefty.",0,0,6,0.523298,0.091379
1128,2,2,"much better than the sx230.",0,0,6,0.562083,0.091379
1128,2,3,"larger image sensor than your typical compact.",0,0,8,0.642689,0.156742
1128,2,4,"only 12 mp but the larger sensor has better looking pics than a 16 mp with a smaller sensor.",0,0,8,0.104199,0.022980
1128,2,5,"ability to shoot raw.",0,0,7,0.605421,0.091379
1128,2,6,"enough manual controls if you re into that.",0,0,0,0.613266,0.096619
1128,2,7,"somewhat short battery life.",1,1,20,0.612584,0.105963
1128,2,8,"might want to get a spare.",1,1,20,0.648978,0.093966
1129,2,0,"very nice beginners package.",0,0,12,1.000000,1.000000
1129,2,1,"it has everything you need to do a variety of things.",0,0,0,0.591417,0.128388
1132,2,0,"under  40  usb  4 video  left and right audio...",0,1,18,1.000000,1.000000
1132,2,1,"1 egg is as low as i can go ",1,1,23,0.541602,0.105963
1132,2,2,"this will not work with windows 7  don t even bother ",1,1,18,0.636141,0.156742
1132,2,3,"it does not seem to work with windows xp either.",1,1,18,0.025533,0.011617
1132,2,4,"i even downloaded the drivers from sabrent site  didn t help.",1,1,21,0.570341,0.105963
1132,2,5,"both machines found it  neither could install it.",1,1,18,0.687093,0.156742
1132,2,6,"w7 had a nice bsod during one attempt at installation.",1,1,18,0.102402,0.028957
1132,2,7,"the software just says  install failed...  and xp can t find a driver  the hardware may not work.",1,1,18,0.420460,0.145418
1132,2,8,"well  it does not work.",1,1,18,0.142986,0.023507
1132,2,9," cannot install this hardware ",1,1,18,0.624612,0.121348
1133,2,0,"took to an event in the bright hot sun over the weekend.",0,0,2,1.000000,1.000000
1133,2,1,"photo quality clarity was superb.",0,0,7,0.547366,0.091379
1133,2,2,"a lot of buttons to understand.",0,0,0,0.542221,0.096619
1133,2,3,"i wish it came with a more complete owners guide.",0,0,0,0.566984,0.091379
1133,2,4,"i ve looked up settings and advice online and fumbled some.",0,0,0,0.687093,0.170802
1133,2,5,"still not sure what the best settings are but i m so very pleased with the clear crisp photos and the fps.",0,0,7,0.172285,0.045158
1133,2,6,"super fast shipping with every item displayed.",0,0,0,0.620284,0.131871
1133,2,7,"weight takes some getting use to and a  dslr for dummies  guide would help.",1,0,0,0.636999,0.093966
1134,2,0,"very good picture quality  comparable to canons that are almost 3x the price of this one.",0,0,3,1.000000,1.000000
