compet	0	2	3	6	8	0	2	3	6	8
profession	3	5	1	5	6	4	10	1	5	6
road	1	0	4	7	8	1	0	4	8	10
advantag	1	3	5	5	6	1	4	5	5	7
placement	2	3	3	8	4	2	3	3	8	4
suit	1	1	6	6	6	1	1	6	6	7
ridicul	6	6	2	5	1	12	6	2	6	1
ac	4	4	3	3	6	4	5	3	3	7
bewar	12	6	2	0	0	13	6	2	0	0
rubber	2	1	2	7	8	3	1	3	8	9
hrs	3	0	1	6	9	3	0	1	7	10
term	2	1	6	7	4	2	1	7	10	7
notebook	3	1	1	5	10	4	1	1	5	13
angri	1	1	3	7	8	1	1	3	7	8
remain	5	2	5	5	3	5	2	6	5	3
heat	1	1	7	3	7	1	1	7	3	7
colleg	3	1	5	6	5	3	1	5	8	5
invest	3	7	3	3	4	3	8	3	3	5
sensor	2	3	2	6	7	2	3	2	6	7
enter	8	2	5	3	2	8	2	5	3	2
metal	5	2	3	6	4	9	3	4	7	6
leather	1	3	5	2	9	1	5	5	3	9
combin	5	5	0	1	9	5	5	0	1	9
playback	1	1	2	5	11	2	1	2	5	12
fingerprint	0	1	1	6	12	0	1	1	6	14
slowli	6	1	3	7	3	6	1	3	9	3
wacom	2	2	2	7	7	3	4	2	15	9
recept	1	3	4	5	7	1	3	4	6	7
crystal	0	1	1	6	12	0	1	1	6	12
gmail	5	2	6	2	5	5	2	6	3	5
sourc	5	2	6	4	3	6	2	7	4	3
english	9	1	2	4	4	10	1	2	4	5
map	0	4	3	7	6	0	4	3	7	8
kill	1	6	1	7	5	1	7	1	8	5
deliveri	3	3	3	5	7	3	7	4	8	8
earlier	4	2	4	3	8	4	3	4	3	8
4g	1	5	1	2	12	1	7	1	3	15
parti	2	3	2	5	9	5	5	2	5	10
capac	1	2	4	8	6	1	2	4	8	6
kitkat	1	4	3	7	6	1	4	3	9	6
appreci	1	2	4	9	5	1	2	4	9	7
style	6	3	6	4	2	7	3	6	4	2
prior	4	2	3	4	8	4	2	3	4	8
competitor	1	3	5	8	4	1	4	5	8	4
bird	0	2	2	9	8	0	2	2	9	8
request	13	3	2	1	2	14	3	2	1	3
versatil	1	4	2	6	8	1	4	2	6	8
doa	12	3	2	3	1	13	3	2	3	2
joke	4	3	7	3	4	4	3	9	4	4
