Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1060,2,0,"very light sensitive  had to turn down the brightness in the dvr software to 8 to get a non washed out pic.",0,1,23,1.000000,1.000000
1060,2,1,"they were very inexpensive   80 black friday  so for what i paid  they re ok.",0,1,13,0.415566,0.101338
1060,2,2,"night vision is good  but the ir leds are visible as a red ring.",0,1,25,0.689108,0.226035
1060,2,3,"very narrow field of view.",1,1,17,0.719162,0.226035
1060,2,4,"might as well be black and white  colors are very pale and washed out.",1,1,17,0.632011,0.161744
1060,2,5,"resolution at 400 lines is iffy  unless someone is very close to the cam  15 20 ft   recognizable faces is not possible.",1,0,7,0.664900,0.160786
1062,2,0,"weather proof n v works well",0,0,3,1.000000,1.000000
1062,2,1,"i wasn t impressed with the picture quality.",1,0,9,0.625665,0.226035
1062,2,2,"they advertise 40  of facial recognition but it might take an expert eye for that.",1,0,3,0.767577,0.295479
1062,2,3,"i can t read the license plate of my vehicle parked  25  away.",1,0,3,0.200209,0.104009
1064,2,0,"great canon camera",0,0,3,1.000000,1.000000
1064,2,1,"the extra kit portion provided in this package is junk and not worth the extra cost.",1,0,3,0.632930,0.227277
1072,2,0,"camera build quality  button location  flip out screen  the way it feels in the hand  high megapixel count  live view  it s a canon.",0,1,16,1.000000,1.000000
1072,2,1,"high iso means nothing when the result is garbage.",1,1,17,0.425731,0.088737
1072,2,2,"i actually owned two of these  after returning the first one.",1,1,25,0.699339,0.144694
1072,2,3,"the average consumer might not notice this  but a professional should.",1,1,25,0.702478,0.214577
1072,2,4,"and manual mode only produced very average results at best.",1,1,17,0.294167,0.139054
1072,2,5,"indoors with all the lights on  it would jump up to iso 1600  full auto setting .",1,1,17,0.728633,0.268852
1072,2,6,"yet  in a side by side comparison  my xti would sit comfortably at 400 iso.",1,1,25,0.315387,0.134132
1072,2,7,"manual settings with the exact same lenses between the two produced nearly identical images.",1,1,22,0.675851,0.208492
1072,2,8,"the 60d was not perceptibly better.",1,1,25,0.727080,0.159833
1072,2,9,"for a brand new camera to produce results similar to  let alone worse than  a 6 year old camera is hugely disappointing.",1,1,25,0.623201,0.228523
1072,2,10,"auto focus was not great either.",1,1,17,0.712272,0.208492
1072,2,11,"images weren t crystal clear.",1,1,25,0.703661,0.228523
1072,2,12,"colors not defined well.",1,1,25,0.715452,0.159833
1072,2,13,"video is still not advanced enough yet to be more than a gimmick.",1,1,25,0.728381,0.195459
1072,2,14,"manually focusing video is frustrating.",1,1,17,0.193814,0.074499
1072,2,15,"makes the video feature almost useless.",1,1,25,0.344780,0.161400
1086,2,0,"good build quality  good optical performance  not too big.",0,0,10,1.000000,1.000000
1086,2,1,"auto focus is poor from 200mm to 300mm zoom.",1,1,17,0.713421,0.207326
1109,2,0,"tons of features  can use in almost any situation easily.",0,0,9,1.000000,1.000000
1109,2,1,"hdr has to be used with a tripod  too bad it isn t able to be held by hand or adjusted in camera to change the exposure times for each picture being taken.",1,1,17,0.644339,0.227277
1110,2,0,"small   it is a compact camera after all.",0,0,5,1.000000,1.000000
1110,2,1,"well built   surprisingly solid and hefty.",0,0,8,0.644962,0.146456
1110,2,2,"much better than the sx230.",0,0,8,0.712829,0.146456
1110,2,3,"larger image sensor than your typical compact.",0,0,4,0.702194,0.193240
1110,2,4,"only 12 mp but the larger sensor has better looking pics than a 16 mp with a smaller sensor.",0,0,4,0.196599,0.075831
1110,2,5,"ability to shoot raw.",0,0,12,0.724275,0.146456
1110,2,6,"enough manual controls if you re into that.",0,0,12,0.705282,0.144694
1110,2,7,"somewhat short battery life.",1,1,14,0.666056,0.160786
1112,2,0,"has 4 video inputs.",0,1,16,1.000000,1.000000
1112,2,1,"easy to find drivers on the manf.",0,1,22,0.666321,0.144694
1112,2,2,"site  but the drivers don t work .",0,1,22,0.668835,0.146456
1112,2,3,"usually with cheap electronics it takes an eternity to find the drivers  but this manf.",0,1,20,0.671338,0.161744
1112,2,4,"sells  so that s a plus to know that sabrent somewhat cares about linux users.",0,1,15,0.673832,0.161744
1112,2,5,"but this video adapter has no linux drivers.",0,1,15,0.676316,0.144694
1112,2,6,"does not work.",1,0,7,0.777262,0.194347
1112,2,7,"i ve tried with ubuntu linux  windows xp  2 pcs   and windows 7  nothing works.",1,0,7,0.219235,0.078809
1112,2,8,"i would get bunch of errors when installing.",1,0,5,0.786188,0.195459
1112,2,9,"can t remember  but on the off chance that it got installed  when running the program i would get  execution completed successfully  error  0000   or something like that.",1,0,5,0.077302,0.060413
1112,2,10,"ironic  how can something be distressful when you get an error  i guess the error executed successfully.",1,0,5,0.306873,0.102421
1113,2,0,"under  40  usb  4 video  left and right audio...",0,1,20,1.000000,1.000000
1113,2,1,"1 egg is as low as i can go ",1,1,20,0.218441,0.083007
1113,2,2,"this will not work with windows 7  don t even bother ",1,0,3,0.405960,0.146398
1113,2,3,"it does not seem to work with windows xp either.",1,0,3,0.044708,0.050077
1113,2,4,"i even downloaded the drivers from sabrent site  didn t help.",1,0,8,0.652767,0.161744
1113,2,5,"both machines found it  neither could install it.",1,0,9,0.784749,0.193240
1113,2,6,"w7 had a nice bsod during one attempt at installation.",1,0,9,0.057357,0.083908
1113,2,7,"the software just says  install failed...  and xp can t find a driver  the hardware may not work.",1,0,3,0.364934,0.227369
1113,2,8,"well  it does not work.",1,0,3,0.181007,0.067505
1113,2,9," cannot install this hardware ",1,0,3,0.688344,0.211850
1114,2,0,"took to an event in the bright hot sun over the weekend.",0,0,7,1.000000,1.000000
1114,2,1,"photo quality clarity was superb.",0,0,8,0.688843,0.146456
1114,2,2,"a lot of buttons to understand.",0,0,9,0.648519,0.144694
1114,2,3,"i wish it came with a more complete owners guide.",0,0,1,0.716006,0.146456
1114,2,4,"i ve looked up settings and advice online and fumbled some.",0,0,7,0.720611,0.214577
1114,2,5,"still not sure what the best settings are but i m so very pleased with the clear crisp photos and the fps.",0,0,8,0.261306,0.135438
1114,2,6,"super fast shipping with every item displayed.",0,0,9,0.694902,0.206164
1114,2,7,"weight takes some getting use to and a  dslr for dummies  guide would help.",1,0,8,0.712575,0.145572
1115,2,0,"very good picture quality  comparable to canons that are almost 3x the price of this one.",0,0,10,1.000000,1.000000
