Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
856,2,0,"decent image quality.",0,0,5,1.000000,1.000000
856,2,1,"media play function is neat.",0,0,1,0.368113,0.056824
856,2,2,"speakers better than some.",0,1,12,0.388313,0.056962
856,2,3,"confusing remote.",1,1,12,0.391097,0.060563
856,2,4,"tv picture lags a bit when changing channels.",1,1,12,0.392472,0.056824
856,2,5,"usb quit working.",1,1,12,0.419626,0.060709
856,2,6,"so so picture quality.",1,1,12,0.421032,0.060636
858,2,0,"plusses  good picture just the right size.",0,0,5,1.000000,1.000000
858,2,1,"atsc reception  very good.",0,0,1,0.054087,0.012413
858,2,2," my old sammy was poor  i do not require an external box anymore.",0,0,1,0.376629,0.083150
858,2,3,"remote ",0,0,5,0.400561,0.082955
858,2,4,"finally a layout and response of keys that fits the task.",0,0,5,0.391529,0.056962
858,2,5,"minus  the attempt to get a bit of bass  out of the unit s speakers just result in a boomy muddle",0,1,12,0.405241,0.060563
858,2,6,"remote does not  seem to  operate my samsung dvd.",1,1,12,0.423928,0.060636
860,2,0,"great 4k tv by samsung.",0,0,2,1.000000,1.000000
860,2,1,"amazing picture.",0,0,2,0.383516,0.056824
860,2,2,"owned for just over a month and exactly as expected.",0,0,2,0.391313,0.083150
860,2,3,"good experience with newegg.",0,0,6,0.413484,0.088354
861,2,0,"tv has great viewing angles and built in gaming mode for when you want to play games with it.",0,0,0,1.000000,1.000000
861,2,1,"better looking image then other 4k tvs",0,0,0,0.385858,0.088458
861,2,2,"smart tv has adds now and then which are a slight annoyance.",1,0,4,0.399591,0.060709
861,2,3,"for good audio needs a sound bar or sound system.",1,0,0,0.406305,0.088354
863,2,0,"great tv at a great price.",0,0,5,1.000000,1.000000
863,2,1,"don t let the refurbished scare you off.",0,0,3,0.380859,0.083150
863,2,2,"bought it about 6 months ago.",0,0,3,0.371995,0.060709
863,2,3,"works great.",0,0,7,0.395819,0.088251
863,2,4,"easy to set up.",0,0,7,0.400996,0.082955
863,2,5,"nice selection of inputs.",0,0,7,0.406195,0.082955
863,2,6,"not free....nothing that i ve found.",1,0,3,0.430708,0.083052
864,2,0,"nice size  excellent picture  enough ports  digital audio out.",0,0,7,1.000000,1.000000
864,2,1,"wish i could label hdmi ports and also remove ota tv from inputs list.",1,0,7,0.181959,0.036563
864,2,2,"a very minor thing.",1,0,7,0.417919,0.060636
865,2,0,"looks brand new out of the box  packaged and shipped well.",0,0,6,1.000000,1.000000
865,2,1,"works like a new tv should.",0,0,5,0.389381,0.056824
865,2,2,"great picture and color  after very little adjusting .",0,0,5,0.385437,0.088458
865,2,3,"is as advertised.",0,0,5,0.424321,0.088354
866,2,0,"wonderful picture  decent sound  easy setup  3 hdmi   digital coax out   thin bezel.",0,1,12,1.000000,1.000000
866,2,1,"no analog sound out.",1,1,12,0.141215,0.020558
866,2,2,"only 60mhz not 120mhz  but haven t noticed any ghosting.",1,1,9,0.407641,0.060636
867,2,0,"i already had one sanyo 42  with a few more bells and whistles that i did a lot of research on before buying  but this one looks just as good.",0,0,7,1.000000,1.000000
867,2,1,"considering i got the first one at you know where on black friday for  450 this is a great deal.",0,0,5,0.396036,0.060636
870,2,0,"good deal for the money.",0,0,5,1.000000,1.000000
870,2,1,"works just as it should.",0,1,12,0.388205,0.088458
870,2,2,"doesn t have the sound issues that i have seen with more expensive tv s",0,1,12,0.386610,0.060563
870,2,3,"more video inputs would be nice  but not gonna complain it holds all my current devices.",1,1,12,0.405282,0.056893
871,2,0,"incredible picture quality  can plug my hardrive right into the usb port and watch movies and tv shows off of it  not many tv s can do it.",0,1,12,1.000000,1.000000
871,2,1,"speakers are loud and clear.",0,1,12,0.393364,0.056962
871,2,2,"one of the 4 hdmi ports is a pain sometimes.",1,1,12,0.407641,0.060636
873,2,0,"picture quality is outstanding  sound quality is very good for a thin tv  streams services like netflix very well  nice configuration options  uses the same lcd panel as samsung s top end products  passes through dd and dts sound from sources  streaming  hdmi  to the optical out connection   for the quality of the tv the price is very reasonable.",0,0,0,1.000000,1.000000
873,2,1,"don t expect much in the web browsing area.",1,0,4,0.408269,0.088354
874,2,0,"i am very impressed with this product the color and sound are excellentand the price got it during cyber monday last year.",0,0,5,1.000000,1.000000
874,2,1,"after watching a movie if i did not go back out to select another program soon or exit out the end of the movie would stay locked on the screen and you could not cut the tv off by the tv off button or the remote off button.thankfully this was a common problem and a technian from vizio told how to reset the tv.after doing what he instructed me to do several times 4 or 5 it stopped and l have not had any other issues.",1,1,10,0.386141,0.088354
876,2,0,"easy set up wifi works well with d link router vizio internet apps include netflix  youtube  and hulu perfect for the kitchen great value on refurbished equipment reasonable quality image  not great  not bad ",0,0,0,1.000000,1.000000
876,2,1,"no hbo go sound okay but not great  though this is pretty much par for the course with most low cost flat screens  can hook into soundbar ",1,0,0,0.267770,0.044552
877,2,0,"product arrived quickly and as dexcribed.",0,0,3,1.000000,1.000000
877,2,1,"seems to work very sel lso far.",0,0,3,0.375612,0.056962
877,2,2,"this is my first vizio  i have a larger samsung.",0,0,3,0.366213,0.060563
877,2,3,"i was a little surprised at how light the tv is.",0,0,7,0.386947,0.056962
877,2,4,"seems cheap but this may be normal for 32  tv.",0,0,7,0.396206,0.056824
877,2,5,"i have some issue with wifi signal strenght but contacted vizio and spoke to an actual perosn who was most helpful  i like that a lot.",0,0,3,0.383681,0.060709
877,2,6,"picture and sound quality are very good.",0,0,5,0.410147,0.088251
