Topic 0(0.043):	batteri(0.085)	life(0.027)	good(0.025)	water(0.020)	great(0.019)	time(0.018)	charg(0.017)	work(0.014)	long(0.012)	day(0.012)	recharg(0.010)	photo(0.009)	aa(0.008)	nice(0.008)	charger(0.008)	bought(0.008)	video(0.008)	waterproof(0.008)	shot(0.007)	thing(0.007)	month(0.006)	die(0.006)	hour(0.006)	power(0.006)	trip(0.006)	qualiti(0.006)	love(0.006)	replac(0.005)	problem(0.005)	leak(0.005)	olympus(0.005)	proof(0.005)	short(0.005)	year(0.005)	underwat(0.005)	buy(0.005)	minut(0.005)	extra(0.005)	week(0.005)	snorkel(0.004)	card(0.004)	digit(0.004)	seal(0.004)	turn(0.004)	pretti(0.004)	flash(0.004)	set(0.004)	second(0.004)	pic(0.004)	start(0.004)	
Topic 1(0.029):	screen(0.073)	lcd(0.032)	nice(0.020)	touch(0.019)	great(0.016)	good(0.014)	big(0.014)	bright(0.012)	thing(0.011)	size(0.011)	view(0.010)	easi(0.010)	love(0.010)	display(0.010)	qualiti(0.008)	clear(0.007)	shot(0.007)	help(0.007)	small(0.006)	pretti(0.006)	plastic(0.006)	light(0.006)	scratch(0.006)	shoot(0.006)	color(0.005)	viewfind(0.005)	focus(0.005)	front(0.005)	tini(0.005)	awesom(0.005)	high(0.005)	beauti(0.005)	samsung(0.005)	set(0.005)	eye(0.005)	happi(0.005)	imag(0.005)	feel(0.004)	len(0.004)	recommend(0.004)	hand(0.004)	easili(0.004)	photo(0.004)	blue(0.004)	pic(0.004)	hold(0.004)	tv(0.004)	flash(0.004)	option(0.004)	sharp(0.004)	
Topic 2(0.022):	great(0.019)	good(0.016)	upgrad(0.016)	view(0.015)	viewfind(0.012)	love(0.012)	better(0.012)	focus(0.011)	canon(0.010)	wonder(0.009)	af(0.009)	mode(0.009)	autofocus(0.009)	updat(0.009)	review(0.008)	finder(0.008)	len(0.008)	d610(0.008)	nice(0.008)	live(0.007)	perfect(0.007)	frame(0.007)	zoom(0.007)	nikon(0.007)	pro(0.007)	d7000(0.007)	optic(0.006)	work(0.006)	fast(0.006)	featur(0.006)	full(0.006)	imag(0.006)	buy(0.006)	subject(0.006)	d90(0.006)	firmwar(0.006)	lock(0.006)	electron(0.006)	thing(0.006)	shoot(0.005)	excel(0.005)	happi(0.005)	hope(0.005)	find(0.005)	awesom(0.005)	dslr(0.005)	point(0.005)	faster(0.005)	product(0.005)	compar(0.005)	
Topic 3(0.033):	qualiti(0.057)	video(0.051)	good(0.040)	great(0.032)	sound(0.025)	record(0.024)	featur(0.015)	audio(0.014)	movi(0.011)	price(0.009)	photo(0.008)	love(0.008)	thing(0.008)	click(0.007)	wifi(0.007)	awesom(0.007)	servic(0.007)	best(0.007)	mic(0.007)	easi(0.007)	imag(0.007)	terribl(0.007)	phone(0.007)	horribl(0.006)	hear(0.006)	review(0.006)	nice(0.006)	mode(0.006)	pretti(0.006)	excel(0.006)	nois(0.006)	soni(0.005)	zoom(0.005)	waterproof(0.005)	extern(0.005)	impress(0.005)	better(0.005)	person(0.005)	perfect(0.005)	hd(0.004)	disappoint(0.004)	work(0.004)	connect(0.004)	microphon(0.004)	experi(0.004)	turn(0.004)	shoot(0.004)	sensit(0.004)	averag(0.004)	recommend(0.004)	
Topic 4(0.045):	mode(0.034)	great(0.026)	shot(0.026)	shoot(0.024)	set(0.024)	good(0.020)	featur(0.017)	point(0.016)	auto(0.015)	photo(0.015)	light(0.014)	flash(0.013)	manual(0.012)	focus(0.012)	work(0.009)	time(0.007)	qualiti(0.007)	option(0.007)	macro(0.006)	indoor(0.006)	amaz(0.006)	scene(0.006)	low(0.006)	lot(0.006)	nice(0.006)	adjust(0.005)	better(0.005)	automat(0.005)	video(0.005)	best(0.005)	night(0.005)	easi(0.005)	thing(0.005)	len(0.005)	color(0.005)	face(0.005)	control(0.005)	panorama(0.005)	exposur(0.005)	white(0.004)	zoom(0.004)	dslr(0.004)	allow(0.004)	detect(0.004)	portrait(0.004)	excel(0.004)	fun(0.004)	love(0.004)	balanc(0.004)	learn(0.004)	
Topic 5(0.027):	shutter(0.030)	shot(0.021)	fast(0.021)	button(0.019)	speed(0.018)	time(0.017)	focus(0.013)	second(0.013)	great(0.012)	feel(0.012)	shoot(0.011)	slow(0.011)	good(0.011)	hand(0.011)	move(0.010)	press(0.009)	hold(0.009)	nice(0.008)	photo(0.008)	lag(0.008)	snap(0.008)	turn(0.007)	iso(0.007)	qualiti(0.007)	captur(0.007)	action(0.007)	imag(0.007)	light(0.007)	work(0.007)	small(0.006)	set(0.006)	push(0.006)	moment(0.006)	thing(0.006)	video(0.006)	long(0.006)	delay(0.006)	love(0.006)	subject(0.005)	easi(0.005)	screen(0.005)	len(0.005)	pic(0.005)	featur(0.005)	zoom(0.004)	better(0.004)	frustrat(0.004)	kid(0.004)	readi(0.004)	sport(0.004)	
Topic 6(0.026):	card(0.064)	memori(0.031)	flash(0.022)	sd(0.018)	photo(0.013)	comput(0.013)	video(0.012)	work(0.011)	great(0.011)	good(0.010)	softwar(0.010)	usb(0.009)	download(0.009)	instal(0.008)	includ(0.008)	cabl(0.008)	buy(0.008)	set(0.007)	transfer(0.007)	imag(0.007)	case(0.007)	batteri(0.007)	easi(0.006)	qualiti(0.006)	nice(0.006)	recommend(0.005)	price(0.005)	print(0.005)	time(0.005)	drive(0.005)	cost(0.005)	micro(0.005)	window(0.005)	reader(0.004)	purchas(0.004)	pc(0.004)	stick(0.004)	shoot(0.004)	expens(0.004)	hold(0.004)	bought(0.004)	sdhc(0.004)	store(0.004)	fast(0.004)	compact(0.004)	gb(0.004)	excel(0.004)	find(0.004)	pop(0.004)	record(0.004)	
Topic 7(0.053):	zoom(0.049)	great(0.035)	digit(0.027)	small(0.021)	pocket(0.020)	optic(0.019)	good(0.017)	size(0.016)	price(0.015)	canon(0.014)	qualiti(0.014)	nice(0.014)	featur(0.012)	compact(0.012)	fit(0.011)	carri(0.011)	easi(0.009)	better(0.008)	imag(0.008)	slr(0.007)	len(0.007)	photo(0.007)	mp(0.007)	video(0.007)	nikon(0.007)	love(0.006)	time(0.006)	best(0.006)	perfect(0.006)	lumix(0.006)	elph(0.006)	megapixel(0.005)	rang(0.005)	work(0.005)	big(0.005)	recommend(0.005)	amaz(0.004)	stabil(0.004)	shot(0.004)	3x(0.004)	panason(0.004)	film(0.004)	purs(0.004)	dslr(0.004)	powershot(0.004)	high(0.004)	soni(0.004)	excel(0.004)	smaller(0.004)	year(0.004)	
Topic 8(0.026):	len(0.050)	lens(0.028)	dslr(0.015)	kit(0.015)	nex(0.015)	soni(0.015)	sensor(0.012)	good(0.011)	better(0.011)	great(0.010)	nex5n(0.010)	qualiti(0.009)	epl2(0.008)	size(0.008)	bodi(0.008)	5n(0.007)	nikon(0.007)	light(0.007)	canon(0.007)	olympus(0.007)	imag(0.007)	buy(0.007)	adapt(0.007)	small(0.006)	best(0.006)	excel(0.006)	zoom(0.006)	compact(0.006)	angl(0.006)	panason(0.006)	smaller(0.005)	focus(0.005)	price(0.005)	full(0.005)	weight(0.005)	shoot(0.005)	photo(0.005)	nice(0.004)	photographi(0.004)	packag(0.004)	system(0.004)	work(0.004)	micro(0.004)	point(0.004)	flash(0.004)	filter(0.004)	frame(0.004)	perform(0.004)	time(0.004)	leica(0.004)	
Topic 9(0.060):	qualiti(0.041)	imag(0.034)	light(0.030)	good(0.023)	photo(0.022)	low(0.022)	great(0.015)	iso(0.014)	better(0.014)	high(0.013)	video(0.012)	shot(0.011)	canon(0.011)	color(0.011)	excel(0.009)	nois(0.009)	sharp(0.009)	perform(0.008)	shoot(0.008)	nice(0.007)	price(0.006)	size(0.006)	best(0.006)	amaz(0.006)	zoom(0.006)	clear(0.006)	sensor(0.006)	len(0.006)	flash(0.006)	compar(0.006)	featur(0.006)	set(0.006)	work(0.005)	detail(0.005)	disappoint(0.005)	lot(0.005)	small(0.005)	love(0.005)	time(0.005)	compact(0.004)	expect(0.004)	nikon(0.004)	focus(0.004)	produc(0.004)	review(0.004)	soni(0.004)	indoor(0.004)	f30(0.004)	mode(0.004)	fuji(0.004)	
Topic 10(0.083):	price(0.035)	bought(0.033)	great(0.031)	good(0.030)	year(0.022)	purchas(0.020)	love(0.020)	buy(0.018)	canon(0.016)	review(0.013)	qualiti(0.012)	product(0.012)	money(0.012)	work(0.011)	better(0.010)	happi(0.009)	recommend(0.008)	time(0.008)	best(0.008)	trip(0.007)	ago(0.007)	kodak(0.007)	month(0.007)	nikon(0.007)	return(0.007)	gift(0.007)	digit(0.006)	lot(0.006)	read(0.006)	week(0.006)	worth(0.006)	christma(0.006)	expect(0.006)	model(0.006)	daughter(0.006)	replac(0.006)	day(0.005)	deal(0.005)	brand(0.005)	featur(0.005)	wife(0.005)	amazon(0.005)	friend(0.005)	soni(0.004)	fuji(0.004)	point(0.004)	store(0.004)	decid(0.004)	excel(0.004)	newegg(0.004)	
Topic 11(0.054):	easi(0.062)	great(0.042)	good(0.024)	control(0.017)	featur(0.017)	nice(0.016)	qualiti(0.013)	function(0.012)	manual(0.012)	learn(0.012)	love(0.012)	user(0.011)	menu(0.011)	photo(0.010)	simpl(0.010)	profession(0.010)	small(0.009)	set(0.009)	photograph(0.009)	lot(0.009)	work(0.008)	menus(0.008)	interfac(0.008)	oper(0.007)	intuit(0.007)	level(0.007)	button(0.007)	softwar(0.007)	read(0.007)	excel(0.007)	navig(0.006)	feel(0.006)	photographi(0.006)	pretti(0.006)	understand(0.006)	digit(0.006)	size(0.006)	compact(0.005)	recommend(0.005)	beginn(0.005)	shoot(0.005)	amaz(0.005)	screen(0.005)	dslr(0.005)	entri(0.005)	best(0.005)	advanc(0.005)	fun(0.005)	option(0.005)	mode(0.005)	
Topic 12(0.035):	video(0.071)	great(0.047)	good(0.021)	pic(0.018)	featur(0.016)	qualiti(0.015)	hd(0.015)	soni(0.014)	love(0.013)	photo(0.012)	work(0.011)	amaz(0.010)	nikon(0.009)	issu(0.009)	nice(0.008)	flaw(0.008)	record(0.008)	zoom(0.008)	better(0.007)	capabl(0.007)	excel(0.007)	small(0.007)	size(0.006)	play(0.006)	option(0.006)	lot(0.006)	format(0.006)	click(0.006)	thing(0.005)	file(0.005)	shot(0.005)	canon(0.005)	shoot(0.005)	big(0.004)	movi(0.004)	raw(0.004)	box(0.004)	design(0.004)	time(0.004)	dslr(0.004)	detail(0.004)	best(0.004)	disappoint(0.004)	perfect(0.004)	wow(0.004)	figur(0.004)	camcord(0.004)	fan(0.004)	year(0.004)	bad(0.004)	
Topic 13(0.046):	batteri(0.093)	work(0.032)	water(0.021)	time(0.020)	day(0.020)	charg(0.020)	recharg(0.016)	turn(0.012)	life(0.011)	charger(0.010)	power(0.009)	month(0.009)	open(0.009)	problem(0.008)	fine(0.007)	aa(0.007)	len(0.007)	door(0.006)	hour(0.006)	die(0.006)	long(0.006)	great(0.006)	buy(0.006)	trip(0.006)	shot(0.005)	remov(0.005)	underwat(0.005)	dead(0.005)	photo(0.005)	year(0.005)	bought(0.005)	snorkel(0.005)	compart(0.005)	seal(0.005)	set(0.005)	cover(0.005)	second(0.005)	thing(0.005)	coupl(0.005)	three(0.005)	dri(0.004)	wo(0.004)	warranti(0.004)	purchas(0.004)	minut(0.004)	half(0.004)	waterproof(0.004)	fulli(0.004)	extra(0.004)	fail(0.004)	
Topic 14(0.025):	screen(0.058)	lcd(0.039)	bright(0.017)	view(0.015)	display(0.014)	viewfind(0.010)	touch(0.010)	big(0.010)	small(0.009)	flash(0.009)	work(0.008)	star(0.008)	time(0.008)	problem(0.007)	sun(0.007)	frame(0.007)	photo(0.007)	eye(0.007)	day(0.007)	turn(0.007)	bad(0.006)	scratch(0.006)	shoot(0.006)	sunlight(0.006)	black(0.006)	outdoor(0.006)	red(0.006)	difficult(0.005)	rate(0.005)	imag(0.005)	bit(0.005)	buy(0.005)	video(0.005)	help(0.005)	shot(0.005)	easili(0.005)	point(0.005)	button(0.005)	pixel(0.005)	qualiti(0.005)	finger(0.004)	finder(0.004)	chang(0.004)	damag(0.004)	hope(0.004)	tini(0.004)	light(0.004)	crack(0.004)	easi(0.004)	month(0.004)	
