Topic 0(0.050):	screen(0.069)	feel(0.026)	good(0.025)	great(0.024)	size(0.019)	nice(0.018)	touch(0.017)	big(0.016)	display(0.015)	qualiti(0.014)	fast(0.014)	hand(0.013)	respons(0.013)	small(0.012)	beauti(0.011)	love(0.011)	bright(0.010)	resolut(0.008)	case(0.008)	iphon(0.008)	clear(0.008)	glass(0.008)	price(0.007)	cheap(0.007)	high(0.007)	pretti(0.007)	batteri(0.007)	solid(0.007)	android(0.006)	inch(0.006)	color(0.006)	easi(0.006)	easili(0.006)	perfect(0.006)	excel(0.006)	app(0.006)	build(0.006)	weight(0.005)	fit(0.005)	thin(0.005)	best(0.005)	light(0.005)	thing(0.005)	design(0.005)	lot(0.005)	amaz(0.005)	scratch(0.005)	plastic(0.005)	hd(0.004)	larger(0.004)	
Topic 1(0.045):	app(0.060)	android(0.037)	window(0.032)	iphon(0.017)	play(0.016)	os(0.014)	great(0.013)	good(0.013)	googl(0.012)	store(0.011)	music(0.011)	download(0.010)	work(0.010)	appl(0.010)	game(0.009)	system(0.009)	devic(0.009)	updat(0.009)	find(0.008)	io(0.008)	nokia(0.008)	best(0.008)	better(0.007)	thing(0.007)	lot(0.007)	free(0.006)	love(0.006)	market(0.006)	oper(0.006)	easi(0.006)	navig(0.006)	tile(0.006)	pretti(0.005)	compar(0.005)	open(0.005)	instal(0.005)	time(0.005)	limit(0.005)	microsoft(0.005)	nice(0.005)	featur(0.005)	gps(0.005)	excel(0.005)	learn(0.005)	screen(0.004)	feel(0.004)	servic(0.004)	price(0.004)	samsung(0.004)	live(0.004)	
Topic 2(0.079):	price(0.066)	great(0.043)	good(0.039)	buy(0.021)	smartphon(0.019)	smart(0.018)	bought(0.018)	lumia(0.016)	month(0.014)	year(0.013)	nice(0.013)	cheap(0.012)	purchas(0.012)	best(0.012)	nokia(0.011)	product(0.011)	pay(0.011)	deal(0.010)	contract(0.010)	love(0.010)	recommend(0.009)	work(0.008)	amazon(0.008)	review(0.008)	android(0.007)	featur(0.007)	better(0.007)	window(0.007)	time(0.007)	happi(0.007)	money(0.006)	budget(0.006)	high(0.006)	cost(0.006)	thing(0.006)	tmobil(0.006)	son(0.006)	cheaper(0.005)	awesom(0.005)	plan(0.005)	ago(0.005)	amaz(0.005)	beat(0.005)	devic(0.005)	problem(0.005)	qualiti(0.005)	entri(0.005)	expens(0.005)	store(0.005)	replac(0.005)	
Topic 3(0.036):	batteri(0.099)	life(0.051)	day(0.048)	charg(0.039)	good(0.032)	hour(0.019)	great(0.016)	long(0.013)	turn(0.011)	nice(0.008)	bad(0.008)	usag(0.008)	time(0.008)	week(0.007)	screen(0.007)	fast(0.007)	night(0.007)	pretti(0.006)	full(0.006)	better(0.006)	charger(0.006)	call(0.006)	wifi(0.006)	work(0.005)	user(0.005)	drain(0.005)	fulli(0.005)	port(0.005)	heavi(0.005)	coupl(0.005)	unlock(0.005)	set(0.005)	averag(0.005)	hold(0.005)	android(0.005)	power(0.005)	complet(0.004)	amaz(0.004)	excel(0.004)	moder(0.004)	singl(0.004)	half(0.004)	dead(0.004)	die(0.004)	longer(0.004)	remov(0.004)	easili(0.004)	recommend(0.004)	love(0.004)	play(0.004)	
Topic 4(0.033):	good(0.052)	qualiti(0.045)	great(0.041)	sound(0.035)	work(0.032)	call(0.027)	speaker(0.023)	clear(0.017)	recept(0.016)	loud(0.015)	bluetooth(0.015)	nice(0.013)	camera(0.012)	excel(0.012)	radio(0.010)	music(0.010)	surpris(0.009)	fm(0.009)	hear(0.008)	voic(0.008)	player(0.008)	best(0.008)	mp3(0.008)	volum(0.007)	listen(0.007)	audio(0.007)	car(0.007)	function(0.007)	headphon(0.007)	enjoy(0.006)	speakerphon(0.006)	problem(0.006)	better(0.006)	motorola(0.006)	pretti(0.006)	talk(0.005)	bit(0.005)	built(0.005)	bought(0.005)	happi(0.005)	headset(0.005)	connect(0.005)	flaw(0.004)	heard(0.004)	wireless(0.004)	fantast(0.004)	total(0.004)	video(0.004)	amaz(0.004)	signal(0.004)	
Topic 5(0.036):	camera(0.078)	good(0.035)	great(0.034)	pictur(0.023)	featur(0.022)	front(0.016)	flash(0.016)	pretti(0.016)	nokia(0.015)	light(0.015)	screen(0.015)	nice(0.014)	better(0.014)	video(0.014)	decent(0.013)	face(0.013)	qualiti(0.012)	photo(0.012)	app(0.011)	amaz(0.009)	work(0.009)	batteri(0.009)	low(0.009)	perform(0.008)	best(0.008)	record(0.008)	love(0.007)	cool(0.007)	awesom(0.007)	5mp(0.007)	fast(0.007)	perfect(0.006)	mode(0.006)	thing(0.006)	user(0.006)	expect(0.005)	call(0.005)	star(0.005)	lot(0.005)	price(0.005)	excel(0.005)	smart(0.005)	imag(0.005)	led(0.004)	life(0.004)	happi(0.004)	android(0.004)	shot(0.004)	pic(0.004)	choic(0.004)	
Topic 6(0.030):	card(0.057)	sim(0.035)	work(0.033)	sd(0.026)	memori(0.021)	storag(0.016)	good(0.014)	slot(0.013)	app(0.012)	fine(0.011)	micro(0.010)	intern(0.010)	microsd(0.010)	great(0.009)	batteri(0.009)	file(0.009)	music(0.008)	nice(0.008)	featur(0.007)	travel(0.007)	mp3(0.007)	dual(0.007)	rington(0.006)	gb(0.006)	extra(0.006)	bought(0.006)	space(0.006)	box(0.006)	save(0.006)	perfect(0.006)	camera(0.006)	expand(0.006)	add(0.006)	transfer(0.005)	player(0.005)	pay(0.005)	purchas(0.005)	comput(0.005)	includ(0.005)	contact(0.005)	time(0.005)	thing(0.005)	set(0.005)	love(0.005)	manual(0.005)	call(0.005)	option(0.005)	insert(0.005)	best(0.005)	allow(0.004)	
Topic 7(0.039):	time(0.036)	order(0.025)	great(0.022)	samsung(0.019)	galaxi(0.017)	drop(0.017)	work(0.017)	good(0.017)	item(0.014)	receiv(0.013)	day(0.012)	talk(0.011)	refurbish(0.011)	purchas(0.010)	condit(0.010)	love(0.010)	care(0.009)	best(0.009)	perfect(0.009)	product(0.009)	expect(0.008)	nice(0.008)	replac(0.008)	price(0.008)	straight(0.008)	reciev(0.007)	happi(0.007)	arriv(0.007)	deliv(0.007)	upgrad(0.007)	rate(0.007)	amazon(0.007)	wonder(0.007)	seller(0.006)	bewar(0.006)	cost(0.006)	mail(0.006)	lost(0.006)	buyer(0.006)	deliveri(0.006)	mine(0.006)	function(0.006)	job(0.006)	s3(0.006)	recommend(0.006)	box(0.006)	person(0.005)	better(0.005)	amaz(0.005)	hope(0.005)	
Topic 8(0.037):	servic(0.034)	work(0.030)	call(0.027)	tmobil(0.026)	great(0.024)	support(0.018)	att(0.018)	custom(0.017)	network(0.015)	wifi(0.012)	good(0.011)	lg(0.010)	motorola(0.010)	number(0.010)	signal(0.010)	buy(0.009)	verizon(0.009)	carrier(0.008)	area(0.008)	unlock(0.008)	seller(0.008)	best(0.008)	help(0.008)	compani(0.008)	mobil(0.008)	3g(0.007)	live(0.007)	contact(0.007)	gsm(0.007)	issu(0.007)	horribl(0.006)	problem(0.006)	return(0.006)	featur(0.006)	order(0.006)	excel(0.006)	activ(0.006)	bought(0.006)	told(0.006)	devic(0.006)	boost(0.006)	hous(0.006)	talk(0.005)	tech(0.005)	countri(0.005)	coverag(0.005)	peopl(0.005)	better(0.005)	impress(0.005)	receiv(0.005)	
Topic 9(0.031):	fast(0.044)	great(0.021)	processor(0.020)	devic(0.019)	4g(0.017)	lte(0.013)	good(0.013)	ram(0.013)	smooth(0.013)	core(0.012)	work(0.012)	speed(0.012)	nexus(0.011)	price(0.011)	android(0.011)	htc(0.011)	screen(0.010)	camera(0.010)	issu(0.010)	version(0.008)	best(0.008)	faster(0.008)	galaxi(0.008)	spec(0.008)	hardwar(0.007)	perform(0.007)	excel(0.007)	lag(0.007)	dual(0.007)	upgrad(0.006)	quad(0.006)	respons(0.006)	3g(0.006)	gb(0.006)	experi(0.006)	incred(0.006)	lot(0.006)	nice(0.006)	amaz(0.006)	video(0.006)	perfect(0.006)	improv(0.005)	worth(0.005)	ship(0.005)	softwar(0.005)	slow(0.005)	samsung(0.005)	unlock(0.005)	tmobil(0.005)	storag(0.005)	
Topic 10(0.038):	easi(0.049)	love(0.044)	great(0.040)	good(0.037)	keyboard(0.027)	type(0.022)	motorola(0.022)	recommend(0.020)	nice(0.014)	best(0.013)	featur(0.013)	text(0.013)	figur(0.013)	blackberri(0.012)	awesom(0.012)	a1200(0.012)	ming(0.011)	absolut(0.011)	intuit(0.011)	excel(0.010)	letter(0.010)	cell(0.009)	luck(0.009)	number(0.009)	hate(0.008)	smart(0.008)	user(0.007)	happi(0.006)	work(0.006)	perfect(0.006)	razr(0.006)	screen(0.006)	simpl(0.006)	understand(0.006)	setup(0.006)	imposs(0.005)	call(0.005)	android(0.005)	window(0.005)	impress(0.005)	interfac(0.005)	correct(0.005)	learn(0.005)	review(0.005)	cheap(0.005)	read(0.005)	person(0.005)	three(0.005)	slide(0.005)	finger(0.005)	
