Topic 0(0.040):	kindl(0.074)	fire(0.053)	hdx(0.041)	screen(0.023)	love(0.023)	ipad(0.020)	hd(0.020)	read(0.019)	display(0.015)	color(0.013)	better(0.011)	resolut(0.010)	great(0.010)	book(0.009)	devic(0.008)	origin(0.007)	good(0.007)	amazon(0.007)	review(0.006)	upgrad(0.006)	year(0.006)	easi(0.006)	size(0.006)	nexus(0.006)	notic(0.006)	compar(0.006)	blue(0.005)	mini(0.005)	light(0.005)	purchas(0.005)	buy(0.005)	bright(0.005)	best(0.005)	bought(0.004)	enjoy(0.004)	movi(0.004)	white(0.004)	clear(0.004)	video(0.004)	sharp(0.004)	amaz(0.004)	price(0.004)	featur(0.004)	retina(0.004)	beauti(0.004)	lighter(0.004)	view(0.004)	peopl(0.004)	watch(0.004)	time(0.004)	
Topic 1(0.042):	app(0.051)	play(0.023)	game(0.021)	amazon(0.018)	video(0.017)	kindl(0.017)	book(0.015)	work(0.014)	great(0.013)	download(0.013)	movi(0.013)	read(0.012)	googl(0.012)	watch(0.012)	store(0.012)	devic(0.010)	android(0.009)	free(0.009)	thing(0.008)	music(0.008)	prime(0.008)	good(0.007)	netflix(0.007)	email(0.007)	tv(0.007)	love(0.007)	easi(0.006)	time(0.006)	access(0.006)	screen(0.006)	load(0.005)	featur(0.005)	purchas(0.005)	open(0.005)	hdx(0.005)	lot(0.004)	stream(0.004)	web(0.004)	set(0.004)	instal(0.004)	applic(0.004)	kid(0.004)	problem(0.004)	fire(0.004)	allow(0.004)	account(0.004)	ipad(0.004)	view(0.003)	nice(0.003)	file(0.003)	
Topic 2(0.078):	price(0.053)	great(0.034)	good(0.027)	ipad(0.024)	bought(0.023)	purchas(0.022)	product(0.021)	buy(0.021)	love(0.019)	recommend(0.018)	happi(0.014)	kid(0.014)	expect(0.013)	gift(0.012)	worth(0.011)	best(0.011)	high(0.011)	money(0.010)	samsung(0.010)	christma(0.010)	galaxi(0.009)	time(0.009)	better(0.008)	year(0.008)	tab(0.007)	work(0.007)	wife(0.006)	appl(0.006)	pay(0.006)	qualiti(0.006)	amazon(0.006)	glad(0.005)	son(0.005)	star(0.005)	kindl(0.005)	paid(0.005)	deal(0.005)	awesom(0.005)	day(0.005)	sale(0.005)	month(0.005)	decid(0.005)	devic(0.005)	wait(0.004)	brand(0.004)	satisfi(0.004)	perfect(0.004)	definit(0.004)	android(0.004)	daughter(0.004)	
Topic 3(0.038):	batteri(0.088)	life(0.059)	hour(0.032)	charg(0.028)	good(0.023)	day(0.020)	time(0.017)	long(0.017)	screen(0.015)	great(0.013)	power(0.011)	work(0.009)	fast(0.009)	bright(0.008)	hold(0.008)	pretti(0.008)	play(0.007)	turn(0.006)	game(0.006)	app(0.006)	usag(0.006)	read(0.006)	decent(0.006)	mode(0.006)	video(0.006)	drain(0.006)	wifi(0.006)	light(0.005)	better(0.005)	thing(0.005)	nice(0.005)	unit(0.005)	set(0.005)	heavi(0.005)	devic(0.005)	full(0.005)	longer(0.005)	movi(0.004)	excel(0.004)	love(0.004)	perform(0.004)	watch(0.004)	lot(0.004)	charger(0.004)	minut(0.004)	easi(0.004)	android(0.004)	display(0.004)	expect(0.003)	ipad(0.003)	
Topic 4(0.027):	qualiti(0.040)	good(0.039)	sound(0.035)	speaker(0.029)	nice(0.027)	screen(0.025)	feel(0.024)	great(0.021)	better(0.017)	build(0.015)	solid(0.012)	display(0.010)	loud(0.009)	plastic(0.009)	ipad(0.008)	hand(0.008)	design(0.008)	price(0.008)	excel(0.008)	light(0.008)	devic(0.007)	sturdi(0.007)	expect(0.007)	decent(0.007)	cheap(0.007)	top(0.007)	thin(0.006)	fast(0.006)	video(0.006)	headphon(0.006)	pretti(0.006)	size(0.006)	beauti(0.006)	perform(0.006)	hold(0.005)	volum(0.005)	audio(0.005)	play(0.005)	best(0.005)	amaz(0.005)	smooth(0.005)	high(0.005)	built(0.005)	easi(0.005)	asus(0.005)	product(0.005)	metal(0.005)	bit(0.005)	bright(0.005)	surpris(0.004)	
Topic 5(0.018):	camera(0.067)	pictur(0.036)	good(0.031)	screen(0.029)	front(0.024)	video(0.022)	great(0.021)	face(0.017)	nice(0.017)	work(0.014)	photo(0.013)	pretti(0.012)	rear(0.012)	qualiti(0.012)	clear(0.012)	decent(0.011)	skype(0.009)	app(0.009)	bright(0.009)	ipad(0.009)	light(0.008)	fast(0.007)	price(0.007)	imag(0.007)	excel(0.007)	sharp(0.006)	beauti(0.006)	love(0.006)	thing(0.006)	glass(0.006)	size(0.006)	featur(0.006)	view(0.005)	digit(0.005)	easi(0.005)	best(0.005)	watch(0.005)	fine(0.005)	display(0.005)	side(0.005)	devic(0.005)	eye(0.005)	focus(0.005)	awesom(0.004)	expect(0.004)	shoot(0.004)	pic(0.004)	amaz(0.004)	touch(0.004)	smooth(0.004)	
Topic 6(0.031):	screen(0.044)	fast(0.032)	processor(0.030)	respons(0.030)	good(0.022)	core(0.021)	great(0.020)	perform(0.016)	quad(0.015)	ram(0.015)	android(0.015)	nice(0.014)	speed(0.014)	app(0.013)	price(0.013)	smooth(0.011)	resolut(0.011)	touch(0.010)	game(0.010)	display(0.009)	cpu(0.008)	faster(0.007)	graphic(0.007)	dual(0.007)	bright(0.007)	size(0.007)	best(0.007)	clear(0.006)	decent(0.006)	amaz(0.006)	beauti(0.006)	tegra(0.006)	video(0.005)	lag(0.005)	time(0.005)	work(0.005)	light(0.005)	updat(0.005)	easi(0.005)	memori(0.005)	perfect(0.005)	lightweight(0.005)	power(0.005)	high(0.004)	atom(0.004)	excel(0.004)	awesom(0.004)	ipad(0.004)	quadcor(0.004)	latest(0.004)	
Topic 7(0.017):	card(0.049)	sd(0.038)	memori(0.032)	storag(0.026)	slot(0.022)	gb(0.020)	space(0.016)	file(0.016)	micro(0.013)	expand(0.013)	32gb(0.013)	video(0.012)	screen(0.011)	microsd(0.011)	good(0.009)	gig(0.009)	model(0.008)	64gb(0.008)	great(0.008)	app(0.007)	ipad(0.007)	android(0.007)	devic(0.007)	16gb(0.007)	intern(0.006)	size(0.006)	extra(0.006)	fast(0.006)	work(0.006)	nice(0.006)	download(0.006)	movi(0.005)	lot(0.005)	full(0.005)	hd(0.005)	version(0.005)	purchas(0.005)	price(0.005)	love(0.005)	usb(0.005)	music(0.004)	qualiti(0.004)	option(0.004)	expans(0.004)	ram(0.004)	thing(0.004)	buy(0.004)	easi(0.004)	big(0.004)	support(0.004)	
Topic 8(0.029):	work(0.029)	devic(0.028)	wifi(0.022)	web(0.017)	good(0.017)	comput(0.016)	great(0.016)	connect(0.016)	internet(0.015)	laptop(0.014)	email(0.014)	fast(0.013)	browser(0.011)	easi(0.011)	brows(0.010)	surf(0.010)	problem(0.009)	video(0.009)	thing(0.009)	love(0.008)	network(0.008)	app(0.008)	time(0.008)	read(0.008)	watch(0.007)	screen(0.007)	phone(0.006)	game(0.006)	wireless(0.006)	learn(0.006)	mobil(0.006)	basic(0.005)	ipad(0.005)	nice(0.005)	function(0.005)	travel(0.005)	perfect(0.005)	set(0.005)	excel(0.005)	movi(0.005)	lot(0.005)	better(0.004)	faster(0.004)	size(0.004)	light(0.004)	download(0.004)	portabl(0.004)	speed(0.004)	user(0.004)	media(0.004)	
Topic 9(0.020):	screen(0.024)	write(0.021)	pen(0.019)	touch(0.016)	work(0.015)	app(0.015)	stylus(0.014)	keyboard(0.014)	handwrit(0.011)	featur(0.011)	draw(0.010)	great(0.010)	paper(0.009)	type(0.008)	spen(0.008)	good(0.008)	time(0.008)	hand(0.008)	better(0.008)	text(0.007)	love(0.007)	snote(0.006)	samsung(0.006)	nice(0.005)	dock(0.005)	sensit(0.005)	recognit(0.005)	best(0.005)	small(0.005)	case(0.005)	pretti(0.005)	perfect(0.005)	thing(0.005)	feel(0.005)	wacom(0.005)	lot(0.005)	applic(0.005)	pdf(0.005)	ipad(0.004)	function(0.004)	big(0.004)	size(0.004)	student(0.004)	pro(0.004)	softwar(0.004)	accessori(0.004)	input(0.004)	artist(0.004)	bought(0.004)	digit(0.004)	
Topic 10(0.046):	love(0.072)	great(0.046)	work(0.034)	easi(0.029)	size(0.026)	nice(0.025)	screen(0.024)	light(0.021)	good(0.018)	perfect(0.015)	fast(0.015)	product(0.014)	absolut(0.013)	weight(0.012)	cheap(0.012)	small(0.012)	week(0.011)	kindl(0.010)	awesom(0.010)	read(0.009)	carri(0.009)	function(0.009)	book(0.008)	bought(0.008)	featur(0.008)	fit(0.007)	thin(0.007)	hand(0.007)	amaz(0.007)	set(0.007)	thing(0.007)	devic(0.007)	month(0.006)	price(0.006)	enjoy(0.006)	case(0.006)	lightweight(0.006)	wife(0.005)	portabl(0.005)	beauti(0.005)	hold(0.005)	app(0.005)	ipad(0.005)	laptop(0.005)	bluetooth(0.005)	replac(0.005)	hope(0.005)	problem(0.005)	find(0.004)	paper(0.004)	
