Topic 0(0.15525):	time(0.05947)	friend(0.04948)	pretti(0.03850)	definit(0.03450)	price(0.03037)	delici(0.02503)	best(0.01977)	feel(0.01851)	restaur(0.01828)	super(0.01637)	small(0.01607)	recommend(0.01508)	amaz(0.01476)	spot(0.01387)	peopl(0.01351)	wait(0.01321)	busi(0.01317)	dinner(0.01252)	favorit(0.01230)	special(0.01109)	open(0.01092)	lunch(0.01084)	staff(0.01075)	thought(0.01054)	size(0.01035)	tabl(0.01021)	work(0.00894)	start(0.00892)	side(0.00878)	expect(0.00871)	tast(0.00866)	pretti-good(0.00827)	week(0.00753)	share(0.00751)	fill(0.00745)	perfect(0.00655)	insid(0.00637)	reason(0.00620)	amount(0.00613)	surpris(0.00611)	rememb(0.00598)	attent(0.00595)	final(0.00584)	pack(0.00583)	consid(0.00566)	fast(0.00564)	clean(0.00558)	coupl(0.00517)	point(0.00513)	area(0.00507)	
Topic 1(0.03026):	yelp(0.06403)	smoke(0.02416)	pull(0.02194)	truck(0.01897)	pork(0.01894)	smell(0.01735)	beef(0.01505)	corn(0.01351)	challeng(0.01330)	damn(0.01246)	side(0.01176)	gonna(0.01158)	brisket(0.01155)	uuu-uuu(0.01062)	aloha(0.00962)	sauc(0.00887)	pull-pork(0.00849)	yelp-NUM(0.00849)	photo(0.00839)	sweet(0.00781)	rollin(0.00680)	bbq-sauc(0.00673)	rollin-smoke(0.00665)	beef-rib(0.00623)	challeng-NUM(0.00510)	plate(0.00491)	damn-good(0.00481)	club(0.00481)	wifey(0.00467)	NUM-challeng(0.00439)	yelp-review(0.00407)	meter(0.00407)	vegetarian(0.00405)	yelper(0.00404)	babi(0.00400)	tender(0.00382)	checkin(0.00381)	porki(0.00376)	NUM-hour(0.00374)	combo(0.00372)	shaka(0.00368)	shaka-meter(0.00368)	nugget(0.00368)	spare(0.00365)	rais(0.00353)	told(0.00351)	trio(0.00345)	serv(0.00345)	room(0.00342)	onion(0.00341)	
Topic 2(0.03053):	curri(0.06850)	thai(0.04446)	lunch(0.04025)	spici(0.03730)	dish(0.03571)	spice(0.03199)	rice(0.02229)	chicken(0.02140)	pork(0.01026)	restaur(0.01024)	veget(0.00888)	pad-thai(0.00815)	asian(0.00781)	cook(0.00767)	small(0.00715)	crispi(0.00694)	brown(0.00645)	sauc(0.00643)	lotus(0.00634)	drunken(0.00610)	chef(0.00525)	le-thai(0.00507)	pan-asian(0.00494)	lunch-special(0.00482)	duck(0.00479)	serv(0.00471)	roti(0.00468)	sausag(0.00455)	sweet(0.00439)	mango(0.00436)	special(0.00434)	spice-level(0.00432)	prawn(0.00429)	siam(0.00414)	curri-chicken(0.00413)	yellow(0.00406)	thai-restaur(0.00401)	drunken-noodl(0.00401)	white(0.00393)	tofu(0.00388)	panang(0.00387)	offer(0.00387)	plate(0.00385)	chicken-curri(0.00374)	best(0.00371)	coconut(0.00360)	veggi(0.00314)	waiter(0.00313)	pickl(0.00309)	level-NUM(0.00307)	
Topic 3(0.04804):	perfect(0.03637)	dish(0.03072)	bread(0.01898)	cook(0.01588)	flavor(0.01529)	kitchen(0.01480)	crispi(0.01435)	sweet(0.01427)	honey(0.01282)	salt(0.01174)	season(0.01068)	serv(0.00969)	textur(0.00944)	creami(0.00925)	rich(0.00921)	skin(0.00869)	crisp(0.00828)	plate(0.00806)	bean(0.00794)	roast(0.00776)	balanc(0.00693)	restaur(0.00637)	tender(0.00636)	dine(0.00632)	crunchi(0.00629)	sauc(0.00628)	mushroom(0.00591)	chip(0.00590)	tabl(0.00513)	chicken-skin(0.00501)	chef(0.00469)	crunch(0.00468)	share(0.00463)	bite(0.00455)	savori(0.00447)	dress(0.00442)	bread-pud(0.00429)	carson(0.00428)	onion(0.00428)	amount(0.00421)	delici(0.00409)	beef(0.00407)	offer(0.00395)	perfect-cook(0.00384)	cook-perfect(0.00374)	combin(0.00371)	generous(0.00370)	spici(0.00365)	rare(0.00362)	pure(0.00361)	
Topic 4(0.03444):	pancak(0.04631)	breakfast(0.04499)	brunch(0.03010)	dish(0.01691)	benedict(0.01625)	corn(0.01456)	cream(0.01399)	velvet(0.01360)	syrup(0.01276)	rice(0.01138)	velvet-pancak(0.01009)	short(0.00925)	plate(0.00858)	sweet(0.00841)	sausag(0.00803)	banana(0.00793)	cream-chees(0.00788)	waffl(0.00784)	omelet(0.00781)	pork(0.00777)	mimosa(0.00772)	stack(0.00751)	tortilla(0.00727)	corn-beef(0.00722)	egg-benedict(0.00712)	beef(0.00602)	mexican(0.00594)	border(0.00583)	wait(0.00578)	sauc(0.00578)	serv(0.00548)	cake(0.00539)	shrimp(0.00536)	adobo(0.00531)	omelett(0.00530)	fri-rice(0.00526)	hawaiian(0.00524)	babystack(0.00478)	short-rib(0.00471)	brown(0.00467)	steak(0.00454)	cook(0.00437)	mapl-syrup(0.00404)	hollandais(0.00393)	whip(0.00391)	spinach(0.00389)	poach(0.00381)	toast(0.00380)	side(0.00376)	sunday-brunch(0.00361)	
Topic 5(0.03307):	buffet(0.06152)	crab(0.04510)	shrimp(0.03417)	seafood(0.02164)	station(0.02050)	plate(0.01389)	sauc(0.01351)	oyster(0.01156)	lobster(0.01149)	juici(0.01114)	year(0.01056)	pound(0.01040)	crawfish(0.01027)	spoon(0.01000)	NUM-year(0.00959)	dinner(0.00939)	crab-leg(0.00916)	wick(0.00893)	select(0.00857)	boil(0.00805)	wick-spoon(0.00781)	prime(0.00728)	bacchan(0.00726)	serv(0.00694)	spici(0.00661)	prime-rib(0.00625)	clam(0.00619)	best(0.00581)	boil-crab(0.00581)	corn(0.00577)	garlic(0.00558)	gelato(0.00543)	offer(0.00542)	asian(0.00497)	tast(0.00478)	pasta(0.00476)	sushi(0.00458)	spice(0.00457)	crepe(0.00439)	medium(0.00435)	tabl(0.00424)	price(0.00409)	basket(0.00402)	wine(0.00396)	varieti(0.00390)	studio(0.00389)	year-ago(0.00387)	king-crab(0.00368)	carv(0.00357)	italian(0.00343)	
Topic 6(0.04253):	flavor(0.19479)	gelato(0.01921)	sweet(0.01819)	yelper(0.01760)	tast(0.01673)	mango(0.01666)	treat(0.01390)	snow(0.01298)	custard(0.01281)	shave(0.01218)	strawberri(0.01145)	textur(0.01040)	frozen(0.01033)	boba(0.01028)	favorit(0.01010)	uniqu(0.00975)	black(0.00904)	real(0.00810)	combin(0.00760)	sesam(0.00691)	creami(0.00682)	product(0.00663)	perfect(0.00663)	choos(0.00642)	coconut(0.00640)	custom(0.00594)	cool(0.00561)	snowflak(0.00553)	condens(0.00534)	shave-ice(0.00524)	condens-milk(0.00504)	pineappl(0.00491)	amaz(0.00485)	combo(0.00475)	final(0.00462)	bite(0.00451)	sauc(0.00448)	fellow-yelper(0.00433)	ingredi(0.00424)	tast-bud(0.00420)	great-flavor(0.00412)	small(0.00412)	snack(0.00407)	card(0.00401)	bean(0.00393)	close(0.00386)	vanilla(0.00373)	pear(0.00366)	creativ(0.00359)	natur(0.00355)	
Topic 7(0.04421):	rice(0.03758)	beef(0.03622)	soup(0.02874)	dish(0.02570)	pork(0.02430)	sauc(0.01837)	shrimp(0.01823)	korean(0.01754)	wing(0.01749)	chicken(0.01418)	fri-rice(0.01413)	flavor(0.01187)	chines(0.01146)	spici(0.00976)	steam(0.00885)	roll(0.00854)	asian(0.00798)	garlic(0.00741)	serv(0.00737)	restaur(0.00730)	favorit(0.00700)	plate(0.00697)	chicken-wing(0.00690)	fish(0.00688)	style(0.00686)	short-rib(0.00679)	tast(0.00664)	tender(0.00642)	vietnames(0.00601)	short(0.00585)	soyo(0.00568)	cake(0.00562)	oxtail(0.00554)	sweet(0.00503)	dumpl(0.00501)	bone(0.00484)	veggi(0.00483)	salt(0.00465)	fusion(0.00438)	piec(0.00422)	cart(0.00420)	seafood(0.00405)	night(0.00390)	crispi(0.00367)	bean(0.00367)	egg-roll(0.00365)	wong(0.00357)	duck(0.00356)	veget(0.00350)	wendi(0.00349)	
Topic 8(0.06691):	vega(0.07436)	locat(0.05984)	town(0.03233)	option(0.02915)	las-vega(0.02888)	park(0.02862)	find(0.02646)	shop(0.02440)	strip(0.01888)	area(0.01729)	local(0.01707)	drive(0.01321)	easi(0.01281)	year(0.01083)	store(0.01054)	airport(0.01015)	citi(0.00937)	best(0.00883)	street(0.00826)	squar(0.00820)	work(0.00773)	walk(0.00747)	peopl(0.00736)	shack(0.00699)	restaur(0.00691)	custom(0.00679)	sign(0.00664)	select(0.00648)	time(0.00639)	stand(0.00600)	reason(0.00534)	trip(0.00534)	varieti(0.00530)	compar(0.00510)	build(0.00491)	famili(0.00485)	machin(0.00468)	conveni(0.00445)	choic(0.00442)	offer(0.00418)	general(0.00409)	frequent(0.00394)	short(0.00377)	busi(0.00377)	clean(0.00372)	closer(0.00359)	pick(0.00353)	termin(0.00348)	establish(0.00338)	west(0.00322)	
Topic 9(0.04207):	chicken(0.14020)	sauc(0.06168)	side(0.03289)	bread(0.02636)	strip(0.02591)	veggi(0.01501)	bake(0.01427)	waffl(0.01390)	insid(0.01152)	juici(0.01129)	tast(0.01044)	moist(0.01005)	season(0.00946)	tender(0.00920)	sweet(0.00903)	healthi(0.00881)	plain(0.00817)	garlic(0.00785)	mustard(0.00762)	piec(0.00749)	crispi(0.00722)	chicken-strip(0.00697)	combo(0.00676)	serv(0.00673)	special(0.00628)	dress(0.00624)	wrap(0.00565)	plate(0.00564)	favorit(0.00557)	simpl(0.00556)	lunch(0.00538)	buffalo(0.00474)	honey(0.00473)	wasabi(0.00458)	chicken-breast(0.00458)	ranch(0.00446)	mouth(0.00443)	bite(0.00434)	darn(0.00419)	grill-chicken(0.00418)	option(0.00416)	diet(0.00393)	yummi(0.00371)	cheesi(0.00366)	hawaiian(0.00363)	honey-mustard(0.00345)	reason(0.00341)	cook(0.00322)	philli(0.00322)	macaroni(0.00322)	
Topic 10(0.03952):	shake(0.02890)	sweet(0.02507)	truffl(0.02088)	sweet-potato(0.02050)	onion(0.01973)	side(0.01643)	potato-fri(0.01482)	beef(0.01476)	patti(0.01337)	sauc(0.00993)	spici(0.00963)	aioli(0.00925)	mushroom(0.00898)	ring(0.00759)	cheddar(0.00739)	cook(0.00713)	truffl-fri(0.00703)	hot-dog(0.00703)	pickl(0.00653)	turkey(0.00644)	tast(0.00641)	steak(0.00627)	ketchup(0.00606)	juici(0.00592)	jalapeno(0.00590)	healthi(0.00574)	earl(0.00558)	bite(0.00556)	parmesan(0.00544)	slaw(0.00536)	garlic(0.00534)	skinnyfat(0.00532)	perfect(0.00523)	medium(0.00508)	angri(0.00497)	jalapeo(0.00458)	angus(0.00437)	crispi(0.00425)	ingredi(0.00401)	holstein(0.00398)	strip(0.00386)	chees-fri(0.00380)	oxtail(0.00367)	share(0.00359)	bulgogi(0.00357)	delici(0.00351)	ronin(0.00342)	gordon(0.00342)	cheeseburg(0.00333)	wagyu(0.00325)	
