Topic 0(0.05441):	chicken(0.08952)	bread(0.02371)	sauc(0.02245)	side(0.02089)	chees(0.01868)	lunch(0.01614)	strip(0.01468)	love(0.01276)	menu(0.00942)	healthi(0.00940)	definit(0.00923)	veggi(0.00793)	nice(0.00768)	option(0.00758)	bake(0.00723)	delici(0.00709)	servic(0.00667)	perfect(0.00643)	insid(0.00631)	sweet(0.00582)	fresh(0.00575)	locat(0.00575)	friend(0.00574)	tast(0.00570)	moist(0.00560)	thing(0.00555)	special(0.00544)	favorit(0.00537)	juici(0.00519)	pretti(0.00501)	meat(0.00499)	dress(0.00492)	tender(0.00467)	chicken-strip(0.00452)	honey(0.00450)	meal(0.00449)	combo(0.00444)	waffl(0.00440)	turkey(0.00425)	serv(0.00413)	flavor(0.00411)	mustard(0.00404)	time(0.00395)	earl(0.00395)	toast(0.00394)	super(0.00384)	crispi(0.00368)	skinnyfat(0.00361)	price(0.00321)	find(0.00304)	
Topic 1(0.03800):	happi(0.07807)	happi-hour(0.04726)	rice(0.02769)	menu(0.01700)	fri-rice(0.01645)	wing(0.01167)	favorit(0.00977)	yelp(0.00919)	drink(0.00851)	hawaiian(0.00844)	flavor(0.00832)	appet(0.00790)	friend(0.00766)	time(0.00745)	pretti(0.00725)	uuu-uuu(0.00706)	price(0.00643)	special(0.00643)	love(0.00633)	poke(0.00628)	aloha(0.00593)	tast(0.00590)	servic(0.00570)	yelp-NUM(0.00561)	plate(0.00541)	challeng(0.00527)	oxtail(0.00521)	garlic(0.00515)	definit(0.00470)	town(0.00462)	pork(0.00444)	delici(0.00442)	hour-menu(0.00433)	island(0.00425)	enjoy(0.00422)	spam(0.00421)	deal(0.00411)	chee(0.00385)	style(0.00383)	night(0.00381)	spot(0.00380)	piec(0.00376)	yard(0.00372)	share(0.00366)	coupl(0.00355)	best(0.00352)	moco(0.00338)	challeng-NUM(0.00338)	server(0.00337)	short(0.00324)	
Topic 2(0.03961):	pizza(0.08625)	slice(0.01981)	crust(0.01822)	chees(0.01515)	meatbal(0.01135)	mozzarella(0.01094)	sauc(0.00980)	white(0.00766)	fresh(0.00758)	italian(0.00721)	garlic(0.00686)	style(0.00672)	thin(0.00648)	basil(0.00629)	oliv(0.00627)	secret(0.00585)	love(0.00559)	pepperoni(0.00548)	sausag(0.00539)	margherita(0.00536)	menu(0.00522)	delici(0.00504)	settebello(0.00499)	best(0.00497)	favorit(0.00487)	wine(0.00481)	bread(0.00479)	oven(0.00475)	serv(0.00472)	rock(0.00454)	pasta(0.00453)	restaur(0.00449)	tast(0.00432)	nice(0.00432)	perfect(0.00429)	ricotta(0.00406)	enjoy(0.00402)	balsam(0.00391)	flavor(0.00385)	onion(0.00370)	prosciutto(0.00358)	time(0.00357)	ingredi(0.00353)	truffl(0.00345)	nora(0.00342)	crispi(0.00342)	excel(0.00332)	secret-pizza(0.00316)	dinner(0.00312)	mushroom(0.00310)	
Topic 3(0.12817):	time(0.04531)	wait(0.04283)	servic(0.02895)	tabl(0.02481)	friend(0.02234)	seat(0.01853)	peopl(0.01474)	long(0.01445)	pretti(0.01408)	NUM-minut(0.01400)	busi(0.01371)	server(0.01354)	thing(0.01272)	experi(0.01113)	restaur(0.01064)	definit(0.00990)	check(0.00946)	arriv(0.00928)	told(0.00887)	final(0.00765)	meal(0.00759)	open(0.00684)	side(0.00668)	custom(0.00644)	work(0.00633)	serv(0.00631)	thought(0.00588)	waitress(0.00582)	return(0.00573)	enjoy(0.00573)	expect(0.00539)	parti(0.00529)	lunch(0.00516)	nice(0.00515)	love(0.00506)	walk(0.00492)	water(0.00491)	staff(0.00489)	delici(0.00483)	start(0.00483)	refil(0.00476)	left(0.00450)	second(0.00438)	brought(0.00437)	locat(0.00434)	feel(0.00433)	super(0.00421)	call(0.00418)	turn(0.00414)	amaz(0.00400)	
Topic 4(0.03808):	thai(0.02917)	coffe(0.02221)	soup(0.02123)	bagel(0.01401)	cafe(0.01258)	lunch(0.01183)	macaron(0.01076)	croissant(0.01004)	pastri(0.00880)	love(0.00876)	french(0.00697)	delici(0.00670)	baguett(0.00669)	best(0.00667)	time(0.00662)	quich(0.00629)	find(0.00588)	small(0.00588)	pad-thai(0.00581)	menu(0.00554)	latt(0.00553)	tast(0.00532)	enjoy(0.00526)	fresh(0.00515)	nice(0.00492)	flavor(0.00471)	restaur(0.00448)	definit(0.00416)	lotus(0.00414)	bakeri(0.00390)	town(0.00374)	spici(0.00373)	deli(0.00368)	ice-tea(0.00366)	le-thai(0.00362)	vega(0.00359)	macaroon(0.00359)	shop(0.00357)	perfect(0.00354)	sambalatt(0.00353)	owner(0.00346)	friend(0.00345)	drunken(0.00340)	area(0.00338)	select(0.00336)	manon(0.00324)	counter(0.00323)	insid(0.00310)	chees(0.00309)	spot(0.00306)	
Topic 5(0.03849):	dish(0.06323)	flavor(0.02882)	sauc(0.02013)	spici(0.01426)	crispi(0.01154)	sweet(0.01092)	textur(0.00936)	plate(0.00915)	fish(0.00906)	fresh(0.00893)	perfect(0.00857)	cook(0.00789)	sprout(0.00785)	tast(0.00756)	nice(0.00750)	light(0.00722)	serv(0.00651)	enjoy(0.00615)	brussel-sprout(0.00559)	season(0.00544)	beef(0.00542)	chili(0.00539)	onion(0.00525)	slice(0.00519)	meal(0.00497)	restaur(0.00492)	love(0.00486)	bite(0.00484)	delici(0.00469)	ingredi(0.00450)	combin(0.00436)	chef(0.00430)	beauti(0.00422)	menu(0.00419)	refresh(0.00416)	crunchi(0.00411)	piec(0.00406)	salmon(0.00401)	yonaka(0.00387)	tender(0.00375)	amaz(0.00362)	garlic(0.00356)	rich(0.00353)	best(0.00353)	jalapeno(0.00353)	balanc(0.00347)	modern(0.00341)	cucumb(0.00339)	scallop(0.00335)	simpl(0.00335)	
Topic 6(0.05459):	chocol(0.04923)	cream(0.04321)	flavor(0.03584)	ice-cream(0.03228)	dessert(0.02881)	cooki(0.02120)	cake(0.01900)	sweet(0.01758)	cupcak(0.01519)	gelato(0.01185)	tast(0.00919)	love(0.00857)	strawberri(0.00824)	sprinkl(0.00710)	caramel(0.00694)	vanilla(0.00690)	butter(0.00653)	time(0.00620)	white(0.00581)	favorit(0.00573)	peanut(0.00558)	shop(0.00489)	frozen(0.00472)	chip(0.00460)	peanut-butter(0.00454)	treat(0.00435)	sunda(0.00430)	delici(0.00428)	best(0.00411)	nice(0.00382)	salt(0.00378)	scoop(0.00376)	creami(0.00363)	white-chocol(0.00350)	sugar(0.00348)	perfect(0.00347)	enjoy(0.00342)	amaz(0.00341)	browni(0.00332)	frost(0.00326)	friend(0.00315)	velvet(0.00314)	raspberri(0.00309)	fresh(0.00307)	rich(0.00307)	addict(0.00293)	cream-sandwich(0.00292)	banana(0.00291)	offer(0.00290)	final(0.00290)	
Topic 7(0.08362):	drink(0.04642)	night(0.02716)	area(0.02081)	cool(0.01841)	love(0.01833)	nice(0.01684)	spot(0.01498)	friend(0.01414)	peopl(0.01187)	room(0.01155)	patio(0.01098)	downtown(0.01015)	time(0.00900)	vega(0.00866)	watch(0.00858)	feel(0.00857)	dine(0.00856)	check(0.00831)	insid(0.00818)	open(0.00779)	walk(0.00747)	music(0.00714)	seat(0.00708)	definit(0.00705)	enjoy(0.00669)	tabl(0.00652)	park(0.00642)	price(0.00630)	loud(0.00597)	thing(0.00586)	vibe(0.00569)	crowd(0.00549)	play(0.00548)	pretti(0.00541)	staff(0.00536)	space(0.00505)	menu(0.00498)	beauti(0.00470)	strip(0.00464)	restaur(0.00453)	fremont(0.00447)	outdoor(0.00425)	kitchen(0.00418)	amaz(0.00407)	live(0.00405)	meet(0.00403)	locat(0.00403)	wall(0.00399)	light(0.00396)	offer(0.00392)	
Topic 8(0.04549):	ramen(0.07854)	bowl(0.03364)	broth(0.03310)	pork(0.02328)	flavor(0.01246)	monta(0.01196)	miso(0.01135)	soup(0.00964)	spici(0.00924)	meat(0.00809)	sora(0.00796)	extra(0.00751)	side(0.00743)	tonkotsu(0.00717)	jinya(0.00630)	best(0.00628)	vega(0.00627)	nice(0.00622)	corn(0.00621)	belli(0.00619)	smoke(0.00603)	love(0.00589)	pork-belli(0.00587)	brisket(0.00585)	small(0.00577)	tast(0.00574)	fukumimi(0.00557)	perfect(0.00549)	chashu(0.00521)	miso-ramen(0.00471)	onion(0.00453)	gyoza(0.00453)	favorit(0.00445)	time(0.00443)	rich(0.00442)	tender(0.00433)	slice(0.00419)	pull(0.00411)	garlic(0.00409)	ramen-sora(0.00398)	shoyu(0.00397)	prefer(0.00387)	restaur(0.00369)	rice(0.00363)	rollin(0.00347)	definit(0.00347)	rollin-smoke(0.00340)	green-onion(0.00335)	option(0.00326)	pull-pork(0.00322)	
Topic 9(0.03661):	steak(0.03432)	perfect(0.01237)	bread(0.01203)	chees(0.01053)	dinner(0.01029)	serv(0.00959)	restaur(0.00868)	sauc(0.00851)	delici(0.00829)	cook(0.00750)	dine(0.00726)	butter(0.00712)	menu(0.00705)	meal(0.00686)	servic(0.00684)	side(0.00678)	french(0.00639)	salt(0.00622)	medium(0.00583)	rare(0.00582)	best(0.00572)	roast(0.00560)	mash(0.00531)	server(0.00524)	friend(0.00520)	plate(0.00481)	appet(0.00477)	bouchon(0.00471)	honey(0.00470)	filet(0.00457)	garlic(0.00456)	tabl(0.00449)	brunch(0.00447)	strip(0.00435)	time(0.00434)	nice(0.00433)	entre(0.00432)	meat(0.00427)	love(0.00426)	mash-potato(0.00423)	flavor(0.00414)	special(0.00401)	wine(0.00400)	reserv(0.00389)	echo(0.00384)	dessert(0.00377)	onion(0.00377)	patio(0.00375)	enjoy(0.00375)	mon-ami(0.00370)	
Topic 10(0.04170):	pancak(0.02826)	breakfast(0.02475)	bacon(0.01559)	cream(0.01508)	toast(0.01177)	sweet(0.01163)	waffl(0.01032)	chees(0.00979)	banana(0.00921)	velvet(0.00890)	donut(0.00829)	syrup(0.00829)	doughnut(0.00668)	velvet-pancak(0.00616)	coffe(0.00577)	benedict(0.00573)	chocol(0.00557)	mapl(0.00557)	french-toast(0.00544)	menu(0.00522)	whip(0.00497)	crispi(0.00497)	vega(0.00484)	skin(0.00477)	french(0.00476)	plate(0.00458)	cream-chees(0.00450)	sausag(0.00449)	kitchen(0.00439)	morn(0.00438)	savori(0.00438)	cake(0.00436)	stack(0.00435)	whip-cream(0.00430)	carson(0.00421)	light(0.00415)	butter(0.00413)	select(0.00413)	locat(0.00409)	omelet(0.00401)	bread(0.00399)	fruit(0.00398)	chicken-skin(0.00398)	arriv(0.00393)	meal(0.00390)	corn-beef(0.00363)	white(0.00354)	small(0.00346)	fill(0.00341)	cours(0.00328)	
