Topic 0(0.058):	NUM(0.175)	batteri(0.094)	life(0.041)	great(0.035)	pictur(0.022)	good(0.021)	day(0.019)	long(0.019)	charg(0.018)	recharg(0.017)	bought(0.015)	aa(0.015)	nt(0.014)	year(0.013)	charger(0.013)	pic(0.013)	month(0.012)	work(0.010)	card(0.010)	second(0.010)	extra(0.009)	time(0.009)	excel(0.009)	video(0.009)	photo(0.009)	soni(0.008)	nice(0.008)	week(0.008)	love(0.008)	megapixel(0.007)	lcd(0.007)	mp(0.007)	best(0.007)	amaz(0.007)	awesom(0.007)	review(0.007)	cost(0.006)	shoot(0.006)	len(0.006)	canon(0.006)	shot(0.006)	easi(0.006)	compar(0.006)	buy(0.005)	recommend(0.005)	better(0.005)	purchas(0.005)	order(0.005)	zoom(0.005)	set(0.005)	
Topic 1(0.045):	screen(0.080)	lcd(0.066)	nice(0.056)	great(0.048)	good(0.041)	big(0.039)	NUM(0.036)	size(0.032)	small(0.031)	pictur(0.021)	qualiti(0.021)	display(0.021)	light(0.018)	easi(0.018)	bright(0.017)	pic(0.016)	love(0.013)	awesom(0.013)	shot(0.012)	hand(0.012)	set(0.011)	excel(0.011)	high(0.011)	batteri(0.011)	best(0.010)	photo(0.010)	featur(0.010)	nt(0.010)	perfect(0.010)	thing(0.009)	resolut(0.009)	mp(0.009)	view(0.009)	low(0.008)	worth(0.008)	decent(0.008)	option(0.008)	compact(0.007)	amaz(0.007)	weight(0.007)	len(0.006)	recommend(0.006)	mode(0.006)	clear(0.006)	lot(0.006)	viewfind(0.006)	video(0.006)	flash(0.005)	fit(0.005)	menu(0.005)	
Topic 2(0.029):	view(0.072)	work(0.052)	pictur(0.052)	good(0.050)	live(0.044)	NUM(0.041)	great(0.032)	viewfind(0.027)	featur(0.027)	model(0.025)	nice(0.024)	canon(0.021)	best(0.021)	awesom(0.019)	shot(0.019)	perfect(0.018)	con(0.018)	weight(0.017)	mode(0.016)	peopl(0.015)	screen(0.015)	lcd(0.015)	happi(0.014)	nt(0.014)	love(0.013)	amaz(0.013)	recommend(0.012)	video(0.012)	light(0.011)	excel(0.011)	move(0.011)	kodak(0.010)	focus(0.009)	worth(0.009)	autofocus(0.009)	pro(0.009)	hand(0.008)	feel(0.008)	better(0.007)	thing(0.006)	qualiti(0.006)	simpl(0.006)	resolut(0.006)	high(0.006)	compact(0.006)	smaller(0.005)	easi(0.005)	fast(0.005)	hold(0.005)	lens(0.004)	
Topic 3(0.034):	set(0.088)	auto(0.046)	control(0.044)	great(0.042)	pictur(0.040)	manual(0.037)	easi(0.037)	mode(0.028)	shot(0.024)	read(0.023)	adjust(0.022)	time(0.022)	thing(0.019)	review(0.019)	button(0.018)	nice(0.017)	good(0.017)	amaz(0.017)	featur(0.016)	nt(0.016)	love(0.015)	light(0.015)	flash(0.014)	photo(0.014)	best(0.011)	NUM(0.011)	softwar(0.010)	slr(0.009)	allow(0.009)	perfect(0.009)	awesom(0.008)	learn(0.008)	record(0.008)	canon(0.008)	iso(0.008)	work(0.008)	lot(0.008)	excel(0.007)	find(0.007)	better(0.007)	option(0.007)	menu(0.007)	pro(0.007)	worth(0.006)	happi(0.006)	recommend(0.006)	user(0.006)	imag(0.006)	video(0.006)	focus(0.006)	
Topic 4(0.032):	shoot(0.085)	NUM(0.059)	mode(0.052)	point(0.049)	great(0.036)	good(0.029)	focus(0.026)	iso(0.025)	amaz(0.020)	shot(0.019)	excel(0.017)	video(0.016)	perform(0.016)	low(0.015)	pictur(0.015)	frame(0.014)	nois(0.013)	light(0.013)	fast(0.013)	best(0.013)	nice(0.013)	nt(0.013)	full(0.013)	raw(0.012)	len(0.012)	love(0.010)	sensor(0.010)	awesom(0.010)	user(0.010)	perfect(0.010)	size(0.010)	featur(0.009)	manual(0.009)	color(0.009)	photograph(0.009)	friend(0.009)	pretti(0.009)	nikon(0.008)	qualiti(0.008)	screen(0.008)	year(0.007)	move(0.007)	better(0.007)	imag(0.007)	happi(0.007)	includ(0.006)	compact(0.006)	movi(0.006)	thing(0.006)	worth(0.006)	
Topic 5(0.026):	shutter(0.068)	speed(0.059)	good(0.048)	button(0.047)	feel(0.038)	great(0.037)	nice(0.036)	fast(0.034)	cheap(0.032)	NUM(0.026)	slow(0.023)	nt(0.022)	iso(0.021)	extrem(0.019)	photo(0.018)	best(0.017)	pictur(0.017)	easi(0.017)	perfect(0.015)	amaz(0.014)	high(0.014)	flash(0.013)	focus(0.013)	qualiti(0.012)	worth(0.011)	happi(0.011)	recommend(0.011)	love(0.011)	mode(0.011)	hand(0.010)	excel(0.010)	bit(0.010)	bought(0.010)	awesom(0.010)	time(0.010)	sound(0.009)	control(0.009)	len(0.009)	imag(0.009)	problem(0.008)	light(0.007)	power(0.007)	start(0.007)	lcd(0.007)	featur(0.006)	zoom(0.006)	pic(0.006)	set(0.006)	batteri(0.006)	life(0.006)	
Topic 6(0.024):	card(0.108)	sd(0.064)	memori(0.044)	pictur(0.036)	nice(0.035)	great(0.028)	NUM(0.027)	batteri(0.026)	softwar(0.022)	compact(0.022)	excel(0.021)	aa(0.020)	easi(0.019)	good(0.018)	free(0.017)	case(0.016)	worth(0.015)	shot(0.014)	extra(0.014)	nt(0.014)	awesom(0.014)	recommend(0.013)	set(0.013)	perfect(0.013)	flash(0.013)	featur(0.012)	happi(0.012)	amaz(0.011)	work(0.011)	hold(0.011)	cheap(0.011)	love(0.010)	carri(0.010)	mode(0.010)	movi(0.010)	price(0.010)	best(0.009)	includ(0.009)	cost(0.009)	video(0.008)	usb(0.008)	qualiti(0.008)	screen(0.007)	recharg(0.007)	high(0.007)	imag(0.007)	replac(0.007)	decent(0.007)	simpl(0.007)	find(0.007)	
Topic 7(0.031):	zoom(0.137)	optic(0.050)	digit(0.035)	focus(0.034)	great(0.033)	NUM(0.031)	good(0.031)	len(0.029)	rang(0.026)	nt(0.024)	capabl(0.024)	featur(0.021)	nice(0.020)	slr(0.020)	shot(0.018)	amaz(0.016)	price(0.016)	best(0.016)	photo(0.014)	flash(0.014)	nois(0.014)	imag(0.013)	stabil(0.013)	awesom(0.013)	small(0.013)	excel(0.012)	manual(0.010)	iso(0.010)	high(0.010)	built(0.009)	qualiti(0.009)	viewfind(0.009)	raw(0.008)	perfect(0.008)	love(0.008)	video(0.008)	worth(0.008)	lens(0.008)	sensor(0.008)	recommend(0.007)	work(0.007)	mode(0.007)	low(0.006)	movi(0.006)	happi(0.006)	light(0.006)	level(0.006)	bought(0.006)	night(0.005)	size(0.005)	
Topic 8(0.032):	len(0.119)	lens(0.059)	bodi(0.046)	kit(0.035)	NUM(0.032)	great(0.031)	qualiti(0.022)	high(0.022)	nt(0.021)	profession(0.021)	amaz(0.018)	light(0.017)	excel(0.016)	cost(0.016)	nice(0.016)	good(0.016)	recommend(0.015)	best(0.014)	dslr(0.014)	buy(0.014)	feel(0.013)	love(0.012)	worth(0.012)	awesom(0.011)	low(0.011)	imag(0.011)	shot(0.011)	photographi(0.011)	built(0.011)	thing(0.011)	zoom(0.010)	time(0.010)	perform(0.010)	perfect(0.010)	happi(0.010)	photo(0.009)	canon(0.009)	long(0.008)	close(0.008)	work(0.008)	includ(0.008)	big(0.008)	lot(0.007)	consid(0.007)	featur(0.007)	weight(0.007)	better(0.006)	bought(0.006)	option(0.006)	small(0.006)	
Topic 9(0.063):	pictur(0.099)	qualiti(0.069)	imag(0.051)	good(0.047)	great(0.044)	light(0.033)	photo(0.033)	excel(0.029)	color(0.022)	stabil(0.019)	clear(0.019)	nice(0.019)	sharp(0.019)	low(0.017)	easi(0.017)	NUM(0.015)	work(0.015)	amaz(0.014)	sensor(0.012)	small(0.012)	set(0.011)	best(0.010)	len(0.010)	fast(0.010)	flash(0.009)	hand(0.009)	better(0.009)	lcd(0.009)	size(0.009)	time(0.008)	price(0.008)	video(0.008)	night(0.007)	compar(0.007)	love(0.007)	featur(0.007)	digit(0.007)	bright(0.006)	fit(0.006)	decent(0.006)	perfect(0.006)	design(0.005)	feel(0.005)	zoom(0.005)	batteri(0.005)	screen(0.005)	nt(0.005)	awesom(0.005)	canon(0.004)	pretti(0.004)	
Topic 10(0.050):	price(0.131)	great(0.083)	best(0.039)	newegg(0.036)	work(0.034)	good(0.029)	pictur(0.026)	NUM(0.024)	love(0.021)	excel(0.021)	nt(0.021)	nice(0.020)	easi(0.017)	product(0.017)	deal(0.015)	ship(0.015)	awesom(0.015)	perfect(0.014)	qualiti(0.014)	recommend(0.014)	servic(0.013)	canon(0.012)	packag(0.012)	happi(0.012)	pocket(0.012)	purchas(0.011)	featur(0.011)	rang(0.010)	buy(0.010)	fit(0.010)	lot(0.010)	money(0.009)	time(0.009)	megapixel(0.009)	high(0.009)	nikon(0.009)	bought(0.009)	dslr(0.008)	better(0.008)	amaz(0.007)	worth(0.007)	box(0.007)	cheap(0.007)	case(0.007)	small(0.007)	free(0.006)	soni(0.006)	fast(0.006)	includ(0.006)	week(0.006)	
