topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
charg,time,work,card,support,nice,wifi,servic,return,tmobil,good,camera,nokia,batteri,unlock,great,screen,samsung,buy,app,app,verizon,call,bad,music,devic,
 charger, problem, fine, sim, custom, good, call, call, product, month, price, qualiti, lumia, life, att, love, button, galaxi, bought, updat, window, cell, text, blackberri, featur, fast,
 work, issu, expect, sd, devic, excel, data, time, amazon, plan, pretti, pictur, smartphon, day, htc, price, touch, iphon, money, play, android, review, messag, slow, bluetooth, screen,
 problem, day, great, memori, send, easi, connect, custom, purchas, pay, smart, great, window, charg, 4g, easi, case, better, wast, download, iphon, peopl, set, con, player, android,
 replac, turn, problem, micro, contact, fast, set, minut, seller, purchas, low, good, price, hour, tmobil, awesom, drop, s3, recommend, googl, os, time, button, el, voic, processor,
 kind, simpl, figur, video, allow, amazon, expect, short, credit, realiz, volum, top, hand, switch, reciev, pros, friend, test, glad, room, simpli, receiv, simpl, featur, total, nfc,
time,work,card,support,nice,wifi,servic,return,tmobil,good,camera,nokia,batteri,unlock,great,screen,samsung,buy,app,window,verizon,call,bad,music,devic,charg,




topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
screen,window,batteri,screen,good,iphon,price,camera,wifi,love,app,screen,work,servic,call,card,call,return,good,android,work,good,batteri,sim,work,screen,
 batteri, app, life, fast, screen, good, great, good, app, great, email, great, samsung, call, set, app, signal, amazon, great, updat, month, great, charg, card, unlock, button,
 easi, android, card, processor, price, nexus, good, pictur, connect, bought, work, video, galaxi, custom, featur, memori, qualiti, seller, batteri, app, buy, product, day, work, att, call,
 good, iphon, day, ram, time, devic, smartphon, flash, data, work, window, touch, text, month, work, sd, hear, work, price, softwar, time, case, life, tmobil, tmobil, text,
 great, great, app, core, featur, better, nokia, qualiti, call, purchas, googl, camera, great, tmobil, number, music, good, product, life, el, bought, nice, charger, att, 4g, time,
 larger, stick, process, amaz, email, experi, s3, flaw, offic, small, activ, perfect, three, unlimit, start, long, big, cost, solid, peopl, daughter, perfect, includ, expens, europ, error,
window,batteri,screen,good,iphon,price,camera,wifi,love,app,screen,work,servic,set,card,call,return,good,android,work,good,batteri,sim,unlock,screen,batteri,




topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
screen,love,servic,text,button,batteri,call,sim,good,buy,great,android,samsung,batteri,call,great,screen,call,card,work,app,work,batteri,return,product,month,
 button, great, call, messag, screen, charg, signal, card, camera, cell, good, app, galaxi, good, wifi, feel, case, time, sd, purchas, window, card, life, servic, unlock, bought,
 camera, window, buy, set, batteri, day, qualiti, tmobil, qualiti, nokia, price, window, iphon, life, work, nice, touch, work, memori, seller, android, sim, great, money, review, year,
 keyboard, price, custom, email, time, time, good, activ, price, good, bought, os, better, great, tmobil, price, big, drop, storag, batteri, download, unlock, good, time, expect, work,
 number, easi, samsung, call, turn, issu, servic, work, flash, problem, recommend, updat, price, app, data, good, color, text, slot, good, store, att, day, custom, purchas, plan,
 slide, exceed, galaxi, enter, accident, cover, compar, contact, wifi, step, three, tech, includ, half, calendar, lower, resist, nice, resolut, appear, big, insert, find, troubl, unit, contact,
love,servic,text,button,charg,call,sim,good,buy,great,android,samsung,batteri,call,great,screen,call,card,work,app,work,batteri,return,product,month,screen,




topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
card,money,app,good,work,work,month,screen,work,great,good,good,work,app,servic,call,screen,sim,work,window,batteri,work,love,good,call,batteri,
sd,work,window,camera,good,great,plan,great,unlock,price,work,work,great,card,call,screen,good,work,tmobil,android,good,return,great,work,time,charg,
sim,good,work,great,great,expect,work,fast,good,good,great,great,batteri,memori,custom,work,case,card,servic,great,android,buy,bought,text,work,life,
work,wast,good,qualiti,screen,good,great,good,batteri,smart,love,sound,el,sd,work,time,drop,unlock,call,price,screen,product,work,call,problem,day,
memori,batteri,great,screen,love,price,good,batteri,product,work,batteri,qualiti,good,storag,time,app,button,att,signal,app,camera,batteri,good,screen,good,work,
decent,messag,big,deal,test,speed,wo,heavi,paid,cool,total,game,worth,media,switch,os,worri,difficult,move,long,bloatwar,happi,refurbish,number,read,cheap,
money,app,camera,work,expect,month,screen,work,great,love,sound,batteri,card,servic,screen,good,sim,tmobil,window,batteri,work,love,text,time,batteri,app,




