topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
charg, simpl,work,card, allow,nice,wifi,servic,tmobil,tmobil,camera,nokia,nokia,batteri,great,great,samsung,samsung, glad,app,app,call,bad,bad,music,devic,
time, problem, fine,support,nice, good,servic, short, product, month, price, top, lumia, life, att, love, button, galaxi, bought, updat,verizon, receiv, simpl, blackberri, total,charg,
 work, issu, expect, sd, devic, excel, data, time, amazon, plan, pretti, pictur, smartphon, day, htc, price, touch, test,app, play, android, review, messag, slow, bluetooth, screen,
 problem,work, great, memori, send,wifi, expect, custom, purchas,good, smart, great,batteri, charg, 4g, pros, case,buy, wast,window, simpli, peopl, set,music, player, android,
 replac, turn,card, video, contact, amazon, set,return, credit, realiz, low, good, price,unlock, tmobil,screen, friend, s3, recommend, googl, os, time, button, el,devic, nfc,
 charger,time, problem, micro,support, fast, connect, call, seller, purchas,good, qualiti, window, hour,unlock, easi, drop, iphon,buy, download, iphon, cell, text, con, featur, processor,
 kind, day, figur, sim, custom, easi, call, minut,return, pay, volum,camera, hand, switch, reciev, awesom,screen, better, money, room, window,verizon,call, featur, voic, fast,




topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
 larger,window,batteri,good, email, experi, s3,camera,wifi,app,screen,screen,work,servic,call,card,return,good,good,android,good, perfect,sim,sim, europ,batteri,
 batteri,batteri, life, fast, screen, good, great,wifi, offic, small, email, great, samsung, call, start,call, big, amazon, great, updat, month, great, includ,unlock,screen, button,
 easi, android,screen, processor, price, nexus, good, pictur, connect, bought, work, video,servic, custom, featur, memori, qualiti, cost, solid,work, daughter, product, day, work, att, error,
window, iphon, day, ram,iphon,price,camera, flash, data, work, window, touch, three,set, work, long, hear, work,android, peopl, time,batteri, life, tmobil, tmobil, text,
 great, stick, process, amaz, featur, better, nokia, qualiti,love, purchas, activ,work, great, tmobil,card, music, good, product, life, el, bought, nice, charger, expens, 4g, time,
screen, great, app, core,good,iphon,price, good, app, great, googl, camera, text, month, set, sd, signal, seller, batteri, softwar, buy,good, charg, att,work, call,
 good, app, card,screen, time, devic, smartphon, flaw, call,love,app, perfect, galaxi, unlimit, number, app,call,return, price, app,work, case,batteri, card, unlock,screen,




topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
screen,love,text, enter, accident,call,sim,sim,good,buy,great,samsung,samsung,batteri,call, lower,screen,card, resolut,work,app,work,return,return,product,screen,
 button, great, call, messag, screen, charg, compar, contact,buy,great, good, app, galaxi, good, wifi, feel,call, time, sd, purchas, big, insert, find, servic, unlock, contact,
 slide,servic, galaxi,button, batteri, day, qualiti,good, qualiti, nokia,android, window, includ,call,great, nice, touch, nice,work, appear, android, sim, great, troubl, unit, year,
 keyboard, price, custom, email,charg, cover, good, activ, price, step, three, os,batteri, great, tmobil,screen, big, drop, storag, batteri,work,batteri, good,product, expect, work,
love, exceed, samsung, call, turn, issu, servic, work, wifi, problem, recommend, updat, price, half, calendar, good, color, text, slot,app, store, att, day, custom,month, plan,
 camera, easi, buy,text,button, time, signal, card, flash, good, bought,android, iphon, app, data,great, case, work,card, seller, window, card, life, money, review, bought,
 number, window,servic, set, time,batteri,call, tmobil, camera, cell, price, tech, better, life, work, price, resist,call, memori, good, download, unlock,batteri, time, purchas,month,




topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,
card,money,camera,good,test,work,month,heavi,work,cool,good,good,work,app,screen,call,worri,sim,move,batteri,batteri,work,love,number,call,app,
sd,work,big,camera,expect,great,screen,work,great,price,work,work,great,servic,call,screen,good,work,window,android,work,happi,great,work,read,charg,
money,good,work,great,great,month,work,fast,paid,good,sound,game,card,memori,custom,good,sim,card,servic,great,android,buy,bought,time,work,life,
decent,app,good,work,screen,good,wo,good,batteri,love,love,batteri,el,sd,switch,os,drop,tmobil,call,price,screen,love,work,call,problem,day,
memori,batteri,great,screen,love,speed,good,batteri,product,work,total,qualiti,worth,storag,time,app,button,difficult,signal,long,bloatwar,batteri,text,screen,batteri,work,
work,wast,window,qualiti,work,price,great,screen,good,great,batteri,great,good,card,work,time,screen,att,work,app,camera,return,good,good,time,batteri,
sim,messag,app,deal,good,expect,plan,great,unlock,smart,great,sound,batteri,media,servic,work,case,unlock,tmobil,window,good,product,refurbish,text,good,cheap,




