Category,Camera,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,small,time,work,wait,nikon,card,return,flash,canon,toy,mode,film,problem
,nice,button,face,water,admit,return,flash,shot,buy,bought,higher,low,terribl
,time,second,better,day,d610,readi,amazon,set,review,kodak,light,qualiti,repair
,size,photo,featur,trip,card,usb,purchas,canon,bought,money,auto,problem,month
,pocket,day,great,nikon,review,cabl,order,indoor,disappoint,mode,control,shot,video
,easi,turn,qualiti,work,issu,sd,product,color,year,buy,set,light,work
,chang,shutter,photo,olympus,d600,memori,coupl,surpris,fuji,blurri,manual,great,warranti
Answer 1:,chang,turn,work,nikon,admit,readi,coupl,surpris,year,kodak,higher,film,month
Answer 2:,time,,,,,,,,,blurri,,shot,work
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,batteri,len,full,video,softwar,card,work,work,high,buy,focus,focus,focus
,charg,model,amazon,record,small,time,memori,nikon,buy,work,kid,choic,shoot
,recharg,screen,servic,qualiti,work,set,sd,featur,d610,bought,month,photo,light
,len,return,repair,softwar,button,notic,fill,photo,d600,small,year,shoot,older
,featur,great,video,rate,kodak,turn,batteri,help,problem,better,problem,shot,len
,life,small,return,zoom,comput,screen,buy,phone,nikon,good,len,blurri,problem
,charger,qualiti,custom,sound,download,button,card,wifi,issu,nikon,work,flash,shot
Answer 1:,len,len,custom,zoom,download,notic,work,work,buy,work,kid,choic,older
Answer 2:,,,,,,time,,wifi,,,work,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,mode,mode,light,fujifilm,focus,great,general,softwar,nikon,canon,featur,love,easi
,repair,work,check,focus,video,qualiti,softwar,comput,memori,len,photo,video,video
,return,set,time,point,great,small,flash,work,sd,imag,light,great,love
,warranti,focus,photo,good,shutter,close,light,card,batteri,better,color,surpris,featur
,product,screen,turn,low,work,photo,indoor,usb,canon,digit,flash,easi,continu
,nikon,button,day,light,problem,easi,photo,download,card,zoom,imag,work,screen
,bodi,olympus,work,shoot,canon,featur,shot,packag,buy,open,vivid,featur,great
Answer 1:,nikon,olympus,turn,point,work,close,geneal,work,buy,open,vivid,love,love
Answer 2:,,,,,,,indoor,,,,,work,continu
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,len,canon,nikon,batteri,batteri,year,year,best,good,water,good,good,time
,good,zoom,problem,card,len,focus,canon,screen,great,work,record,time,shot
,qualiti,qualiti,repair,len,recommend,imag,qualiti,flash,water,batteri,qualiti,impress,photo
,box,nikon,batteri,softwar,light,print,button,set,photo,day,sound,work,len
,zoom,digit,return,simpl,time,set,bought,good,softwar,video,great,buy,shutter
,canon,good,servic,work,work,low,better,button,zoom,bought,video,great,second
,lens,comparison,screen,comput,turn,light,memori,great,qualiti,nikon,rang,qualiti,incred
Answer 1:,box,,servic,comput,turn,year,year,set,water,water,rang,time,incred
Answer 2:,len,,return,softwar,,,,,,,,,
