Category,Tablet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,topic 26,topic 27,topic 28,topic 29
,time,samsung,samsung,love,kindl,bought,custom,devic,devic,keyboard,app,pen,consid,mind,game
,buy,unit,galaxi,kindl,appreci,price,slow,servic,user,window,pen,write,connect,game,worth
,better,turn,love,easi,amazon,buy,expect,newegg,keyboard,app,store,app,soni,processor,android
,lot,problem,three,awesom,hdx,better,bad,call,function,dock,email,wifi,network,great,movi
,find,day,phone,perfect,bought,kid,person,warranti,display,experi,play,stylus,fast,price,netflix
,thing,time,best,great,fire,christma,cheap,support,experi,microsoft,download,featur,wifi,fast,play
,softwar,error,tab,cost,read,money,price,custom,time,bluetooth,googl,movi,internet,display,great
Answer 1:,softwar,samsung,love,love,appreci,better,expect,call,time,dock,pen,stylus,consid,mind,worth
Answer 2:,,,,,,,slow,,user,,,,soni,,netflix
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,topic 26,topic 27,topic 28,topic 29
,card,camera,camera,custom,wifi,wifi,screen,window,keyboard,charg,charg,app,return,screen,money
,sd,bit,custom,support,case,connect,mini,major,charg,usb,app,clear,screen,middl,open
,memori,product,hold,servic,leather,screen,window,problem,set,charger,hour,download,amazon,time,batteri
,ipad,buy,good,screen,drop,network,charg,keyboard,connect,lack,terribl,return,ship,money,christma
,plenti,purchas,speaker,asus,asus,problem,power,devic,devic,batteri,day,time,item,respons,wast
,ram,appl,qualiti,call,crack,devic,thing,updat,bluetooth,port,turn,android,product,touch,bought
,screen,ipad,screen,check,screen,excel,nice,issu,usb,power,batteri,googl,surpris,slow,buy
Answer 1:,screen,bit,speaker,screen,leather,excel,thing,window,set,lack,app,time,surpris,money,open
Answer 2:,,camera,,check,case,,,,,,turn,clear,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,topic 26,topic 27,topic 28,topic 29
,bought,smaller,price,honest,usb,unit,camera,ipad,app,connect,screen,occasion,fast,app,coupl
,figur,keyboard,good,price,charg,nice,ipad,speaker,play,weak,feel,game,great,video,month
,gift,good,day,love,case,connect,pictur,sound,reader,button,read,book,boot,window,problem
,screen,pen,great,usb,charger,wifi,video,meet,connect,screen,cheap,watch,app,file,good
,love,app,bright,ipad,hardwar,screen,front,app,download,power,impress,fast,batteri,number,warranti
,christma,screen,display,great,power,case,screen,expect,googl,wifi,scratch,read,processor,memori,window
,great,write,screen,screen,port,camera,portrait,better,video,time,plastic,play,game,card,time
Answer 1:,figur,app,day,usb,case,unit,front,speaker,reader,weak,cheap,occasion,app,number,window
Answer 2:,,smaller,,honest,,case,,ipad,video,time,scratch,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25,topic 26,topic 27,topic 28,topic 29
,best,choic,kindl,ipad,crack,screen,support,depart,app,love,app,pc,screen,batteri,batteri
,sd,price,ipad,screen,app,crack,return,custom,love,app,devic,charg,speaker,app,life
,memori,ipad,batteri,product,good,good,product,call,bit,size,love,port,camera,ipad,big
,app,samsung,screen,app,product,find,purchas,servic,connect,great,amazon,cabl,imag,fact,card
,asus,charg,time,good,replac,amazon,day,app,screen,bought,usb,screen,app,time,time
,card,asus,charg,great,time,drop,amazon,support,problem,product,video,usb,button,good,charg
,storag,good,turn,order,screen,case,turn,problem,time,ipad,android,charger,time,screen,hour
Answer 1:,best,charg,turn,order,time,case,turn,depart,bit,size,love,charg,time,fact,life
Answer 2:,,,screen,,,good,,,time,,amazon,,,time,card
