Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:0,
Tell me something POSITIVE about SCREEN Aspect,
0,great picture
1,its a really nice size and i cant tell the difference between the  and  in a room the size of a living room
2,great small room tv
3,the off axis viewing angle is not so good
4,nice great led screen
5,not good
Answer 1: nice great led screen,nice great led screen
Answer 2:its a really nice size and i cant tell the difference between the  and  in a room the size of a living room,its a really nice size and i cant tell the difference between the  and  in a room the size of a living room
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:8,
Tell me something NEGATIVE about SCREEN Aspect,
0,the tv screen is already showing issues
1,smashed screen
2,we are very disappointed with the tv
3,the screen was black and red
4,now there is a  diameter black circle on the bottom edge of the screen
5,do not buy
Answer 1:the tv screen is already showing issues,the tv screen is already showing issues
Answer 2:now there is a  diameter black circle on the bottom edge of the screen,now there is a  diameter black circle on the bottom edge of the screen
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:1,
Tell me something POSITIVE about PRICE Aspect,
0,well
1,the picture on this tv is great
2,this is a great tv and i got it for a great price
3,great for price
4,great tv for the price
5,great tv good price
Answer 1:this is a great tv and i got it for a great price,this is a great tv and i got it for a great price
Answer 2:great tv good price,great tv good price
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:9,
Tell me something NEGATIVE about PRICE Aspect,
0,i only used it for  months
1,do  not buy
2,dont buy
3,only works until right after warranty is out  year
4,and it will not last  years
5,worked for less than hrs
Answer 1:worked for less than hrs,worked for less than hrs
Answer 2:only works until right after warranty is out  year,only works until right after warranty is out  year
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:2,
Tell me something POSITIVE about SOUND Aspect,
0,good
1,the sound on this tv was unbearable
2,sound quality
3,and the sound
4,great picture sound not great
5,i cant tell if the tv is great or not
Answer 1:good,good
Answer 2:,
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:10,
Tell me something NEGATIVE about SOUND Aspect,
0,audio problems
1,it is not reinforced along the backbone with bends to keep it from being susceptible to vibrations from the speaker ports and wall mounts caused by the lower mounted speakers
2,problems with speakers
3,cannot control external speaker volume
4,the sound on this tv was unbearable
5,sounded like it was somewhere in asia
Answer 1:the sound on this tv was unbearable,the sound on this tv was unbearable
Answer 2:sounded like it was somewhere in asia,sounded like it was somewhere in asia
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:3,
Tell me something POSITIVE about SERVIC Aspect,
0,this is being going around since past  days
1,a great tv
2,remote is still old traditional remote
3,this after waiting  days after order date
4,arrived smashed
5,stopped working after  days
Answer 1:a great tv,a great tv
Answer 2:,
,
,
Product name:Samsung UN50EH5300 50-Inch 1080p 60Hz LED HDTV,
Topic ID:11,
Tell me something NEGATIVE about SERVIC Aspect,
0,what has happened to samsung
1,samsung customer service is anything but service
2,samsung customer service
3,nothing happened so i called again
4,come on samsung
5,known problem but samsung fixed it
Answer 1:samsung customer service is anything but service,samsung customer service is anything but service
Answer 2:,
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:0,
Tell me something POSITIVE about SCREEN Aspect,
0,this is the brightest and clearest viewing screen that you will ever view
1,it looks great in our conference room
2,a great value
3,great tv
4,i mean if you want a good tv with a nice screen get it
5,this tv is a great value
Answer 1:this is the brightest and clearest viewing screen that you will ever view,this is the brightest and clearest viewing screen that you will ever view
Answer 2:i mean if you want a good tv with a nice screen get it,i mean if you want a good tv with a nice screen get it
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:8,
Tell me something NEGATIVE about SCREEN Aspect,
0,out of  screens had a dead pixel
1,defective screen
2,when he saw the screen he said they should not be this bad and i got a bad panel
3,it worked like a champ
4,the television is as it says
5,again
Answer 1:defective screen,defective screen
Answer 2:,
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:1,
Tell me something POSITIVE about PRICE Aspect,
0,great tv at a great price
1,great tv
2,word cannot say what a great picture this tv has
3,the best tv for the price
4,this is a great tv
5,good
Answer 1:great tv at a great price,great tv at a great price
Answer 2:the best tv for the price,the best tv for the price
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:9,
Tell me something NEGATIVE about PRICE Aspect,
0,if it becomes toast like my samsung you still win
1,do not buy samsung
2,now  years later  same problem
3,last samsung purchase
4,for  more you now have a  year warranty
5,having problems
Answer 1:do not buy samsung,do not buy samsung
Answer 2:last samsung purchase,last samsung purchase
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:2,
Tell me something POSITIVE about SOUND Aspect,
0,great tv
1,i dont but this is a great tv
2,great picture
3,looks good sounds good all around great set
4,sound quality is good too
5,the sound is not great at all
Answer 1:looks good sounds good all around great set,looks good sounds good all around great set
Answer 2:sound quality is good too,sound quality is good too
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:10,
Tell me something NEGATIVE about SOUND Aspect,
0,sound is ok and the tv has a few different sound settings but nothing special
1,sound quality is good too
2,before someone tells me that i shouldnt use tv speakers and should instead use a surround sound system
3,samsung tv
4,beyond that
5,i got this for the picture quality
Answer 1:before someone tells me that i shouldnt use tv speakers and should instead use a surround sound system,before someone tells me that i shouldnt use tv speakers and should instead use a surround sound system
Answer 2:,
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:3,
Tell me something POSITIVE about SERVIC Aspect,
0,this tv is great
1,by then i can set up a delivery date that works for me
2,there went another  on amazon
3,quick delivery
4,i was very skeptical about ordering a tv through amazon
5,word cannot say what a great picture this tv has
Answer 1:quick delivery,quick delivery
Answer 2:,
,
,
Product name:Samsung Ultra Slim Smart LED HDTV 2013 Model,
Topic ID:11,
Tell me something NEGATIVE about SERVIC Aspect,
0,boo samsung
1,i called samsung
2,pray that you dont have any problems with it
3,samsung unf
4,if it becomes toast like my samsung you still win
5,the samsung  was in a league of its own
Answer 1:pray that you dont have any problems with it,pray that you dont have any problems with it
Answer 2:,
,
,
Product name:XFINITY TV Go,
Topic ID:0,
Tell me something POSITIVE about SCREEN Aspect,
0,great
1,screen looks good but stops
2,watching on  such a small screen does
3,doesnt work
4,good
5,not to good
Answer 1:good,great
Answer 2: great,good
,
,
Product name:XFINITY TV Go,
Topic ID:8,
Tell me something NEGATIVE about SCREEN Aspect,
0,shows the bitrate on some movies right in the middle of the screen
1,there is a green bar at the top of your screen
2,not bad
3,gotta get these problems fixed or no one will want it
4,its about time
5,first show there were a few times it stopped and then started
Answer 1:shows the bitrate on some movies right in the middle of the screen,shows the bitrate on some movies right in the middle of the screen
Answer 2:there is a green bar at the top of your screen,there is a green bar at the top of your screen
,
